@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,4,5,7,8,9,10,16,17,18,21,22,23,25,26,27,28,29,30,34,35,36,38,39,43'

@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk8 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
63,62,109,94,94,156,78,62,94,62,94,94,31,78,47,109,63,1
93,62,32,62,94,125,94,93,47,47,110,78,93,93,62,94,63,1
93,79,109,94,78,140,94,62,94,125,94,94,31,63,47,109,63,1
109,78,313,391,391,47,62,79,15,109,62,47,32,62,31,63,15,1
78,16,16,47,516,578,32,437,63,94,47,63,94,16,47,32,46,1
16,63,313,391,484,79,62,250,78,94,62,47,32,46,31,63,15,1
62,62,109,219,219,15,63,79,46,63,63,93,63,63,79,171,63,1
63,94,62,63,62,47,94,93,47,63,47,109,47,62,63,46,63,1
62,62,109,219,62,32,94,62,16,94,63,93,63,63,79,171,63,1
156,94,172,266,266,47,94,78,157,63,109,31,94,63,94,31,78,1
94,78,15,78,0,31,78,31,94,62,110,47,78,16,94,78,78,1
16,94,172,266,0,16,78,78,16,172,109,31,94,78,94,31,78,1
94,78,141,281,281,47,47,62,94,63,93,156,47,16,47,94,47,1
78,125,47,78,0,47,47,94,93,63,16,78,47,328,63,141,31,1
328,47,141,281,0,31,109,78,47,32,93,156,47,31,47,94,47,1
109,94,94,94,94,312,78,78,78,62,78,63,78,78,63,31,62,1
78,78,16,62,47,188,78,79,187,78,78,62,63,78,78,63,78,1
78,47,94,94,78,172,78,78,47,204,78,63,78,78,63,31,62,1
125,94,172,125,125,156,125,16,47,78,141,78,157,109,125,16,109,1
47,62,16,78,156,109,125,47,31,94,94,94,62,109,78,47,124,1
109,78,172,125,156,547,172,78,47,79,141,78,157,124,125,16,109,1
141,94,16,94,94,47,31,31,94,31,16,79,62,15,16,110,31,1
15,94,78,94,532,625,32,62,141,31,78,32,141,15,78,16,78,1
15,15,16,94,563,656,32,31,78,671,16,79,62,78,16,110,31,1
125,94,16,125,125,32,16,78,16,78,94,31,47,16,94,15,78,1
78,78,32,62,0,16,47,31,47,78,94,16,109,391,62,32,62,1
391,31,16,125,93,16,78,94,31,78,94,31,47,62,94,15,78,1
110,109,63,78,78,94,78,78,16,93,94,78,109,94,78,16,94,1
78,47,31,78,156,141,266,109,16,110,75,86,93,62,93,16,109,1
62,78,63,78,94,78,109,109,16,78,94,78,109,109,78,16,94,1
157,63,62,156,156,32,78,78,204,78,31,141,62,62,78,32,93,1
94,78,63,31,0,15,79,63,31,31,15,94,109,93,31,78,47,1
93,94,62,156,0,47,141,62,32,125,31,141,62,47,78,32,93,1
63,47,63,78,78,156,31,62,63,62,172,15,63,110,63,15,79,1
110,94,15,79,0,16,78,110,15,47,78,15,78,32,47,31,94,1
32,78,63,78,125,16,125,78,16,93,172,15,63,94,63,15,79,1
125,94,156,235,235,31,94,78,47,125,156,47,125,63,62,16,94,1
125,94,15,78,94,125,109,16,109,125,203,31,109,156,62,32,93,1
156,46,156,235,0,46,109,78,110,31,156,47,125,93,62,16,94,1
94,78,62,94,94,141,78,62,16,78,78,47,78,32,94,31,78,1
78,78,47,62,94,109,79,203,265,78,156,63,125,62,125,16,94,1
62,93,62,94,78,94,63,32,15,78,78,47,78,94,94,31,78,1
109,94,32,110,110,62,62,78,16,62,32,78,79,47,15,62,47,1
78,32,15,62,640,703,63,47,94,62,110,15,93,15,15,62,31,1
15,94,32,110,0,15,125,703,16,832,32,78,79,31,15,62,47,1
93,78,15,78,78,94,78,63,94,47,63,93,63,15,110,15,78,1
94,62,15,93,47,125,219,79,78,78,63,94,62,78,94,31,78,1
78,47,15,78,94,125,234,141,15,78,63,93,63,78,110,15,78,1
94,78,78,125,125,94,78,125,109,110,94,94,203,94,78,78,78,1
125,110,16,78,0,62,93,141,93,110,265,78,110,94,109,813,125,1
94,93,78,125,891,93,172,94,78,156,94,94,203,125,78,78,78,1
78,78,0,94,94,109,94,78,15,93,94,125,78,78,93,47,78,1
78,78,78,78,94,78,94,78,31,94,94,78,78,78,78,47,94,1
78,94,0,94,94,78,94,47,31,109,94,125,78,94,93,47,78,1
109,93,265,390,390,63,110,15,93,94,203,62,141,125,78,110,109,1
297,109,250,31,0,15,187,94,125,62,16,110,78,344,156,313,391,1
344,78,265,390,0,46,140,141,187,157,203,62,141,391,78,110,109,1
110,141,78,156,156,63,93,109,31,109,234,63,157,62,94,203,140,1
94,156,16,62,0,78,125,94,94,108,156,47,109,32,78,63,109,1
32,94,78,156,125,62,94,125,62,141,234,63,157,109,94,203,140,1
93,94,391,110,110,15,110,78,109,109,297,31,141,344,93,32,109,1
93,125,47,94,125,15,141,16,125,125,172,31,140,62,94,62,94,1
62,94,391,110,0,15,109,125,188,78,297,31,141,94,93,32,109,1
109,78,15,109,109,16,62,46,47,78,109,16,31,15,62,32,78,1
94,78,63,31,0,15,62,78,63,62,94,47,94,62,63,47,94,1
62,16,15,109,125,16,63,62,16,109,109,16,31,94,62,32,78,1
82,102,53,91,91,259,144,31,78,93,110,94,187,110,94,15,125,1
62,94,15,63,78,172,94,219,16,109,94,125,78,110,156,15,109,1
110,109,53,91,94,223,125,156,16,125,110,94,187,109,94,15,125,1
78,78,15,63,63,62,63,62,32,94,63,109,140,79,15,47,16,1
62,125,79,62,515,63,78,78,31,172,78,79,78,63,109,16,79,1
63,78,15,63,94,62,79,110,172,109,63,109,140,79,15,47,16,1
94,63,63,78,78,125,47,46,16,63,141,46,32,41,78,15,63,1
78,63,31,94,78,125,203,172,116,46,156,47,94,47,78,47,46,1
47,78,63,78,62,125,110,32,31,126,141,46,32,46,78,15,63,1
110,78,156,141,141,16,125,78,16,78,94,125,78,109,79,78,62,1
125,94,16,62,172,15,94,109,63,78,78,110,78,78,94,31,63,1
78,110,156,141,125,109,125,94,15,110,94,125,78,63,79,78,62,1
78,47,47,62,62,141,62,62,110,78,79,140,47,47,78,16,62,1
62,94,32,93,78,157,62,94,203,94,109,94,62,47,63,47,78,1
47,62,47,62,63,140,78,78,31,125,79,140,47,78,78,16,62,1
93,47,250,328,328,62,172,47,78,250,140,234,63,62,78,31,94,1
32,110,79,31,0,62,172,140,235,63,16,93,63,156,62,281,79,1
156,78,250,328,0,63,172,109,141,94,140,234,63,79,78,31,94,1
93,78,234,94,94,47,94,63,218,62,63,140,94,78,63,219,78,1
62,62,188,62,93,63,109,78,250,78,78,140,78,94,78,204,62,1
94,62,234,94,141,203,109,78,375,94,63,140,94,62,63,219,78,1
93,94,110,250,250,63,63,125,46,93,125,47,63,47,93,78,63,1
94,109,31,78,125,16,63,78,16,78,125,15,78,0,62,16,78,1
0,78,110,250,844,938,31,109,32,94,125,47,63,78,93,78,63,1
94,93,32,171,171,16,109,63,62,110,156,47,78,47,78,31,125,1
94,16,93,47,110,31,109,94,109,125,78,47,125,62,94,15,94,1
62,93,32,171,94,31,125,62,125,16,156,47,78,94,78,31,125,1
110,78,94,78,78,203,63,141,0,78,94,78,94,78,93,32,62,1
78,63,31,63,0,0,94,94,63,94,110,93,78,78,94,31,78,1
78,62,94,78,94,171,63,109,16,94,94,78,94,78,93,32,62,1
94,109,250,78,78,110,78,125,140,47,47,156,79,63,93,94,78,1
94,78,219,93,94,78,78,62,328,109,78,109,79,93,110,125,93,1
93,78,250,78,93,250,94,94,187,156,47,156,79,93,93,94,78,1
93,47,93,156,156,31,63,78,125,172,78,31,125,78,62,31,63,1
47,47,16,47,0,594,656,62,125,62,140,0,63,31,63,31,78,1
31,63,93,156,0,16,94,94,31,47,78,31,125,78,62,31,63,1
110,109,391,438,438,31,46,78,31,79,109,125,109,15,78,0,94,1
109,110,141,78,0,32,46,31,78,47,125,31,62,32,78,31,94,1
32,93,391,438,0,31,94,110,31,687,109,125,109,94,78,0,94,1
110,125,485,594,594,47,140,78,141,63,47,62,109,0,78,32,93,1
94,125,47,78,125,31,141,32,110,109,125,62,125,94,94,47,93,1
94,63,485,594,234,16,109,125,78,172,47,62,109,93,78,32,93,1
93,47,125,63,63,171,79,62,32,78,78,78,47,63,46,79,78,1
93,47,46,47,47,31,94,78,15,109,78,94,63,63,62,63,78,1
63,63,125,63,46,47,94,62,16,125,78,78,47,78,46,79,78,1
156,172,128,225,225,40,110,63,47,94,78,63,93,32,94,47,94,1
109,109,47,62,609,734,0,79,93,125,79,78,172,78,15,62,47,1
78,47,128,225,0,47,141,94,31,110,78,63,93,47,94,47,94,1
63,63,63,140,140,188,109,63,578,62,78,94,188,47,93,63,62,1
125,63,62,78,125,207,109,94,78,62,78,125,62,47,94,31,94,1
47,63,63,140,47,687,94,125,453,93,78,94,188,94,93,63,62,1
