@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,9,10,13,14,16,17,18,22,23,24,25,26,29,30,31,33,34,37,39,41,42,43'

@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
62,63,109,94,78,62,94,94,78,141,94,31,79,63,47,1
62,63,32,62,94,93,47,78,94,47,78,78,156,47,62,1
94,15,109,94,94,62,94,78,93,141,94,31,79,140,47,1
78,15,313,391,62,79,15,78,31,16,47,234,78,125,31,1
93,32,16,47,32,437,63,62,94,32,63,172,16,78,47,1
78,62,313,391,62,250,78,47,437,16,47,234,78,32,31,1
62,32,109,219,63,79,46,47,109,63,93,16,78,62,79,1
62,78,62,63,94,93,47,63,78,62,109,62,16,63,63,1
47,63,109,219,94,62,16,78,93,63,93,16,78,266,79,1
94,62,172,266,94,78,157,93,114,594,31,31,78,78,94,1
78,47,15,78,78,31,94,63,109,94,47,78,63,109,94,1
93,47,172,266,78,78,16,93,31,594,31,31,78,47,94,1
78,62,141,281,47,62,94,62,234,47,156,93,16,78,47,1
63,62,47,78,47,94,93,16,94,78,78,94,156,62,63,1
62,47,141,281,109,78,47,78,94,47,156,93,16,62,47,1
94,78,94,94,78,78,78,63,93,78,63,78,78,125,63,1
62,110,16,62,78,79,187,78,78,47,62,46,79,47,78,1
63,15,94,94,78,78,47,78,79,78,63,78,78,218,63,1
94,15,172,125,125,16,47,31,94,16,78,16,78,16,125,1
16,110,16,78,125,47,31,109,94,94,94,62,47,32,78,1
31,94,172,125,172,78,47,125,47,16,78,16,78,16,125,1
94,125,16,94,31,31,94,16,16,15,79,31,78,78,16,1
63,141,78,94,32,62,141,15,141,62,32,47,125,125,78,1
16,78,16,94,32,31,78,16,62,15,79,31,78,31,16,1
94,47,16,125,16,78,16,62,94,15,31,16,94,63,94,1
62,78,32,62,47,31,47,16,62,46,16,109,94,78,62,1
62,32,16,125,78,94,31,93,31,15,31,16,94,16,94,1
109,16,63,78,78,78,16,62,109,31,78,31,109,78,78,1
93,47,31,78,266,109,16,94,94,62,86,93,47,47,93,1
62,31,63,78,109,109,16,62,109,31,78,31,109,63,78,1
63,16,62,156,78,78,204,78,31,219,141,94,484,47,78,1
79,15,63,31,79,63,31,62,94,78,94,78,62,32,31,1
78,93,62,156,141,62,32,78,63,219,141,94,484,63,78,1
47,31,63,78,31,62,63,78,125,47,15,16,125,125,63,1
94,31,15,79,78,110,15,110,109,78,15,94,16,63,47,1
78,15,63,78,125,78,16,78,110,47,15,16,125,63,63,1
94,78,156,235,94,78,47,63,94,156,47,125,62,47,62,1
94,63,15,78,109,16,109,63,267,79,31,141,343,32,62,1
63,15,156,235,109,78,110,93,16,156,47,125,62,32,62,1
78,15,62,94,78,62,16,94,156,31,47,156,110,79,94,1
78,31,47,62,79,203,265,32,94,47,63,94,156,78,125,1
94,15,62,94,63,32,15,93,203,31,47,156,110,31,94,1
94,32,32,110,62,78,16,63,16,656,78,782,15,125,15,1
93,16,15,62,63,47,94,47,62,78,15,62,32,78,15,1
63,31,32,110,125,703,16,47,47,656,78,782,15,109,15,1
78,62,15,78,78,63,94,78,78,31,93,0,94,94,110,1
204,15,15,93,219,79,78,15,46,63,94,93,32,156,94,1
78,594,15,78,234,141,15,62,79,31,93,0,94,32,110,1
78,140,78,125,78,125,109,172,891,94,94,78,78,63,78,1
110,109,16,78,93,141,93,94,63,172,78,109,16,703,109,1
172,15,78,125,172,94,78,78,141,94,94,78,78,31,78,1
78,109,0,94,94,78,15,79,234,109,125,594,125,47,93,1
109,16,78,78,94,78,31,78,32,63,78,78,63,31,78,1
79,31,0,94,94,47,31,78,78,109,125,594,125,172,93,1
93,16,265,390,110,15,93,219,141,46,62,172,359,94,78,1
594,94,250,31,187,94,125,125,235,94,110,282,15,406,156,1
219,110,265,390,140,141,187,94,94,46,62,172,359,31,78,1
141,109,78,156,93,109,31,110,78,78,63,94,63,125,94,1
128,63,16,62,125,94,94,62,94,78,47,78,140,93,78,1
110,62,78,156,94,125,62,109,94,78,63,94,63,156,94,1
94,125,391,110,110,78,109,79,172,297,31,282,109,62,93,1
93,16,47,94,141,16,125,344,15,78,31,141,15,94,94,1
79,31,391,110,109,125,188,109,16,297,31,282,109,141,93,1
78,94,15,109,62,46,47,63,188,94,16,47,125,78,62,1
79,15,63,31,62,78,63,15,94,78,47,78,110,31,63,1
63,47,15,109,63,62,16,79,78,94,16,47,125,46,62,1
102,31,53,91,144,31,78,16,125,156,94,343,125,31,94,1
16,141,15,63,94,219,16,110,109,79,125,125,250,15,156,1
16,93,53,91,125,156,16,78,219,156,94,343,125,16,94,1
78,16,15,63,63,62,32,46,109,78,109,16,62,15,15,1
156,32,79,62,78,78,31,79,94,63,79,172,15,47,109,1
46,16,15,63,79,110,172,16,78,78,109,16,62,78,15,1
63,78,63,78,47,46,16,63,78,265,46,32,109,65,78,1
62,63,31,94,203,172,116,41,62,31,47,46,219,63,78,1
63,15,63,78,110,32,31,62,172,265,46,32,109,47,78,1
78,31,156,141,125,78,16,94,140,47,125,16,94,32,79,1
32,218,16,62,94,109,63,109,15,63,110,93,32,16,94,1
94,31,156,141,125,94,15,63,109,47,125,16,94,62,79,1
47,46,47,62,62,62,110,78,79,78,140,15,78,94,78,1
78,78,32,93,62,94,203,47,125,47,94,47,78,47,63,1
78,47,47,62,78,78,31,63,94,78,140,15,78,62,78,1
47,47,250,328,172,47,78,125,172,62,234,125,78,125,78,1
141,62,79,31,172,140,235,62,282,62,93,78,62,16,62,1
125,78,250,328,172,109,141,62,140,62,234,125,78,31,78,1
78,891,234,94,94,63,218,47,78,78,140,828,78,297,63,1
78,250,188,62,109,78,250,78,125,62,140,62,344,484,78,1
47,235,234,94,109,78,375,47,78,78,140,828,78,375,63,1
94,78,110,250,63,125,46,0,344,78,47,32,93,78,93,1
62,47,31,78,63,78,16,47,16,63,15,93,547,78,62,1
0,16,110,250,31,109,32,78,78,78,47,32,93,63,93,1
93,16,32,171,109,63,62,63,78,31,47,16,78,78,78,1
63,47,93,47,109,94,109,47,78,63,47,109,0,16,94,1
63,62,32,171,125,62,125,109,94,31,47,16,78,62,78,1
78,63,94,78,63,141,0,78,203,141,78,16,78,78,93,1
94,62,31,63,94,94,63,78,31,234,93,93,32,32,94,1
78,63,94,78,63,109,16,62,94,141,78,16,78,16,93,1
109,110,250,78,78,125,140,63,78,94,156,265,94,422,93,1
78,110,219,93,78,62,328,63,141,93,109,94,140,547,110,1
63,15,250,78,94,94,187,78,62,94,156,265,94,203,93,1
47,47,93,156,63,78,125,78,141,78,31,15,110,78,62,1
63,62,16,47,656,62,125,78,16,62,0,110,62,47,63,1
78,32,93,156,94,94,31,63,62,78,31,15,110,172,62,1
109,78,391,438,46,78,31,94,109,94,125,16,78,78,78,1
78,47,141,78,46,31,78,15,110,63,31,94,78,110,78,1
94,31,391,438,94,110,31,94,31,94,125,16,78,62,78,1
125,79,485,594,140,78,141,62,125,47,62,16,93,125,78,1
78,125,47,78,141,32,110,0,109,62,62,78,94,15,94,1
62,31,485,594,109,125,78,94,32,47,62,16,93,125,78,1
47,78,125,63,79,62,32,78,78,63,78,172,78,78,46,1
78,47,46,47,94,78,15,63,125,62,94,62,47,125,62,1
78,47,125,63,94,62,16,62,78,63,78,172,78,62,46,1
172,292,128,225,110,63,47,78,203,47,63,15,62,93,94,1
109,0,47,62,0,79,93,32,78,78,78,94,78,0,15,1
