@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,9,10,11,13,14,18,19,20,22,23,25,26,27,28,29,31,35,37,39,42,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk7 numeric
@attribute dtsk8 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
31,62,63,94,78,62,110,94,62,78,94,31,109,79,63,47,109,1
32,62,63,62,94,78,62,78,47,79,78,93,125,156,47,62,94,1
78,94,15,94,94,47,62,78,125,78,94,31,109,79,140,47,109,1
16,78,15,391,62,62,16,78,109,47,47,32,94,78,125,31,63,1
16,93,32,47,32,47,125,62,94,62,63,94,94,16,78,47,32,1
62,78,62,391,62,79,47,47,94,47,47,32,94,78,32,31,63,1
594,62,32,219,63,78,125,47,63,94,93,63,78,78,62,79,171,1
31,62,78,63,94,94,62,63,63,47,109,47,94,16,63,63,46,1
110,47,63,219,94,16,78,78,94,94,93,63,78,78,266,79,171,1
47,94,62,266,94,93,63,93,63,93,31,94,94,78,78,94,31,1
93,78,47,78,78,93,63,63,62,47,47,78,172,63,109,94,78,1
94,93,47,266,78,62,31,93,172,93,31,94,94,78,47,94,31,1
78,78,62,281,47,32,187,62,63,63,156,47,15,16,78,47,94,1
78,63,62,78,47,63,94,16,63,62,78,47,32,156,62,63,141,1
47,62,47,281,109,78,15,78,32,63,156,47,15,16,62,47,94,1
125,94,78,94,78,94,93,63,62,94,63,78,62,78,125,63,31,1
16,62,110,62,78,94,78,78,78,47,62,63,204,79,47,78,63,1
31,63,15,94,78,31,63,78,204,94,63,78,62,78,218,63,31,1
78,94,15,125,125,47,62,31,78,62,78,157,203,78,16,125,16,1
188,16,110,78,125,62,78,109,94,93,94,62,79,47,32,78,47,1
16,31,94,125,172,15,79,125,79,62,78,157,203,78,16,125,16,1
47,94,125,94,31,16,62,16,31,78,79,62,672,78,78,16,110,1
94,63,141,94,32,78,141,15,31,62,32,141,671,125,125,78,16,1
94,16,78,94,32,156,31,16,671,78,79,62,672,78,31,16,110,1
63,94,47,125,16,110,31,62,78,78,31,47,93,94,63,94,15,1
16,62,78,62,47,78,140,16,78,47,16,109,78,94,78,62,32,1
94,62,32,125,78,62,16,93,78,78,31,47,93,94,16,94,15,1
62,109,16,78,78,78,94,62,93,93,78,109,94,109,78,78,16,1
15,93,47,78,266,93,63,94,110,79,86,93,78,47,47,93,16,1
16,62,31,78,109,47,93,62,78,93,78,109,94,109,63,78,16,1
31,63,16,156,78,109,16,78,78,78,141,62,15,484,47,78,32,1
31,79,15,31,79,78,78,62,31,78,94,109,125,62,32,31,78,1
16,78,93,156,141,19,113,78,125,78,141,62,15,484,63,78,32,1
93,47,31,78,31,47,31,78,62,93,15,63,78,125,125,63,15,1
32,94,31,79,78,93,79,110,47,78,15,78,93,16,63,47,31,1
62,78,15,78,125,94,16,78,93,93,15,63,78,125,63,63,15,1
281,94,78,235,94,62,188,63,125,110,47,125,109,62,47,62,16,1
16,94,63,78,109,110,62,63,125,62,31,109,31,343,32,62,32,1
47,63,15,235,109,62,85,93,31,110,47,125,109,62,32,62,16,1
187,78,15,94,78,78,32,94,78,62,47,78,109,110,79,94,31,1
15,78,31,62,79,62,63,32,78,62,63,125,78,156,78,125,16,1
16,94,15,94,63,16,109,93,78,62,47,78,109,110,31,94,31,1
31,94,32,110,62,32,62,63,62,63,78,79,766,15,125,15,62,1
15,93,16,62,63,63,62,47,62,141,15,93,832,32,78,15,62,1
157,63,31,110,125,110,31,47,832,63,78,79,766,15,109,15,62,1
16,78,62,78,78,78,109,78,47,62,93,63,78,94,94,110,15,1
15,204,15,93,219,62,47,15,78,62,94,62,78,32,156,94,31,1
47,78,594,78,234,15,62,62,78,62,93,63,78,94,32,110,15,1
16,78,140,125,78,78,141,172,110,78,94,203,94,78,63,78,78,1
16,110,109,78,93,78,78,94,110,79,78,110,156,16,703,109,813,1
16,172,15,125,172,94,141,78,156,78,94,203,94,78,31,78,78,1
16,78,109,94,94,62,157,79,93,94,125,78,78,125,47,93,47,1
16,109,16,78,94,94,78,78,94,109,78,78,109,63,31,78,47,1
47,79,31,94,94,31,94,78,109,94,125,78,78,125,172,93,47,1
157,93,16,390,110,15,78,219,94,985,62,141,47,359,94,78,110,1
129,594,94,31,187,985,94,125,62,109,110,78,157,15,406,156,313,1
125,219,110,390,140,31,125,94,157,985,62,141,47,359,31,78,110,1
296,141,109,156,93,93,63,110,109,234,63,157,109,63,125,94,203,1
94,128,63,62,125,234,78,62,108,78,47,109,141,140,93,78,63,1
