@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,7,8,9,15,17,18,19,21,23,24,25,26,27,29,33,34,35,37,38,39,40,41,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,78,109,94,94,156,62,94,78,141,78,94,94,79,63,1
62,32,62,32,62,94,125,78,47,78,47,79,110,78,156,63,1
63,78,78,109,94,78,140,47,94,93,141,78,94,94,79,63,1
109,16,62,313,391,391,47,62,15,94,16,47,62,47,78,15,1
78,16,62,16,47,516,578,47,63,78,32,62,47,63,16,46,1
32,62,62,313,391,484,79,79,78,90,16,47,62,47,78,15,1
78,594,78,109,219,219,15,78,46,78,63,94,63,93,78,63,1
63,31,47,62,63,62,47,94,47,63,62,47,47,109,16,63,1
78,110,78,109,219,62,32,16,16,79,63,94,63,93,78,63,1
119,47,78,172,266,266,47,93,157,94,594,93,109,31,78,78,1
94,93,78,15,78,0,31,93,94,63,94,47,110,47,63,78,1
15,94,78,172,266,0,16,62,16,62,594,93,109,31,78,78,1
78,78,63,141,281,281,47,32,94,125,47,63,93,156,16,47,1
47,78,47,47,78,0,47,63,93,187,78,62,16,78,156,31,1
235,47,63,141,281,0,31,78,47,63,47,63,93,156,16,47,1
79,125,78,94,94,94,312,94,78,63,78,94,78,63,78,62,1
94,16,78,16,62,47,188,94,187,62,47,47,78,62,79,78,1
78,31,78,94,94,78,172,31,47,78,78,94,78,63,78,62,1
109,78,63,172,125,125,156,47,47,94,16,62,141,78,78,109,1
125,188,109,16,78,156,109,62,31,109,94,93,94,94,47,124,1
93,16,63,172,125,156,547,15,47,78,16,62,141,78,78,109,1
94,47,93,16,94,94,47,16,94,4,15,78,16,79,78,31,1
110,94,110,78,94,532,625,78,141,172,62,62,78,32,125,78,1
31,94,93,16,94,563,656,156,78,72,15,78,16,79,78,31,1
62,63,62,16,125,125,32,110,16,78,15,78,94,31,94,78,1
62,16,78,32,62,0,16,78,47,63,46,47,94,16,94,62,1
16,94,62,16,125,93,16,62,31,77,15,78,94,31,94,78,1
94,62,78,63,78,78,94,78,16,109,31,93,94,78,109,94,1
110,15,109,31,78,156,141,93,16,93,62,79,75,86,47,109,1
109,16,78,63,78,94,78,47,16,110,31,93,94,78,109,94,1
78,31,62,62,156,156,32,109,204,140,219,78,31,141,484,93,1
94,31,250,63,31,0,15,78,31,31,78,78,15,94,62,47,1
94,16,62,62,156,0,47,19,32,78,219,78,31,141,484,93,1
47,93,16,63,78,78,156,47,63,78,47,93,172,15,125,79,1
78,32,110,15,79,0,16,93,15,62,78,78,78,15,16,94,1
16,62,16,63,78,125,16,94,16,78,47,93,172,15,125,79,1
47,281,78,156,235,235,31,62,47,78,156,110,156,47,62,94,1
250,16,78,15,78,94,125,110,109,62,79,62,203,31,343,93,1
78,47,78,156,235,0,46,62,110,78,156,110,156,47,62,94,1
78,187,63,62,94,94,141,78,16,78,31,62,78,47,110,78,1
110,15,47,47,62,94,109,62,265,62,47,62,156,63,156,94,1
94,16,63,62,94,78,94,16,15,110,31,62,78,47,110,78,1
109,31,93,32,110,110,62,32,16,79,656,63,32,78,15,47,1
