@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,7,8,9,10,16,18,19,22,23,24,25,26,28,29,30,34,35,36,38,39,43'

@attribute dtsk2 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtsk9 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
62,109,94,94,156,78,110,94,94,78,94,94,31,78,47,109,63,1
62,32,62,94,125,94,62,47,78,94,110,78,93,93,62,94,63,1
79,109,94,78,140,94,62,94,78,93,94,94,31,63,47,109,63,1
78,313,391,391,47,62,16,15,78,31,62,47,32,62,31,63,15,1
16,16,47,516,578,32,125,63,62,94,47,63,94,16,47,32,46,1
63,313,391,484,79,62,47,78,47,437,62,47,32,46,31,63,15,1
62,109,219,219,15,63,125,46,47,109,63,93,63,63,79,171,63,1
94,62,63,62,47,94,62,47,63,78,47,109,47,62,63,46,63,1
62,109,219,62,32,94,78,16,78,93,63,93,63,63,79,171,63,1
94,172,266,266,47,94,63,157,93,114,109,31,94,63,94,31,78,1
78,15,78,0,31,78,63,94,63,109,110,47,78,16,94,78,78,1
94,172,266,0,16,78,31,16,93,31,109,31,94,78,94,31,78,1
78,141,281,281,47,47,187,94,62,234,93,156,47,16,47,94,47,1
125,47,78,0,47,47,94,93,16,94,16,78,47,328,63,141,31,1
47,141,281,0,31,109,15,47,78,94,93,156,47,31,47,94,47,1
94,94,94,94,312,78,93,78,63,93,78,63,78,78,63,31,62,1
78,16,62,47,188,78,78,187,78,78,78,62,63,78,78,63,78,1
47,94,94,78,172,78,63,47,78,79,78,63,78,78,63,31,62,1
94,172,125,125,156,125,62,47,31,94,141,78,157,109,125,16,109,1
62,16,78,156,109,125,78,31,109,94,94,94,62,109,78,47,124,1
78,172,125,156,547,172,79,47,125,47,141,78,157,124,125,16,109,1
94,16,94,94,47,31,62,94,16,16,16,79,62,15,16,110,31,1
94,78,94,532,625,32,141,141,15,141,78,32,141,15,78,16,78,1
15,16,94,563,656,32,31,78,16,62,16,79,62,78,16,110,31,1
94,16,125,125,32,16,31,16,62,94,94,31,47,16,94,15,78,1
78,32,62,0,16,47,140,47,16,62,94,16,109,391,62,32,62,1
31,16,125,93,16,78,16,31,93,31,94,31,47,62,94,15,78,1
109,63,78,78,94,78,94,16,62,109,94,78,109,94,78,16,94,1
47,31,78,156,141,266,63,16,94,94,75,86,93,62,93,16,109,1
78,63,78,94,78,109,93,16,62,109,94,78,109,109,78,16,94,1
63,62,156,156,32,78,16,204,78,31,31,141,62,62,78,32,93,1
78,63,31,0,15,79,78,31,62,94,15,94,109,93,31,78,47,1
94,62,156,0,47,141,113,32,78,63,31,141,62,47,78,32,93,1
47,63,78,78,156,31,31,63,78,125,172,15,63,110,63,15,79,1
94,15,79,0,16,78,79,15,110,109,78,15,78,32,47,31,94,1
78,63,78,125,16,125,16,16,78,110,172,15,63,94,63,15,79,1
94,156,235,235,31,94,188,47,63,94,156,47,125,63,62,16,94,1
94,15,78,94,125,109,62,109,63,267,203,31,109,156,62,32,93,1
46,156,235,0,46,109,85,110,93,16,156,47,125,93,62,16,94,1
78,62,94,94,141,78,32,16,94,156,78,47,78,32,94,31,78,1
78,47,62,94,109,79,63,265,32,94,156,63,125,62,125,16,94,1
93,62,94,78,94,63,109,15,93,203,78,47,78,94,94,31,78,1
94,32,110,110,62,62,62,16,63,16,32,78,79,47,15,62,47,1
32,15,62,640,703,63,62,94,47,62,110,15,93,15,15,62,31,1
94,32,110,0,15,125,31,16,47,47,32,78,79,31,15,62,47,1
78,15,78,78,94,78,109,94,78,78,63,93,63,15,110,15,78,1
62,15,93,47,125,219,47,78,15,46,63,94,62,78,94,31,78,1
47,15,78,94,125,234,62,15,62,79,63,93,63,78,110,15,78,1
78,78,125,125,94,78,141,109,172,891,94,94,203,94,78,78,78,1
110,16,78,0,62,93,78,93,94,63,265,78,110,94,109,813,125,1
93,78,125,891,93,172,141,78,78,141,94,94,203,125,78,78,78,1
78,0,94,94,109,94,157,15,79,234,94,125,78,78,93,47,78,1
78,78,78,94,78,94,78,31,78,32,94,78,78,78,78,47,94,1
94,0,94,94,78,94,94,31,78,78,94,125,78,94,93,47,78,1
93,265,390,390,63,110,78,93,219,141,203,62,141,125,78,110,109,1
109,250,31,0,15,187,94,125,125,235,16,110,78,344,156,313,391,1
78,265,390,0,46,140,125,187,94,94,203,62,141,391,78,110,109,1
141,78,156,156,63,93,63,31,110,78,234,63,157,62,94,203,140,1
156,16,62,0,78,125,78,94,62,94,156,47,109,32,78,63,109,1
94,78,156,125,62,94,94,62,109,94,234,63,157,109,94,203,140,1
94,391,110,110,15,110,235,109,79,172,297,31,141,344,93,32,109,1
125,47,94,125,15,141,78,125,344,15,172,31,140,62,94,62,94,1
94,391,110,0,15,109,63,188,109,16,297,31,141,94,93,32,109,1
78,15,109,109,16,62,141,47,63,188,109,16,31,15,62,32,78,1
78,63,31,0,15,62,78,63,15,94,94,47,94,62,63,47,94,1
16,15,109,125,16,63,31,16,79,78,109,16,31,94,62,32,78,1
102,53,91,91,259,144,62,78,16,125,110,94,187,110,94,15,125,1
94,15,63,78,172,94,78,16,110,109,94,125,78,110,156,15,109,1
109,53,91,94,223,125,93,16,78,219,110,94,187,109,94,15,125,1
78,15,63,63,62,63,94,32,46,109,63,109,140,79,15,47,16,1
125,79,62,515,63,78,62,31,79,94,78,79,78,63,109,16,79,1
78,15,63,94,62,79,63,172,16,78,63,109,140,79,15,47,16,1
63,63,78,78,125,47,109,16,63,78,141,46,32,41,78,15,63,1
63,31,94,78,125,203,93,116,41,62,156,47,94,47,78,47,46,1
78,63,78,62,125,110,47,31,62,172,141,46,32,46,78,15,63,1
78,156,141,141,16,125,125,16,94,140,94,125,78,109,79,78,62,1
94,16,62,172,15,94,62,63,109,15,78,110,78,78,94,31,63,1
110,156,141,125,109,125,78,15,63,109,94,125,78,63,79,78,62,1
47,47,62,62,141,62,125,110,78,79,79,140,47,47,78,16,62,1
94,32,93,78,157,62,62,203,47,125,109,94,62,47,63,47,78,1
62,47,62,63,140,78,47,31,63,94,79,140,47,78,78,16,62,1
47,250,328,328,62,172,93,78,125,172,140,234,63,62,78,31,94,1
110,79,31,0,62,172,94,235,62,282,16,93,63,156,62,281,79,1
78,250,328,0,63,172,63,141,62,140,140,234,63,79,78,31,94,1
78,234,94,94,47,94,984,218,47,78,63,140,94,78,63,219,78,1
62,188,62,93,63,109,63,250,78,125,78,140,78,94,78,204,62,1
62,234,94,141,203,109,78,375,47,78,63,140,94,62,63,219,78,1
94,110,250,250,63,63,94,46,0,344,125,47,63,47,93,78,63,1
109,31,78,125,16,63,62,16,47,16,125,15,78,0,62,16,78,1
78,110,250,844,938,31,46,32,78,78,125,47,63,78,93,78,63,1
93,32,171,171,16,109,125,62,63,78,156,47,78,47,78,31,125,1
16,93,47,110,31,109,78,109,47,78,78,47,125,62,94,15,94,1
93,32,171,94,31,125,63,125,109,94,156,47,78,94,78,31,125,1
78,94,78,78,203,63,94,0,78,203,94,78,94,78,93,32,62,1
63,31,63,0,0,94,62,63,78,31,110,93,78,78,94,31,78,1
62,94,78,94,171,63,78,16,62,94,94,78,94,78,93,32,62,1
109,250,78,78,110,78,156,140,63,78,47,156,79,63,93,94,78,1
78,219,93,94,78,78,93,328,63,141,78,109,79,93,110,125,93,1
78,250,78,93,250,94,63,187,78,62,47,156,79,93,93,94,78,1
47,93,156,156,31,63,469,125,78,141,78,31,125,78,62,31,63,1
47,16,47,0,594,656,166,125,78,16,140,0,63,31,63,31,78,1
63,93,156,0,16,94,141,31,63,62,78,31,125,78,62,31,63,1
109,391,438,438,31,46,62,31,94,109,109,125,109,15,78,0,94,1
110,141,78,0,32,46,94,78,15,110,125,31,62,32,78,31,94,1
93,391,438,0,31,94,47,31,94,31,109,125,109,94,78,0,94,1
125,485,594,594,47,140,47,141,62,125,47,62,109,0,78,32,93,1
125,47,78,125,31,141,79,110,0,109,125,62,125,94,94,47,93,1
63,485,594,234,16,109,94,78,94,32,47,62,109,93,78,32,93,1
47,125,63,63,171,79,109,32,78,78,78,78,47,63,46,79,78,1
47,46,47,47,31,94,63,15,63,125,78,94,63,63,62,63,78,1
63,125,63,46,47,94,47,16,62,78,78,78,47,78,46,79,78,1
172,128,225,225,40,110,78,47,78,203,78,63,93,32,94,47,94,1
109,47,62,609,734,0,63,93,32,78,79,78,172,78,15,62,47,1
47,128,225,0,47,141,32,31,172,79,78,63,93,47,94,47,94,1
63,63,140,140,188,109,141,578,94,78,78,94,188,47,93,63,62,1
63,62,78,125,207,109,62,78,47,93,78,125,62,47,94,31,94,1
63,63,140,47,687,94,62,453,78,94,78,94,188,94,93,63,62,1
78,271,380,380,47,125,15,16,62,172,125,32,0,32,62,16,78,1
0,32,78,0,47,125,157,31,32,125,312,63,94,62,78,31,79,1
78,271,380,125,140,94,0,0,32,62,125,32,0,79,62,16,78,1
78,140,79,79,250,93,125,141,62,47,63,93,63,63,62,110,78,1
63,94,62,94,125,125,62,78,63,156,78,110,62,78,63,47,78,1
47,140,79,78,172,125,63,125,83,78,63,93,63,78,62,110,78,1
78,31,172,172,31,156,46,16,93,187,140,47,63,31,78,32,78,1
16,15,78,110,125,156,94,63,31,0,829,31,93,62,157,31,109,1
110,31,172,172,93,157,78,78,94,31,140,47,63,109,78,32,78,1
78,78,62,62,94,94,47,31,94,93,78,94,63,31,78,62,63,1
16,61,52,78,94,188,62,62,31,0,62,110,62,31,78,47,78,1
94,78,62,79,78,78,94,47,78,63,78,94,63,78,78,62,63,1
78,188,78,78,31,94,62,31,78,250,78,110,78,125,78,32,125,1
78,0,78,0,31,109,94,31,125,16,62,94,62,125,62,235,125,1
78,188,78,0,0,94,62,16,94,156,78,110,78,125,78,32,125,1
125,109,203,203,47,62,78,63,31,125,157,31,62,156,78,16,62,1
63,94,0,1469,140,31,78,62,156,141,0,47,63,31,63,31,94,1
62,109,203,141,15,125,0,719,109,0,157,31,62,94,78,16,62,1
94,203,78,78,249,88,282,344,407,94,94,140,79,78,78,109,94,1
94,157,78,62,204,78,63,172,78,156,94,172,78,78,94,125,93,1
78,203,78,1109,63,250,93,203,78,78,94,140,79,93,78,109,94,1
140,79,110,110,15,110,47,16,110,16,63,47,15,48,46,109,78,1
46,94,31,141,0,94,188,78,48,16,16,78,62,16,16,109,16,1
