@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,7,9,11,13,14,16,17,18,19,20,21,22,24,25,26,27,29,35,38,39,40'

@attribute ft1 numeric
@attribute ft3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
31,63,78,94,78,94,141,78,94,94,31,109,79,78,109,63,3423,1
32,63,62,62,94,125,47,79,110,78,93,125,156,93,94,63,3295,1
78,15,78,94,94,94,141,78,94,94,31,109,79,63,109,63,3422,1
16,15,62,391,62,62,16,47,62,47,32,94,78,62,63,15,4029,1
16,32,62,47,32,94,32,62,47,63,94,94,16,16,32,46,3846,1
62,62,62,391,62,62,16,47,62,47,32,94,78,46,63,15,4828,1
594,32,78,219,63,125,63,94,63,93,63,78,78,63,171,63,3970,1
31,78,47,63,94,109,62,47,47,109,47,94,16,62,46,63,3172,1
110,63,78,219,94,63,63,94,63,93,63,78,78,63,171,63,3378,1
47,62,78,266,94,312,594,93,109,31,94,94,78,63,31,78,4577,1
93,47,78,78,78,94,94,47,110,47,78,172,63,16,78,78,3844,1
94,47,78,266,78,109,594,93,109,31,94,94,78,78,31,78,4530,1
78,62,63,281,47,31,47,63,93,156,47,15,16,16,94,47,3734,1
78,62,47,78,47,32,78,62,16,78,47,32,156,328,141,31,3222,1
47,47,63,281,109,0,47,63,93,156,47,15,16,31,94,47,4719,1
125,78,78,94,78,125,78,94,78,63,78,62,78,78,31,62,3765,1
16,110,78,62,78,94,47,47,78,62,63,204,79,78,63,78,3425,1
31,15,78,94,78,46,78,94,78,63,78,62,78,78,31,62,3281,1
78,15,63,125,125,94,16,62,141,78,157,203,78,109,16,109,3737,1
188,110,109,78,125,78,94,93,94,94,62,79,47,109,47,124,3577,1
16,94,63,125,172,109,16,62,141,78,157,203,78,124,16,109,4000,1
47,125,93,94,31,80,15,78,16,79,62,672,78,15,110,31,4273,1
94,141,110,94,32,16,62,62,78,32,141,671,125,15,16,78,4784,1
94,78,93,94,32,593,15,78,16,79,62,672,78,78,110,31,6569,1
63,47,62,125,16,78,15,78,94,31,47,93,94,16,15,78,2609,1
16,78,78,62,47,78,46,47,94,16,109,78,94,391,32,62,2828,1
94,32,62,125,78,703,15,78,94,31,47,93,94,62,15,78,6135,1
62,16,78,78,78,79,31,93,94,78,109,94,109,94,16,94,3422,1
15,47,109,78,266,78,62,79,75,86,93,78,47,62,16,109,3563,1
16,31,78,78,109,110,31,93,94,78,109,94,109,109,16,94,3358,1
31,16,62,156,78,16,219,78,31,141,62,15,484,62,32,93,4014,1
31,15,250,31,79,141,78,78,15,94,109,125,62,93,78,47,3061,1
16,93,62,156,141,63,219,78,31,141,62,15,484,47,32,93,3506,1
93,31,16,78,31,94,47,93,172,15,63,78,125,110,15,79,2970,1
32,31,110,79,78,110,78,78,78,15,78,93,16,32,31,94,2738,1
62,15,16,78,125,94,47,93,172,15,63,78,125,94,15,79,2846,1
281,78,78,235,94,157,156,110,156,47,125,109,62,63,16,94,5096,1
16,63,78,78,109,47,79,62,203,31,109,31,343,156,32,93,4137,1
47,15,78,235,109,0,156,110,156,47,125,109,62,93,16,94,5517,1
187,15,63,94,78,157,31,62,78,47,78,109,110,32,31,78,3534,1
15,31,47,62,79,78,47,62,156,63,125,78,156,62,16,94,3531,1
16,15,63,94,63,719,31,62,78,47,78,109,110,94,31,78,4454,1
31,32,93,110,62,157,656,63,32,78,79,766,15,47,62,47,5333,1
15,16,78,62,63,15,78,141,110,15,93,832,32,15,62,31,4297,1
157,31,93,110,125,738,656,63,32,78,79,766,15,31,62,47,7947,1
16,62,63,78,78,78,31,62,63,93,63,78,94,15,15,78,4015,1
15,15,110,93,219,63,63,62,63,94,62,78,32,78,31,78,3294,1
47,594,63,78,234,78,31,62,63,93,63,78,94,78,15,78,4452,1
16,140,94,125,78,140,94,78,94,94,203,94,78,94,78,78,5954,1
16,109,93,78,93,93,172,79,265,78,110,156,16,94,813,125,5530,1
16,15,94,125,172,78,94,78,94,94,203,94,78,125,78,78,5998,1
16,109,94,94,94,94,109,94,94,125,78,78,125,78,47,78,4670,1
16,16,110,78,94,94,63,109,94,78,78,109,63,78,47,94,3172,1
47,31,94,94,94,110,109,94,94,125,78,78,125,94,47,78,4016,1
157,16,141,390,110,109,46,985,203,62,141,47,359,125,110,109,6223,1
129,94,172,31,187,94,94,109,16,110,78,157,15,344,313,391,6904,1
125,110,141,390,140,125,46,985,203,62,141,47,359,391,110,109,7576,1
296,109,94,156,93,141,78,234,234,63,157,109,63,62,203,140,4641,1
94,63,94,62,125,78,78,78,156,47,109,141,140,32,63,109,4392,1
93,62,94,156,94,110,78,234,234,63,157,109,63,109,203,140,5392,1
16,125,62,110,110,204,297,235,297,31,141,93,109,344,32,109,5689,1
32,16,94,94,141,125,78,94,172,31,140,78,15,62,62,94,4655,1
141,31,62,110,109,156,297,235,297,31,141,93,109,94,32,109,7678,1
