@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,10,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,34,35,36,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,62,109,94,78,94,94,31,78,47,109,63,1
62,32,62,32,62,79,110,78,93,93,62,94,63,1
63,78,94,109,94,78,94,94,31,63,47,109,63,1
109,16,78,313,391,47,62,47,32,62,31,63,15,1
78,16,93,16,47,62,47,63,94,16,47,32,46,1
32,62,78,313,391,47,62,47,32,46,31,63,15,1
78,594,62,109,219,94,63,93,63,63,79,171,63,1
63,31,62,62,63,47,47,109,47,62,63,46,63,1
78,110,47,109,219,94,63,93,63,63,79,171,63,1
119,47,94,172,266,93,109,31,94,63,94,31,78,1
94,93,78,15,78,47,110,47,78,16,94,78,78,1
15,94,93,172,266,93,109,31,94,78,94,31,78,1
78,78,78,141,281,63,93,156,47,16,47,94,47,1
47,78,63,47,78,62,16,78,47,328,63,141,31,1
235,47,62,141,281,63,93,156,47,31,47,94,47,1
79,125,94,94,94,94,78,63,78,78,63,31,62,1
94,16,62,16,62,47,78,62,63,78,78,63,78,1
78,31,63,94,94,94,78,63,78,78,63,31,62,1
109,78,94,172,125,62,141,78,157,109,125,16,109,1
125,188,16,16,78,93,94,94,62,109,78,47,124,1
93,16,31,172,125,62,141,78,157,124,125,16,109,1
94,47,94,16,94,78,16,79,62,15,16,110,31,1
110,94,63,78,94,62,78,32,141,15,78,16,78,1
31,94,16,16,94,78,16,79,62,78,16,110,31,1
62,63,94,16,125,78,94,31,47,16,94,15,78,1
62,16,62,32,62,47,94,16,109,391,62,32,62,1
16,94,62,16,125,78,94,31,47,62,94,15,78,1
94,62,109,63,78,93,94,78,109,94,78,16,94,1
110,15,93,31,78,79,75,86,93,62,93,16,109,1
109,16,62,63,78,93,94,78,109,109,78,16,94,1
78,31,63,62,156,78,31,141,62,62,78,32,93,1
94,31,79,63,31,78,15,94,109,93,31,78,47,1
94,16,78,62,156,78,31,141,62,47,78,32,93,1
47,93,47,63,78,93,172,15,63,110,63,15,79,1
78,32,94,15,79,78,78,15,78,32,47,31,94,1
16,62,78,63,78,93,172,15,63,94,63,15,79,1
47,281,94,156,235,110,156,47,125,63,62,16,94,1
250,16,94,15,78,62,203,31,109,156,62,32,93,1
78,47,63,156,235,110,156,47,125,93,62,16,94,1
78,187,78,62,94,62,78,47,78,32,94,31,78,1
110,15,78,47,62,62,156,63,125,62,125,16,94,1
94,16,94,62,94,62,78,47,78,94,94,31,78,1
109,31,94,32,110,63,32,78,79,47,15,62,47,1
63,15,93,15,62,141,110,15,93,15,15,62,31,1
94,157,63,32,110,63,32,78,79,31,15,62,47,1
78,16,78,15,78,62,63,93,63,15,110,15,78,1
94,15,204,15,93,62,63,94,62,78,94,31,78,1
94,47,78,15,78,62,63,93,63,78,110,15,78,1
93,16,78,78,125,78,94,94,203,94,78,78,78,1
250,16,110,16,78,79,265,78,110,94,109,813,125,1
140,16,172,78,125,78,94,94,203,125,78,78,78,1
562,16,78,0,94,94,94,125,78,78,93,47,78,1
93,16,109,78,78,109,94,78,78,78,78,47,94,1
156,47,79,0,94,94,94,125,78,94,93,47,78,1
125,157,93,265,390,985,203,62,141,125,78,110,109,1
38,129,594,250,31,109,16,110,78,344,156,313,391,1
16,125,219,265,390,985,203,62,141,391,78,110,109,1
94,296,141,78,156,234,234,63,157,62,94,203,140,1
78,94,128,16,62,78,156,47,109,32,78,63,109,1
125,93,110,78,156,234,234,63,157,109,94,203,140,1
141,16,94,391,110,235,297,31,141,344,93,32,109,1
93,32,93,47,94,94,172,31,140,62,94,62,94,1
234,141,79,391,110,235,297,31,141,94,93,32,109,1
62,32,78,15,109,94,109,16,31,15,62,32,78,1
63,15,79,63,31,62,94,47,94,62,63,47,94,1
