@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,5,6,7,8,9,14,16,17,18,21,24,25,26,29,30,33,34,35,36,37,38,39,40,43'

@attribute dtfk1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,78,109,94,94,78,62,94,78,94,78,141,94,94,109,63,1
62,62,32,62,94,94,93,47,78,125,94,47,110,78,94,63,1
63,78,109,94,78,94,62,94,93,94,93,141,94,94,109,63,1
109,62,313,391,391,62,79,15,94,62,31,16,62,47,63,15,1
78,62,16,47,516,32,437,63,78,94,94,32,47,63,32,46,1
32,62,313,391,484,62,250,78,90,62,437,16,62,47,63,15,1
78,78,109,219,219,63,79,46,78,125,109,63,63,93,171,63,1
63,47,62,63,62,94,93,47,63,109,78,62,47,109,46,63,1
78,78,109,219,62,94,62,16,79,63,93,63,63,93,171,63,1
119,78,172,266,266,94,78,157,94,312,114,594,109,31,31,78,1
94,78,15,78,0,78,31,94,63,94,109,94,110,47,78,78,1
15,78,172,266,0,78,78,16,62,109,31,594,109,31,31,78,1
78,63,141,281,281,47,62,94,125,31,234,47,93,156,94,47,1
47,47,47,78,0,47,94,93,187,32,94,78,16,78,141,31,1
235,63,141,281,0,109,78,47,63,0,94,47,93,156,94,47,1
79,78,94,94,94,78,78,78,63,125,93,78,78,63,31,62,1
94,78,16,62,47,78,79,187,62,94,78,47,78,62,63,78,1
78,78,94,94,78,78,78,47,78,46,79,78,78,63,31,62,1
109,63,172,125,125,125,16,47,94,94,94,16,141,78,16,109,1
125,109,16,78,156,125,47,31,109,78,94,94,94,94,47,124,1
93,63,172,125,156,172,78,47,78,109,47,16,141,78,16,109,1
94,93,16,94,94,31,31,94,4,80,16,15,16,79,110,31,1
110,110,78,94,532,32,62,141,172,16,141,62,78,32,16,78,1
31,93,16,94,563,32,31,78,72,593,62,15,16,79,110,31,1
62,62,16,125,125,16,78,16,78,78,94,15,94,31,15,78,1
62,78,32,62,0,47,31,47,63,78,62,46,94,16,32,62,1
16,62,16,125,93,78,94,31,77,703,31,15,94,31,15,78,1
94,78,63,78,78,78,78,16,109,79,109,31,94,78,16,94,1
110,109,31,78,156,266,109,16,93,78,94,62,75,86,16,109,1
109,78,63,78,94,109,109,16,110,110,109,31,94,78,16,94,1
78,62,62,156,156,78,78,204,140,16,31,219,31,141,32,93,1
94,250,63,31,0,79,63,31,31,141,94,78,15,94,78,47,1
94,62,62,156,0,141,62,32,78,63,63,219,31,141,32,93,1
47,16,63,78,78,31,62,63,78,94,125,47,172,15,15,79,1
78,110,15,79,0,78,110,15,62,110,109,78,78,15,31,94,1
16,16,63,78,125,125,78,16,78,94,110,47,172,15,15,79,1
47,78,156,235,235,94,78,47,78,157,94,156,156,47,16,94,1
250,78,15,78,94,109,16,109,62,47,267,79,203,31,32,93,1
78,78,156,235,0,109,78,110,78,0,16,156,156,47,16,94,1
78,63,62,94,94,78,62,16,78,157,156,31,78,47,31,78,1
110,47,47,62,94,79,203,265,62,78,94,47,156,63,16,94,1
94,63,62,94,78,63,32,15,110,719,203,31,78,47,31,78,1
109,93,32,110,110,62,78,16,79,157,16,656,32,78,62,47,1
63,78,15,62,640,63,47,94,16,15,62,78,110,15,62,31,1
94,93,32,110,0,125,703,16,62,738,47,656,32,78,62,47,1
78,63,15,78,78,78,63,94,94,78,78,31,63,93,15,78,1
94,110,15,93,47,219,79,78,15,63,46,63,63,94,31,78,1
94,63,15,78,94,234,141,15,78,78,79,31,63,93,15,78,1
93,94,78,125,125,78,125,109,94,140,891,94,94,94,78,78,1
250,93,16,78,0,93,141,93,47,93,63,172,265,78,813,125,1
140,94,78,125,891,172,94,78,156,78,141,94,94,94,78,78,1
562,94,0,94,94,94,78,15,94,94,234,109,94,125,47,78,1
93,110,78,78,94,94,78,31,62,94,32,63,94,78,47,94,1
156,94,0,94,94,94,47,31,78,110,78,109,94,125,47,78,1
125,141,265,390,390,110,15,93,109,109,141,46,203,62,110,109,1
38,172,250,31,0,187,94,125,94,94,235,94,16,110,313,391,1
16,141,265,390,0,140,141,187,94,125,94,46,203,62,110,109,1
94,94,78,156,156,93,109,31,94,141,78,78,234,63,203,140,1
78,94,16,62,0,125,94,94,641,78,94,78,156,47,63,109,1
125,94,78,156,125,94,125,62,94,110,94,78,234,63,203,140,1
141,62,391,110,110,110,78,109,125,204,172,297,297,31,32,109,1
93,94,47,94,125,141,16,125,125,125,15,78,172,31,62,94,1
234,62,391,110,0,109,125,188,94,156,16,297,297,31,32,109,1
62,63,15,109,109,62,46,47,63,93,188,94,109,16,32,78,1
63,78,63,31,0,62,78,63,93,110,94,78,94,47,47,94,1
78,63,15,109,125,63,62,16,78,125,78,94,109,16,32,78,1
141,118,53,91,91,144,31,78,125,125,125,156,110,94,15,125,1
109,110,15,63,78,94,219,16,16,94,109,79,94,125,15,109,1
125,118,53,91,94,125,156,16,171,125,219,156,110,94,15,125,1
94,94,15,63,63,63,62,32,31,93,109,78,63,109,47,16,1
78,78,79,62,515,78,78,31,15,47,94,63,78,79,16,79,1
140,94,15,63,94,79,110,172,110,78,78,78,63,109,47,16,1
125,109,63,78,78,47,46,16,125,78,78,265,141,46,15,63,1
172,94,31,94,78,203,172,116,63,141,62,31,156,47,47,46,1
94,109,63,78,62,110,32,31,94,62,172,265,141,46,15,63,1
78,78,156,141,141,125,78,16,109,110,140,47,94,125,78,62,1
203,78,16,62,172,94,109,63,78,94,15,63,78,110,31,63,1
78,78,156,141,125,125,94,15,63,93,109,47,94,125,78,62,1
62,63,47,62,62,62,62,110,78,110,79,78,79,140,16,62,1
78,62,32,93,78,62,94,203,78,156,125,47,109,94,47,78,1
63,63,47,62,63,78,78,31,63,78,94,78,79,140,16,62,1
94,78,250,328,328,172,47,78,422,47,172,62,140,234,31,94,1
313,46,79,31,0,172,140,235,359,515,282,62,16,93,281,79,1
78,78,250,328,0,172,109,141,94,125,140,62,140,234,31,94,1
93,78,234,94,94,94,63,218,79,109,78,78,63,140,219,78,1
63,62,188,62,93,109,78,250,93,47,125,62,78,140,204,62,1
62,78,234,94,141,109,78,375,62,78,78,78,63,140,219,78,1
93,62,110,250,250,63,125,46,187,266,344,78,125,47,78,63,1
78,78,31,78,125,63,78,16,62,516,16,63,125,15,16,78,1
31,62,110,250,844,31,109,32,94,78,78,78,125,47,78,63,1
156,109,32,171,171,109,63,62,156,78,78,31,156,47,31,125,1
62,94,93,47,110,109,94,109,93,16,78,63,78,47,15,94,1
47,109,32,171,94,125,62,125,125,0,94,31,156,47,31,125,1
125,93,94,78,78,63,141,0,78,94,203,141,94,78,32,62,1
187,78,31,63,0,94,94,63,93,94,31,234,110,93,31,78,1
78,93,94,78,94,63,109,16,79,110,94,141,94,78,32,62,1
125,109,250,78,78,78,125,140,62,125,78,94,47,156,94,78,1
110,78,219,93,94,78,62,328,109,141,141,93,78,109,125,93,1
94,109,250,78,93,94,94,187,109,94,62,94,47,156,94,78,1
63,63,93,156,156,63,78,125,141,47,141,78,78,31,31,63,1
62,47,16,47,0,656,62,125,78,78,16,62,140,0,31,78,1
78,63,93,156,0,94,94,31,78,703,62,78,78,31,31,63,1
109,47,391,438,438,46,78,31,110,140,109,94,109,125,0,94,1
94,78,141,78,0,46,31,78,63,109,110,63,125,31,31,94,1
78,47,391,438,0,94,110,31,0,94,31,94,109,125,0,94,1
125,93,485,594,594,140,78,141,125,109,125,47,47,62,32,93,1
93,109,47,78,125,141,32,110,78,110,109,62,125,62,47,93,1
156,93,485,594,234,109,125,78,109,94,32,47,47,62,32,93,1
62,31,125,63,63,79,62,32,78,78,78,63,78,78,79,78,1
172,79,46,47,47,94,78,15,78,63,125,62,78,94,63,78,1
62,31,125,63,46,94,62,16,62,79,78,63,78,78,79,78,1
93,79,128,225,225,110,63,47,15,140,203,47,78,63,47,94,1
78,78,47,62,609,0,79,93,109,47,78,78,79,78,62,47,1
78,79,128,225,0,141,94,31,47,109,79,47,78,63,47,94,1
63,93,63,140,140,109,63,578,78,125,78,47,78,94,63,62,1
62,79,62,78,125,109,94,78,94,94,93,47,78,125,31,94,1
62,93,63,140,47,94,125,453,63,766,94,47,78,94,63,62,1
78,40,271,380,380,125,47,16,94,94,172,47,125,32,16,78,1
62,78,32,78,0,125,62,31,78,94,125,63,312,63,31,79,1
63,40,271,380,125,94,62,0,76,922,62,47,125,32,16,78,1
78,78,140,79,79,93,47,141,62,125,47,125,63,93,110,78,1
63,63,94,62,94,125,78,78,78,125,156,62,78,110,47,78,1
63,78,140,79,78,125,63,125,47,78,78,125,63,93,110,78,1
126,109,31,172,172,156,94,16,109,109,187,0,140,47,32,78,1
125,125,15,78,110,156,31,63,94,125,0,93,829,31,31,109,1
141,109,31,172,172,157,94,78,94,141,31,0,140,47,32,78,1
62,63,78,62,62,94,78,31,93,94,93,32,78,94,62,63,1
94,78,61,52,78,188,63,62,47,297,0,78,62,110,47,78,1
94,63,78,62,79,78,94,47,109,62,63,32,78,94,62,63,1
125,93,188,78,78,94,110,31,109,31,250,78,78,110,32,125,1
156,78,0,78,0,109,156,31,78,141,16,78,62,94,235,125,1
109,93,188,78,0,94,156,16,78,78,156,78,78,110,32,125,1
125,47,109,203,203,62,31,63,47,297,125,16,157,31,16,62,1
47,344,94,0,1469,31,0,62,125,32,141,78,0,47,31,94,1
16,47,109,203,141,125,125,719,78,0,0,16,157,31,16,62,1
141,78,203,78,78,88,78,344,78,94,94,234,94,140,109,94,1
109,62,157,78,62,78,78,172,109,125,156,281,94,172,125,93,1
110,78,203,78,1109,250,94,203,78,88,78,234,94,140,109,94,1
156,78,79,110,110,110,78,16,94,62,16,63,63,47,109,78,1
15,15,94,31,141,94,16,78,46,32,16,31,16,78,109,16,1
63,78,79,110,438,31,625,32,93,0,16,63,63,47,109,78,1
156,187,109,157,157,94,110,94,218,16,203,94,94,203,15,94,1
125,78,141,47,172,172,125,125,297,47,157,93,16,141,63,93,1
250,187,109,157,94,110,141,140,110,0,125,94,94,203,15,94,1
125,94,125,125,125,125,109,63,78,157,125,94,125,94,62,79,1
141,94,47,109,109,171,110,140,109,125,16,47,156,47,94,94,1
109,94,125,125,125,141,125,110,110,94,110,94,125,94,62,79,1
78,78,125,94,94,98,78,109,94,109,110,93,78,110,62,94,1
109,94,31,78,94,78,110,15,94,125,109,78,94,93,109,63,1
78,78,125,94,110,78,93,0,94,78,110,93,78,110,62,94,1
93,94,47,156,156,140,94,31,141,93,203,15,250,31,0,109,1
94,125,0,63,110,187,62,109,94,94,16,62,125,93,0,125,1
250,94,47,156,125,140,141,15,94,109,62,15,250,31,0,109,1
125,78,16,141,141,125,78,63,140,47,157,47,62,140,62,156,1
78,78,78,63,0,125,78,78,172,47,79,78,78,93,31,78,1
78,78,16,141,187,94,140,63,78,0,78,47,62,140,62,156,1
93,297,16,203,203,137,125,16,78,109,125,157,94,78,31,110,1
172,93,32,78,156,137,109,0,94,94,46,110,109,63,15,78,1
62,297,16,203,0,140,47,16,78,94,109,157,94,78,31,110,1
94,110,109,203,203,109,125,47,110,93,468,156,109,63,47,78,1
500,125,47,62,0,109,46,109,110,94,15,79,78,110,31,94,1
93,110,109,203,0,125,141,31,78,109,46,156,109,63,47,78,1
156,109,31,78,78,31,15,47,78,78,16,94,47,125,78,16,1
78,31,156,16,531,31,47,79,31,47,32,31,94,0,62,0,1
78,109,31,78,671,31,78,32,16,0,47,94,47,125,78,16,1
110,110,31,125,125,125,63,125,203,32,125,125,47,141,93,47,1
47,16,110,94,0,125,0,16,16,47,47,47,0,93,63,93,1
32,110,31,125,657,15,250,78,94,78,0,125,47,141,93,47,1
94,63,172,78,78,78,78,79,63,203,78,40,47,125,79,62,1
78,79,62,63,78,47,94,93,78,125,62,47,78,109,141,62,1
63,63,172,78,62,78,78,140,74,67,94,40,47,125,79,62,1
78,109,79,109,109,78,47,234,110,156,94,141,140,16,16,62,2
78,125,63,62,0,141,94,109,78,187,110,78,109,16,16,78,2
78,109,79,109,0,94,125,109,63,78,94,141,140,16,16,62,2
375,94,156,250,250,141,109,62,109,78,235,156,94,62,47,110,2
94,47,47,62,0,141,47,125,78,125,47,63,79,78,31,78,2
171,94,156,250,62,94,63,15,109,78,47,156,94,62,47,110,2
109,94,141,250,250,47,62,47,47,31,94,63,32,141,31,78,2
63,78,172,16,0,47,47,125,94,31,47,15,31,94,31,110,2
32,94,141,250,906,47,94,203,91,875,47,63,32,141,31,78,2
62,78,31,109,109,63,62,32,62,110,94,16,218,47,46,63,2
47,62,16,47,0,94,31,47,62,94,94,62,94,15,47,47,2
63,78,31,109,0,94,125,78,62,78,31,16,218,47,46,63,2
172,94,31,140,140,62,93,16,94,110,94,125,62,94,78,62,2
219,94,62,78,0,62,31,109,94,203,32,78,94,109,63,78,2
140,94,31,140,109,78,109,16,62,79,31,125,62,94,78,62,2
57,90,63,80,80,110,89,36,79,96,141,47,69,111,69,61,2
192,78,31,78,70,65,89,24,94,94,406,58,78,94,63,78,2
74,90,63,80,73,103,11,73,47,94,89,47,69,111,69,61,2
110,109,63,172,172,109,79,78,109,156,63,110,156,63,78,125,2
94,156,16,78,0,109,109,94,110,109,110,78,110,47,172,125,2
187,109,63,172,0,109,93,172,141,125,109,110,156,63,78,125,2
93,93,32,187,187,78,63,31,78,94,78,16,94,78,16,93,2
125,62,16,62,110,78,47,117,94,47,15,47,94,31,46,125,2
78,93,32,187,109,63,63,15,94,47,47,16,94,78,16,93,2
62,78,219,62,62,47,63,109,94,109,94,547,79,125,47,78,2
62,62,63,78,63,78,79,125,63,109,78,31,93,110,62,63,2
31,78,219,62,47,109,94,219,63,94,79,547,79,125,47,78,2
109,125,63,109,109,125,94,0,94,78,125,63,78,93,31,78,2
94,94,31,110,78,187,16,62,109,78,125,78,109,110,31,94,2
125,125,63,109,93,110,94,31,94,93,16,63,78,93,31,78,2
93,94,31,79,79,140,78,16,110,78,94,31,125,62,16,78,2
94,78,32,78,98,124,62,94,94,62,78,63,79,93,32,62,2
79,94,31,79,94,125,78,16,78,78,62,31,125,62,16,78,2
94,79,15,140,140,90,109,0,110,93,140,47,94,94,16,78,2
94,78,32,94,0,93,31,140,78,63,0,63,78,94,16,94,2
62,79,15,140,0,125,62,31,109,78,31,47,94,94,16,78,2
63,47,62,78,78,79,62,16,156,156,78,94,63,109,31,47,2
63,93,47,63,125,141,110,62,78,125,125,32,62,125,47,62,2
203,47,62,78,79,110,62,16,47,63,110,94,63,109,31,47,2
140,94,62,172,172,100,94,46,94,109,93,78,141,62,47,62,2
125,93,32,78,94,110,16,141,94,109,94,47,109,31,62,79,2
31,94,62,172,78,125,79,15,516,94,16,78,141,62,47,62,2
63,62,63,78,78,79,63,78,78,94,124,109,78,93,47,62,2
78,63,78,63,63,62,78,125,63,125,62,62,78,94,62,63,2
94,62,63,78,47,63,62,78,78,843,78,109,78,93,47,62,2
109,78,47,125,125,47,93,16,78,16,94,15,47,63,0,31,2
47,16,93,32,484,47,609,47,16,63,93,31,31,62,94,16,2
94,78,47,125,0,62,31,78,78,0,609,15,47,63,0,31,2
94,62,157,78,78,62,79,78,94,109,266,141,79,78,31,79,2
94,93,0,94,109,78,125,141,110,93,47,94,78,110,94,94,2
110,62,157,78,47,94,140,63,79,78,125,141,79,78,31,79,2
94,63,94,78,78,63,63,62,63,109,110,156,78,94,78,63,2
94,62,63,62,63,78,62,94,78,125,109,63,63,109,62,47,2
63,63,94,78,63,47,63,47,62,78,62,156,78,94,78,63,2
78,156,0,78,78,180,63,16,266,47,141,78,31,109,31,63,2
94,15,78,47,141,187,62,47,156,63,165,94,15,125,0,63,2
47,156,0,78,0,172,125,94,31,1312,62,78,31,109,31,63,2
62,78,62,109,109,125,94,141,110,125,94,63,141,0,32,93,2
78,47,78,31,110,125,78,78,156,15,62,94,63,172,93,78,2
78,78,62,109,0,94,78,47,63,109,78,63,141,0,32,93,2
