@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,5,6,7,8,9,13,14,16,17,18,20,21,23,24,25,26,27,28,29,30,34,35,38,39,40,41,42,43'

@attribute dtfk1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute dtfk8 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute gender {1,2}

@data
47,78,109,94,78,62,78,94,94,31,79,78,1
62,62,32,62,94,93,78,110,78,93,156,93,1
63,78,109,94,94,62,93,94,94,31,79,63,1
109,62,313,391,62,79,94,62,47,32,78,62,1
78,62,16,47,32,437,78,47,63,94,16,16,1
32,62,313,391,62,250,90,62,47,32,78,46,1
78,78,109,219,63,79,78,63,93,63,78,63,1
63,47,62,63,94,93,63,47,109,47,16,62,1
78,78,109,219,94,62,79,63,93,63,78,63,1
119,78,172,266,94,78,94,109,31,94,78,63,1
94,78,15,78,78,31,63,110,47,78,63,16,1
15,78,172,266,78,78,62,109,31,94,78,78,1
78,63,141,281,47,62,125,93,156,47,16,16,1
47,47,47,78,47,94,187,16,78,47,156,328,1
235,63,141,281,109,78,63,93,156,47,16,31,1
79,78,94,94,78,78,63,78,63,78,78,78,1
94,78,16,62,78,79,62,78,62,63,79,78,1
78,78,94,94,78,78,78,78,63,78,78,78,1
109,63,172,125,125,16,94,141,78,157,78,109,1
125,109,16,78,125,47,109,94,94,62,47,109,1
93,63,172,125,172,78,78,141,78,157,78,124,1
94,93,16,94,31,31,4,16,79,62,78,15,1
110,110,78,94,32,62,172,78,32,141,125,15,1
31,93,16,94,32,31,72,16,79,62,78,78,1
62,62,16,125,16,78,78,94,31,47,94,16,1
62,78,32,62,47,31,63,94,16,109,94,391,1
16,62,16,125,78,94,77,94,31,47,94,62,1
94,78,63,78,78,78,109,94,78,109,109,94,1
110,109,31,78,266,109,93,75,86,93,47,62,1
109,78,63,78,109,109,110,94,78,109,109,109,1
78,62,62,156,78,78,140,31,141,62,484,62,1
94,250,63,31,79,63,31,15,94,109,62,93,1
94,62,62,156,141,62,78,31,141,62,484,47,1
47,16,63,78,31,62,78,172,15,63,125,110,1
78,110,15,79,78,110,62,78,15,78,16,32,1
16,16,63,78,125,78,78,172,15,63,125,94,1
47,78,156,235,94,78,78,156,47,125,62,63,1
250,78,15,78,109,16,62,203,31,109,343,156,1
78,78,156,235,109,78,78,156,47,125,62,93,1
78,63,62,94,78,62,78,78,47,78,110,32,1
110,47,47,62,79,203,62,156,63,125,156,62,1
94,63,62,94,63,32,110,78,47,78,110,94,1
109,93,32,110,62,78,79,32,78,79,15,47,1
63,78,15,62,63,47,16,110,15,93,32,15,1
94,93,32,110,125,703,62,32,78,79,15,31,1
78,63,15,78,78,63,94,63,93,63,94,15,1
94,110,15,93,219,79,15,63,94,62,32,78,1
94,63,15,78,234,141,78,63,93,63,94,78,1
