@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,8,9,13,15,16,17,18,19,21,22,23,24,25,26,27,28,33,34,37,38,39,40,41,42,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute ft7 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute gender {1,2}

@data
31,62,78,109,94,156,94,78,78,94,94,31,79,1
32,62,62,32,62,125,47,62,79,110,78,78,156,1
78,94,78,109,94,140,94,78,78,94,94,31,79,1
16,78,62,313,391,47,15,62,47,62,47,234,78,1
16,93,62,16,47,578,63,63,62,47,63,172,16,1
62,78,62,313,391,79,78,62,47,62,47,234,78,1
594,62,78,109,219,15,46,62,94,63,93,16,78,1
31,62,47,62,63,47,47,94,47,47,109,62,16,1
110,47,78,109,219,32,16,62,94,63,93,16,78,1
47,94,78,172,266,47,157,63,93,109,31,31,78,1
93,78,78,15,78,31,94,78,47,110,47,78,63,1
94,93,78,172,266,16,16,63,93,109,31,31,78,1
78,78,63,141,281,47,94,78,63,93,156,93,16,1
78,63,47,47,78,47,93,63,62,16,78,94,156,1
47,62,63,141,281,31,47,78,63,93,156,93,16,1
125,94,78,94,94,312,78,78,94,78,63,78,78,1
16,62,78,16,62,188,187,78,47,78,62,46,79,1
31,63,78,94,94,172,47,78,94,78,63,78,78,1
78,94,63,172,125,156,47,79,62,141,78,16,78,1
188,16,109,16,78,109,31,78,93,94,94,62,47,1
16,31,63,172,125,547,47,79,62,141,78,16,78,1
47,94,93,16,94,47,94,47,78,16,79,31,78,1
94,63,110,78,94,625,141,63,62,78,32,47,125,1
94,16,93,16,94,656,78,47,78,16,79,31,78,1
63,94,62,16,125,32,16,47,78,94,31,16,94,1
16,62,78,32,62,16,47,63,47,94,16,109,94,1
94,62,62,16,125,16,31,47,78,94,31,16,94,1
62,109,78,63,78,94,16,63,93,94,78,31,109,1
15,93,109,31,78,141,16,78,79,75,86,93,47,1
16,62,78,63,78,78,16,63,93,94,78,31,109,1
31,63,62,62,156,32,204,78,78,31,141,94,484,1
31,79,250,63,31,15,31,47,78,15,94,78,62,1
16,78,62,62,156,47,32,78,78,31,141,94,484,1
93,47,16,63,78,156,63,47,93,172,15,16,125,1
32,94,110,15,79,16,15,79,78,78,15,94,16,1
62,78,16,63,78,16,16,47,93,172,15,16,125,1
281,94,78,156,235,31,47,94,110,156,47,125,62,1
16,94,78,15,78,125,109,78,62,203,31,141,343,1
47,63,78,156,235,46,110,94,110,156,47,125,62,1
187,78,63,62,94,141,16,94,62,78,47,156,110,1
15,78,47,47,62,109,265,110,62,156,63,94,156,1
16,94,63,62,94,94,15,94,62,78,47,156,110,1
31,94,93,32,110,62,16,47,63,32,78,782,15,1
15,93,78,15,62,703,94,63,141,110,15,62,32,1
157,63,93,32,110,15,16,47,63,32,78,782,15,1
16,78,63,15,78,94,94,79,62,63,93,0,94,1
15,204,110,15,93,125,78,78,62,63,94,93,32,1
47,78,63,15,78,125,15,79,62,63,93,0,94,1
16,78,94,78,125,94,109,156,78,94,94,78,78,1
16,110,93,16,78,62,93,62,79,265,78,109,16,1
16,172,94,78,125,93,78,156,78,94,94,78,78,1
16,78,94,0,94,109,15,62,94,94,125,594,125,1
16,109,110,78,78,78,31,78,109,94,78,78,63,1
47,79,94,0,94,78,31,62,94,94,125,594,125,1
157,93,141,265,390,63,93,125,985,203,62,172,359,1
129,594,172,250,31,15,125,172,109,16,110,282,15,1
125,219,141,265,390,46,187,125,985,203,62,172,359,1
296,141,94,78,156,63,31,63,234,234,63,94,63,1
94,128,94,16,62,78,94,94,78,156,47,78,140,1
93,110,94,78,156,62,62,63,234,234,63,94,63,1
16,94,62,391,110,15,109,78,235,297,31,282,109,1
32,93,94,47,94,15,125,94,94,172,31,141,15,1
141,79,62,391,110,15,188,78,235,297,31,282,109,1
32,78,63,15,109,16,47,47,94,109,16,47,125,1
15,79,78,63,31,15,63,63,62,94,47,78,110,1
63,63,63,15,109,16,16,47,94,109,16,47,125,1
15,102,118,53,91,259,78,47,78,110,94,343,125,1
188,16,110,15,63,172,16,78,93,94,125,125,250,1
15,16,118,53,91,223,16,47,78,110,94,343,125,1
31,78,94,15,63,62,32,15,79,63,109,16,62,1
16,156,78,79,62,63,31,62,125,78,79,172,15,1
31,46,94,15,63,62,172,15,79,63,109,16,62,1
62,63,109,63,78,125,16,79,78,141,46,32,109,1
16,62,94,31,94,125,116,62,79,156,47,46,219,1
31,63,109,63,78,125,31,79,78,141,46,32,109,1
62,78,78,156,141,16,16,63,94,94,125,16,94,1
31,32,78,16,62,15,63,93,79,78,110,93,32,1
47,94,78,156,141,109,15,63,94,94,125,16,94,1
32,47,63,47,62,141,110,62,79,79,140,15,78,1
47,78,62,32,93,157,203,109,47,109,94,47,78,1
125,78,63,47,62,140,31,62,79,79,140,15,78,1
141,47,78,250,328,62,78,78,344,140,234,125,78,1
109,141,46,79,31,62,235,78,78,16,93,78,62,1
78,125,78,250,328,63,141,78,344,140,234,125,78,1
282,78,78,234,94,47,218,78,78,63,140,828,78,1
297,78,62,188,62,63,250,94,62,78,140,62,344,1
797,47,78,234,94,203,375,78,78,63,140,828,78,1
32,94,62,110,250,63,46,78,63,125,47,32,93,1
16,62,78,31,78,16,16,93,63,125,15,93,547,1
172,0,62,110,250,938,32,78,63,125,47,32,93,1
0,93,109,32,171,16,62,47,375,156,47,16,78,1
16,63,94,93,47,31,109,78,78,78,47,109,0,1
31,63,109,32,171,31,125,47,375,156,47,16,78,1
15,78,93,94,78,203,0,109,63,94,78,16,78,1
16,94,78,31,63,0,63,328,110,110,93,93,32,1
31,78,93,94,78,171,16,109,63,94,78,16,78,1
172,109,109,250,78,110,140,78,110,47,156,265,94,1
359,78,78,219,93,78,328,94,63,78,109,94,140,1
313,63,109,250,78,250,187,78,110,47,156,265,94,1
94,47,63,93,156,31,125,56,73,78,31,15,110,1
16,63,47,16,47,594,125,78,63,140,0,110,62,1
31,78,63,93,156,16,31,56,73,78,31,15,110,1
16,109,47,391,438,31,31,31,78,109,125,16,78,1
0,78,78,141,78,32,78,62,78,125,31,94,78,1
109,94,47,391,438,31,31,31,78,109,125,16,78,1
31,125,93,485,594,47,141,78,78,47,62,16,93,1
16,78,109,47,78,31,110,94,62,125,62,78,94,1
16,62,93,485,594,16,78,78,78,47,62,16,93,1
63,47,31,125,63,171,32,47,93,78,78,172,78,1
15,78,79,46,47,31,15,78,63,78,94,62,47,1
0,78,31,125,63,47,16,47,93,78,78,172,78,1
547,172,79,128,225,40,47,62,109,78,63,15,62,1
16,109,78,47,62,734,93,78,78,79,78,94,78,1
78,78,79,128,225,47,31,62,109,78,63,15,62,1
15,63,93,63,140,188,578,94,141,78,94,78,62,1
78,94,79,62,78,207,78,78,63,78,125,110,78,1
31,94,93,63,140,687,453,94,141,78,94,78,62,1
47,78,40,271,380,47,16,62,63,125,32,15,78,1
31,78,78,32,78,47,31,62,63,312,63,94,141,1
0,62,40,271,380,140,0,62,63,125,32,15,78,1
94,78,78,140,79,250,141,47,63,63,93,125,62,1
47,63,63,94,62,125,78,78,63,78,110,62,78,1
78,62,78,140,79,172,125,47,63,63,93,125,62,1
31,78,109,31,172,31,16,93,453,140,47,46,79,1
46,109,125,15,78,125,63,110,78,829,31,78,110,1
0,93,109,31,172,93,78,93,453,140,47,46,79,1
78,78,63,78,62,94,31,62,110,78,94,0,78,1
0,47,78,61,52,94,62,78,63,62,110,94,15,1
47,94,63,78,62,78,47,62,110,78,94,0,78,1
16,78,93,188,78,31,31,63,62,78,110,125,110,1
16,109,78,0,78,31,31,47,63,62,94,94,235,1
31,78,93,188,78,0,16,63,62,78,110,125,110,1
16,125,47,109,203,47,63,62,94,157,31,31,47,1
78,31,344,94,0,140,62,78,78,0,47,156,16,1
79,31,47,109,203,15,719,62,94,157,31,31,47,1
62,94,78,203,78,249,344,79,93,94,140,47,109,1
63,109,62,157,78,204,172,63,93,94,172,94,110,1
0,407,78,203,78,63,203,79,93,94,140,47,109,1
47,140,78,79,110,15,16,78,79,63,47,31,63,1
63,93,15,94,31,0,78,78,63,16,78,109,31,1
15,110,78,79,110,125,32,78,79,63,47,31,63,1
16,109,187,109,157,156,94,109,63,94,203,157,171,1
110,94,78,141,47,0,125,110,62,16,141,172,78,1
110,93,187,109,157,156,140,109,63,94,203,157,171,1
93,94,94,125,125,78,63,62,94,125,94,110,93,1
78,94,94,47,109,32,140,93,78,156,47,94,453,1
16,93,94,125,125,47,110,62,94,125,94,110,93,1
63,63,78,125,94,219,109,63,78,78,110,46,63,1
32,62,94,31,78,187,15,109,47,94,93,63,109,1
78,63,78,125,94,234,0,63,78,78,110,46,63,1
47,171,94,47,156,32,31,141,94,250,31,16,114,1
16,110,125,0,63,78,109,110,93,125,93,93,110,1
0,109,94,47,156,79,15,141,94,250,31,16,114,1
15,78,78,16,141,62,63,47,63,62,140,78,16,1
15,125,78,78,63,15,78,109,63,78,93,109,187,1
31,78,78,16,141,0,63,47,63,62,140,78,16,1
47,109,297,16,203,15,16,62,125,94,78,94,78,1
16,94,93,32,78,16,0,93,79,109,63,78,109,1
110,94,297,16,203,47,16,62,125,94,78,94,78,1
78,109,110,109,203,78,47,78,125,109,63,110,93,1
15,109,125,47,62,15,109,62,94,78,110,94,172,1
375,110,110,109,203,47,31,78,125,109,63,110,93,1
47,141,109,31,78,32,47,16,62,47,125,47,63,1
156,47,31,156,16,625,79,94,62,94,0,109,31,1
156,31,109,31,78,193,32,16,62,47,125,47,63,1
15,141,110,31,125,31,125,47,93,47,141,16,63,1
31,94,16,110,94,0,16,93,79,0,93,78,156,1
62,203,110,31,125,720,78,47,93,47,141,16,63,1
62,63,63,172,78,31,79,60,106,47,125,94,62,1
47,63,79,62,63,250,93,78,31,78,109,176,13,1
62,62,63,172,78,188,140,60,106,47,125,94,62,1
78,109,109,79,109,31,234,62,109,140,16,203,63,2
47,93,125,63,62,31,109,78,63,109,16,63,94,2
16,78,109,79,109,16,109,62,109,140,16,203,63,2
16,62,94,156,250,31,62,63,62,94,62,47,78,2
31,63,47,47,62,32,125,62,63,79,78,62,266,2
63,94,94,156,250,94,15,63,62,94,62,47,78,2
47,78,94,141,250,47,47,62,78,32,141,78,16,2
15,94,78,172,16,47,125,63,78,31,94,63,125,2
93,62,94,141,250,1000,203,62,78,32,141,78,16,2
16,62,78,31,109,31,32,188,359,218,47,47,62,2
359,63,62,16,47,15,47,63,94,94,15,156,16,2
78,78,78,31,109,31,78,188,359,218,47,47,62,2
437,78,94,31,140,31,16,63,109,62,94,94,109,2
15,94,94,62,78,16,109,78,63,94,109,78,78,2
110,94,94,31,140,16,16,63,109,62,94,94,109,2
4369,69,90,63,80,442,36,78,78,69,111,78,109,2
4,98,78,31,78,411,24,68,150,78,94,62,141,2
6,79,90,63,80,185,73,78,78,69,111,78,109,2
156,94,109,63,172,47,78,250,78,156,63,47,125,2
15,78,156,16,78,31,94,78,63,110,47,94,62,2
78,78,109,63,172,15,172,250,78,156,63,47,125,2
32,63,93,32,187,0,31,94,78,94,78,15,78,2
32,94,62,16,62,31,117,47,63,94,31,172,15,2
78,78,93,32,187,47,15,94,78,94,78,15,78,2
141,63,78,219,62,31,109,63,1015,79,125,203,62,2
78,47,62,63,78,94,125,828,62,93,110,62,485,2
109,47,78,219,62,78,219,63,1015,79,125,203,62,2
125,78,125,63,109,47,0,78,109,78,93,47,78,2
16,78,94,31,110,78,62,78,78,109,110,94,62,2
0,94,125,63,109,78,31,78,109,78,93,47,78,2
47,110,94,31,79,31,16,62,79,125,62,15,94,2
16,62,78,32,78,59,94,78,93,79,93,78,0,2
31,46,94,31,79,31,16,62,79,125,62,15,94,2
31,79,79,15,140,47,0,63,78,94,94,0,78,2
0,62,78,32,94,16,140,78,78,78,94,78,31,2
16,62,79,15,140,63,31,63,78,94,94,0,78,2
343,46,47,62,78,125,16,62,156,63,109,234,31,2
0,47,93,47,63,62,62,125,47,62,125,63,94,2
47,62,47,62,78,46,16,62,156,63,109,234,31,2
31,109,94,62,172,15,46,47,62,141,62,109,94,2
32,94,93,32,78,46,141,94,46,109,31,78,47,2
109,63,94,62,172,94,15,47,62,141,62,109,94,2
78,62,62,63,78,62,78,62,94,78,93,78,62,2
62,62,63,78,63,125,125,78,63,78,94,93,78,2
78,62,62,63,78,125,78,62,94,78,93,78,62,2
47,31,78,47,125,47,16,78,78,47,63,110,62,2
16,78,16,93,32,500,47,63,78,31,62,109,62,2
