@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,20,21,22,23,24,27,30,33,34,36,42,43'

@attribute dtfk4 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
78,110,62,62,94,94,141,78,94,94,31,78,63,94,47,109,1
62,62,79,93,94,78,47,62,110,78,78,93,47,78,62,94,1
78,62,94,62,63,94,141,78,94,94,31,63,140,47,47,109,1
62,16,78,79,453,94,16,62,62,47,234,62,125,16,31,63,1
62,125,16,437,15,31,32,63,47,63,172,16,78,94,47,32,1
62,47,15,250,640,63,16,62,62,47,234,46,32,62,31,63,1
78,125,63,79,94,16,63,62,63,93,16,63,62,78,79,171,1
47,62,47,93,94,78,62,94,47,109,62,62,63,78,63,46,1
78,78,94,62,78,47,63,62,63,93,16,63,266,109,79,171,1
78,63,94,78,79,46,594,63,109,31,31,63,78,15,94,31,1
78,63,844,31,63,47,94,78,110,47,78,16,109,78,94,78,1
78,31,63,78,844,62,594,63,109,31,31,78,47,110,94,31,1
63,187,47,62,47,140,47,78,93,156,93,16,78,94,47,94,1
47,94,62,94,47,94,78,63,16,78,94,328,62,47,63,141,1
63,15,47,78,1062,94,47,78,93,156,93,31,62,328,47,94,1
78,93,94,78,94,94,78,78,78,63,78,78,125,63,63,31,1
78,78,94,79,125,94,47,78,78,62,46,78,47,78,78,63,1
78,63,125,78,94,15,78,78,78,63,78,78,218,79,63,31,1
63,62,125,16,94,93,16,79,141,78,16,109,16,94,125,16,1
109,78,110,47,93,94,94,78,94,94,62,109,32,78,78,47,1
63,79,93,78,0,78,16,79,141,78,16,124,16,78,125,16,1
93,62,110,31,562,640,15,47,16,79,31,15,78,32,16,110,1
110,141,47,62,47,109,62,63,78,32,47,15,125,15,78,16,1
93,31,47,31,703,734,15,47,16,79,31,78,31,109,16,110,1
62,31,62,78,0,31,15,47,94,31,16,16,63,31,94,15,1
78,140,32,31,62,32,46,63,94,16,109,391,78,15,62,32,1
62,16,62,94,1312,1375,15,47,94,31,16,62,16,62,94,15,1
78,94,110,78,94,94,31,63,94,78,31,94,78,78,78,16,1
109,63,109,109,110,62,62,78,75,86,93,62,47,78,93,16,1
78,93,110,109,78,172,31,63,94,78,31,109,63,78,78,16,1
62,16,94,78,125,109,219,78,31,141,94,62,47,78,78,32,1
250,78,157,63,16,78,78,47,15,94,78,93,32,78,31,78,1
62,113,16,62,62,78,219,78,31,141,94,47,63,31,78,32,1
16,31,78,62,94,63,47,47,172,15,16,110,125,93,63,15,1
110,79,15,110,94,31,78,79,78,15,94,32,63,47,47,31,1
16,16,94,78,0,31,47,47,172,15,16,94,63,93,63,15,1
78,188,250,78,78,94,156,94,156,47,125,63,47,265,62,16,1
78,62,141,16,43,173,79,78,203,31,141,156,32,93,62,32,1
78,85,43,78,1063,1172,156,94,156,47,125,93,32,78,62,16,1
63,32,110,62,78,109,31,94,78,47,156,32,79,78,94,31,1
47,63,62,203,16,94,47,110,156,63,94,62,78,78,125,16,1
63,109,16,32,812,63,31,94,78,47,156,94,31,63,94,31,1
93,62,63,78,562,94,656,47,32,78,782,47,125,16,15,62,1
78,62,141,47,16,31,78,63,110,15,62,15,78,15,15,62,1
93,31,16,703,719,812,656,47,32,78,782,31,109,16,15,62,1
63,109,94,63,703,109,31,79,63,93,0,15,94,469,110,15,1
110,47,94,79,94,63,63,78,63,94,93,78,156,78,94,31,1
63,62,94,141,859,78,31,79,63,93,0,78,32,109,110,15,1
94,141,250,125,906,94,94,156,94,94,78,94,63,109,78,78,1
93,78,94,141,93,266,172,62,265,78,109,94,703,62,109,813,1
94,141,93,94,1078,78,94,156,94,94,78,125,31,110,78,78,1
94,157,93,78,94,109,109,62,94,125,594,78,47,78,93,47,1
110,78,94,78,47,109,63,78,94,78,78,78,31,78,78,47,1
94,94,47,47,62,94,109,62,94,125,594,94,172,94,93,47,1
141,78,38,15,78,94,46,125,203,62,172,125,94,141,78,110,1
172,94,140,94,31,78,94,172,16,110,282,344,406,16,156,313,1
141,125,31,141,1312,109,46,125,203,62,172,391,31,109,78,110,1
94,63,78,109,78,78,78,63,234,63,94,62,125,94,94,203,1
94,78,94,94,94,62,78,94,156,47,78,32,93,47,78,63,1
94,94,94,125,797,94,78,63,234,63,94,109,156,63,94,203,1
