@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,10,13,14,16,17,18,21,22,23,24,26,27,28,33,35,36,37,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,31,63,62,78,109,94,78,62,94,94,78,78,94,94,109,63,94,109,1
62,32,78,62,62,32,62,94,93,47,94,62,79,110,78,125,47,78,94,1
63,78,94,94,32,109,94,94,62,94,63,78,78,94,94,109,140,47,109,1
109,16,109,78,62,313,391,62,79,15,453,62,47,62,47,94,125,16,63,1
78,16,15,93,62,16,47,32,437,63,15,63,62,47,63,94,78,94,32,1
32,62,79,78,50,313,391,62,250,78,640,62,47,62,47,94,32,62,63,1
78,594,62,62,78,109,219,63,79,46,94,62,94,63,93,78,62,78,171,1
63,31,453,62,78,62,63,94,93,47,94,94,47,47,109,94,63,78,46,1
78,110,62,47,47,109,219,94,62,16,78,62,94,63,93,78,266,109,171,1
119,47,156,94,78,172,266,94,78,157,79,63,93,109,31,94,78,15,31,1
94,93,125,78,93,15,78,78,31,94,63,78,47,110,47,172,109,78,78,1
15,94,187,93,94,172,266,78,78,16,844,63,93,109,31,94,47,110,31,1
78,78,94,78,63,141,281,47,62,94,47,78,63,93,156,15,78,94,94,1
47,78,156,63,32,47,78,47,94,93,47,63,62,16,78,32,62,47,141,1
235,47,141,62,63,141,281,109,78,47,1062,78,63,93,156,15,62,328,94,1
79,125,109,94,78,94,94,78,78,78,94,78,94,78,63,62,125,63,31,1
94,16,141,62,94,16,62,78,79,187,125,78,47,78,62,204,47,78,63,1
78,31,47,63,63,94,94,78,78,47,94,78,94,78,63,62,218,79,31,1
109,78,125,94,63,172,125,125,16,47,94,79,62,141,78,203,16,94,16,1
125,188,94,16,47,16,78,125,47,31,93,78,93,94,94,79,32,78,47,1
93,16,125,31,15,172,125,172,78,47,0,79,62,141,78,203,16,78,16,1
94,47,141,94,93,16,94,31,31,94,562,47,78,16,79,672,78,32,110,1
