@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,5,6,8,9,10,12,13,14,15,16,18,21,22,23,24,25,27,30,33,34,35,36,37,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute ft6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,63,63,62,109,110,62,94,94,141,78,94,94,63,94,47,109,1
62,93,78,62,32,62,93,47,78,47,62,110,78,47,78,62,94,1
63,93,94,94,109,62,62,94,94,141,78,94,94,140,47,47,109,1
109,109,109,78,313,16,79,15,94,16,62,62,47,125,16,31,63,1
78,78,15,93,16,125,437,63,31,32,63,47,63,78,94,47,32,1
32,16,79,78,313,47,250,78,63,16,62,62,47,32,62,31,63,1
78,62,62,62,109,125,79,46,16,63,62,63,93,62,78,79,171,1
63,63,453,62,62,62,93,47,78,62,94,47,109,63,78,63,46,1
78,62,62,47,109,78,62,16,47,63,62,63,93,266,109,79,171,1
119,156,156,94,172,63,78,157,46,594,63,109,31,78,15,94,31,1
94,94,125,78,15,63,31,94,47,94,78,110,47,109,78,94,78,1
15,16,187,93,172,31,78,16,62,594,63,109,31,47,110,94,31,1
78,94,94,78,141,187,62,94,140,47,78,93,156,78,94,47,94,1
47,78,156,63,47,94,94,93,94,78,63,16,78,62,47,63,141,1
235,328,141,62,141,15,78,47,94,47,78,93,156,62,328,47,94,1
79,109,109,94,94,93,78,78,94,78,78,78,63,125,63,63,31,1
94,78,141,62,16,78,79,187,94,47,78,78,62,47,78,78,63,1
78,78,47,63,94,63,78,47,15,78,78,78,63,218,79,63,31,1
109,125,125,94,172,62,16,47,93,16,79,141,78,16,94,125,16,1
125,47,94,16,16,78,47,31,94,94,78,94,94,32,78,78,47,1
93,109,125,31,172,79,78,47,78,16,79,141,78,16,78,125,16,1
94,141,141,94,16,62,31,94,640,15,47,16,79,78,32,16,110,1
110,15,47,63,78,141,62,141,109,62,63,78,32,125,15,78,16,1
31,15,47,16,16,31,31,78,734,15,47,16,79,31,109,16,110,1
62,125,125,94,16,31,78,16,31,15,47,94,31,63,31,94,15,1
62,78,78,62,32,140,31,47,32,46,63,94,16,78,15,62,32,1
16,391,109,62,16,16,94,31,1375,15,47,94,31,16,62,94,15,1
94,110,110,109,63,94,78,16,94,31,63,94,78,78,78,78,16,1
110,78,109,93,31,63,109,16,62,62,78,75,86,47,78,93,16,1
109,62,78,62,63,93,109,16,172,31,63,94,78,63,78,78,16,1
78,157,157,63,62,16,78,204,109,219,78,31,141,47,78,78,32,1
94,94,187,79,63,78,63,31,78,78,47,15,94,32,78,31,78,1
94,93,62,78,62,113,62,32,78,219,78,31,141,63,31,78,32,1
47,63,63,47,63,31,62,63,63,47,47,172,15,125,93,63,15,1
78,110,141,94,15,79,110,15,31,78,79,78,15,63,47,47,31,1
16,32,203,78,63,16,78,16,31,47,47,172,15,63,93,63,15,1
47,125,125,94,156,188,78,47,94,156,94,156,47,47,265,62,16,1
250,125,156,94,15,62,16,109,173,79,78,203,31,32,93,62,32,1
78,156,63,63,156,85,78,110,1172,156,94,156,47,32,78,62,16,1
78,94,94,78,62,32,62,16,109,31,94,78,47,79,78,94,31,1
110,78,93,78,47,63,203,265,94,47,110,156,63,78,78,125,16,1
94,62,78,94,62,109,32,15,63,31,94,78,47,31,63,94,31,1
109,109,109,94,32,62,78,16,94,656,47,32,78,125,16,15,62,1
63,78,16,93,15,62,47,94,31,78,63,110,15,78,15,15,62,1
