@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,5,6,8,9,10,12,13,14,15,16,17,21,22,23,24,26,27,30,33,36,37,39,40,43'

@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
31,63,62,109,62,62,94,94,141,78,94,94,109,31,63,109,63,1
32,78,62,32,79,93,47,94,47,62,110,78,125,78,47,94,63,1
78,94,94,109,94,62,94,63,141,78,94,94,109,31,140,109,63,1
16,109,78,313,78,79,15,453,16,62,62,47,94,234,125,63,15,1
16,15,93,16,16,437,63,15,32,63,47,63,94,172,78,32,46,1
62,79,78,313,15,250,78,640,16,62,62,47,94,234,32,63,15,1
594,62,62,109,63,79,46,94,63,62,63,93,78,16,62,171,63,1
31,453,62,62,47,93,47,94,62,94,47,109,94,62,63,46,63,1
110,62,47,109,94,62,16,78,63,62,63,93,78,16,266,171,63,1
47,156,94,172,94,78,157,79,594,63,109,31,94,31,78,31,78,1
93,125,78,15,844,31,94,63,94,78,110,47,172,78,109,78,78,1
94,187,93,172,63,78,16,844,594,63,109,31,94,31,47,31,78,1
78,94,78,141,47,62,94,47,47,78,93,156,15,93,78,94,47,1
78,156,63,47,62,94,93,47,78,63,16,78,32,94,62,141,31,1
47,141,62,141,47,78,47,1062,47,78,93,156,15,93,62,94,47,1
125,109,94,94,94,78,78,94,78,78,78,63,62,78,125,31,62,1
16,141,62,16,94,79,187,125,47,78,78,62,204,46,47,63,78,1
31,47,63,94,125,78,47,94,78,78,78,63,62,78,218,31,62,1
78,125,94,172,125,16,47,94,16,79,141,78,203,16,16,16,109,1
188,94,16,16,110,47,31,93,94,78,94,94,79,62,32,47,124,1
16,125,31,172,93,78,47,0,16,79,141,78,203,16,16,16,109,1
47,141,94,16,110,31,94,562,15,47,16,79,672,31,78,110,31,1
94,47,63,78,47,62,141,47,62,63,78,32,671,47,125,16,78,1
94,47,16,16,47,31,78,703,15,47,16,79,672,31,31,110,31,1
63,125,94,16,62,78,16,0,15,47,94,31,93,16,63,15,78,1
16,78,62,32,32,31,47,62,46,63,94,16,78,109,78,32,62,1
94,109,62,16,62,94,31,1312,15,47,94,31,93,16,16,15,78,1
62,110,109,63,110,78,16,94,31,63,94,78,94,31,78,16,94,1
15,109,93,31,109,109,16,110,62,78,75,86,78,93,47,16,109,1
16,78,62,63,110,109,16,78,31,63,94,78,94,31,63,16,94,1
31,157,63,62,94,78,204,125,219,78,31,141,15,94,47,32,93,1
31,187,79,63,157,63,31,16,78,47,15,94,125,78,32,78,47,1
16,62,78,62,16,62,32,62,219,78,31,141,15,94,63,32,93,1
93,63,47,63,78,62,63,94,47,47,172,15,78,16,125,15,79,1
32,141,94,15,15,110,15,94,78,79,78,15,93,94,63,31,94,1
62,203,78,63,94,78,16,0,47,47,172,15,78,16,63,15,79,1
281,125,94,156,250,78,47,78,156,94,156,47,109,125,47,16,94,1
16,156,94,15,141,16,109,43,79,78,203,31,31,141,32,32,93,1
47,63,63,156,43,78,110,1063,156,94,156,47,109,125,32,16,94,1
187,94,78,62,110,62,16,78,31,94,78,47,109,156,79,31,78,1
15,93,78,47,62,203,265,16,47,110,156,63,78,94,78,16,94,1
16,78,94,62,16,32,15,812,31,94,78,47,109,156,31,31,78,1
31,109,94,32,63,78,16,562,656,47,32,78,766,782,125,62,47,1
15,16,93,15,141,47,94,16,78,63,110,15,832,62,78,62,31,1
157,46,63,32,16,703,16,719,656,47,32,78,766,782,109,62,47,1
16,93,78,15,94,63,94,703,31,79,63,93,78,0,94,15,78,1
15,93,204,15,94,79,78,94,63,78,63,94,78,93,156,31,78,1
47,78,78,15,94,141,15,859,31,79,63,93,78,0,32,15,78,1
16,94,78,78,250,125,109,906,94,156,94,94,94,78,63,78,78,1
16,172,110,16,94,141,93,93,172,62,265,78,156,109,703,813,125,1
16,93,172,78,93,94,78,1078,94,156,94,94,94,78,31,78,78,1
16,78,78,0,93,78,15,94,109,62,94,125,78,594,47,47,78,1
16,125,109,78,94,78,31,47,63,78,94,78,109,78,31,47,94,1
47,94,79,0,47,47,31,62,109,62,94,125,78,594,172,47,78,1
157,109,93,265,38,15,93,78,46,125,203,62,47,172,94,110,109,1
