@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,5,6,8,9,10,12,15,16,18,20,22,23,24,26,27,30,31,32,33,34,36,37,42,43'

@attribute dtfk1 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute dtfk7 numeric
@attribute dtsk7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,62,109,94,156,110,62,94,94,141,78,31,63,94,47,109,1
62,62,32,94,125,62,93,78,94,47,62,78,47,78,62,94,1
63,94,109,78,140,62,62,78,63,141,78,31,140,47,47,109,1
109,78,313,391,47,16,79,78,453,16,62,234,125,16,31,63,1
78,93,16,516,578,125,437,62,15,32,63,172,78,94,47,32,1
32,78,313,484,79,47,250,47,640,16,62,234,32,62,31,63,1
78,62,109,219,15,125,79,47,94,63,62,16,62,78,79,171,1
63,62,62,62,47,62,93,63,94,62,94,62,63,78,63,46,1
78,47,109,62,32,78,62,78,78,63,62,16,266,109,79,171,1
119,94,172,266,47,63,78,93,79,594,63,31,78,15,94,31,1
94,78,15,0,31,63,31,63,63,94,78,78,109,78,94,78,1
15,93,172,0,16,31,78,93,844,594,63,31,47,110,94,31,1
78,78,141,281,47,187,62,62,47,47,78,93,78,94,47,94,1
47,63,47,0,47,94,94,16,47,78,63,94,62,47,63,141,1
235,62,141,0,31,15,78,78,1062,47,78,93,62,328,47,94,1
79,94,94,94,312,93,78,63,94,78,78,78,125,63,63,31,1
94,62,16,47,188,78,79,78,125,47,78,46,47,78,78,63,1
78,63,94,78,172,63,78,78,94,78,78,78,218,79,63,31,1
109,94,172,125,156,62,16,31,94,16,79,16,16,94,125,16,1
125,16,16,156,109,78,47,109,93,94,78,62,32,78,78,47,1
93,31,172,156,547,79,78,125,0,16,79,16,16,78,125,16,1
94,94,16,94,47,62,31,16,562,15,47,31,78,32,16,110,1
110,63,78,532,625,141,62,15,47,62,63,47,125,15,78,16,1
31,16,16,563,656,31,31,16,703,15,47,31,31,109,16,110,1
62,94,16,125,32,31,78,62,0,15,47,16,63,31,94,15,1
62,62,32,0,16,140,31,16,62,46,63,109,78,15,62,32,1
16,62,16,93,16,16,94,93,1312,15,47,16,16,62,94,15,1
94,109,63,78,94,94,78,62,94,31,63,31,78,78,78,16,1
110,93,31,156,141,63,109,94,110,62,78,93,47,78,93,16,1
109,62,63,94,78,93,109,62,78,31,63,31,63,78,78,16,1
78,63,62,156,32,16,78,78,125,219,78,94,47,78,78,32,1
94,79,63,0,15,78,63,62,16,78,47,78,32,78,31,78,1
94,78,62,0,47,113,62,78,62,219,78,94,63,31,78,32,1
47,47,63,78,156,31,62,78,94,47,47,16,125,93,63,15,1
78,94,15,0,16,79,110,110,94,78,79,94,63,47,47,31,1
16,78,63,125,16,16,78,78,0,47,47,16,63,93,63,15,1
47,94,156,235,31,188,78,63,78,156,94,125,47,265,62,16,1
250,94,15,94,125,62,16,63,43,79,78,141,32,93,62,32,1
78,63,156,0,46,85,78,93,1063,156,94,125,32,78,62,16,1
78,78,62,94,141,32,62,94,78,31,94,156,79,78,94,31,1
110,78,47,94,109,63,203,32,16,47,110,94,78,78,125,16,1
94,94,62,78,94,109,32,93,812,31,94,156,31,63,94,31,1
109,94,32,110,62,62,78,63,562,656,47,782,125,16,15,62,1
63,93,15,640,703,62,47,47,16,78,63,62,78,15,15,62,1
94,63,32,0,15,31,703,47,719,656,47,782,109,16,15,62,1
78,78,15,78,94,109,63,78,703,31,79,0,94,469,110,15,1
94,204,15,47,125,47,79,15,94,63,78,93,156,78,94,31,1
94,78,15,94,125,62,141,62,859,31,79,0,32,109,110,15,1
93,78,78,125,94,141,125,172,906,94,156,78,63,109,78,78,1
250,110,16,0,62,78,141,94,93,172,62,109,703,62,109,813,1
140,172,78,891,93,141,94,78,1078,94,156,78,31,110,78,78,1
562,78,0,94,109,157,78,79,94,109,62,594,47,78,93,47,1
93,109,78,94,78,78,78,78,47,63,78,78,31,78,78,47,1
156,79,0,94,78,94,47,78,62,109,62,594,172,94,93,47,1
125,93,265,390,63,78,15,219,78,46,125,172,94,141,78,110,1
38,594,250,0,15,94,94,125,31,94,172,282,406,16,156,313,1
16,219,265,0,46,125,141,94,1312,46,125,172,31,109,78,110,1
94,141,78,156,63,63,109,110,78,78,63,94,125,94,94,203,1
78,128,16,0,78,78,94,62,94,78,94,78,93,47,78,63,1
125,110,78,125,62,94,125,109,797,78,63,94,156,63,94,203,1
