@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,5,6,8,9,10,12,13,14,15,16,17,20,21,22,23,24,26,27,28,33,34,36,38,39,40,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,63,63,62,109,62,62,94,78,78,94,94,31,78,109,1
62,93,78,62,32,79,93,94,62,79,110,78,78,93,94,1
63,93,94,94,109,94,62,63,78,78,94,94,31,63,109,1
109,109,109,78,313,78,79,453,62,47,62,47,234,62,63,1
78,78,15,93,16,16,437,15,63,62,47,63,172,16,32,1
32,16,79,78,313,15,250,640,62,47,62,47,234,46,63,1
78,62,62,62,109,63,79,94,62,94,63,93,16,63,171,1
63,63,453,62,62,47,93,94,94,47,47,109,62,62,46,1
78,62,62,47,109,94,62,78,62,94,63,93,16,63,171,1
119,156,156,94,172,94,78,79,63,93,109,31,31,63,31,1
94,94,125,78,15,844,31,63,78,47,110,47,78,16,78,1
15,16,187,93,172,63,78,844,63,93,109,31,31,78,31,1
78,94,94,78,141,47,62,47,78,63,93,156,93,16,94,1
47,78,156,63,47,62,94,47,63,62,16,78,94,328,141,1
235,328,141,62,141,47,78,1062,78,63,93,156,93,31,94,1
79,109,109,94,94,94,78,94,78,94,78,63,78,78,31,1
94,78,141,62,16,94,79,125,78,47,78,62,46,78,63,1
78,78,47,63,94,125,78,94,78,94,78,63,78,78,31,1
109,125,125,94,172,125,16,94,79,62,141,78,16,109,16,1
125,47,94,16,16,110,47,93,78,93,94,94,62,109,47,1
93,109,125,31,172,93,78,0,79,62,141,78,16,124,16,1
94,141,141,94,16,110,31,562,47,78,16,79,31,15,110,1
110,15,47,63,78,47,62,47,63,62,78,32,47,15,16,1
31,15,47,16,16,47,31,703,47,78,16,79,31,78,110,1
62,125,125,94,16,62,78,0,47,78,94,31,16,16,15,1
62,78,78,62,32,32,31,62,63,47,94,16,109,391,32,1
16,391,109,62,16,62,94,1312,47,78,94,31,16,62,15,1
94,110,110,109,63,110,78,94,63,93,94,78,31,94,16,1
110,78,109,93,31,109,109,110,78,79,75,86,93,62,16,1
109,62,78,62,63,110,109,78,63,93,94,78,31,109,16,1
78,157,157,63,62,94,78,125,78,78,31,141,94,62,32,1
94,94,187,79,63,157,63,16,47,78,15,94,78,93,78,1
94,93,62,78,62,16,62,62,78,78,31,141,94,47,32,1
47,63,63,47,63,78,62,94,47,93,172,15,16,110,15,1
78,110,141,94,15,15,110,94,79,78,78,15,94,32,31,1
16,32,203,78,63,94,78,0,47,93,172,15,16,94,15,1
47,125,125,94,156,250,78,78,94,110,156,47,125,63,16,1
250,125,156,94,15,141,16,43,78,62,203,31,141,156,32,1
78,156,63,63,156,43,78,1063,94,110,156,47,125,93,16,1
78,94,94,78,62,110,62,78,94,62,78,47,156,32,31,1
110,78,93,78,47,62,203,16,110,62,156,63,94,62,16,1
94,62,78,94,62,16,32,812,94,62,78,47,156,94,31,1
109,109,109,94,32,63,78,562,47,63,32,78,782,47,62,1
63,78,16,93,15,141,47,16,63,141,110,15,62,15,62,1
94,15,46,63,32,16,703,719,47,63,32,78,782,31,62,1
78,93,93,78,15,94,63,703,79,62,63,93,0,15,15,1
94,94,93,204,15,94,79,94,78,62,63,94,93,78,31,1
94,78,78,78,15,94,141,859,79,62,63,93,0,78,15,1
93,94,94,78,78,250,125,906,156,78,94,94,78,94,78,1
250,125,172,110,16,94,141,93,62,79,265,78,109,94,813,1
