@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,5,6,8,10,12,13,16,17,18,19,21,22,23,24,26,27,28,30,33,34,35,37,38,40,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,63,63,62,78,109,156,78,94,94,78,94,94,79,94,109,1
62,93,78,62,62,32,125,94,47,94,62,110,78,156,78,94,1
63,93,94,94,32,109,140,94,94,63,78,94,94,79,47,109,1
109,109,109,78,62,313,47,62,15,453,62,62,47,78,16,63,1
78,78,15,93,62,16,578,32,63,15,63,47,63,16,94,32,1
32,16,79,78,50,313,79,62,78,640,62,62,47,78,62,63,1
78,62,62,62,78,109,15,63,46,94,62,63,93,78,78,171,1
63,63,453,62,78,62,47,94,47,94,94,47,109,16,78,46,1
78,62,62,47,47,109,32,94,16,78,62,63,93,78,109,171,1
119,156,156,94,78,172,47,94,157,79,63,109,31,78,15,31,1
94,94,125,78,93,15,31,78,94,63,78,110,47,63,78,78,1
15,16,187,93,94,172,16,78,16,844,63,109,31,78,110,31,1
78,94,94,78,63,141,47,47,94,47,78,93,156,16,94,94,1
47,78,156,63,32,47,47,47,93,47,63,16,78,156,47,141,1
235,328,141,62,63,141,31,109,47,1062,78,93,156,16,328,94,1
79,109,109,94,78,94,312,78,78,94,78,78,63,78,63,31,1
94,78,141,62,94,16,188,78,187,125,78,78,62,79,78,63,1
78,78,47,63,63,94,172,78,47,94,78,78,63,78,79,31,1
109,125,125,94,63,172,156,125,47,94,79,141,78,78,94,16,1
125,47,94,16,47,16,109,125,31,93,78,94,94,47,78,47,1
93,109,125,31,15,172,547,172,47,0,79,141,78,78,78,16,1
94,141,141,94,93,16,47,31,94,562,47,16,79,78,32,110,1
110,15,47,63,16,78,625,32,141,47,63,78,32,125,15,16,1
31,15,47,16,31,16,656,32,78,703,47,16,79,78,109,110,1
62,125,125,94,62,16,32,16,16,0,47,94,31,94,31,15,1
62,78,78,62,110,32,16,47,47,62,63,94,16,94,15,32,1
16,391,109,62,62,16,16,78,31,1312,47,94,31,94,62,15,1
94,110,110,109,78,63,94,78,16,94,63,94,78,109,78,16,1
110,78,109,93,78,31,141,266,16,110,78,75,86,47,78,16,1
109,62,78,62,94,63,78,109,16,78,63,94,78,109,78,16,1
78,157,157,63,62,62,32,78,204,125,78,31,141,484,78,32,1
94,94,187,79,109,63,15,79,31,16,47,15,94,62,78,78,1
