@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,5,6,7,8,12,13,14,15,16,17,18,20,21,22,23,24,27,30,33,34,35,36,39,42,43'

@attribute dtfk1 numeric
@attribute dtfk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,63,78,78,109,62,94,94,141,78,94,94,78,63,47,109,1
62,78,62,62,32,93,94,78,47,62,110,78,93,47,62,94,1
63,94,32,78,109,62,63,94,141,78,94,94,63,140,47,109,1
109,109,62,62,313,79,453,94,16,62,62,47,62,125,31,63,1
78,15,62,62,16,437,15,31,32,63,47,63,16,78,47,32,1
32,79,50,62,313,250,640,63,16,62,62,47,46,32,31,63,1
78,62,78,78,109,79,94,16,63,62,63,93,63,62,79,171,1
63,453,78,47,62,93,94,78,62,94,47,109,62,63,63,46,1
78,62,47,78,109,62,78,47,63,62,63,93,63,266,79,171,1
119,156,78,78,172,78,79,46,594,63,109,31,63,78,94,31,1
94,125,93,78,15,31,63,47,94,78,110,47,16,109,94,78,1
15,187,94,78,172,78,844,62,594,63,109,31,78,47,94,31,1
78,94,63,63,141,62,47,140,47,78,93,156,16,78,47,94,1
47,156,32,47,47,94,47,94,78,63,16,78,328,62,63,141,1
235,141,63,63,141,78,1062,94,47,78,93,156,31,62,47,94,1
79,109,78,78,94,78,94,94,78,78,78,63,78,125,63,31,1
94,141,94,78,16,79,125,94,47,78,78,62,78,47,78,63,1
78,47,63,78,94,78,94,15,78,78,78,63,78,218,63,31,1
109,125,63,63,172,16,94,93,16,79,141,78,109,16,125,16,1
125,94,47,109,16,47,93,94,94,78,94,94,109,32,78,47,1
93,125,15,63,172,78,0,78,16,79,141,78,124,16,125,16,1
94,141,93,93,16,31,562,640,15,47,16,79,15,78,16,110,1
110,47,16,110,78,62,47,109,62,63,78,32,15,125,78,16,1
31,47,31,93,16,31,703,734,15,47,16,79,78,31,16,110,1
62,125,62,62,16,78,0,31,15,47,94,31,16,63,94,15,1
62,78,110,78,32,31,62,32,46,63,94,16,391,78,62,32,1
16,109,62,62,16,94,1312,1375,15,47,94,31,62,16,94,15,1
