@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,12,13,14,16,17,18,20,21,22,23,24,27,28,30,33,34,35,37,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,63,62,78,78,109,78,62,94,94,78,94,94,79,63,109,63,1
62,32,78,62,62,62,32,94,93,94,78,62,110,78,156,47,94,63,1
63,78,94,94,32,78,109,94,62,63,94,78,94,94,79,140,109,63,1
109,16,109,78,62,62,313,62,79,453,94,62,62,47,78,125,63,15,1
78,16,15,93,62,62,16,32,437,15,31,63,47,63,16,78,32,46,1
32,62,79,78,50,62,313,62,250,640,63,62,62,47,78,32,63,15,1
78,594,62,62,78,78,109,63,79,94,16,62,63,93,78,62,171,63,1
63,31,453,62,78,47,62,94,93,94,78,94,47,109,16,63,46,63,1
78,110,62,47,47,78,109,94,62,78,47,62,63,93,78,266,171,63,1
119,47,156,94,78,78,172,94,78,79,46,63,109,31,78,78,31,78,1
94,93,125,78,93,78,15,78,31,63,47,78,110,47,63,109,78,78,1
15,94,187,93,94,78,172,78,78,844,62,63,109,31,78,47,31,78,1
78,78,94,78,63,63,141,47,62,47,140,78,93,156,16,78,94,47,1
47,78,156,63,32,47,47,47,94,47,94,63,16,78,156,62,141,31,1
235,47,141,62,63,63,141,109,78,1062,94,78,93,156,16,62,94,47,1
79,125,109,94,78,78,94,78,78,94,94,78,78,63,78,125,31,62,1
94,16,141,62,94,78,16,78,79,125,94,78,78,62,79,47,63,78,1
78,31,47,63,63,78,94,78,78,94,15,78,78,63,78,218,31,62,1
109,78,125,94,63,63,172,125,16,94,93,79,141,78,78,16,16,109,1
125,188,94,16,47,109,16,125,47,93,94,78,94,94,47,32,47,124,1
93,16,125,31,15,63,172,172,78,0,78,79,141,78,78,16,16,109,1
94,47,141,94,93,93,16,31,31,562,640,47,16,79,78,78,110,31,1
110,94,47,63,16,110,78,32,62,47,109,63,78,32,125,125,16,78,1
31,94,47,16,31,93,16,32,31,703,734,47,16,79,78,31,110,31,1
62,63,125,94,62,62,16,16,78,0,31,47,94,31,94,63,15,78,1
62,16,78,62,110,78,32,47,31,62,32,63,94,16,94,78,32,62,1
16,94,109,62,62,62,16,78,94,1312,1375,47,94,31,94,16,15,78,1
94,62,110,109,78,78,63,78,78,94,94,63,94,78,109,78,16,94,1
110,15,109,93,78,109,31,266,109,110,62,78,75,86,47,47,16,109,1
109,16,78,62,94,78,63,109,109,78,172,63,94,78,109,63,16,94,1
78,31,157,63,62,62,62,78,78,125,109,78,31,141,484,47,32,93,1
94,31,187,79,109,250,63,79,63,16,78,47,15,94,62,32,78,47,1
94,16,62,78,79,62,62,141,62,62,78,78,31,141,484,63,32,93,1
47,93,63,47,16,16,63,31,62,94,63,47,172,15,125,125,15,79,1
78,32,141,94,47,110,15,78,110,94,31,79,78,15,16,63,31,94,1
16,62,203,78,63,16,63,125,78,0,31,47,172,15,125,63,15,79,1
47,281,125,94,78,78,156,94,78,78,94,94,156,47,62,47,16,94,1
250,16,156,94,62,78,15,109,16,43,173,78,203,31,343,32,32,93,1
78,47,63,63,94,78,156,109,78,1063,1172,94,156,47,62,32,16,94,1
78,187,94,78,63,63,62,78,62,78,109,94,78,47,110,79,31,78,1
110,15,93,78,78,47,47,79,203,16,94,110,156,63,156,78,16,94,1
94,16,78,94,63,63,62,63,32,812,63,94,78,47,110,31,31,78,1
109,31,109,94,93,93,32,62,78,562,94,47,32,78,15,125,62,47,1
63,15,16,93,32,78,15,63,47,16,31,63,110,15,32,78,62,31,1
94,157,46,63,78,93,32,125,703,719,812,47,32,78,15,109,62,47,1
78,16,93,78,63,63,15,78,63,703,109,79,63,93,94,94,15,78,1
94,15,93,204,78,110,15,219,79,94,63,78,63,94,32,156,31,78,1
94,47,78,78,78,63,15,234,141,859,78,79,63,93,94,32,15,78,1
93,16,94,78,94,94,78,78,125,906,94,156,94,94,78,63,78,78,1
250,16,172,110,78,93,16,93,141,93,266,62,265,78,16,703,813,125,1
140,16,93,172,78,94,78,172,94,1078,78,156,94,94,78,31,78,78,1
562,16,78,78,94,94,0,94,78,94,109,62,94,125,125,47,47,78,1
93,16,125,109,62,110,78,94,78,47,109,78,94,78,63,31,47,94,1
156,47,94,79,93,94,0,94,47,62,94,62,94,125,125,172,47,78,1
125,157,109,93,141,141,265,110,15,78,94,125,203,62,359,94,110,109,1
38,129,110,594,15,172,250,187,94,31,78,172,16,110,15,406,313,391,1
16,125,78,219,15,141,265,140,141,1312,109,125,203,62,359,31,110,109,1
94,296,110,141,94,94,78,93,109,78,78,63,234,63,63,125,203,140,1
78,94,172,128,93,94,16,125,94,94,62,94,156,47,140,93,63,109,1
125,93,344,110,94,94,78,94,125,797,94,63,234,63,63,156,203,140,1
141,16,93,94,62,62,391,110,78,109,47,78,297,31,109,62,32,109,1
93,32,172,93,78,94,47,141,16,218,157,94,172,31,15,94,62,94,1
234,141,394,79,94,62,391,109,125,1172,1313,78,297,31,109,141,32,109,1
62,32,109,78,63,63,15,62,46,62,78,47,109,16,125,78,32,78,1
63,15,109,79,31,78,63,62,78,94,62,63,94,47,110,31,47,94,1
78,63,109,63,47,63,15,63,62,884,62,47,109,16,125,46,32,78,1
141,15,82,102,118,118,53,144,31,875,125,47,110,94,125,31,15,125,1
109,188,109,16,63,110,15,94,219,110,125,78,94,125,250,15,15,109,1
125,15,110,16,532,118,53,125,156,125,110,47,110,94,125,16,15,125,1
94,31,78,78,94,94,15,63,62,657,78,15,63,109,62,15,47,16,1
78,16,62,156,78,78,79,78,78,109,63,62,78,79,15,47,16,79,1
140,31,63,46,78,94,15,79,110,63,109,15,63,109,62,78,47,16,1
125,62,94,63,109,109,63,47,46,63,172,79,141,46,109,65,15,63,1
172,16,156,62,78,94,31,203,172,63,109,62,156,47,219,63,47,46,1
94,31,63,63,94,109,63,110,32,906,94,79,141,46,109,47,15,63,1
78,62,110,78,78,78,156,125,78,109,16,63,94,125,94,32,78,62,1
203,31,110,32,110,78,16,94,109,109,79,93,78,110,32,16,31,63,1
78,47,78,94,78,78,156,125,94,129,62,63,94,125,94,62,78,62,1
62,32,78,47,63,63,47,62,62,63,140,62,79,140,78,94,16,62,1
78,47,93,78,63,62,32,62,94,141,62,109,109,94,78,47,47,78,1
63,125,94,78,62,63,47,78,78,79,171,62,79,140,78,62,16,62,1
94,141,93,47,78,78,250,172,47,1078,94,78,140,234,78,125,31,94,1
