@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,36,39,40,42'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
31,62,78,78,31,78,63,109,3423,1
32,62,62,79,78,93,47,94,3295,1
78,94,78,78,31,63,140,109,3422,1
16,78,62,47,234,62,125,63,4029,1
16,93,63,62,172,16,78,32,3846,1
62,78,62,47,234,46,32,63,4828,1
594,62,62,94,16,63,62,171,3970,1
31,62,94,47,62,62,63,46,3172,1
110,47,62,94,16,63,266,171,3378,1
47,94,63,93,31,63,78,31,4577,1
93,78,78,47,78,16,109,78,3844,1
94,93,63,93,31,78,47,31,4530,1
78,78,78,63,93,16,78,94,3734,1
78,63,63,62,94,328,62,141,3222,1
47,62,78,63,93,31,62,94,4719,1
125,94,78,94,78,78,125,31,3765,1
16,62,78,47,46,78,47,63,3425,1
31,63,78,94,78,78,218,31,3281,1
78,94,79,62,16,109,16,16,3737,1
188,16,78,93,62,109,32,47,3577,1
16,31,79,62,16,124,16,16,4000,1
47,94,47,78,31,15,78,110,4273,1
94,63,63,62,47,15,125,16,4784,1
94,16,47,78,31,78,31,110,6569,1
63,94,47,78,16,16,63,15,2609,1
16,62,63,47,109,391,78,32,2828,1
94,62,47,78,16,62,16,15,6135,1
62,109,63,93,31,94,78,16,3422,1
15,93,78,79,93,62,47,16,3563,1
16,62,63,93,31,109,63,16,3358,1
31,63,78,78,94,62,47,32,4014,1
31,79,47,78,78,93,32,78,3061,1
16,78,78,78,94,47,63,32,3506,1
93,47,47,93,16,110,125,15,2970,1
32,94,79,78,94,32,63,31,2738,1
62,78,47,93,16,94,63,15,2846,1
281,94,94,110,125,63,47,16,5096,1
16,94,78,62,141,156,32,32,4137,1
47,63,94,110,125,93,32,16,5517,1
187,78,94,62,156,32,79,31,3534,1
15,78,110,62,94,62,78,16,3531,1
16,94,94,62,156,94,31,31,4454,1
31,94,47,63,782,47,125,62,5333,1
15,93,63,141,62,15,78,62,4297,1
157,63,47,63,782,31,109,62,7947,1
16,78,79,62,0,15,94,15,4015,1
15,204,78,62,93,78,156,31,3294,1
47,78,79,62,0,78,32,15,4452,1
16,78,156,78,78,94,63,78,5954,1
16,110,62,79,109,94,703,813,5530,1
16,172,156,78,78,125,31,78,5998,1
16,78,62,94,594,78,47,47,4670,1
16,109,78,109,78,78,31,47,3172,1
47,79,62,94,594,94,172,47,4016,1
157,93,125,985,172,125,94,110,6223,1
129,594,172,109,282,344,406,313,6904,1
125,219,125,985,172,391,31,110,7576,1
296,141,63,234,94,62,125,203,4641,1
94,128,94,78,78,32,93,63,4392,1
93,110,63,234,94,109,156,203,5392,1
16,94,78,235,282,344,62,32,5689,1
32,93,94,94,141,62,94,62,4655,1
141,79,78,235,282,94,141,32,7678,1
32,78,47,94,47,15,78,32,3155,1
15,79,63,62,78,62,31,47,2765,1
63,63,47,94,47,94,46,32,3729,1
15,102,47,78,343,110,31,15,5127,1
188,16,78,93,125,110,15,15,4174,1
15,16,47,78,343,109,16,15,4970,1
31,78,15,79,16,79,15,47,3312,1
16,156,62,125,172,63,47,16,3658,1
31,46,15,79,16,79,78,47,2985,1
62,63,79,78,32,41,65,15,3560,1
16,62,62,79,46,47,63,47,3641,1
31,63,79,78,32,46,47,15,4048,1
62,78,63,94,16,109,32,78,3862,1
31,32,93,79,93,78,16,31,3611,1
47,94,63,94,16,63,62,78,3614,1
32,47,62,79,15,47,94,16,3080,1
47,78,109,47,47,47,47,47,3515,1
125,78,62,79,15,78,62,16,3141,1
141,47,78,344,125,62,125,31,6577,1
109,141,78,78,78,156,16,281,5172,1
78,125,78,344,125,79,31,31,4420,1
282,78,78,78,828,78,297,219,6749,1
297,78,94,62,62,94,484,204,4935,1
797,47,78,78,828,62,375,219,6250,1
32,94,78,63,32,47,78,78,4202,1
16,62,93,63,93,0,78,16,3891,1
172,0,78,63,32,78,63,78,7094,1
0,93,47,375,16,47,78,31,3624,1
16,63,78,78,109,62,16,15,3281,1
31,63,47,375,16,94,62,31,4501,1
15,78,109,63,16,78,78,32,3703,1
16,94,328,110,93,78,32,31,3610,1
31,78,109,63,16,78,16,32,3280,1
172,109,78,110,265,63,422,94,4923,1
359,78,94,63,94,93,547,125,5672,1
313,63,78,110,265,93,203,94,4811,1
94,47,56,73,15,78,78,31,3755,1
16,63,78,63,110,31,47,31,3739,1
31,78,56,73,15,78,172,31,5098,1
16,109,31,78,16,15,78,0,4172,1
0,78,62,78,94,32,110,31,3593,1
109,94,31,78,16,94,62,0,5717,1
31,125,78,78,16,0,125,32,4935,1
16,78,94,62,78,94,15,47,3515,1
16,62,78,78,16,93,125,32,6516,1
63,47,47,93,172,63,78,79,3344,1
15,78,78,63,62,63,125,63,3125,1
0,78,47,93,172,78,62,79,2983,1
547,172,62,109,15,32,93,47,4488,1
16,109,78,78,94,78,0,62,4343,1
78,78,62,109,15,47,78,47,4134,1
15,63,94,141,78,47,109,63,3999,1
78,94,78,63,110,47,438,31,3941,1
31,94,94,141,78,94,47,63,5077,1
47,78,62,63,15,32,94,16,3507,1
31,78,62,63,94,62,32,31,3018,1
0,62,62,63,15,79,31,16,5659,1
94,78,47,63,125,63,125,110,4205,1
47,63,78,63,62,78,63,47,3438,1
78,62,47,63,125,78,78,110,3585,1
31,78,93,453,46,31,94,32,3983,1
46,109,110,78,78,62,47,31,4546,1
0,93,93,453,46,109,0,32,5156,1
78,78,62,110,0,31,79,62,3438,1
0,47,78,63,94,31,31,47,3129,1
47,94,62,110,0,78,47,62,3866,1
16,78,63,62,125,125,125,32,3953,1
16,109,47,63,94,125,0,235,3921,1
31,78,63,62,125,125,31,32,3623,1
16,125,62,94,31,156,110,16,3231,1
78,31,78,78,156,31,125,31,4361,1
79,31,62,94,31,94,0,16,4186,1
62,94,79,93,47,78,391,109,5854,1
63,109,63,93,94,78,516,125,5009,1
0,407,79,93,47,93,235,109,5833,1
47,140,78,79,31,48,5,109,3717,1
63,93,78,63,109,16,94,109,2360,1
15,110,78,79,31,16,110,109,3677,1
16,109,109,63,157,110,93,15,4960,1
110,94,110,62,172,531,140,63,5704,1
110,93,109,63,157,93,110,15,5814,1
93,94,62,94,110,94,47,62,4233,1
78,94,93,78,94,94,31,94,4563,1
16,93,62,94,110,94,78,62,4142,1
63,63,63,78,46,63,94,62,3677,1
32,62,109,47,63,63,16,109,3404,1
78,63,63,78,46,63,31,62,3484,1
47,171,141,94,16,78,109,0,4112,1
16,110,110,93,93,62,140,0,3546,1
0,109,141,94,16,125,0,0,4802,1
15,78,47,63,78,0,110,62,3298,1
15,125,109,63,109,94,15,31,3000,1
31,78,47,63,78,78,141,62,4078,1
