@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,9,10,13,14,15,16,17,18,20,21,22,23,24,25,27,30,33,34,36,37,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk7 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,63,62,109,94,62,94,141,78,94,94,31,63,47,109,63,1
62,32,78,62,32,62,93,78,47,62,110,78,78,47,62,94,63,1
63,78,94,94,109,94,62,94,141,78,94,94,31,140,47,109,63,1
109,16,109,78,313,391,79,94,16,62,62,47,234,125,31,63,15,1
78,16,15,93,16,47,437,31,32,63,47,63,172,78,47,32,46,1
32,62,79,78,313,391,250,63,16,62,62,47,234,32,31,63,15,1
78,594,62,62,109,219,79,16,63,62,63,93,16,62,79,171,63,1
63,31,453,62,62,63,93,78,62,94,47,109,62,63,63,46,63,1
78,110,62,47,109,219,62,47,63,62,63,93,16,266,79,171,63,1
119,47,156,94,172,266,78,46,594,63,109,31,31,78,94,31,78,1
94,93,125,78,15,78,31,47,94,78,110,47,78,109,94,78,78,1
15,94,187,93,172,266,78,62,594,63,109,31,31,47,94,31,78,1
78,78,94,78,141,281,62,140,47,78,93,156,93,78,47,94,47,1
47,78,156,63,47,78,94,94,78,63,16,78,94,62,63,141,31,1
235,47,141,62,141,281,78,94,47,78,93,156,93,62,47,94,47,1
79,125,109,94,94,94,78,94,78,78,78,63,78,125,63,31,62,1
94,16,141,62,16,62,79,94,47,78,78,62,46,47,78,63,78,1
78,31,47,63,94,94,78,15,78,78,78,63,78,218,63,31,62,1
109,78,125,94,172,125,16,93,16,79,141,78,16,16,125,16,109,1
125,188,94,16,16,78,47,94,94,78,94,94,62,32,78,47,124,1
93,16,125,31,172,125,78,78,16,79,141,78,16,16,125,16,109,1
94,47,141,94,16,94,31,640,15,47,16,79,31,78,16,110,31,1
110,94,47,63,78,94,62,109,62,63,78,32,47,125,78,16,78,1
31,94,47,16,16,94,31,734,15,47,16,79,31,31,16,110,31,1
62,63,125,94,16,125,78,31,15,47,94,31,16,63,94,15,78,1
62,16,78,62,32,62,31,32,46,63,94,16,109,78,62,32,62,1
16,94,109,62,16,125,94,1375,15,47,94,31,16,16,94,15,78,1
94,62,110,109,63,78,78,94,31,63,94,78,31,78,78,16,94,1
110,15,109,93,31,78,109,62,62,78,75,86,93,47,93,16,109,1
109,16,78,62,63,78,109,172,31,63,94,78,31,63,78,16,94,1
78,31,157,63,62,156,78,109,219,78,31,141,94,47,78,32,93,1
94,31,187,79,63,31,63,78,78,47,15,94,78,32,31,78,47,1
94,16,62,78,62,156,62,78,219,78,31,141,94,63,78,32,93,1
47,93,63,47,63,78,62,63,47,47,172,15,16,125,63,15,79,1
78,32,141,94,15,79,110,31,78,79,78,15,94,63,47,31,94,1
16,62,203,78,63,78,78,31,47,47,172,15,16,63,63,15,79,1
47,281,125,94,156,235,78,94,156,94,156,47,125,47,62,16,94,1
250,16,156,94,15,78,16,173,79,78,203,31,141,32,62,32,93,1
