@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,39,40,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk7 numeric
@attribute ft10 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
31,62,62,78,63,109,63,1
32,62,93,62,47,94,63,1
78,94,62,78,140,109,63,1
16,78,79,62,125,63,15,1
16,93,437,63,78,32,46,1
62,78,250,62,32,63,15,1
594,62,79,62,62,171,63,1
31,62,93,94,63,46,63,1
110,47,62,62,266,171,63,1
47,94,78,63,78,31,78,1
93,78,31,78,109,78,78,1
94,93,78,63,47,31,78,1
78,78,62,78,78,94,47,1
78,63,94,63,62,141,31,1
47,62,78,78,62,94,47,1
125,94,78,78,125,31,62,1
16,62,79,78,47,63,78,1
31,63,78,78,218,31,62,1
78,94,16,79,16,16,109,1
188,16,47,78,32,47,124,1
16,31,78,79,16,16,109,1
47,94,31,47,78,110,31,1
94,63,62,63,125,16,78,1
94,16,31,47,31,110,31,1
63,94,78,47,63,15,78,1
16,62,31,63,78,32,62,1
94,62,94,47,16,15,78,1
62,109,78,63,78,16,94,1
15,93,109,78,47,16,109,1
16,62,109,63,63,16,94,1
31,63,78,78,47,32,93,1
31,79,63,47,32,78,47,1
16,78,62,78,63,32,93,1
93,47,62,47,125,15,79,1
32,94,110,79,63,31,94,1
62,78,78,47,63,15,79,1
281,94,78,94,47,16,94,1
16,94,16,78,32,32,93,1
47,63,78,94,32,16,94,1
187,78,62,94,79,31,78,1
15,78,203,110,78,16,94,1
16,94,32,94,31,31,78,1
31,94,78,47,125,62,47,1
15,93,47,63,78,62,31,1
157,63,703,47,109,62,47,1
16,78,63,79,94,15,78,1
15,204,79,78,156,31,78,1
47,78,141,79,32,15,78,1
16,78,125,156,63,78,78,1
16,110,141,62,703,813,125,1
16,172,94,156,31,78,78,1
16,78,78,62,47,47,78,1
16,109,78,78,31,47,94,1
47,79,47,62,172,47,78,1
157,93,15,125,94,110,109,1
129,594,94,172,406,313,391,1
125,219,141,125,31,110,109,1
296,141,109,63,125,203,140,1
94,128,94,94,93,63,109,1
93,110,125,63,156,203,140,1
16,94,78,78,62,32,109,1
32,93,16,94,94,62,94,1
141,79,125,78,141,32,109,1
32,78,46,47,78,32,78,1
15,79,78,63,31,47,94,1
63,63,62,47,46,32,78,1
15,102,31,47,31,15,125,1
188,16,219,78,15,15,109,1
15,16,156,47,16,15,125,1
31,78,62,15,15,47,16,1
16,156,78,62,47,16,79,1
31,46,110,15,78,47,16,1
62,63,46,79,65,15,63,1
16,62,172,62,63,47,46,1
31,63,32,79,47,15,63,1
62,78,78,63,32,78,62,1
31,32,109,93,16,31,63,1
47,94,94,63,62,78,62,1
32,47,62,62,94,16,62,1
47,78,94,109,47,47,78,1
125,78,78,62,62,16,62,1
141,47,47,78,125,31,94,1
109,141,140,78,16,281,79,1
