@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,5,6,7,8,10,12,13,14,15,16,17,18,20,22,23,24,26,27,28,30,34,37,38,40,42,43'

@attribute dtfk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtfk7 numeric
@attribute dtsk7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
63,78,109,62,94,94,78,94,94,31,31,79,94,109,1
78,62,32,93,78,94,62,110,78,93,78,156,78,94,1
94,32,109,62,78,63,78,94,94,31,31,79,47,109,1
109,62,313,79,78,453,62,62,47,32,234,78,16,63,1
15,62,16,437,62,15,63,47,63,94,172,16,94,32,1
79,50,313,250,47,640,62,62,47,32,234,78,62,63,1
62,78,109,79,47,94,62,63,93,63,16,78,78,171,1
453,78,62,93,63,94,94,47,109,47,62,16,78,46,1
62,47,109,62,78,78,62,63,93,63,16,78,109,171,1
156,78,172,78,93,79,63,109,31,94,31,78,15,31,1
125,93,15,31,63,63,78,110,47,78,78,63,78,78,1
187,94,172,78,93,844,63,109,31,94,31,78,110,31,1
94,63,141,62,62,47,78,93,156,47,93,16,94,94,1
156,32,47,94,16,47,63,16,78,47,94,156,47,141,1
141,63,141,78,78,1062,78,93,156,47,93,16,328,94,1
109,78,94,78,63,94,78,78,63,78,78,78,63,31,1
141,94,16,79,78,125,78,78,62,63,46,79,78,63,1
47,63,94,78,78,94,78,78,63,78,78,78,79,31,1
125,63,172,16,31,94,79,141,78,157,16,78,94,16,1
94,47,16,47,109,93,78,94,94,62,62,47,78,47,1
125,15,172,78,125,0,79,141,78,157,16,78,78,16,1
141,93,16,31,16,562,47,16,79,62,31,78,32,110,1
47,16,78,62,15,47,63,78,32,141,47,125,15,16,1
47,31,16,31,16,703,47,16,79,62,31,78,109,110,1
125,62,16,78,62,0,47,94,31,47,16,94,31,15,1
78,110,32,31,16,62,63,94,16,109,109,94,15,32,1
109,62,16,94,93,1312,47,94,31,47,16,94,62,15,1
110,78,63,78,62,94,63,94,78,109,31,109,78,16,1
109,78,31,109,94,110,78,75,86,93,93,47,78,16,1
78,94,63,109,62,78,63,94,78,109,31,109,78,16,1
157,62,62,78,78,125,78,31,141,62,94,484,78,32,1
187,109,63,63,62,16,47,15,94,109,78,62,78,78,1
62,79,62,62,78,62,78,31,141,62,94,484,31,32,1
63,16,63,62,78,94,47,172,15,63,16,125,93,15,1
141,47,15,110,110,94,79,78,15,78,94,16,47,31,1
203,63,63,78,78,0,47,172,15,63,16,125,93,15,1
125,78,156,78,63,78,94,156,47,125,125,62,265,16,1
156,62,15,16,63,43,78,203,31,109,141,343,93,32,1
63,94,156,78,93,1063,94,156,47,125,125,62,78,16,1
94,63,62,62,94,78,94,78,47,78,156,110,78,31,1
93,78,47,203,32,16,110,156,63,125,94,156,78,16,1
78,63,62,32,93,812,94,78,47,78,156,110,63,31,1
109,93,32,78,63,562,47,32,78,79,782,15,16,62,1
16,32,15,47,47,16,63,110,15,93,62,32,15,62,1
46,78,32,703,47,719,47,32,78,79,782,15,16,62,1
93,63,15,63,78,703,79,63,93,63,0,94,469,15,1
93,78,15,79,15,94,78,63,94,62,93,32,78,31,1
78,78,15,141,62,859,79,63,93,63,0,94,109,15,1
94,94,78,125,172,906,156,94,94,203,78,78,109,78,1
172,78,16,141,94,93,62,265,78,110,109,16,62,813,1
93,78,78,94,78,1078,156,94,94,203,78,78,110,78,1
78,94,0,78,79,94,62,94,125,78,594,125,78,47,1
125,62,78,78,78,47,78,94,78,78,78,63,78,47,1
94,93,0,47,78,62,62,94,125,78,594,125,94,47,1
109,141,265,15,219,78,125,203,62,141,172,359,141,110,1
110,15,250,94,125,31,172,16,110,78,282,15,16,313,1
78,15,265,141,94,1312,125,203,62,141,172,359,109,110,1
110,94,78,109,110,78,63,234,63,157,94,63,94,203,1
172,93,16,94,62,94,94,156,47,109,78,140,47,63,1
344,94,78,125,109,797,63,234,63,157,94,63,63,203,1
93,62,391,78,79,109,78,297,31,141,282,109,360,32,1
172,78,47,16,344,218,94,172,31,140,141,15,344,62,1
394,94,391,125,109,1172,78,297,31,141,282,109,266,32,1
109,63,15,46,63,62,47,109,16,31,47,125,47,32,1
109,31,63,78,15,94,63,94,47,94,78,110,63,47,1
109,47,15,62,79,884,47,109,16,31,47,125,47,32,1
82,118,53,31,16,875,47,110,94,187,343,125,125,15,1
109,63,15,219,110,110,78,94,125,78,125,250,109,15,1
110,532,53,156,78,125,47,110,94,187,343,125,125,15,1
78,94,15,62,46,657,15,63,109,140,16,62,47,47,1
62,78,79,78,79,109,62,78,79,78,172,15,78,16,1
63,78,15,110,16,63,15,63,109,140,16,62,62,47,1
94,109,63,46,63,63,79,141,46,32,32,109,78,15,1
156,78,31,172,41,63,62,156,47,94,46,219,62,47,1
63,94,63,32,62,906,79,141,46,32,32,109,94,15,1
110,78,156,78,94,109,63,94,125,78,16,94,109,78,1
110,110,16,109,109,109,93,78,110,78,93,32,93,31,1
78,78,156,94,63,129,63,94,125,78,16,94,47,78,1
78,63,47,62,78,63,62,79,140,47,15,78,63,16,1
93,63,32,94,47,141,109,109,94,62,47,78,62,47,1
94,62,47,78,63,79,62,79,140,47,15,78,63,16,1
93,78,250,47,125,1078,78,140,234,63,125,78,125,31,1
31,157,79,140,62,62,78,16,93,63,78,62,78,281,1
297,15,250,109,62,0,78,140,234,63,125,78,109,31,1
93,78,234,63,47,78,78,63,140,94,828,78,78,219,1
47,63,188,78,78,125,94,78,140,78,62,344,79,204,1
78,62,234,78,47,110,78,63,140,94,828,78,63,219,1
93,62,110,125,0,62,78,125,47,63,32,93,78,78,1
94,78,31,78,47,94,93,125,15,78,93,547,31,16,1
172,78,110,109,78,1047,78,125,47,63,32,93,187,78,1
94,109,32,63,63,126,47,156,47,78,16,78,16,31,1
47,47,93,94,47,140,78,78,47,125,109,0,62,15,1
109,78,32,62,109,1176,47,156,47,78,16,78,78,31,1
110,93,94,141,78,141,109,94,78,94,16,78,78,32,1
93,63,31,94,78,94,328,110,93,78,93,32,62,31,1
63,78,94,109,62,78,109,94,78,94,16,78,78,32,1
94,109,250,125,63,94,78,47,156,79,265,94,78,94,1
79,78,219,62,63,156,94,78,109,79,94,140,94,125,1
94,94,250,94,78,78,78,47,156,79,265,94,63,94,1
93,63,93,78,78,78,56,78,31,125,15,110,47,31,1
63,63,16,62,78,15,78,140,0,63,110,62,63,31,1
47,62,93,94,63,844,56,78,31,125,15,110,78,31,1
110,47,391,78,94,78,31,109,125,109,16,78,31,0,1
93,94,141,31,15,46,62,125,31,62,94,78,31,31,1
203,78,391,110,94,765,31,109,125,109,16,78,63,0,1
110,93,485,78,62,140,78,47,62,109,16,93,62,32,1
125,94,47,32,0,109,94,125,62,125,78,94,63,47,1
188,94,485,125,94,985,78,47,62,109,16,93,94,32,1
93,31,125,62,78,63,47,78,78,47,172,78,63,79,1
94,63,46,78,63,109,78,78,94,63,62,47,31,63,1
78,62,125,62,62,62,47,78,78,47,172,78,32,79,1
156,79,128,63,78,94,62,78,63,93,15,62,16,47,1
109,63,47,79,32,62,78,79,78,172,94,78,63,62,1
15,78,128,94,172,812,62,78,63,93,15,62,47,47,1
63,93,63,63,94,63,94,78,94,188,78,62,47,63,1
79,31,62,94,47,94,78,78,125,62,110,78,62,31,1
63,78,63,125,78,63,94,78,94,188,78,62,62,63,1
94,40,271,47,62,62,62,125,32,0,15,78,31,16,1
31,79,32,62,32,94,62,312,63,94,94,141,62,31,1
141,94,271,62,32,813,62,125,32,0,15,78,156,16,1
94,78,140,47,62,63,47,63,93,63,125,62,62,110,1
94,62,94,78,63,125,78,78,110,62,62,78,46,47,1
94,47,140,63,83,63,47,63,93,63,125,62,47,110,1
125,109,31,94,93,172,93,140,47,63,46,79,78,32,1
47,110,15,31,31,15,110,829,31,93,78,110,94,31,1
78,78,31,94,94,719,93,140,47,63,46,79,110,32,1
110,63,78,78,94,47,62,78,94,63,0,78,46,62,1
0,62,61,63,31,31,78,62,110,62,94,15,94,47,1
93,47,78,94,78,895,62,78,94,63,0,78,78,62,1
94,93,188,110,78,78,63,78,110,78,125,110,125,32,1
140,94,0,156,125,78,47,62,94,62,94,235,94,235,1
78,109,188,156,94,203,63,78,110,78,125,110,109,32,1
109,47,109,31,31,93,62,157,31,62,31,47,62,16,1
32,31,94,0,156,47,78,0,47,63,156,16,15,31,1
47,62,109,125,109,859,62,157,31,62,31,47,62,16,1
110,78,203,78,407,94,79,94,140,79,47,109,109,109,1
94,78,157,78,78,157,63,94,172,78,94,110,78,125,1
109,78,203,94,78,63,79,94,140,79,47,109,78,109,1
47,78,79,78,110,469,78,63,47,15,31,63,84,109,1
31,31,94,16,48,47,78,16,78,62,109,31,0,109,1
235,16,79,625,79,0,78,63,47,15,31,63,15,109,1
125,187,109,110,93,125,109,94,203,63,157,171,161,15,1
156,109,141,125,110,125,110,16,141,62,172,78,516,63,1
312,125,109,141,78,750,109,94,203,63,157,171,109,15,1
125,94,125,109,93,94,62,125,94,78,110,93,109,62,1
125,94,47,110,94,94,93,156,47,110,94,453,125,94,1
156,109,125,125,78,125,62,125,94,78,110,93,141,62,1
109,78,125,78,63,78,63,78,110,46,46,63,78,62,1
78,78,31,110,63,63,109,94,93,78,63,109,93,109,1
109,94,125,93,63,93,63,78,110,46,46,63,94,62,1
110,94,47,94,109,110,141,250,31,125,16,114,16,0,1
0,172,0,62,78,0,110,125,93,94,93,110,16,0,1
312,78,47,141,94,860,141,250,31,125,16,114,109,0,1
78,78,16,78,78,109,47,62,140,63,78,16,15,62,1
32,78,78,78,0,47,109,78,93,32,109,187,94,31,1
79,94,16,140,62,937,47,62,140,63,78,16,78,62,1
94,297,16,125,94,94,62,94,78,109,94,78,125,31,1
219,78,32,109,94,16,93,109,63,141,78,109,0,15,1
63,125,16,47,172,110,62,94,78,109,94,78,141,31,1
125,110,109,125,110,94,78,109,63,78,110,93,78,47,1
141,78,47,46,78,141,62,78,110,109,94,172,78,31,1
94,93,109,141,110,1020,78,109,63,78,110,93,203,47,1
78,109,31,15,31,687,16,47,125,47,47,63,0,78,1
15,47,156,47,31,0,94,94,0,62,109,31,31,62,1
62,47,31,78,93,797,16,47,125,47,47,63,78,78,1
109,110,31,63,203,610,47,47,141,31,16,63,16,93,1
62,125,110,0,46,125,93,0,93,47,78,156,15,63,1
15,16,31,250,453,656,47,47,141,31,16,63,219,93,1
62,63,172,78,62,109,60,47,125,63,94,62,62,79,1
47,62,62,94,63,115,78,78,109,63,176,13,62,141,1
62,94,172,78,63,62,60,47,125,63,94,62,235,79,1
110,109,79,47,78,0,62,140,16,62,203,63,109,16,2
94,63,63,94,32,62,78,109,16,78,63,94,110,16,2
328,62,79,125,109,813,62,140,16,62,203,63,78,16,2
78,94,156,109,94,93,63,94,62,94,47,78,109,47,2
219,47,47,47,156,172,62,79,78,62,62,266,31,31,2
218,125,156,63,62,953,63,94,62,94,47,78,172,47,2
172,94,141,62,62,0,62,32,141,31,78,16,47,31,2
110,94,172,47,16,141,63,31,94,31,63,125,16,31,2
110,78,141,94,78,735,62,32,141,31,78,16,93,31,2
109,78,31,62,78,0,188,218,47,16,47,62,16,46,2
63,32,16,31,16,79,63,94,15,62,156,16,15,47,2
110,79,31,125,78,703,188,218,47,16,47,62,94,46,2
94,94,31,93,94,94,63,62,94,62,94,109,94,78,2
125,94,62,31,125,94,78,94,109,62,78,78,46,63,2
219,78,31,109,78,937,63,62,94,62,94,109,78,78,2
113,90,63,89,79,78,78,69,111,41,78,109,78,69,2
68,65,31,89,81,172,68,78,94,94,62,141,85,63,2
39,104,63,11,31,74,78,69,111,41,78,109,94,69,2
125,109,63,79,78,78,250,156,63,141,47,125,78,78,2
78,63,16,109,15,141,78,110,47,62,94,62,62,172,2
110,78,63,93,94,828,250,156,63,141,47,125,109,78,2
125,93,32,63,78,562,94,94,78,47,15,78,78,16,2
47,93,16,47,20,94,47,94,31,63,172,15,421,46,2
125,93,32,63,78,719,94,94,78,47,15,78,125,16,2
78,78,219,63,47,78,63,79,125,62,203,62,46,47,2
62,46,63,79,62,125,828,93,110,93,62,485,63,62,2
47,62,219,94,47,79,63,79,125,62,203,62,78,47,2
109,125,63,94,94,109,78,78,93,203,47,78,63,31,2
156,78,31,16,47,63,78,109,110,62,94,62,94,31,2
94,94,63,94,78,843,78,78,93,203,47,78,141,31,2
125,94,31,78,46,172,62,125,62,109,15,94,16,16,2
125,47,32,62,31,62,78,79,93,140,78,0,93,32,2
31,62,31,78,94,609,62,125,62,109,15,94,78,16,2
78,79,15,109,62,94,63,94,94,47,0,78,0,16,2
16,78,32,31,16,31,78,78,94,78,78,31,79,16,2
78,78,15,62,78,781,63,94,94,47,0,78,110,16,2
63,47,62,62,62,62,62,63,109,62,234,31,110,31,2
125,47,47,110,47,156,125,62,125,63,63,94,47,47,2
63,47,62,62,62,922,62,63,109,62,234,31,63,31,2
141,94,62,94,63,94,47,141,62,125,109,94,32,47,2
172,78,32,16,16,78,94,109,31,110,78,47,47,62,2
250,94,62,79,94,828,47,141,62,125,109,94,94,47,2
78,62,63,63,62,62,62,78,93,63,78,62,78,47,2
47,62,78,78,47,94,78,78,94,63,93,78,62,62,2
47,78,63,62,63,62,62,78,93,63,78,62,125,47,2
63,78,47,93,78,594,78,47,63,109,110,62,94,0,2
31,110,93,609,16,110,63,31,62,79,109,62,16,94,2
32,110,47,31,94,0,78,47,63,109,110,62,78,0,2
109,62,157,79,93,125,62,79,78,78,63,93,94,31,2
78,63,0,125,94,15,78,78,110,78,78,94,78,94,2
93,78,157,140,78,0,62,79,78,78,63,93,94,31,2
62,63,94,63,47,93,63,78,94,63,188,78,78,78,2
78,63,63,62,78,110,78,63,109,78,62,125,62,62,2
78,63,94,63,78,110,63,78,94,63,188,78,94,78,2
157,156,0,63,78,0,94,31,109,47,93,0,47,31,2
110,78,78,62,31,110,62,15,125,46,63,141,94,0,2
16,94,0,125,94,984,94,31,109,47,93,0,156,31,2
109,78,62,94,31,94,78,141,0,62,93,32,63,32,2
0,63,78,78,31,120,94,63,172,16,125,500,94,93,2
97,156,62,78,109,735,78,141,0,62,93,32,78,32,2
