@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,5,6,8,10,12,13,14,15,16,17,18,20,21,22,23,26,30,33,34,35,36,37,38,39,42,43'

@attribute dtfk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtfk7 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,63,62,78,109,62,62,94,78,141,78,94,94,47,109,1
62,78,62,62,32,93,47,94,94,47,62,110,78,62,94,1
63,94,94,32,109,62,125,63,93,141,78,94,94,47,109,1
109,109,78,62,313,79,109,453,31,16,62,62,47,31,63,1
78,15,93,62,16,437,94,15,94,32,63,47,63,47,32,1
32,79,78,50,313,250,94,640,437,16,62,62,47,31,63,1
78,62,62,78,109,79,63,94,109,63,62,63,93,79,171,1
63,453,62,78,62,93,63,94,78,62,94,47,109,63,46,1
78,62,47,47,109,62,94,78,93,63,62,63,93,79,171,1
119,156,94,78,172,78,63,79,114,594,63,109,31,94,31,1
94,125,78,93,15,31,62,63,109,94,78,110,47,94,78,1
15,187,93,94,172,78,172,844,31,594,63,109,31,94,31,1
78,94,78,63,141,62,63,47,234,47,78,93,156,47,94,1
47,156,63,32,47,94,63,47,94,78,63,16,78,63,141,1
235,141,62,63,141,78,32,1062,94,47,78,93,156,47,94,1
79,109,94,78,94,78,62,94,93,78,78,78,63,63,31,1
94,141,62,94,16,79,78,125,78,47,78,78,62,78,63,1
78,47,63,63,94,78,204,94,79,78,78,78,63,63,31,1
109,125,94,63,172,16,78,94,94,16,79,141,78,125,16,1
125,94,16,47,16,47,94,93,94,94,78,94,94,78,47,1
93,125,31,15,172,78,79,0,47,16,79,141,78,125,16,1
94,141,94,93,16,31,31,562,16,15,47,16,79,16,110,1
110,47,63,16,78,62,31,47,141,62,63,78,32,78,16,1
31,47,16,31,16,31,671,703,62,15,47,16,79,16,110,1
62,125,94,62,16,78,78,0,94,15,47,94,31,94,15,1
62,78,62,110,32,31,78,62,62,46,63,94,16,62,32,1
16,109,62,62,16,94,78,1312,31,15,47,94,31,94,15,1
94,110,109,78,63,78,93,94,109,31,63,94,78,78,16,1
110,109,93,78,31,109,110,110,94,62,78,75,86,93,16,1
109,78,62,94,63,109,78,78,109,31,63,94,78,78,16,1
78,157,63,62,62,78,78,125,31,219,78,31,141,78,32,1
94,187,79,109,63,63,31,16,94,78,47,15,94,31,78,1
94,62,78,79,62,62,125,62,63,219,78,31,141,78,32,1
47,63,47,16,63,62,62,94,125,47,47,172,15,63,15,1
78,141,94,47,15,110,47,94,109,78,79,78,15,47,31,1
16,203,78,63,63,78,93,0,110,47,47,172,15,63,15,1
47,125,94,78,156,78,125,78,94,156,94,156,47,62,16,1
250,156,94,62,15,16,125,43,267,79,78,203,31,62,32,1
78,63,63,94,156,78,31,1063,16,156,94,156,47,62,16,1
78,94,78,63,62,62,78,78,156,31,94,78,47,94,31,1
110,93,78,78,47,203,78,16,94,47,110,156,63,125,16,1
94,78,94,63,62,32,78,812,203,31,94,78,47,94,31,1
109,109,94,93,32,78,62,562,16,656,47,32,78,15,62,1
63,16,93,32,15,47,62,16,62,78,63,110,15,15,62,1
94,46,63,78,32,703,832,719,47,656,47,32,78,15,62,1
78,93,78,63,15,63,47,703,78,31,79,63,93,110,15,1
94,93,204,78,15,79,78,94,46,63,78,63,94,94,31,1
94,78,78,78,15,141,78,859,79,31,79,63,93,110,15,1
93,94,78,94,78,125,110,906,891,94,156,94,94,78,78,1
250,172,110,78,16,141,110,93,63,172,62,265,78,109,813,1
140,93,172,78,78,94,156,1078,141,94,156,94,94,78,78,1
562,78,78,94,0,78,93,94,234,109,62,94,125,93,47,1
93,125,109,62,78,78,94,47,32,63,78,94,78,78,47,1
156,94,79,93,0,47,109,62,78,109,62,94,125,93,47,1
125,109,93,141,265,15,94,78,141,46,125,203,62,78,110,1
38,110,594,15,250,94,62,31,235,94,172,16,110,156,313,1
16,78,219,15,265,141,157,1312,94,46,125,203,62,78,110,1
94,110,141,94,78,109,109,78,78,78,63,234,63,94,203,1
78,172,128,93,16,94,108,94,94,78,94,156,47,78,63,1
125,344,110,94,78,125,141,797,94,78,63,234,63,94,203,1
141,93,94,62,391,78,109,109,172,297,78,297,31,93,32,1
93,172,93,78,47,16,125,218,15,78,94,172,31,94,62,1
234,394,79,94,391,125,78,1172,16,297,78,297,31,93,32,1
62,109,78,63,15,46,78,62,188,94,47,109,16,62,32,1
63,109,79,31,63,78,62,94,94,78,63,94,47,63,47,1
78,109,63,47,15,62,109,884,78,94,47,109,16,62,32,1
141,82,102,118,53,31,93,875,125,156,47,110,94,94,15,1
109,109,16,63,15,219,109,110,109,79,78,94,125,156,15,1
125,110,16,532,53,156,125,125,219,156,47,110,94,94,15,1
94,78,78,94,15,62,94,657,109,78,15,63,109,15,47,1
78,62,156,78,79,78,172,109,94,63,62,78,79,109,16,1
140,63,46,78,15,110,109,63,78,78,15,63,109,15,47,1
125,94,63,109,63,46,63,63,78,265,79,141,46,78,15,1
172,156,62,78,31,172,46,63,62,31,62,156,47,78,47,1
94,63,63,94,63,32,126,906,172,265,79,141,46,78,15,1
78,110,78,78,156,78,78,109,140,47,63,94,125,79,78,1
203,110,32,110,16,109,78,109,15,63,93,78,110,94,31,1
78,78,94,78,156,94,110,129,109,47,63,94,125,79,78,1
62,78,47,63,47,62,78,63,79,78,62,79,140,78,16,1
78,93,78,63,32,94,94,141,125,47,109,109,94,63,47,1
63,94,78,62,47,78,125,79,94,78,62,79,140,78,16,1
94,93,47,78,250,47,250,1078,172,62,78,140,234,78,31,1
313,31,141,157,79,140,63,62,282,62,78,16,93,62,281,1
78,297,125,15,250,109,94,0,140,62,78,140,234,78,31,1
93,93,78,78,234,63,62,78,78,78,78,63,140,63,219,1
63,47,78,63,188,78,78,125,125,62,94,78,140,78,204,1
62,78,47,62,234,78,94,110,78,78,78,63,140,63,219,1
93,93,94,62,110,125,93,62,344,78,78,125,47,93,78,1
78,94,62,78,31,78,78,94,16,63,93,125,15,62,16,1
31,172,0,78,110,109,94,1047,78,78,78,125,47,93,78,1
156,94,93,109,32,63,110,126,78,31,47,156,47,78,31,1
62,47,63,47,93,94,125,140,78,63,78,78,47,94,15,1
47,109,63,78,32,62,16,1176,94,31,47,156,47,78,31,1
125,110,78,93,94,141,78,141,203,141,109,94,78,93,32,1
187,93,94,63,31,94,94,94,31,234,328,110,93,94,31,1
78,63,78,78,94,109,94,78,94,141,109,94,78,93,32,1
125,94,109,109,250,125,47,94,78,94,78,47,156,93,94,1
110,79,78,78,219,62,109,156,141,93,94,78,109,110,125,1
94,94,63,94,250,94,156,78,62,94,78,47,156,93,94,1
63,93,47,63,93,78,172,78,141,78,56,78,31,62,31,1
62,63,63,63,16,62,62,15,16,62,78,140,0,63,31,1
78,47,78,62,93,94,47,844,62,78,56,78,31,62,31,1
109,110,109,47,391,78,79,78,109,94,31,109,125,78,0,1
94,93,78,94,141,31,47,46,110,63,62,125,31,78,31,1
78,203,94,78,391,110,687,765,31,94,31,109,125,78,0,1
125,110,125,93,485,78,63,140,125,47,78,47,62,78,32,1
93,125,78,94,47,32,109,109,109,62,94,125,62,94,47,1
156,188,62,94,485,125,172,985,32,47,78,47,62,78,32,1
62,93,47,31,125,62,78,63,78,63,47,78,78,46,79,1
172,94,78,63,46,78,109,109,125,62,78,78,94,62,63,1
62,78,78,62,125,62,125,62,78,63,47,78,78,46,79,1
93,156,172,79,128,63,94,94,203,47,62,78,63,94,47,1
78,109,109,63,47,79,125,62,78,78,78,79,78,15,62,1
78,15,78,78,128,94,110,812,79,47,62,78,63,94,47,1
63,63,63,93,63,63,62,63,78,47,94,78,94,93,63,1
62,79,94,31,62,94,62,94,93,47,78,78,125,94,31,1
62,63,94,78,63,125,93,63,94,47,94,78,94,93,63,1
78,94,78,40,271,47,62,62,172,47,62,125,32,62,16,1
62,31,78,79,32,62,78,94,125,63,62,312,63,78,31,1
63,141,62,94,271,62,62,813,62,47,62,125,32,62,16,1
78,94,78,78,140,47,63,63,47,125,47,63,93,62,110,1
63,94,63,62,94,78,62,125,156,62,78,78,110,63,47,1
63,94,62,47,140,63,110,63,78,125,47,63,93,62,110,1
126,125,78,109,31,94,63,172,187,0,93,140,47,78,32,1
125,47,109,110,15,31,62,15,0,93,110,829,31,157,31,1
141,78,93,78,31,94,109,719,31,0,93,140,47,78,32,1
62,110,78,63,78,78,31,47,93,32,62,78,94,78,62,1
94,0,47,62,61,63,78,31,0,78,78,62,110,78,47,1
94,93,94,47,78,94,141,895,63,32,62,78,94,78,62,1
125,94,78,93,188,110,125,78,250,78,63,78,110,78,32,1
156,140,109,94,0,156,125,78,16,78,47,62,94,62,235,1
109,78,78,109,188,156,125,203,156,78,63,78,110,78,32,1
125,109,125,47,109,31,31,93,125,16,62,157,31,78,16,1
47,32,31,31,94,0,31,47,141,78,78,0,47,63,31,1
16,47,31,62,109,125,78,859,0,16,62,157,31,78,16,1
141,110,94,78,203,78,78,94,94,234,79,94,140,78,109,1
109,94,109,78,157,78,78,157,156,281,63,94,172,94,125,1
110,109,407,78,203,94,213,63,78,234,79,94,140,78,109,1
156,47,140,78,79,78,78,469,16,63,78,63,47,46,109,1
15,31,93,31,94,16,93,47,16,31,78,16,78,16,109,1
63,235,110,16,79,625,31,0,16,63,78,63,47,46,109,1
156,125,109,187,109,110,111,125,203,94,109,94,203,141,15,1
125,156,94,109,141,125,109,125,157,93,110,16,141,125,63,1
250,312,93,125,109,141,47,750,125,94,109,94,203,141,15,1
125,125,94,94,125,109,93,94,125,94,62,125,94,109,62,1
141,125,94,94,47,110,94,94,16,47,93,156,47,109,94,1
109,156,93,109,125,125,187,125,110,94,62,125,94,109,62,1
78,109,63,78,125,78,78,78,110,93,63,78,110,110,62,1
109,78,62,78,31,110,78,63,109,78,109,94,93,78,109,1
78,109,63,94,125,93,125,93,110,93,63,78,110,110,62,1
93,110,171,94,47,94,125,110,203,15,141,250,31,125,0,1
94,0,110,172,0,62,78,0,16,62,110,125,93,78,0,1
250,312,109,78,47,141,110,860,62,15,141,250,31,125,0,1
125,78,78,78,16,78,63,109,157,47,47,62,140,110,62,1
78,32,125,78,78,78,63,47,79,78,109,78,93,94,31,1
78,79,78,94,16,140,31,937,78,47,47,62,140,110,62,1
93,94,109,297,16,125,94,94,125,157,62,94,78,109,31,1
172,219,94,78,32,109,125,16,46,110,93,109,63,78,15,1
62,63,94,125,16,47,375,110,109,157,62,94,78,109,31,1
94,125,109,110,109,125,78,94,468,156,78,109,63,94,47,1
500,141,109,78,47,46,78,141,15,79,62,78,110,78,31,1
93,94,110,93,109,141,94,1020,46,156,78,109,63,94,47,1
156,78,141,109,31,15,32,687,16,94,16,47,125,0,78,1
78,15,47,47,156,47,63,0,32,31,94,94,0,31,62,1
78,62,31,47,31,78,47,797,47,94,16,47,125,0,78,1
110,109,141,110,31,63,93,610,125,125,47,47,141,15,93,1
47,62,94,125,110,0,62,125,47,47,93,0,93,0,63,1
32,15,203,16,31,250,1000,656,0,125,47,47,141,15,93,1
94,62,63,63,172,78,47,109,78,40,60,47,125,78,79,1
78,47,63,62,62,94,47,115,62,47,78,78,109,62,141,1
63,62,62,94,172,78,101,62,94,40,60,47,125,78,79,1
78,110,109,109,79,47,62,0,94,141,62,140,16,63,16,2
78,94,93,63,63,94,63,62,110,78,78,109,16,78,16,2
78,328,78,62,79,125,125,813,94,141,62,140,16,63,16,2
375,78,62,94,156,109,141,93,235,156,63,94,62,93,47,2
94,219,63,47,47,47,110,172,47,63,62,79,78,110,31,2
171,218,94,125,156,63,94,953,47,156,63,94,62,93,47,2
109,172,78,94,141,62,47,0,94,63,62,32,141,63,31,2
63,110,94,94,172,47,49,141,47,15,63,31,94,63,31,2
