@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,5,6,8,9,10,12,14,15,16,17,18,21,22,23,24,26,27,30,33,34,35,36,38,39,42,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,63,63,62,109,94,62,94,94,141,78,94,94,78,47,109,1
62,93,78,62,32,94,93,47,94,47,62,110,78,93,62,94,1
63,93,94,94,109,78,62,94,63,141,78,94,94,63,47,109,1
109,109,109,78,313,391,79,15,453,16,62,62,47,62,31,63,1
78,78,15,93,16,516,437,63,15,32,63,47,63,16,47,32,1
32,16,79,78,313,484,250,78,640,16,62,62,47,46,31,63,1
78,62,62,62,109,219,79,46,94,63,62,63,93,63,79,171,1
63,63,453,62,62,62,93,47,94,62,94,47,109,62,63,46,1
78,62,62,47,109,62,62,16,78,63,62,63,93,63,79,171,1
119,156,156,94,172,266,78,157,79,594,63,109,31,63,94,31,1
94,94,125,78,15,0,31,94,63,94,78,110,47,16,94,78,1
15,16,187,93,172,0,78,16,844,594,63,109,31,78,94,31,1
78,94,94,78,141,281,62,94,47,47,78,93,156,16,47,94,1
47,78,156,63,47,0,94,93,47,78,63,16,78,328,63,141,1
235,328,141,62,141,0,78,47,1062,47,78,93,156,31,47,94,1
79,109,109,94,94,94,78,78,94,78,78,78,63,78,63,31,1
94,78,141,62,16,47,79,187,125,47,78,78,62,78,78,63,1
78,78,47,63,94,78,78,47,94,78,78,78,63,78,63,31,1
109,125,125,94,172,125,16,47,94,16,79,141,78,109,125,16,1
125,47,94,16,16,156,47,31,93,94,78,94,94,109,78,47,1
93,109,125,31,172,156,78,47,0,16,79,141,78,124,125,16,1
94,141,141,94,16,94,31,94,562,15,47,16,79,15,16,110,1
110,15,47,63,78,532,62,141,47,62,63,78,32,15,78,16,1
31,15,47,16,16,563,31,78,703,15,47,16,79,78,16,110,1
62,125,125,94,16,125,78,16,0,15,47,94,31,16,94,15,1
62,78,78,62,32,0,31,47,62,46,63,94,16,391,62,32,1
16,391,109,62,16,93,94,31,1312,15,47,94,31,62,94,15,1
94,110,110,109,63,78,78,16,94,31,63,94,78,94,78,16,1
110,78,109,93,31,156,109,16,110,62,78,75,86,62,93,16,1
109,62,78,62,63,94,109,16,78,31,63,94,78,109,78,16,1
78,157,157,63,62,156,78,204,125,219,78,31,141,62,78,32,1
94,94,187,79,63,0,63,31,16,78,47,15,94,93,31,78,1
94,93,62,78,62,0,62,32,62,219,78,31,141,47,78,32,1
47,63,63,47,63,78,62,63,94,47,47,172,15,110,63,15,1
