@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,8,10,12,13,14,15,16,17,20,21,22,23,24,26,27,28,31,33,35,36,37,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
47,31,63,62,78,109,62,62,94,78,78,94,109,63,94,109,1
62,32,93,62,62,32,79,93,94,62,79,78,125,47,78,94,1
63,78,93,94,32,109,94,62,63,78,78,94,109,140,47,109,1
109,16,109,78,62,313,78,79,453,62,47,47,94,125,16,63,1
78,16,78,93,62,16,16,437,15,63,62,63,94,78,94,32,1
32,62,16,78,50,313,15,250,640,62,47,47,94,32,62,63,1
78,594,62,62,78,109,63,79,94,62,94,93,78,62,78,171,1
63,31,63,62,78,62,47,93,94,94,47,109,94,63,78,46,1
78,110,62,47,47,109,94,62,78,62,94,93,78,266,109,171,1
119,47,156,94,78,172,94,78,79,63,93,31,94,78,15,31,1
94,93,94,78,93,15,844,31,63,78,47,47,172,109,78,78,1
15,94,16,93,94,172,63,78,844,63,93,31,94,47,110,31,1
78,78,94,78,63,141,47,62,47,78,63,156,15,78,94,94,1
47,78,78,63,32,47,62,94,47,63,62,78,32,62,47,141,1
235,47,328,62,63,141,47,78,1062,78,63,156,15,62,328,94,1
79,125,109,94,78,94,94,78,94,78,94,63,62,125,63,31,1
94,16,78,62,94,16,94,79,125,78,47,62,204,47,78,63,1
78,31,78,63,63,94,125,78,94,78,94,63,62,218,79,31,1
109,78,125,94,63,172,125,16,94,79,62,78,203,16,94,16,1
125,188,47,16,47,16,110,47,93,78,93,94,79,32,78,47,1
93,16,109,31,15,172,93,78,0,79,62,78,203,16,78,16,1
94,47,141,94,93,16,110,31,562,47,78,79,672,78,32,110,1
110,94,15,63,16,78,47,62,47,63,62,32,671,125,15,16,1
31,94,15,16,31,16,47,31,703,47,78,79,672,31,109,110,1
62,63,125,94,62,16,62,78,0,47,78,31,93,63,31,15,1
62,16,78,62,110,32,32,31,62,63,47,16,78,78,15,32,1
16,94,391,62,62,16,62,94,1312,47,78,31,93,16,62,15,1
94,62,110,109,78,63,110,78,94,63,93,78,94,78,78,16,1
110,15,78,93,78,31,109,109,110,78,79,86,78,47,78,16,1
109,16,62,62,94,63,110,109,78,63,93,78,94,63,78,16,1
78,31,157,63,62,62,94,78,125,78,78,141,15,47,78,32,1
94,31,94,79,109,63,157,63,16,47,78,94,125,32,78,78,1
94,16,93,78,79,62,16,62,62,78,78,141,15,63,31,32,1
47,93,63,47,16,63,78,62,94,47,93,15,78,125,93,15,1
78,32,110,94,47,15,15,110,94,79,78,15,93,63,47,31,1
16,62,32,78,63,63,94,78,0,47,93,15,78,63,93,15,1
47,281,125,94,78,156,250,78,78,94,110,47,109,47,265,16,1
250,16,125,94,62,15,141,16,43,78,62,31,31,32,93,32,1
78,47,156,63,94,156,43,78,1063,94,110,47,109,32,78,16,1
78,187,94,78,63,62,110,62,78,94,62,47,109,79,78,31,1
110,15,78,78,78,47,62,203,16,110,62,63,78,78,78,16,1
94,16,62,94,63,62,16,32,812,94,62,47,109,31,63,31,1
109,31,109,94,93,32,63,78,562,47,63,78,766,125,16,62,1
63,15,78,93,32,15,141,47,16,63,141,15,832,78,15,62,1
94,157,15,63,78,32,16,703,719,47,63,78,766,109,16,62,1
78,16,93,78,63,15,94,63,703,79,62,93,78,94,469,15,1
94,15,94,204,78,15,94,79,94,78,62,94,78,156,78,31,1
94,47,78,78,78,15,94,141,859,79,62,93,78,32,109,15,1
93,16,94,78,94,78,250,125,906,156,78,94,94,63,109,78,1
250,16,125,110,78,16,94,141,93,62,79,78,156,703,62,813,1
140,16,94,172,78,78,93,94,1078,156,78,94,94,31,110,78,1
562,16,78,78,94,0,93,78,94,62,94,125,78,47,78,47,1
93,16,78,109,62,78,94,78,47,78,109,78,109,31,78,47,1
156,47,78,79,93,0,47,47,62,62,94,125,78,172,94,47,1
125,157,109,93,141,265,38,15,78,125,985,62,47,94,141,110,1
38,129,297,594,15,250,140,94,31,172,109,110,157,406,16,313,1
16,125,344,219,15,265,31,141,1312,125,985,62,47,31,109,110,1
94,296,110,141,94,78,78,109,78,63,234,63,109,125,94,203,1
78,94,94,128,93,16,94,94,94,94,78,47,141,93,47,63,1
125,93,32,110,94,78,94,125,797,63,234,63,109,156,63,203,1
141,16,93,94,62,391,93,78,109,78,235,31,93,62,360,32,1
93,32,93,93,78,47,250,16,218,94,94,31,78,94,344,62,1
234,141,62,79,94,391,218,125,1172,78,235,31,93,141,266,32,1
62,32,109,78,63,15,63,46,62,47,94,16,94,78,47,32,1
63,15,94,79,31,63,78,78,94,63,62,47,109,31,63,47,1
78,63,62,63,47,15,94,62,884,47,94,16,94,46,47,32,1
141,15,82,102,118,53,109,31,875,47,78,94,110,31,125,15,1
109,188,62,16,63,15,157,219,110,78,93,125,125,15,109,15,1
125,15,110,16,532,53,110,156,125,47,78,94,110,16,125,15,1
94,31,78,78,94,15,78,62,657,15,79,109,78,15,47,47,1
78,16,62,156,78,79,78,78,109,62,125,79,109,47,78,16,1
140,31,63,46,78,15,109,110,63,15,79,109,78,78,62,47,1
125,62,94,63,109,63,172,46,63,79,78,46,62,65,78,15,1
172,16,78,62,78,31,110,172,63,62,79,47,126,63,62,47,1
94,31,47,63,94,63,63,32,906,79,78,46,62,47,94,15,1
78,62,110,78,78,156,203,78,109,63,94,125,187,32,109,78,1
203,31,125,32,110,16,125,109,109,93,79,110,110,16,93,31,1
78,47,78,94,78,156,109,94,129,63,94,125,187,62,47,78,1
62,32,78,47,63,47,78,62,63,62,79,140,63,94,63,16,1
78,47,62,78,63,32,125,94,141,109,47,94,125,47,62,47,1
63,125,47,78,62,47,141,78,79,62,79,140,63,62,63,16,1
94,141,93,47,78,250,313,47,1078,78,344,234,47,125,125,31,1
313,109,32,141,157,79,140,140,62,78,78,93,94,16,78,281,1
78,78,156,125,15,250,62,109,0,78,344,234,47,31,109,31,1
93,282,93,78,78,234,63,63,78,78,78,140,78,297,78,219,1
63,297,62,78,63,188,203,78,125,94,62,140,94,484,79,204,1
62,797,94,47,62,234,125,78,110,78,78,140,78,375,63,219,1
93,32,93,94,62,110,78,125,62,78,63,47,109,78,78,78,1
78,16,94,62,78,31,141,78,94,93,63,15,94,78,31,16,1
31,172,0,0,78,110,94,109,1047,78,63,47,109,63,187,78,1
156,0,94,93,109,32,62,63,126,47,375,47,63,78,16,31,1
62,16,94,63,47,93,78,94,140,78,78,47,16,16,62,15,1
47,31,62,63,78,32,140,62,1176,47,375,47,63,62,78,31,1
125,15,110,78,93,94,187,141,141,109,63,78,93,78,78,32,1
187,16,78,94,63,31,125,94,94,328,110,93,94,32,62,31,1
78,31,78,78,78,94,94,109,78,109,63,78,93,16,78,32,1
125,172,94,109,109,250,110,125,94,78,110,156,94,422,78,94,1
110,359,94,78,78,219,610,62,156,94,63,109,156,547,94,125,1
94,313,93,63,94,250,156,94,78,78,110,156,94,203,63,94,1
63,94,93,47,63,93,62,78,78,56,73,31,79,78,47,31,1
62,16,47,63,63,16,16,62,15,78,63,0,47,47,63,31,1
78,31,31,78,62,93,15,94,844,56,73,31,79,172,78,31,1
109,16,110,109,47,391,94,78,78,31,78,125,109,78,31,0,1
94,0,109,78,94,141,78,31,46,62,78,31,687,110,31,31,1
78,109,32,94,78,391,46,110,765,31,78,125,109,62,63,0,1
125,31,110,125,93,485,93,78,140,78,78,62,125,125,62,32,1
93,16,94,78,94,47,109,32,109,94,62,62,172,15,63,47,1
156,16,94,62,94,485,109,125,985,78,78,62,125,125,94,32,1
62,63,93,47,31,125,172,62,63,47,93,78,78,78,63,79,1
172,15,93,78,63,46,125,78,109,78,63,94,125,125,31,63,1
62,0,63,78,62,125,109,62,62,47,93,78,78,62,32,79,1
93,547,156,172,79,128,78,63,94,62,109,63,47,93,16,47,1
78,16,109,109,63,47,172,79,62,78,78,78,110,0,63,62,1
78,78,78,78,78,128,62,94,812,62,109,63,47,78,47,47,1
63,15,63,63,93,63,62,63,63,94,141,94,47,109,47,63,1
62,78,125,94,31,62,156,94,94,78,63,125,93,438,62,31,1
62,31,47,94,78,63,94,125,63,94,141,94,47,47,62,63,1
78,47,94,78,40,271,62,47,62,62,63,32,47,94,31,16,1
62,31,78,78,79,32,15,62,94,62,63,63,62,32,62,31,1
63,0,62,62,94,271,94,62,813,62,63,32,47,31,156,16,1
78,94,94,78,78,140,63,47,63,47,63,93,63,125,62,110,1
63,47,78,63,62,94,172,78,125,78,63,110,110,63,46,47,1
63,78,78,62,47,140,125,63,63,47,63,93,63,78,47,110,1
126,31,125,78,109,31,125,94,172,93,453,47,32,94,78,32,1
125,46,125,109,110,15,47,31,15,110,78,31,109,47,94,31,1
141,0,62,93,78,31,15,94,719,93,453,47,32,0,110,32,1
62,78,110,78,63,78,94,78,47,62,110,94,141,79,46,62,1
94,0,78,47,62,61,141,63,31,78,63,110,141,31,94,47,1
94,47,31,94,47,78,31,94,895,62,110,94,141,47,78,62,1
125,16,94,78,93,188,156,110,78,63,62,110,93,125,125,32,1
156,16,62,109,94,0,313,156,78,47,63,94,125,0,94,235,1
109,31,125,78,109,188,78,156,203,63,62,110,93,31,109,32,1
125,16,109,125,47,109,47,31,93,62,94,31,31,110,62,16,1
47,78,16,31,31,94,63,0,47,78,78,47,78,125,15,31,1
16,79,31,31,62,109,47,125,859,62,94,31,31,0,62,16,1
141,62,110,94,78,203,109,78,94,79,93,140,78,391,109,109,1
109,63,93,109,78,157,172,78,157,63,93,172,213,516,78,125,1
110,0,78,407,78,203,157,94,63,79,93,140,78,235,78,109,1
156,47,47,140,78,79,15,78,469,78,79,47,63,5,84,109,1
15,63,31,93,31,94,31,16,47,78,63,78,31,94,0,109,1
63,15,16,110,16,79,47,625,0,78,79,47,63,110,15,109,1
156,16,125,109,187,109,125,110,125,109,63,203,47,93,161,15,1
125,110,109,94,109,141,500,125,125,110,62,141,47,140,516,63,1
250,110,531,93,125,109,125,141,750,109,63,203,47,110,109,15,1
125,93,125,94,94,125,141,109,94,62,94,94,109,47,109,62,1
141,78,125,94,94,47,140,110,94,93,78,47,187,31,125,94,1
109,16,94,93,109,125,94,125,125,62,94,94,109,78,141,62,1
78,63,109,63,78,125,109,78,78,63,78,110,94,94,78,62,1
109,32,62,62,78,31,125,110,63,109,47,93,125,16,93,109,1
78,78,63,63,94,125,63,93,93,63,78,110,94,31,94,62,1
93,47,110,171,94,47,94,94,110,141,94,31,125,109,16,0,1
94,16,109,110,172,0,47,62,0,110,93,93,110,140,16,0,1
250,0,62,109,78,47,0,141,860,141,94,31,125,0,109,0,1
125,15,78,78,78,16,78,78,109,47,63,140,109,110,15,62,1
78,15,94,125,78,78,110,78,47,109,63,93,31,15,94,31,1
78,31,94,78,94,16,47,140,937,47,63,140,109,141,78,62,1
93,47,94,109,297,16,172,125,94,62,125,78,141,109,125,31,1
172,16,78,94,78,32,94,109,16,93,79,63,375,78,0,15,1
62,110,15,94,125,16,16,47,110,62,125,78,141,15,141,31,1
94,78,125,109,110,109,500,125,94,78,125,63,109,94,78,47,1
500,15,156,109,78,47,609,46,141,62,94,110,94,78,78,31,1
93,375,79,110,93,109,141,141,1020,78,125,63,109,484,203,47,1
156,47,78,141,109,31,78,15,687,16,62,125,62,78,0,78,1
78,156,32,47,47,156,172,47,0,94,62,0,47,78,31,62,1
78,156,32,31,47,31,0,78,797,16,62,125,62,79,78,78,1
110,15,109,141,110,31,47,63,610,47,93,141,31,109,16,93,1
47,31,109,94,125,110,78,0,125,93,79,93,1000,94,15,63,1
32,62,0,203,16,31,125,250,656,47,93,141,31,63,219,93,1
94,62,62,63,63,172,78,78,109,60,106,125,63,94,62,79,1
78,47,62,63,62,62,91,94,115,78,31,109,101,78,62,141,1
63,62,63,62,94,172,115,78,62,60,106,125,63,141,235,79,1
78,78,110,109,109,79,78,47,0,62,109,16,109,78,109,16,2
78,47,78,93,63,63,203,94,62,78,63,16,125,265,110,16,2
78,16,78,78,62,79,62,125,813,62,109,16,109,219,78,16,2
375,16,78,62,94,156,94,109,93,63,62,62,109,63,109,47,2
94,31,78,63,47,47,16,47,172,62,63,78,94,78,31,31,2
171,63,16,94,125,156,172,63,953,63,62,62,109,110,172,47,2
109,47,172,78,94,141,63,62,0,62,78,141,16,78,47,31,2
63,15,109,94,94,172,47,47,141,63,78,94,968,78,16,31,2
32,93,16,62,78,141,141,94,735,62,78,141,16,15,93,31,2
62,16,109,62,78,31,47,62,0,188,359,47,16,78,16,46,2
47,359,94,63,32,16,47,31,79,63,94,15,94,78,15,47,2
63,78,16,78,79,31,79,125,703,188,359,47,16,15,94,46,2
172,437,94,78,94,31,219,93,94,63,109,94,78,78,94,78,2
219,15,94,94,94,62,110,31,94,78,63,109,109,78,46,63,2
140,110,16,94,78,31,94,109,937,63,109,94,78,94,78,78,2
57,4369,113,69,90,63,192,89,78,78,78,111,63,37,78,69,2
192,4,79,98,65,31,187,89,172,68,150,94,141,13,85,63,2
74,6,79,79,104,63,172,11,74,78,78,111,63,15,94,69,2
110,156,125,94,109,63,94,79,78,250,78,63,78,63,78,78,2
94,15,94,78,63,16,62,109,141,78,63,47,109,94,62,172,2
187,78,410,78,78,63,141,93,828,250,78,63,78,266,109,78,2
93,32,125,63,93,32,125,63,562,94,78,78,63,88,78,16,2
125,32,94,94,93,16,78,47,94,47,63,31,109,32,421,46,2
78,78,32,78,93,32,94,63,719,94,78,78,63,15,125,16,2
62,141,78,63,78,219,62,63,78,63,1015,125,63,188,46,47,2
62,78,63,47,46,63,125,79,125,828,62,110,188,172,63,62,2
31,109,47,47,62,219,125,94,79,63,1015,125,63,125,78,47,2
109,125,109,78,125,63,94,94,109,78,109,93,94,78,63,31,2
94,16,78,78,78,31,46,16,63,78,78,110,94,78,94,31,2
125,0,78,94,94,63,63,94,843,78,109,93,94,31,141,31,2
93,47,125,110,94,31,94,78,172,62,79,62,110,78,16,16,2
94,16,62,62,47,32,125,62,62,78,93,93,78,32,93,32,2
79,31,62,46,62,31,62,78,609,62,79,62,110,32,78,16,2
94,31,78,79,79,15,94,109,94,63,78,94,78,78,0,16,2
94,0,63,62,78,32,31,31,31,78,78,94,94,15,79,16,2
62,16,78,62,78,15,31,62,781,63,78,94,78,15,110,16,2
63,343,63,46,47,62,63,62,62,62,156,109,110,78,110,31,2
63,0,78,47,47,47,141,110,156,125,47,125,140,78,47,47,2
203,47,16,62,47,62,156,62,922,62,156,109,110,47,63,31,2
140,31,141,109,94,62,125,94,94,47,62,62,110,93,32,47,2
125,32,110,94,78,32,62,16,78,94,46,31,110,78,47,62,2
31,109,16,63,94,62,78,79,828,47,62,62,110,46,94,47,2
63,78,78,62,62,63,78,63,62,62,94,93,63,31,78,47,2
78,62,79,62,62,78,15,78,94,78,63,94,79,47,62,62,2
94,78,78,62,78,63,94,62,62,62,94,93,63,31,125,47,2
109,47,63,31,78,47,47,93,594,78,78,63,16,47,94,0,2
47,16,78,78,110,93,0,609,110,63,78,62,78,94,16,94,2
94,156,0,78,110,47,110,31,0,78,78,63,16,93,78,0,2
94,32,109,78,62,157,94,79,125,62,79,78,78,15,94,31,2
94,16,93,78,63,0,93,125,15,78,78,110,141,47,78,94,2
110,78,78,93,78,157,15,140,0,62,79,78,78,156,94,31,2
94,109,62,63,63,94,94,63,93,63,109,94,78,78,78,78,2
94,47,63,78,63,63,172,62,110,78,78,109,156,78,62,62,2
63,62,63,47,63,94,110,63,110,63,109,94,78,47,94,78,2
78,47,157,125,156,0,94,63,0,94,62,109,46,94,47,31,2
94,15,94,125,78,78,219,62,110,62,63,125,1390,94,94,0,2
47,47,16,78,94,0,110,125,984,94,62,109,46,31,156,31,2
62,79,109,94,78,62,78,94,94,78,94,0,15,78,63,32,2
78,125,93,94,63,78,109,78,120,94,46,172,0,78,94,93,2
78,31,78,31,156,62,120,78,735,78,94,0,15,94,78,32,2
