dtfk1,dtsk1,dtfk2,dtsk2,dtsk5,dtfk6,ft6,ft7,dtsk7,dtfk8,dtsk9,ft10,dtsk10,dtfk11,ft11,dtfk12,dtsk12,dtfk13,dtfk14,ft14,gender
47,63,63,62,78,62,110,94,94,78,78,78,78,94,94,109,79,78,47,109,1
62,93,78,62,94,78,62,47,78,78,94,62,79,110,78,125,156,93,62,94,1
63,93,94,79,94,47,62,94,78,93,93,78,78,94,94,109,79,63,47,109,1
109,109,109,78,62,62,16,15,78,94,31,62,47,62,47,94,78,62,31,63,1
78,78,15,16,32,47,125,63,62,78,94,63,62,47,63,94,16,16,47,32,1
32,16,79,63,62,79,47,78,47,90,437,62,47,62,47,94,78,46,31,63,1
78,62,62,62,63,78,125,46,47,78,109,62,94,63,93,78,78,63,79,171,1
63,63,453,94,94,94,62,47,63,63,78,94,47,47,109,94,16,62,63,46,1
78,62,62,62,94,16,78,16,78,79,93,62,94,63,93,78,78,63,79,171,1
119,156,156,94,94,93,63,157,93,94,114,63,93,109,31,94,78,63,94,31,1
94,94,125,78,78,93,63,94,63,63,109,78,47,110,47,172,63,16,94,78,1
15,16,187,94,78,62,31,16,93,62,31,63,93,109,31,94,78,78,94,31,1
78,94,94,78,47,32,187,94,62,125,234,78,63,93,156,15,16,16,47,94,1
47,78,156,125,47,63,94,93,16,187,94,63,62,16,78,32,156,328,63,141,1
235,328,141,47,109,78,15,47,78,63,94,78,63,93,156,15,16,31,47,94,1
79,109,109,94,78,94,93,78,63,63,93,78,94,78,63,62,78,78,63,31,1
94,78,141,78,78,94,78,187,78,62,78,78,47,78,62,204,79,78,78,63,1
78,78,47,47,78,31,63,47,78,78,79,78,94,78,63,62,78,78,63,31,1
109,125,125,94,125,47,62,47,31,94,94,79,62,141,78,203,78,109,125,16,1
125,47,94,62,125,62,78,31,109,109,94,78,93,94,94,79,47,109,78,47,1
93,109,125,78,172,15,79,47,125,78,47,79,62,141,78,203,78,124,125,16,1
94,141,141,94,31,16,62,94,16,4,16,47,78,16,79,672,78,15,16,110,1
110,15,47,94,32,78,141,141,15,172,141,63,62,78,32,671,125,15,78,16,1
31,15,47,15,32,156,31,78,16,72,62,47,78,16,79,672,78,78,16,110,1
62,125,125,94,16,110,31,16,62,78,94,47,78,94,31,93,94,16,94,15,1
62,78,78,78,47,78,140,47,16,63,62,63,47,94,16,78,94,391,62,32,1
