dtfk1,dtsk1,ft2,ft3,dtfk4,ft4,ft5,dtfk6,ft6,dtfk7,ft7,dtfk8,dtfk9,dtfk10,ft10,dtfk11,dtfk12,ft12,dtfk13,dtfk14,sum,gender
47,63,172,63,78,109,156,62,110,62,94,78,94,141,78,94,109,31,78,47,3423,1
62,93,94,63,62,32,125,78,62,93,47,78,94,47,62,110,125,78,93,62,3295,1
63,93,78,15,78,109,140,47,62,62,94,93,63,141,78,94,109,31,63,47,3422,1
109,109,32,15,62,313,47,62,16,79,15,94,453,16,62,62,94,234,62,31,4029,1
78,78,93,32,62,16,578,47,125,437,63,78,15,32,63,47,94,172,16,47,3846,1
32,16,172,62,62,313,79,79,47,250,78,90,640,16,62,62,94,234,46,31,4828,1
78,62,188,32,78,109,15,78,125,79,46,78,94,63,62,63,78,16,63,79,3970,1
63,63,31,78,47,62,47,94,62,93,47,63,94,62,94,47,94,62,62,63,3172,1
78,62,94,63,78,109,32,16,78,62,16,79,78,63,62,63,78,16,63,79,3378,1
119,156,16,62,78,172,47,93,63,78,157,94,79,594,63,109,94,31,63,94,4577,1
94,94,16,47,78,15,31,93,63,31,94,63,63,94,78,110,172,78,16,94,3844,1
15,16,32,47,78,172,16,62,31,78,16,62,844,594,63,109,94,31,78,94,4530,1
78,94,141,62,63,141,47,32,187,62,94,125,47,47,78,93,15,93,16,47,3734,1
47,78,78,62,47,47,47,63,94,94,93,187,47,78,63,16,32,94,328,63,3222,1
235,328,219,47,63,141,31,78,15,78,47,63,1062,47,78,93,15,93,31,47,4719,1
79,109,109,78,78,94,312,94,93,78,78,63,94,78,78,78,62,78,78,63,3765,1
94,78,16,110,78,16,188,94,78,79,187,62,125,47,78,78,204,46,78,78,3425,1
78,78,109,15,78,94,172,31,63,78,47,78,94,78,78,78,62,78,78,63,3281,1
109,125,94,15,63,172,156,47,62,16,47,94,94,16,79,141,203,16,109,125,3737,1
125,47,125,110,109,16,109,62,78,47,31,109,93,94,78,94,79,62,109,78,3577,1
93,109,78,94,63,172,547,15,79,78,47,78,0,16,79,141,203,16,124,125,4000,1
94,141,47,125,93,16,47,16,62,31,94,4,562,15,47,16,672,31,15,16,4273,1
110,15,125,141,110,78,625,78,141,62,141,172,47,62,63,78,671,47,15,78,4784,1
31,15,141,78,93,16,656,156,31,31,78,72,703,15,47,16,672,31,78,16,6569,1
