dtsk2,ft3,ft4,dtsk4,dtsk5,dtsk6,ft7,dtfk8,dtfk9,dtfk10,ft10,dtsk10,ft13,dtsk13,dtfk14,dtsk14,sum,gender
62,63,109,94,78,62,94,78,94,141,78,78,63,94,47,63,3423,1
62,63,32,62,94,79,47,78,94,47,62,79,47,78,62,63,3295,1
79,15,109,94,94,94,94,93,63,141,78,78,140,47,47,63,3422,1
78,15,313,391,62,78,15,94,453,16,62,47,125,16,31,15,4029,1
16,32,16,47,32,16,63,78,15,32,63,62,78,94,47,46,3846,1
63,62,313,391,62,15,78,90,640,16,62,47,32,62,31,15,4828,1
62,32,109,219,63,63,46,78,94,63,62,94,62,78,79,63,3970,1
94,78,62,63,94,47,47,63,94,62,94,47,63,78,63,63,3172,1
62,63,109,219,94,94,16,79,78,63,62,94,266,109,79,63,3378,1
94,62,172,266,94,94,157,94,79,594,63,93,78,15,94,78,4577,1
78,47,15,78,78,844,94,63,63,94,78,47,109,78,94,78,3844,1
94,47,172,266,78,63,16,62,844,594,63,93,47,110,94,78,4530,1
78,62,141,281,47,47,94,125,47,47,78,63,78,94,47,47,3734,1
125,62,47,78,47,62,93,187,47,78,63,62,62,47,63,31,3222,1
47,47,141,281,109,47,47,63,1062,47,78,63,62,328,47,47,4719,1
94,78,94,94,78,94,78,63,94,78,78,94,125,63,63,62,3765,1
78,110,16,62,78,94,187,62,125,47,78,47,47,78,78,78,3425,1
47,15,94,94,78,125,47,78,94,78,78,94,218,79,63,62,3281,1
94,15,172,125,125,125,47,94,94,16,79,62,16,94,125,109,3737,1
62,110,16,78,125,110,31,109,93,94,78,93,32,78,78,124,3577,1
78,94,172,125,172,93,47,78,0,16,79,62,16,78,125,109,4000,1
94,125,16,94,31,110,94,4,562,15,47,78,78,32,16,31,4273,1
94,141,78,94,32,47,141,172,47,62,63,62,125,15,78,78,4784,1
15,78,16,94,32,47,78,72,703,15,47,78,31,109,16,31,6569,1
94,47,16,125,16,62,16,78,0,15,47,78,63,31,94,78,2609,1
78,78,32,62,47,32,47,63,62,46,63,47,78,15,62,62,2828,1
31,32,16,125,78,62,31,77,1312,15,47,78,16,62,94,78,6135,1
109,16,63,78,78,110,16,109,94,31,63,93,78,78,78,94,3422,1
47,47,31,78,266,109,16,93,110,62,78,79,47,78,93,109,3563,1
78,31,63,78,109,110,16,110,78,31,63,93,63,78,78,94,3358,1
63,16,62,156,78,94,204,140,125,219,78,78,47,78,78,93,4014,1
78,15,63,31,79,157,31,31,16,78,47,78,32,78,31,47,3061,1
94,93,62,156,141,16,32,78,62,219,78,78,63,31,78,93,3506,1
47,31,63,78,31,78,63,78,94,47,47,93,125,93,63,79,2970,1
94,31,15,79,78,15,15,62,94,78,79,78,63,47,47,94,2738,1
78,15,63,78,125,94,16,78,0,47,47,93,63,93,63,79,2846,1
94,78,156,235,94,250,47,78,78,156,94,110,47,265,62,94,5096,1
94,63,15,78,109,141,109,62,43,79,78,62,32,93,62,93,4137,1
46,15,156,235,109,43,110,78,1063,156,94,110,32,78,62,94,5517,1
78,15,62,94,78,110,16,78,78,31,94,62,79,78,94,78,3534,1
78,31,47,62,79,62,265,62,16,47,110,62,78,78,125,94,3531,1
