ft1,dtsk2,ft3,dtsk3,dtfk4,ft4,ft5,ft6,dtsk6,dtfk8,ft8,dtfk10,ft10,dtsk10,dtsk11,ft12,dtfk13,dtsk13,ft14,sum,gender
31,62,63,78,78,109,156,110,62,78,94,141,78,78,31,31,78,94,109,3423,1
32,62,63,62,62,32,125,62,79,78,125,47,62,79,93,78,93,78,94,3295,1
78,79,15,32,78,109,140,62,94,93,94,141,78,78,31,31,63,47,109,3422,1
16,78,15,62,62,313,47,16,78,94,62,16,62,47,32,234,62,16,63,4029,1
16,16,32,62,62,16,578,125,16,78,94,32,63,62,94,172,16,94,32,3846,1
62,63,62,50,62,313,79,47,15,90,62,16,62,47,32,234,46,62,63,4828,1
594,62,32,78,78,109,15,125,63,78,125,63,62,94,63,16,63,78,171,3970,1
31,94,78,78,47,62,47,62,47,63,109,62,94,47,47,62,62,78,46,3172,1
110,62,63,47,78,109,32,78,94,79,63,63,62,94,63,16,63,109,171,3378,1
47,94,62,78,78,172,47,63,94,94,312,594,63,93,94,31,63,15,31,4577,1
93,78,47,93,78,15,31,63,844,63,94,94,78,47,78,78,16,78,78,3844,1
94,94,47,94,78,172,16,31,63,62,109,594,63,93,94,31,78,110,31,4530,1
78,78,62,63,63,141,47,187,47,125,31,47,78,63,47,93,16,94,94,3734,1
78,125,62,32,47,47,47,94,62,187,32,78,63,62,47,94,328,47,141,3222,1
47,47,47,63,63,141,31,15,47,63,0,47,78,63,47,93,31,328,94,4719,1
125,94,78,78,78,94,312,93,94,63,125,78,78,94,78,78,78,63,31,3765,1
16,78,110,94,78,16,188,78,94,62,94,47,78,47,63,46,78,78,63,3425,1
31,47,15,63,78,94,172,63,125,78,46,78,78,94,78,78,78,79,31,3281,1
78,94,15,63,63,172,156,62,125,94,94,16,79,62,157,16,109,94,16,3737,1
188,62,110,47,109,16,109,78,110,109,78,94,78,93,62,62,109,78,47,3577,1
16,78,94,15,63,172,547,79,93,78,109,16,79,62,157,16,124,78,16,4000,1
47,94,125,93,93,16,47,62,110,4,80,15,47,78,62,31,15,32,110,4273,1
94,94,141,16,110,78,625,141,47,172,16,62,63,62,141,47,15,15,16,4784,1
94,15,78,31,93,16,656,31,47,72,593,15,47,78,62,31,78,109,110,6569,1
63,94,47,62,62,16,32,31,62,78,78,15,47,78,47,16,16,31,15,2609,1
16,78,78,110,78,32,16,140,32,63,78,46,63,47,109,109,391,15,32,2828,1
94,31,32,62,62,16,16,16,62,77,703,15,47,78,47,16,62,62,15,6135,1
62,109,16,78,78,63,94,94,110,109,79,31,63,93,109,31,94,78,16,3422,1
15,47,47,78,109,31,141,63,109,93,78,62,78,79,93,93,62,78,16,3563,1
16,78,31,94,78,63,78,93,110,110,110,31,63,93,109,31,109,78,16,3358,1
