ft1,dtsk1,dtsk2,dtsk4,ft5,dtsk5,dtfk6,ft7,dtsk7,ft8,ft9,ft10,ft11,dtsk11,dtfk12,ft13,dtfk14,ft14,dtsk14,sum,gender
31,63,62,94,156,78,62,94,94,94,94,78,94,31,109,63,47,109,63,3423,1
32,93,62,62,125,94,78,47,78,125,78,62,78,93,125,47,62,94,63,3295,1
78,93,79,94,140,94,47,94,78,94,94,78,94,31,109,140,47,109,63,3422,1
16,109,78,391,47,62,62,15,78,62,94,62,47,32,94,125,31,63,15,4029,1
16,78,16,47,578,32,47,63,62,94,31,63,63,94,94,78,47,32,46,3846,1
62,16,63,391,79,62,79,78,47,62,63,62,47,32,94,32,31,63,15,4828,1
594,62,62,219,15,63,78,46,47,125,16,62,93,63,78,62,79,171,63,3970,1
31,63,94,63,47,94,94,47,63,109,78,94,109,47,94,63,63,46,63,3172,1
110,62,62,219,32,94,16,16,78,63,47,62,93,63,78,266,79,171,63,3378,1
47,156,94,266,47,94,93,157,93,312,46,63,31,94,94,78,94,31,78,4577,1
93,94,78,78,31,78,93,94,63,94,47,78,47,78,172,109,94,78,78,3844,1
94,16,94,266,16,78,62,16,93,109,62,63,31,94,94,47,94,31,78,4530,1
78,94,78,281,47,47,32,94,62,31,140,78,156,47,15,78,47,94,47,3734,1
78,78,125,78,47,47,63,93,16,32,94,63,78,47,32,62,63,141,31,3222,1
47,328,47,281,31,109,78,47,78,0,94,78,156,47,15,62,47,94,47,4719,1
125,109,94,94,312,78,94,78,63,125,94,78,63,78,62,125,63,31,62,3765,1
16,78,78,62,188,78,94,187,78,94,94,78,62,63,204,47,78,63,78,3425,1
31,78,47,94,172,78,31,47,78,46,15,78,63,78,62,218,63,31,62,3281,1
78,125,94,125,156,125,47,47,31,94,93,79,78,157,203,16,125,16,109,3737,1
188,47,62,78,109,125,62,31,109,78,94,78,94,62,79,32,78,47,124,3577,1
16,109,78,125,547,172,15,47,125,109,78,79,78,157,203,16,125,16,109,4000,1
47,141,94,94,47,31,16,94,16,80,640,47,79,62,672,78,16,110,31,4273,1
94,15,94,94,625,32,78,141,15,16,109,63,32,141,671,125,78,16,78,4784,1
94,15,15,94,656,32,156,78,16,593,734,47,79,62,672,31,16,110,31,6569,1
63,125,94,125,32,16,110,16,62,78,31,47,31,47,93,63,94,15,78,2609,1
16,78,78,62,16,47,78,47,16,78,32,63,16,109,78,78,62,32,62,2828,1
94,391,31,125,16,78,62,31,93,703,1375,47,31,47,93,16,94,15,78,6135,1
62,110,109,78,94,78,78,16,62,79,94,63,78,109,94,78,78,16,94,3422,1
15,78,47,78,141,266,93,16,94,78,62,78,86,93,78,47,93,16,109,3563,1
16,62,78,78,78,109,47,16,62,110,172,63,78,109,94,63,78,16,94,3358,1
31,157,63,156,32,78,109,204,78,16,109,78,141,62,15,47,78,32,93,4014,1
