ft1,dtfk2,ft2,dtfk3,dtsk4,ft5,dtsk5,dtsk6,dtfk7,ft7,dtfk8,dtsk8,ft9,dtsk9,dtfk11,dtfk12,dtsk12,ft13,dtfk14,ft14,dtsk14,gender
31,63,172,62,94,156,78,62,62,94,78,62,94,78,94,109,79,63,47,109,63,1
32,78,94,62,62,125,94,79,93,47,78,47,78,94,110,125,156,47,62,94,63,1
78,94,78,94,94,140,94,94,62,94,93,125,94,93,94,109,79,140,47,109,63,1
16,109,32,78,391,47,62,78,79,15,94,109,94,31,62,94,78,125,31,63,15,1
16,15,93,93,47,578,32,16,437,63,78,94,31,94,47,94,16,78,47,32,46,1
62,79,172,78,391,79,62,15,250,78,90,94,63,437,62,94,78,32,31,63,15,1
594,62,188,62,219,15,63,63,79,46,78,63,16,109,63,78,78,62,79,171,63,1
31,453,31,62,63,47,94,47,93,47,63,63,78,78,47,94,16,63,63,46,63,1
110,62,94,47,219,32,94,94,62,16,79,94,47,93,63,78,78,266,79,171,63,1
47,156,16,94,266,47,94,94,78,157,94,63,46,114,109,94,78,78,94,31,78,1
93,125,16,78,78,31,78,844,31,94,63,62,47,109,110,172,63,109,94,78,78,1
94,187,32,93,266,16,78,63,78,16,62,172,62,31,109,94,78,47,94,31,78,1
78,94,141,78,281,47,47,47,62,94,125,63,140,234,93,15,16,78,47,94,47,1
78,156,78,63,78,47,47,62,94,93,187,63,94,94,16,32,156,62,63,141,31,1
47,141,219,62,281,31,109,47,78,47,63,32,94,94,93,15,16,62,47,94,47,1
125,109,109,94,94,312,78,94,78,78,63,62,94,93,78,62,78,125,63,31,62,1
16,141,16,62,62,188,78,94,79,187,62,78,94,78,78,204,79,47,78,63,78,1
31,47,109,63,94,172,78,125,78,47,78,204,15,79,78,62,78,218,63,31,62,1
78,125,94,94,125,156,125,125,16,47,94,78,93,94,141,203,78,16,125,16,109,1
188,94,125,16,78,109,125,110,47,31,109,94,94,94,94,79,47,32,78,47,124,1
16,125,78,31,125,547,172,93,78,47,78,79,78,47,141,203,78,16,125,16,109,1
47,141,47,94,94,47,31,110,31,94,4,31,640,16,16,672,78,78,16,110,31,1
94,47,125,63,94,625,32,47,62,141,172,31,109,141,78,671,125,125,78,16,78,1
94,47,141,16,94,656,32,47,31,78,72,671,734,62,16,672,78,31,16,110,31,1
63,125,31,94,125,32,16,62,78,16,78,78,31,94,94,93,94,63,94,15,78,1
16,78,16,62,62,16,47,32,31,47,63,78,32,62,94,78,94,78,62,32,62,1
94,109,172,62,125,16,78,62,94,31,77,78,1375,31,94,93,94,16,94,15,78,1
62,110,109,109,78,94,78,110,78,16,109,93,94,109,94,94,109,78,78,16,94,1
15,109,78,93,78,141,266,109,109,16,93,110,62,94,75,78,47,47,93,16,109,1
16,78,94,62,78,78,109,110,109,16,110,78,172,109,94,94,109,63,78,16,94,1
31,157,171,63,156,32,78,94,78,204,140,78,109,31,31,15,484,47,78,32,93,1
31,187,31,79,31,15,79,157,63,31,31,31,78,94,15,125,62,32,31,78,47,1
16,62,94,78,156,47,141,16,62,32,78,125,78,63,31,15,484,63,78,32,93,1
