dtfk1,ft1,dtsk1,ft2,ft4,ft5,dtsk7,dtfk8,dtsk8,dtfk10,ft10,dtfk12,ft12,ft13,dtsk13,dtfk14,gender
47,31,63,172,109,156,94,78,62,141,78,109,31,63,94,47,1
62,32,93,94,32,125,78,78,47,47,62,125,78,47,78,62,1
63,78,93,78,109,140,78,93,125,141,78,109,31,140,47,47,1
109,16,109,32,313,47,78,94,109,16,62,94,234,125,16,31,1
78,16,78,93,16,578,62,78,94,32,63,94,172,78,94,47,1
32,62,16,172,313,79,47,90,94,16,62,94,234,32,62,31,1
78,594,62,188,109,15,47,78,63,63,62,78,16,62,78,79,1
63,31,63,31,62,47,63,63,63,62,94,94,62,63,78,63,1
78,110,62,94,109,32,78,79,94,63,62,78,16,266,109,79,1
119,47,156,16,172,47,93,94,63,594,63,94,31,78,15,94,1
94,93,94,16,15,31,63,63,62,94,78,172,78,109,78,94,1
15,94,16,32,172,16,93,62,172,594,63,94,31,47,110,94,1
78,78,94,141,141,47,62,125,63,47,78,15,93,78,94,47,1
47,78,78,78,47,47,16,187,63,78,63,32,94,62,47,63,1
235,47,328,219,141,31,78,63,32,47,78,15,93,62,328,47,1
79,125,109,109,94,312,63,63,62,78,78,62,78,125,63,63,1
94,16,78,16,16,188,78,62,78,47,78,204,46,47,78,78,1
78,31,78,109,94,172,78,78,204,78,78,62,78,218,79,63,1
109,78,125,94,172,156,31,94,78,16,79,203,16,16,94,125,1
125,188,47,125,16,109,109,109,94,94,78,79,62,32,78,78,1
93,16,109,78,172,547,125,78,79,16,79,203,16,16,78,125,1
94,47,141,47,16,47,16,4,31,15,47,672,31,78,32,16,1
110,94,15,125,78,625,15,172,31,62,63,671,47,125,15,78,1
31,94,15,141,16,656,16,72,671,15,47,672,31,31,109,16,1
62,63,125,31,16,32,62,78,78,15,47,93,16,63,31,94,1
62,16,78,16,32,16,16,63,78,46,63,78,109,78,15,62,1
16,94,391,172,16,16,93,77,78,15,47,93,16,16,62,94,1
94,62,110,109,63,94,62,109,93,31,63,94,31,78,78,78,1
110,15,78,78,31,141,94,93,110,62,78,78,93,47,78,93,1
109,16,62,94,63,78,62,110,78,31,63,94,31,63,78,78,1
78,31,157,171,62,32,78,140,78,219,78,15,94,47,78,78,1
94,31,94,31,63,15,62,31,31,78,47,125,78,32,78,31,1
94,16,93,94,62,47,78,78,125,219,78,15,94,63,31,78,1
47,93,63,125,63,156,78,78,62,47,47,78,16,125,93,63,1
78,32,110,15,15,16,110,62,47,78,79,93,94,63,47,47,1
16,62,32,31,63,16,78,78,93,47,47,78,16,63,93,63,1
47,281,125,500,156,31,63,78,125,156,94,109,125,47,265,62,1
250,16,125,15,15,125,63,62,125,79,78,31,141,32,93,62,1
78,47,156,141,156,46,93,78,31,156,94,109,125,32,78,62,1
78,187,94,110,62,141,94,78,78,31,94,109,156,79,78,94,1
110,15,78,79,47,109,32,62,78,47,110,78,94,78,78,125,1
94,16,62,63,62,94,93,110,78,31,94,109,156,31,63,94,1
109,31,109,79,32,62,63,79,62,656,47,766,782,125,16,15,1
63,15,78,93,15,703,47,16,62,78,63,832,62,78,15,15,1
94,157,15,63,32,15,47,62,832,656,47,766,782,109,16,15,1
78,16,93,79,15,94,78,94,47,31,79,78,0,94,469,110,1
94,15,94,156,15,125,15,15,78,63,78,78,93,156,78,94,1
94,47,78,125,15,125,62,78,78,31,79,78,0,32,109,110,1
93,16,94,94,78,94,172,94,110,94,156,94,78,63,109,78,1
250,16,125,15,16,62,94,47,110,172,62,156,109,703,62,109,1
140,16,94,110,78,93,78,156,156,94,156,94,78,31,110,78,1
562,16,78,110,0,109,79,94,93,109,62,78,594,47,78,93,1
93,16,78,16,78,78,78,62,94,63,78,109,78,31,78,78,1
156,47,78,94,0,78,78,78,109,109,62,78,594,172,94,93,1
125,157,109,141,265,63,219,109,94,46,125,47,172,94,141,78,1
38,129,297,47,250,15,125,94,62,94,172,157,282,406,16,156,1
16,125,344,141,265,46,94,94,157,46,125,47,172,31,109,78,1
94,296,110,31,78,63,110,94,109,78,63,109,94,125,94,94,1
78,94,94,63,16,78,62,641,108,78,94,141,78,93,47,78,1
125,93,32,62,78,62,109,94,141,78,63,109,94,156,63,94,1
141,16,93,172,391,15,79,125,109,297,78,93,282,62,360,93,1
93,32,93,31,47,15,344,125,125,78,94,78,141,94,344,94,1
234,141,62,16,391,15,109,94,78,297,78,93,282,141,266,93,1
62,32,109,234,15,16,63,63,78,94,47,94,47,78,47,62,1
63,15,94,16,63,15,15,93,62,78,63,109,78,31,63,63,1
78,63,62,203,15,16,79,78,109,94,47,94,47,46,47,62,1
141,15,82,121,53,259,16,125,93,156,47,110,343,31,125,94,1
109,188,62,78,15,172,110,16,109,79,78,125,125,15,109,156,1
125,15,110,78,53,223,78,171,125,156,47,110,343,16,125,94,1
94,31,78,94,15,62,46,31,94,78,15,78,16,15,47,15,1
78,16,62,94,79,63,79,15,172,63,62,109,172,47,78,109,1
140,31,63,78,15,62,16,110,109,78,15,78,16,78,62,15,1
125,62,94,125,63,125,63,125,63,265,79,62,32,65,78,78,1
172,16,78,31,31,125,41,63,46,31,62,126,46,63,62,78,1
94,31,47,62,63,125,62,94,126,265,79,62,32,47,94,78,1
78,62,110,125,156,16,94,109,78,47,63,187,16,32,109,79,1
203,31,125,125,16,15,109,78,78,63,93,110,93,16,93,94,1
78,47,78,125,156,109,63,63,110,47,63,187,16,62,47,79,1
62,32,78,125,47,141,78,78,78,78,62,63,15,94,63,78,1
78,47,62,110,32,157,47,78,94,47,109,125,47,47,62,63,1
63,125,47,94,47,140,63,63,125,78,62,63,15,62,63,78,1
94,141,93,157,250,62,125,422,250,62,78,47,125,125,125,78,1
313,109,32,47,79,62,62,359,63,62,78,94,78,16,78,62,1
78,78,156,47,250,63,62,94,94,62,78,47,125,31,109,78,1
93,282,93,94,234,47,47,79,62,78,78,78,828,297,78,63,1
63,297,62,141,188,63,78,93,78,62,94,94,62,484,79,78,1
62,797,94,94,234,203,47,62,94,78,78,78,828,375,63,63,1
93,32,93,63,110,63,0,187,93,78,78,109,32,78,78,93,1
78,16,94,47,31,16,47,62,78,63,93,94,93,78,31,62,1
31,172,0,93,110,938,78,94,94,78,78,109,32,63,187,93,1
156,0,94,16,32,16,63,156,110,31,47,63,16,78,16,78,1
62,16,94,141,93,31,47,93,125,63,78,16,109,16,62,94,1
47,31,62,16,32,31,109,125,16,31,47,63,16,62,78,78,1
125,15,110,78,94,203,78,78,78,141,109,93,16,78,78,93,1
187,16,78,125,31,0,78,93,94,234,328,94,93,32,62,94,1
78,31,78,109,94,171,62,79,94,141,109,93,16,16,78,93,1
125,172,94,203,250,110,63,62,47,94,78,94,265,422,78,93,1
110,359,94,62,219,78,63,109,109,93,94,156,94,547,94,110,1
94,313,93,109,250,250,78,109,156,94,78,94,265,203,63,93,1
63,94,93,125,93,31,78,141,172,78,56,79,15,78,47,62,1
62,16,47,140,16,594,78,78,62,62,78,47,110,47,63,63,1
78,31,31,94,93,16,63,78,47,78,56,79,15,172,78,62,1
109,16,110,47,391,31,94,110,79,94,31,109,16,78,31,78,1
94,0,109,63,141,32,15,63,47,63,62,687,94,110,31,78,1
78,109,32,31,391,31,94,0,687,94,31,109,16,62,63,78,1
125,31,110,46,485,47,62,125,63,47,78,125,16,125,62,78,1
93,16,94,31,47,31,0,78,109,62,94,172,78,15,63,94,1
156,16,94,47,485,16,94,109,172,47,78,125,16,125,94,78,1
62,63,93,110,125,171,78,78,78,63,47,78,172,78,63,46,1
172,15,93,94,46,31,63,78,109,62,78,125,62,125,31,62,1
62,0,63,78,125,47,62,62,125,63,47,78,172,62,32,46,1
93,547,156,16,128,40,78,15,94,47,62,47,15,93,16,94,1
78,16,109,47,47,734,32,109,125,78,78,110,94,0,63,15,1
78,78,78,63,128,47,172,47,110,47,62,47,15,78,47,94,1
63,15,63,93,63,188,94,78,62,47,94,47,78,109,47,93,1
62,78,125,93,62,207,47,94,62,47,78,93,110,438,62,94,1
62,31,47,109,63,687,78,63,93,47,94,47,78,47,62,93,1
78,47,94,78,271,47,62,94,62,47,62,47,15,94,31,62,1
62,31,78,110,32,47,32,78,78,63,62,62,94,32,62,78,1
63,0,62,125,271,140,32,76,62,47,62,47,15,31,156,62,1
78,94,94,109,140,250,62,62,63,125,47,63,125,125,62,62,1
63,47,78,109,94,125,63,78,62,62,78,110,62,63,46,63,1
63,78,78,125,140,172,83,47,110,125,47,63,125,78,47,62,1
126,31,125,94,31,31,93,109,63,0,93,32,46,94,78,78,1
125,46,125,172,15,125,31,94,62,93,110,109,78,47,94,157,1
141,0,62,109,31,93,94,94,109,0,93,32,46,0,110,78,1
62,78,110,62,78,94,94,93,31,32,62,141,0,79,46,78,1
94,0,78,156,61,94,31,47,78,78,78,141,94,31,94,78,1
94,47,31,110,78,78,78,109,141,32,62,141,0,47,78,78,1
125,16,94,109,188,31,78,109,125,78,63,93,125,125,125,78,1
156,16,62,63,0,31,125,78,125,78,47,125,94,0,94,62,1
109,31,125,110,188,0,94,78,125,78,63,93,125,31,109,78,1
125,16,109,15,109,47,31,47,31,16,62,31,31,110,62,78,1
47,78,16,62,94,140,156,125,31,78,78,78,156,125,15,63,1
16,79,31,47,109,15,109,78,78,16,62,31,31,0,62,78,1
141,62,110,250,203,249,407,78,78,234,79,78,47,391,109,78,1
109,63,93,93,157,204,78,109,78,281,63,213,94,516,78,94,1
110,0,78,110,203,63,78,78,213,234,79,78,47,235,78,78,1
156,47,47,62,79,15,110,94,78,63,78,63,31,5,84,46,1
15,63,31,79,94,0,48,46,93,31,78,31,109,94,0,16,1
63,15,16,328,79,125,79,93,31,63,78,63,31,110,15,46,1
156,16,125,109,109,156,93,218,111,94,109,47,157,93,161,141,1
125,110,109,16,141,0,110,297,109,93,110,47,172,140,516,125,1
250,110,531,16,109,156,78,110,47,94,109,47,157,110,109,141,1
125,93,125,94,125,78,93,78,93,94,62,109,110,47,109,109,1
141,78,125,125,47,32,94,109,94,47,93,187,94,31,125,109,1
109,16,94,31,125,47,78,110,187,94,62,109,110,78,141,109,1
78,63,109,78,125,219,63,94,78,93,63,94,46,94,78,110,1
109,32,62,109,31,187,63,94,78,78,109,125,63,16,93,78,1
78,78,63,110,125,234,63,94,125,93,63,94,46,31,94,110,1
93,47,110,93,47,32,109,141,125,15,141,125,16,109,16,125,1
94,16,109,140,0,78,78,94,78,62,110,110,93,140,16,78,1
250,0,62,63,47,79,94,94,110,15,141,125,16,0,109,125,1
125,15,78,94,16,62,78,140,63,47,47,109,78,110,15,110,1
78,15,94,109,78,15,0,172,63,78,109,31,109,15,94,94,1
78,31,94,93,16,0,62,78,31,47,47,109,78,141,78,110,1
93,47,94,141,16,15,94,78,94,157,62,141,94,109,125,109,1
172,16,78,0,32,16,94,94,125,110,93,375,78,78,0,78,1
62,110,15,219,16,47,172,78,375,157,62,141,94,15,141,109,1
94,78,125,94,109,78,110,110,78,156,78,109,110,94,78,94,1
500,15,156,16,47,15,78,110,78,79,62,94,94,78,78,78,1
93,375,79,109,109,47,110,78,94,156,78,109,110,484,203,94,1
156,47,78,63,31,32,31,78,32,94,16,62,47,78,0,0,1
78,156,32,125,156,625,31,31,63,31,94,47,109,78,31,31,1
78,156,32,47,31,193,93,16,47,94,16,62,47,79,78,0,1
110,15,109,63,31,31,203,203,93,125,47,31,16,109,16,15,1
47,31,109,547,110,0,46,16,62,47,93,1000,78,94,15,0,1
