dtfk1,ft1,dtsk1,ft2,dtsk2,dtfk3,ft3,dtsk3,ft4,dtsk5,dtfk6,dtfk7,dtfk9,ft9,dtsk9,dtfk10,dtsk11,dtfk12,ft12,dtsk12,dtsk13,dtfk14,gender
47,31,63,172,62,62,63,78,109,78,62,62,94,94,78,141,31,109,31,79,94,47,1
62,32,93,94,62,62,63,62,32,94,78,93,94,78,94,47,93,125,78,156,78,62,1
63,78,93,78,79,94,15,32,109,94,47,62,63,94,93,141,31,109,31,79,47,47,1
109,16,109,32,78,78,15,62,313,62,62,79,453,94,31,16,32,94,234,78,16,31,1
78,16,78,93,16,93,32,62,16,32,47,437,15,31,94,32,94,94,172,16,94,47,1
32,62,16,172,63,78,62,50,313,62,79,250,640,63,437,16,32,94,234,78,62,31,1
78,594,62,188,62,62,32,78,109,63,78,79,94,16,109,63,63,78,16,78,78,79,1
63,31,63,31,94,62,78,78,62,94,94,93,94,78,78,62,47,94,62,16,78,63,1
78,110,62,94,62,47,63,47,109,94,16,62,78,47,93,63,63,78,16,78,109,79,1
119,47,156,16,94,94,62,78,172,94,93,78,79,46,114,594,94,94,31,78,15,94,1
94,93,94,16,78,78,47,93,15,78,93,31,63,47,109,94,78,172,78,63,78,94,1
15,94,16,32,94,93,47,94,172,78,62,78,844,62,31,594,94,94,31,78,110,94,1
78,78,94,141,78,78,62,63,141,47,32,62,47,140,234,47,47,15,93,16,94,47,1
47,78,78,78,125,63,62,32,47,47,63,94,47,94,94,78,47,32,94,156,47,63,1
235,47,328,219,47,62,47,63,141,109,78,78,1062,94,94,47,47,15,93,16,328,47,1
79,125,109,109,94,94,78,78,94,78,94,78,94,94,93,78,78,62,78,78,63,63,1
94,16,78,16,78,62,110,94,16,78,94,79,125,94,78,47,63,204,46,79,78,78,1
78,31,78,109,47,63,15,63,94,78,31,78,94,15,79,78,78,62,78,78,79,63,1
109,78,125,94,94,94,15,63,172,125,47,16,94,93,94,16,157,203,16,78,94,125,1
125,188,47,125,62,16,110,47,16,125,62,47,93,94,94,94,62,79,62,47,78,78,1
93,16,109,78,78,31,94,15,172,172,15,78,0,78,47,16,157,203,16,78,78,125,1
94,47,141,47,94,94,125,93,16,31,16,31,562,640,16,15,62,672,31,78,32,16,1
110,94,15,125,94,63,141,16,78,32,78,62,47,109,141,62,141,671,47,125,15,78,1
31,94,15,141,15,16,78,31,16,32,156,31,703,734,62,15,62,672,31,78,109,16,1
62,63,125,31,94,94,47,62,16,16,110,78,0,31,94,15,47,93,16,94,31,94,1
62,16,78,16,78,62,78,110,32,47,78,31,62,32,62,46,109,78,109,94,15,62,1
16,94,391,172,31,62,32,62,16,78,62,94,1312,1375,31,15,47,93,16,94,62,94,1
94,62,110,109,109,109,16,78,63,78,78,78,94,94,109,31,109,94,31,109,78,78,1
110,15,78,78,47,93,47,78,31,266,93,109,110,62,94,62,93,78,93,47,78,93,1
109,16,62,94,78,62,31,94,63,109,47,109,78,172,109,31,109,94,31,109,78,78,1
78,31,157,171,63,63,16,62,62,78,109,78,125,109,31,219,62,15,94,484,78,78,1
94,31,94,31,78,79,15,109,63,79,78,63,16,78,94,78,109,125,78,62,78,31,1
94,16,93,94,94,78,93,79,62,141,19,62,62,78,63,219,62,15,94,484,31,78,1
47,93,63,125,47,47,31,16,63,31,47,62,94,63,125,47,63,78,16,125,93,63,1
78,32,110,15,94,94,31,47,15,78,93,110,94,31,109,78,78,93,94,16,47,47,1
16,62,32,31,78,78,15,63,63,125,94,78,0,31,110,47,63,78,16,125,93,63,1
47,281,125,500,94,94,78,78,156,94,62,78,78,94,94,156,125,109,125,62,265,62,1
250,16,125,15,94,94,63,62,15,109,110,16,43,173,267,79,109,31,141,343,93,62,1
78,47,156,141,46,63,15,94,156,109,62,78,1063,1172,16,156,125,109,125,62,78,62,1
78,187,94,110,78,78,15,63,62,78,78,62,78,109,156,31,78,109,156,110,78,94,1
110,15,78,79,78,78,31,78,47,79,62,203,16,94,94,47,125,78,94,156,78,125,1
94,16,62,63,93,94,15,63,62,63,16,32,812,63,203,31,78,109,156,110,63,94,1
109,31,109,79,94,94,32,93,32,62,32,78,562,94,16,656,79,766,782,15,16,15,1
63,15,78,93,32,93,16,32,15,63,63,47,16,31,62,78,93,832,62,32,15,15,1
94,157,15,63,94,63,31,78,32,125,110,703,719,812,47,656,79,766,782,15,16,15,1
78,16,93,79,78,78,62,63,15,78,78,63,703,109,78,31,63,78,0,94,469,110,1
94,15,94,156,62,204,15,78,15,219,62,79,94,63,46,63,62,78,93,32,78,94,1
94,47,78,125,47,78,594,78,15,234,15,141,859,78,79,31,63,78,0,94,109,110,1
93,16,94,94,78,78,140,94,78,78,78,125,906,94,891,94,203,94,78,78,109,78,1
250,16,125,15,110,110,109,78,16,93,78,141,93,266,63,172,110,156,109,16,62,109,1
140,16,94,110,93,172,15,78,78,172,94,94,1078,78,141,94,203,94,78,78,110,78,1
562,16,78,110,78,78,109,94,0,94,62,78,94,109,234,109,78,78,594,125,78,93,1
93,16,78,16,78,109,16,62,78,94,94,78,47,109,32,63,78,109,78,63,78,78,1
156,47,78,94,94,79,31,93,0,94,31,47,62,94,78,109,78,78,594,125,94,93,1
125,157,109,141,93,93,16,141,265,110,15,15,78,94,141,46,141,47,172,359,141,78,1
38,129,297,47,109,594,94,15,250,187,985,94,31,78,235,94,78,157,282,15,16,156,1
16,125,344,141,78,219,110,15,265,140,31,141,1312,109,94,46,141,47,172,359,109,78,1
94,296,110,31,141,141,109,94,78,93,93,109,78,78,78,78,157,109,94,63,94,94,1
78,94,94,63,156,128,63,93,16,125,234,94,94,62,94,78,109,141,78,140,47,78,1
125,93,32,62,94,110,62,94,78,94,93,125,797,94,94,78,157,109,94,63,63,94,1
141,16,93,172,94,94,125,62,391,110,78,78,109,47,172,297,141,93,282,109,360,93,1
93,32,93,31,125,93,16,78,47,141,235,16,218,157,15,78,140,78,141,15,344,94,1
234,141,62,16,94,79,31,94,391,109,16,125,1172,1313,16,297,141,93,282,109,266,93,1
62,32,109,234,78,78,94,63,15,62,31,46,62,78,188,94,31,94,47,125,47,62,1
63,15,94,16,78,79,15,31,63,62,94,78,94,62,94,78,94,109,78,110,63,63,1
78,63,62,203,16,63,47,47,15,63,16,62,884,62,78,94,31,94,47,125,47,62,1
141,15,82,121,102,102,31,118,53,144,63,31,875,125,125,156,187,110,343,125,125,94,1
109,188,62,78,94,16,141,63,15,94,78,219,110,125,109,79,78,125,125,250,109,156,1
125,15,110,78,109,16,93,532,53,125,16,156,125,110,219,156,187,110,343,125,125,94,1
94,31,78,94,78,78,16,94,15,63,78,62,657,78,109,78,140,78,16,62,47,15,1
78,16,62,94,125,156,32,78,79,78,79,78,109,63,94,63,78,109,172,15,78,109,1
140,31,63,78,78,46,16,78,15,79,31,110,63,109,78,78,140,78,16,62,62,15,1
125,62,94,125,63,63,78,109,63,47,78,46,63,172,78,265,32,62,32,109,78,78,1
172,16,78,31,63,62,63,78,31,203,78,172,63,109,62,31,94,126,46,219,62,78,1
