dtsk2,ft4,dtfk5,ft5,dtsk5,ft7,dtsk7,dtfk8,ft8,dtsk8,dtsk9,dtfk10,ft10,dtsk10,dtfk11,dtfk12,dtfk13,ft13,dtsk13,ft14,dtsk14,gender
62,109,94,156,78,94,94,78,94,62,78,141,78,78,94,109,78,63,94,109,63,1
62,32,94,125,94,47,78,78,125,47,94,47,62,79,110,125,93,47,78,94,63,1
79,109,78,140,94,94,78,93,94,125,93,141,78,78,94,109,63,140,47,109,63,1
78,313,391,47,62,15,78,94,62,109,31,16,62,47,62,94,62,125,16,63,15,1
16,16,516,578,32,63,62,78,94,94,94,32,63,62,47,94,16,78,94,32,46,1
63,313,484,79,62,78,47,90,62,94,437,16,62,47,62,94,46,32,62,63,15,1
62,109,219,15,63,46,47,78,125,63,109,63,62,94,63,78,63,62,78,171,63,1
94,62,62,47,94,47,63,63,109,63,78,62,94,47,47,94,62,63,78,46,63,1
62,109,62,32,94,16,78,79,63,94,93,63,62,94,63,78,63,266,109,171,63,1
94,172,266,47,94,157,93,94,312,63,114,594,63,93,109,94,63,78,15,31,78,1
78,15,0,31,78,94,63,63,94,62,109,94,78,47,110,172,16,109,78,78,78,1
94,172,0,16,78,16,93,62,109,172,31,594,63,93,109,94,78,47,110,31,78,1
78,141,281,47,47,94,62,125,31,63,234,47,78,63,93,15,16,78,94,94,47,1
125,47,0,47,47,93,16,187,32,63,94,78,63,62,16,32,328,62,47,141,31,1
47,141,0,31,109,47,78,63,0,32,94,47,78,63,93,15,31,62,328,94,47,1
94,94,94,312,78,78,63,63,125,62,93,78,78,94,78,62,78,125,63,31,62,1
78,16,47,188,78,187,78,62,94,78,78,47,78,47,78,204,78,47,78,63,78,1
47,94,78,172,78,47,78,78,46,204,79,78,78,94,78,62,78,218,79,31,62,1
94,172,125,156,125,47,31,94,94,78,94,16,79,62,141,203,109,16,94,16,109,1
62,16,156,109,125,31,109,109,78,94,94,94,78,93,94,79,109,32,78,47,124,1
78,172,156,547,172,47,125,78,109,79,47,16,79,62,141,203,124,16,78,16,109,1
94,16,94,47,31,94,16,4,80,31,16,15,47,78,16,672,15,78,32,110,31,1
94,78,532,625,32,141,15,172,16,31,141,62,63,62,78,671,15,125,15,16,78,1
15,16,563,656,32,78,16,72,593,671,62,15,47,78,16,672,78,31,109,110,31,1
94,16,125,32,16,16,62,78,78,78,94,15,47,78,94,93,16,63,31,15,78,1
78,32,0,16,47,47,16,63,78,78,62,46,63,47,94,78,391,78,15,32,62,1
31,16,93,16,78,31,93,77,703,78,31,15,47,78,94,93,62,16,62,15,78,1
109,63,78,94,78,16,62,109,79,93,109,31,63,93,94,94,94,78,78,16,94,1
47,31,156,141,266,16,94,93,78,110,94,62,78,79,75,78,62,47,78,16,109,1
78,63,94,78,109,16,62,110,110,78,109,31,63,93,94,94,109,63,78,16,94,1
63,62,156,32,78,204,78,140,16,78,31,219,78,78,31,15,62,47,78,32,93,1
78,63,0,15,79,31,62,31,141,31,94,78,47,78,15,125,93,32,78,78,47,1
94,62,0,47,141,32,78,78,63,125,63,219,78,78,31,15,47,63,31,32,93,1
47,63,78,156,31,63,78,78,94,62,125,47,47,93,172,78,110,125,93,15,79,1
94,15,0,16,78,15,110,62,110,47,109,78,79,78,78,93,32,63,47,31,94,1
78,63,125,16,125,16,78,78,94,93,110,47,47,93,172,78,94,63,93,15,79,1
94,156,235,31,94,47,63,78,157,125,94,156,94,110,156,109,63,47,265,16,94,1
94,15,94,125,109,109,63,62,47,125,267,79,78,62,203,31,156,32,93,32,93,1
46,156,0,46,109,110,93,78,0,31,16,156,94,110,156,109,93,32,78,16,94,1
78,62,94,141,78,16,94,78,157,78,156,31,94,62,78,109,32,79,78,31,78,1
78,47,94,109,79,265,32,62,78,78,94,47,110,62,156,78,62,78,78,16,94,1
93,62,78,94,63,15,93,110,719,78,203,31,94,62,78,109,94,31,63,31,78,1
94,32,110,62,62,16,63,79,157,62,16,656,47,63,32,766,47,125,16,62,47,1
32,15,640,703,63,94,47,16,15,62,62,78,63,141,110,832,15,78,15,62,31,1
94,32,0,15,125,16,47,62,738,832,47,656,47,63,32,766,31,109,16,62,47,1
78,15,78,94,78,94,78,94,78,47,78,31,79,62,63,78,15,94,469,15,78,1
62,15,47,125,219,78,15,15,63,78,46,63,78,62,63,78,78,156,78,31,78,1
47,15,94,125,234,15,62,78,78,78,79,31,79,62,63,78,78,32,109,15,78,1
78,78,125,94,78,109,172,94,140,110,891,94,156,78,94,94,94,63,109,78,78,1
110,16,0,62,93,93,94,47,93,110,63,172,62,79,265,156,94,703,62,813,125,1
93,78,891,93,172,78,78,156,78,156,141,94,156,78,94,94,125,31,110,78,78,1
78,0,94,109,94,15,79,94,94,93,234,109,62,94,94,78,78,47,78,47,78,1
78,78,94,78,94,31,78,62,94,94,32,63,78,109,94,109,78,31,78,47,94,1
94,0,94,78,94,31,78,78,110,109,78,109,62,94,94,78,94,172,94,47,78,1
93,265,390,63,110,93,219,109,109,94,141,46,125,985,203,47,125,94,141,110,109,1
109,250,0,15,187,125,125,94,94,62,235,94,172,109,16,157,344,406,16,313,391,1
78,265,0,46,140,187,94,94,125,157,94,46,125,985,203,47,391,31,109,110,109,1
141,78,156,63,93,31,110,94,141,109,78,78,63,234,234,109,62,125,94,203,140,1
156,16,0,78,125,94,62,641,78,108,94,78,94,78,156,141,32,93,47,63,109,1
94,78,125,62,94,62,109,94,110,141,94,78,63,234,234,109,109,156,63,203,140,1
94,391,110,15,110,109,79,125,204,109,172,297,78,235,297,93,344,62,360,32,109,1
125,47,125,15,141,125,344,125,125,125,15,78,94,94,172,78,62,94,344,62,94,1
94,391,0,15,109,188,109,94,156,78,16,297,78,235,297,93,94,141,266,32,109,1
78,15,109,16,62,47,63,63,93,78,188,94,47,94,109,94,15,78,47,32,78,1
78,63,0,15,62,63,15,93,110,62,94,78,63,62,94,109,62,31,63,47,94,1
16,15,125,16,63,16,79,78,125,109,78,94,47,94,109,94,94,46,47,32,78,1
102,53,91,259,144,78,16,125,125,93,125,156,47,78,110,110,110,31,125,15,125,1
94,15,78,172,94,16,110,16,94,109,109,79,78,93,94,125,110,15,109,15,109,1
109,53,94,223,125,16,78,171,125,125,219,156,47,78,110,110,109,16,125,15,125,1
78,15,63,62,63,32,46,31,93,94,109,78,15,79,63,78,79,15,47,47,16,1
125,79,515,63,78,31,79,15,47,172,94,63,62,125,78,109,63,47,78,16,79,1
78,15,94,62,79,172,16,110,78,109,78,78,15,79,63,78,79,78,62,47,16,1
63,63,78,125,47,16,63,125,78,63,78,265,79,78,141,62,41,65,78,15,63,1
63,31,78,125,203,116,41,63,141,46,62,31,62,79,156,126,47,63,62,47,46,1
78,63,62,125,110,31,62,94,62,126,172,265,79,78,141,62,46,47,94,15,63,1
78,156,141,16,125,16,94,109,110,78,140,47,63,94,94,187,109,32,109,78,62,1
94,16,172,15,94,63,109,78,94,78,15,63,93,79,78,110,78,16,93,31,63,1
110,156,125,109,125,15,63,63,93,110,109,47,63,94,94,187,63,62,47,78,62,1
47,47,62,141,62,110,78,78,110,78,79,78,62,79,79,63,47,94,63,16,62,1
94,32,78,157,62,203,47,78,156,94,125,47,109,47,109,125,47,47,62,47,78,1
62,47,63,140,78,31,63,63,78,125,94,78,62,79,79,63,78,62,63,16,62,1
47,250,328,62,172,78,125,422,47,250,172,62,78,344,140,47,62,125,125,31,94,1
110,79,0,62,172,235,62,359,515,63,282,62,78,78,16,94,156,16,78,281,79,1
78,250,0,63,172,141,62,94,125,94,140,62,78,344,140,47,79,31,109,31,94,1
78,234,94,47,94,218,47,79,109,62,78,78,78,78,63,78,78,297,78,219,78,1
62,188,93,63,109,250,78,93,47,78,125,62,94,62,78,94,94,484,79,204,62,1
62,234,141,203,109,375,47,62,78,94,78,78,78,78,63,78,62,375,63,219,78,1
94,110,250,63,63,46,0,187,266,93,344,78,78,63,125,109,47,78,78,78,63,1
109,31,125,16,63,16,47,62,516,78,16,63,93,63,125,94,0,78,31,16,78,1
78,110,844,938,31,32,78,94,78,94,78,78,78,63,125,109,78,63,187,78,63,1
93,32,171,16,109,62,63,156,78,110,78,31,47,375,156,63,47,78,16,31,125,1
16,93,110,31,109,109,47,93,16,125,78,63,78,78,78,16,62,16,62,15,94,1
93,32,94,31,125,125,109,125,0,16,94,31,47,375,156,63,94,62,78,31,125,1
78,94,78,203,63,0,78,78,94,78,203,141,109,63,94,93,78,78,78,32,62,1
63,31,0,0,94,63,78,93,94,94,31,234,328,110,110,94,78,32,62,31,78,1
62,94,94,171,63,16,62,79,110,94,94,141,109,63,94,93,78,16,78,32,62,1
109,250,78,110,78,140,63,62,125,47,78,94,78,110,47,94,63,422,78,94,78,1
78,219,94,78,78,328,63,109,141,109,141,93,94,63,78,156,93,547,94,125,93,1
78,250,93,250,94,187,78,109,94,156,62,94,78,110,47,94,93,203,63,94,78,1
47,93,156,31,63,125,78,141,47,172,141,78,56,73,78,79,78,78,47,31,63,1
47,16,0,594,656,125,78,78,78,62,16,62,78,63,140,47,31,47,63,31,78,1
63,93,0,16,94,31,63,78,703,47,62,78,56,73,78,79,78,172,78,31,63,1
109,391,438,31,46,31,94,110,140,79,109,94,31,78,109,109,15,78,31,0,94,1
