ft2,dtfk3,ft3,dtfk4,ft4,ft5,dtfk6,ft6,ft7,dtsk7,ft8,ft9,dtsk9,dtfk10,dtsk10,dtfk11,dtfk12,dtfk13,dtfk14,dtsk14,gender
172,62,63,78,109,156,62,110,94,94,94,94,78,141,78,94,109,78,47,63,1
94,62,63,62,32,125,78,62,47,78,125,78,94,47,79,110,125,93,62,63,1
78,94,15,78,109,140,47,62,94,78,94,94,93,141,78,94,109,63,47,63,1
32,78,15,62,313,47,62,16,15,78,62,94,31,16,47,62,94,62,31,15,1
93,93,32,62,16,578,47,125,63,62,94,31,94,32,62,47,94,16,47,46,1
172,78,62,62,313,79,79,47,78,47,62,63,437,16,47,62,94,46,31,15,1
188,62,32,78,109,15,78,125,46,47,125,16,109,63,94,63,78,63,79,63,1
31,62,78,47,62,47,94,62,47,63,109,78,78,62,47,47,94,62,63,63,1
94,47,63,78,109,32,16,78,16,78,63,47,93,63,94,63,78,63,79,63,1
16,94,62,78,172,47,93,63,157,93,312,46,114,594,93,109,94,63,94,78,1
16,78,47,78,15,31,93,63,94,63,94,47,109,94,47,110,172,16,94,78,1
32,93,47,78,172,16,62,31,16,93,109,62,31,594,93,109,94,78,94,78,1
141,78,62,63,141,47,32,187,94,62,31,140,234,47,63,93,15,16,47,47,1
78,63,62,47,47,47,63,94,93,16,32,94,94,78,62,16,32,328,63,31,1
219,62,47,63,141,31,78,15,47,78,0,94,94,47,63,93,15,31,47,47,1
109,94,78,78,94,312,94,93,78,63,125,94,93,78,94,78,62,78,63,62,1
16,62,110,78,16,188,94,78,187,78,94,94,78,47,47,78,204,78,78,78,1
109,63,15,78,94,172,31,63,47,78,46,15,79,78,94,78,62,78,63,62,1
94,94,15,63,172,156,47,62,47,31,94,93,94,16,62,141,203,109,125,109,1
125,16,110,109,16,109,62,78,31,109,78,94,94,94,93,94,79,109,78,124,1
78,31,94,63,172,547,15,79,47,125,109,78,47,16,62,141,203,124,125,109,1
47,94,125,93,16,47,16,62,94,16,80,640,16,15,78,16,672,15,16,31,1
125,63,141,110,78,625,78,141,141,15,16,109,141,62,62,78,671,15,78,78,1
141,16,78,93,16,656,156,31,78,16,593,734,62,15,78,16,672,78,16,31,1
31,94,47,62,16,32,110,31,16,62,78,31,94,15,78,94,93,16,94,78,1
16,62,78,78,32,16,78,140,47,16,78,32,62,46,47,94,78,391,62,62,1
172,62,32,62,16,16,62,16,31,93,703,1375,31,15,78,94,93,62,94,78,1
109,109,16,78,63,94,78,94,16,62,79,94,109,31,93,94,94,94,78,94,1
78,93,47,109,31,141,93,63,16,94,78,62,94,62,79,75,78,62,93,109,1
94,62,31,78,63,78,47,93,16,62,110,172,109,31,93,94,94,109,78,94,1
171,63,16,62,62,32,109,16,204,78,16,109,31,219,78,31,15,62,78,93,1
31,79,15,250,63,15,78,78,31,62,141,78,94,78,78,15,125,93,31,47,1
94,78,93,62,62,47,19,113,32,78,63,78,63,219,78,31,15,47,78,93,1
125,47,31,16,63,156,47,31,63,78,94,63,125,47,93,172,78,110,63,79,1
15,94,31,110,15,16,93,79,15,110,110,31,109,78,78,78,93,32,47,94,1
31,78,15,16,63,16,94,16,16,78,94,31,110,47,93,172,78,94,63,79,1
500,94,78,78,156,31,62,188,47,63,157,94,94,156,110,156,109,63,62,94,1
15,94,63,78,15,125,110,62,109,63,47,173,267,79,62,203,31,156,62,93,1
141,63,15,78,156,46,62,85,110,93,0,1172,16,156,110,156,109,93,62,94,1
110,78,15,63,62,141,78,32,16,94,157,109,156,31,62,78,109,32,94,78,1
79,78,31,47,47,109,62,63,265,32,78,94,94,47,62,156,78,62,125,94,1
63,94,15,63,62,94,16,109,15,93,719,63,203,31,62,78,109,94,94,78,1
79,94,32,93,32,62,32,62,16,63,157,94,16,656,63,32,766,47,15,47,1
93,93,16,78,15,703,63,62,94,47,15,31,62,78,141,110,832,15,15,31,1
63,63,31,93,32,15,110,31,16,47,738,812,47,656,63,32,766,31,15,47,1
79,78,62,63,15,94,78,109,94,78,78,109,78,31,62,63,78,15,110,78,1
156,204,15,110,15,125,62,47,78,15,63,63,46,63,62,63,78,78,94,78,1
125,78,594,63,15,125,15,62,15,62,78,78,79,31,62,63,78,78,110,78,1
94,78,140,94,78,94,78,141,109,172,140,94,891,94,78,94,94,94,78,78,1
15,110,109,93,16,62,78,78,93,94,93,266,63,172,79,265,156,94,109,125,1
110,172,15,94,78,93,94,141,78,78,78,78,141,94,78,94,94,125,78,78,1
110,78,109,94,0,109,62,157,15,79,94,109,234,109,94,94,78,78,93,78,1
16,109,16,110,78,78,94,78,31,78,94,109,32,63,109,94,109,78,78,94,1
94,79,31,94,0,78,31,94,31,78,110,94,78,109,94,94,78,94,93,78,1
141,93,16,141,265,63,15,78,93,219,109,94,141,46,985,203,47,125,78,109,1
47,594,94,172,250,15,985,94,125,125,94,78,235,94,109,16,157,344,156,391,1
141,219,110,141,265,46,31,125,187,94,125,109,94,46,985,203,47,391,78,109,1
31,141,109,94,78,63,93,63,31,110,141,78,78,78,234,234,109,62,94,140,1
63,128,63,94,16,78,234,78,94,62,78,62,94,78,78,156,141,32,78,109,1
62,110,62,94,78,62,93,94,62,109,110,94,94,78,234,234,109,109,94,140,1
172,94,125,62,391,15,78,235,109,79,204,47,172,297,235,297,93,344,93,109,1
31,93,16,94,47,15,235,78,125,344,125,157,15,78,94,172,78,62,94,94,1
16,79,31,62,391,15,16,63,188,109,156,1313,16,297,235,297,93,94,93,109,1
234,78,94,63,15,16,31,141,47,63,93,78,188,94,94,109,94,15,62,78,1
16,79,15,78,63,15,94,78,63,15,110,62,94,78,62,94,109,62,63,94,1
203,63,47,63,15,16,16,31,16,79,125,62,78,94,94,109,94,94,62,78,1
121,102,31,118,53,259,63,62,78,16,125,125,125,156,78,110,110,110,94,125,1
78,16,141,110,15,172,78,78,16,110,94,125,109,79,93,94,125,110,156,109,1
78,16,93,118,53,223,16,93,16,78,125,110,219,156,78,110,110,109,94,125,1
94,78,16,94,15,62,78,94,32,46,93,78,109,78,79,63,78,79,15,16,1
94,156,32,78,79,63,79,62,31,79,47,63,94,63,125,78,109,63,109,79,1
78,46,16,94,15,62,31,63,172,16,78,109,78,78,79,63,78,79,15,16,1
125,63,78,109,63,125,78,109,16,63,78,172,78,265,78,141,62,41,78,63,1
31,62,63,94,31,125,78,93,116,41,141,109,62,31,79,156,126,47,78,46,1
62,63,15,109,63,125,78,47,31,62,62,94,172,265,78,141,62,46,78,63,1
125,78,31,78,156,16,110,125,16,94,110,16,140,47,94,94,187,109,79,62,1
125,32,218,78,16,15,94,62,63,109,94,79,15,63,79,78,110,78,94,63,1
125,94,31,78,156,109,47,78,15,63,93,62,109,47,94,94,187,63,79,62,1
125,47,46,63,47,141,63,125,110,78,110,140,79,78,79,79,63,47,78,62,1
110,78,78,62,32,157,79,62,203,47,156,62,125,47,47,109,125,47,63,78,1
94,78,47,63,47,140,46,47,31,63,78,171,94,78,79,79,63,78,78,62,1
157,47,47,78,250,62,157,93,78,125,47,94,172,62,344,140,47,62,78,94,1
47,141,62,46,79,62,344,94,235,62,515,188,282,62,78,16,94,156,62,79,1
47,125,78,78,250,63,47,63,141,62,125,47,140,62,344,140,47,79,78,94,1
94,78,891,78,234,47,63,984,218,47,109,156,78,78,78,63,78,78,63,78,1
141,78,250,62,188,63,78,63,250,78,47,62,125,62,62,78,94,94,78,62,1
94,47,235,78,234,203,219,78,375,47,78,141,78,78,78,63,78,62,63,78,1
63,94,78,62,110,63,78,94,46,0,266,204,344,78,63,125,109,47,93,63,1
47,62,47,78,31,16,63,62,16,47,516,266,16,63,63,125,94,0,62,78,1
93,0,16,62,110,938,16,46,32,78,78,1203,78,78,63,125,109,78,93,63,1
16,93,16,109,32,16,47,125,62,63,78,109,78,31,375,156,63,47,78,125,1
141,63,47,94,93,31,375,78,109,47,16,94,78,63,78,78,16,62,94,94,1
16,63,62,109,32,31,15,63,125,109,0,94,94,31,375,156,63,94,78,125,1
78,78,63,93,94,203,63,94,0,78,94,0,203,141,63,94,93,78,93,62,1
125,94,62,78,31,0,63,62,63,78,94,125,31,234,110,110,94,78,94,78,1
109,78,63,93,94,171,15,78,16,62,110,93,94,141,63,94,93,78,93,62,1
203,109,110,109,250,110,78,156,140,63,125,172,78,94,110,47,94,63,93,78,1
62,78,110,78,219,78,110,93,328,63,141,94,141,93,63,78,156,93,110,93,1
109,63,15,109,250,250,78,63,187,78,94,188,62,94,110,47,94,93,93,78,1
125,47,47,63,93,31,63,469,125,78,47,63,141,78,73,78,79,78,62,63,1
140,63,62,47,16,594,73,166,125,78,78,109,16,62,63,140,47,31,63,78,1
94,78,32,63,93,16,62,141,31,63,703,891,62,78,73,78,79,78,62,63,1
47,109,78,47,391,31,94,62,31,94,140,32,109,94,78,109,109,15,78,94,1
63,78,47,78,141,32,78,94,78,15,109,125,110,63,78,125,687,32,78,94,1
31,94,31,47,391,31,78,47,31,94,94,844,31,94,78,109,109,94,78,94,1
46,125,79,93,485,47,94,47,141,62,109,16,125,47,78,47,125,0,78,93,1
31,78,125,109,47,31,78,79,110,0,110,0,109,62,62,125,172,94,94,93,1
47,62,31,93,485,16,94,94,78,94,94,1078,32,47,78,47,125,93,78,93,1
110,47,78,31,125,171,63,109,32,78,78,156,78,63,93,78,78,63,46,78,1
94,78,47,79,46,31,93,63,15,63,63,63,125,62,63,78,125,63,62,78,1
78,78,47,31,125,47,94,47,16,62,79,141,78,63,93,78,78,78,46,78,1
16,172,292,79,128,40,63,78,47,78,140,93,203,47,109,78,47,32,94,94,1
47,109,0,78,47,734,109,63,93,32,47,94,78,78,78,79,110,78,15,47,1
63,78,297,79,128,47,93,32,31,172,109,78,79,47,109,78,47,47,94,94,1
93,63,16,93,63,188,31,141,578,94,125,109,78,47,141,78,47,47,93,62,1
93,94,78,79,62,207,141,62,78,47,94,63,93,47,63,78,93,47,94,94,1
109,94,62,93,63,687,78,62,453,78,766,125,94,47,141,78,47,94,93,62,1
78,78,52,40,271,47,79,15,16,62,94,78,172,47,63,125,47,32,62,78,1
110,78,31,78,32,47,63,157,31,32,94,31,125,63,63,312,62,62,78,79,1
125,62,16,40,271,140,63,0,0,32,922,891,62,47,63,125,47,79,62,78,1
109,78,563,78,140,250,62,125,141,62,125,156,47,125,63,63,63,63,62,78,1
109,63,109,63,94,125,63,62,78,63,125,47,156,62,63,78,110,78,63,78,1
125,62,78,78,140,172,62,63,125,83,78,187,78,125,63,63,63,78,62,78,1
94,78,31,109,31,31,110,46,16,93,109,47,187,0,453,140,32,31,78,78,1
172,109,0,125,15,125,453,94,63,31,125,141,0,93,78,829,109,62,157,109,1
109,93,32,109,31,93,31,78,78,94,141,875,31,0,453,140,32,109,78,78,1
62,78,16,63,78,94,62,47,31,94,94,547,93,32,110,78,141,31,78,63,1
156,47,31,78,61,94,110,62,62,31,297,110,0,78,63,62,141,31,78,78,1
110,94,62,63,78,78,16,94,47,78,62,62,63,32,110,78,141,78,78,63,1
109,78,63,93,188,31,94,62,31,78,31,110,250,78,62,78,93,125,78,125,1
63,109,31,78,0,31,62,94,31,125,141,156,16,78,63,62,125,125,62,125,1
110,78,47,93,188,0,0,62,16,94,78,62,156,78,62,78,93,125,78,125,1
15,125,0,47,109,47,31,78,63,31,297,0,125,16,94,157,31,156,78,62,1
62,31,109,344,94,140,94,78,62,156,32,32,141,78,78,0,78,31,63,94,1
47,31,78,47,109,15,125,0,719,109,0,110,0,16,94,157,31,94,78,62,1
250,94,62,78,203,249,78,282,344,407,94,531,94,234,93,94,78,78,78,94,1
93,109,94,62,157,204,93,63,172,78,125,78,156,281,93,94,213,78,94,93,1
110,407,15,78,203,63,32,93,203,78,88,250,78,234,93,94,78,93,78,94,1
62,140,32,78,79,15,31,47,16,110,62,578,16,63,79,63,63,48,46,78,1
79,93,32,15,94,0,79,188,78,48,32,140,16,31,63,16,31,16,16,16,1
328,110,15,78,79,125,93,32,32,79,0,62,16,63,79,63,63,16,46,78,1
109,109,32,187,109,156,109,203,94,93,16,110,203,94,63,94,47,110,141,94,1
16,94,125,78,141,0,63,93,125,110,47,156,157,93,62,16,47,531,125,93,1
16,93,63,187,109,156,94,78,140,78,0,125,125,94,63,94,47,93,141,94,1
94,94,93,94,125,78,94,109,63,93,157,109,125,94,94,125,109,94,109,79,1
125,94,78,94,47,32,94,94,140,94,125,125,16,47,78,156,187,94,109,94,1
31,93,63,94,125,47,47,140,110,78,94,94,110,94,94,125,109,94,109,79,1
78,63,62,78,125,219,78,94,109,63,109,94,110,93,78,78,94,63,110,94,1
109,62,47,94,31,187,78,62,15,63,125,78,109,78,47,94,125,63,78,63,1
110,63,15,78,125,234,15,109,0,63,78,125,110,93,78,78,94,63,110,94,1
