ft1,dtfk3,dtfk4,dtfk5,ft5,dtsk5,dtfk6,ft6,dtfk7,ft7,dtsk7,dtsk8,ft9,dtfk10,dtsk10,dtfk11,dtsk11,ft12,dtfk14,ft14,dtsk14,gender
31,62,78,94,156,78,62,110,62,94,94,62,94,141,78,94,31,31,47,109,63,1
32,62,62,94,125,94,78,62,93,47,78,47,78,47,79,110,93,78,62,94,63,1
78,94,78,78,140,94,47,62,62,94,78,125,94,141,78,94,31,31,47,109,63,1
16,78,62,391,47,62,62,16,79,15,78,109,94,16,47,62,32,234,31,63,15,1
16,93,62,516,578,32,47,125,437,63,62,94,31,32,62,47,94,172,47,32,46,1
62,78,62,484,79,62,79,47,250,78,47,94,63,16,47,62,32,234,31,63,15,1
594,62,78,219,15,63,78,125,79,46,47,63,16,63,94,63,63,16,79,171,63,1
31,62,47,62,47,94,94,62,93,47,63,63,78,62,47,47,47,62,63,46,63,1
110,47,78,62,32,94,16,78,62,16,78,94,47,63,94,63,63,16,79,171,63,1
47,94,78,266,47,94,93,63,78,157,93,63,46,594,93,109,94,31,94,31,78,1
93,78,78,0,31,78,93,63,31,94,63,62,47,94,47,110,78,78,94,78,78,1
94,93,78,0,16,78,62,31,78,16,93,172,62,594,93,109,94,31,94,31,78,1
78,78,63,281,47,47,32,187,62,94,62,63,140,47,63,93,47,93,47,94,47,1
78,63,47,0,47,47,63,94,94,93,16,63,94,78,62,16,47,94,63,141,31,1
47,62,63,0,31,109,78,15,78,47,78,32,94,47,63,93,47,93,47,94,47,1
125,94,78,94,312,78,94,93,78,78,63,62,94,78,94,78,78,78,63,31,62,1
16,62,78,47,188,78,94,78,79,187,78,78,94,47,47,78,63,46,78,63,78,1
31,63,78,78,172,78,31,63,78,47,78,204,15,78,94,78,78,78,63,31,62,1
78,94,63,125,156,125,47,62,16,47,31,78,93,16,62,141,157,16,125,16,109,1
188,16,109,156,109,125,62,78,47,31,109,94,94,94,93,94,62,62,78,47,124,1
16,31,63,156,547,172,15,79,78,47,125,79,78,16,62,141,157,16,125,16,109,1
47,94,93,94,47,31,16,62,31,94,16,31,640,15,78,16,62,31,16,110,31,1
94,63,110,532,625,32,78,141,62,141,15,31,109,62,62,78,141,47,78,16,78,1
94,16,93,563,656,32,156,31,31,78,16,671,734,15,78,16,62,31,16,110,31,1
63,94,62,125,32,16,110,31,78,16,62,78,31,15,78,94,47,16,94,15,78,1
16,62,78,0,16,47,78,140,31,47,16,78,32,46,47,94,109,109,62,32,62,1
94,62,62,93,16,78,62,16,94,31,93,78,1375,15,78,94,47,16,94,15,78,1
62,109,78,78,94,78,78,94,78,16,62,93,94,31,93,94,109,31,78,16,94,1
15,93,109,156,141,266,93,63,109,16,94,110,62,62,79,75,93,93,93,16,109,1
16,62,78,94,78,109,47,93,109,16,62,78,172,31,93,94,109,31,78,16,94,1
31,63,62,156,32,78,109,16,78,204,78,78,109,219,78,31,62,94,78,32,93,1
31,79,250,0,15,79,78,78,63,31,62,31,78,78,78,15,109,78,31,78,47,1
16,78,62,0,47,141,19,113,62,32,78,125,78,219,78,31,62,94,78,32,93,1
93,47,16,78,156,31,47,31,62,63,78,62,63,47,93,172,63,16,63,15,79,1
32,94,110,0,16,78,93,79,110,15,110,47,31,78,78,78,78,94,47,31,94,1
62,78,16,125,16,125,94,16,78,16,78,93,31,47,93,172,63,16,63,15,79,1
281,94,78,235,31,94,62,188,78,47,63,125,94,156,110,156,125,125,62,16,94,1
16,94,78,94,125,109,110,62,16,109,63,125,173,79,62,203,109,141,62,32,93,1
47,63,78,0,46,109,62,85,78,110,93,31,1172,156,110,156,125,125,62,16,94,1
187,78,63,94,141,78,78,32,62,16,94,78,109,31,62,78,78,156,94,31,78,1
15,78,47,94,109,79,62,63,203,265,32,78,94,47,62,156,125,94,125,16,94,1
16,94,63,78,94,63,16,109,32,15,93,78,63,31,62,78,78,156,94,31,78,1
31,94,93,110,62,62,32,62,78,16,63,62,94,656,63,32,79,782,15,62,47,1
15,93,78,640,703,63,63,62,47,94,47,62,31,78,141,110,93,62,15,62,31,1
157,63,93,0,15,125,110,31,703,16,47,832,812,656,63,32,79,782,15,62,47,1
16,78,63,78,94,78,78,109,63,94,78,47,109,31,62,63,63,0,110,15,78,1
15,204,110,47,125,219,62,47,79,78,15,78,63,63,62,63,62,93,94,31,78,1
47,78,63,94,125,234,15,62,141,15,62,78,78,31,62,63,63,0,110,15,78,1
16,78,94,125,94,78,78,141,125,109,172,110,94,94,78,94,203,78,78,78,78,1
16,110,93,0,62,93,78,78,141,93,94,110,266,172,79,265,110,109,109,813,125,1
16,172,94,891,93,172,94,141,94,78,78,156,78,94,78,94,203,78,78,78,78,1
16,78,94,94,109,94,62,157,78,15,79,93,109,109,94,94,78,594,93,47,78,1
16,109,110,94,78,94,94,78,78,31,78,94,109,63,109,94,78,78,78,47,94,1
47,79,94,94,78,94,31,94,47,31,78,109,94,109,94,94,78,594,93,47,78,1
157,93,141,390,63,110,15,78,15,93,219,94,94,46,985,203,141,172,78,110,109,1
129,594,172,0,15,187,985,94,94,125,125,62,78,94,109,16,78,282,156,313,391,1
125,219,141,0,46,140,31,125,141,187,94,157,109,46,985,203,141,172,78,110,109,1
296,141,94,156,63,93,93,63,109,31,110,109,78,78,234,234,157,94,94,203,140,1
94,128,94,0,78,125,234,78,94,94,62,108,62,78,78,156,109,78,78,63,109,1
93,110,94,125,62,94,93,94,125,62,109,141,94,78,234,234,157,94,94,203,140,1
16,94,62,110,15,110,78,235,78,109,79,109,47,297,235,297,141,282,93,32,109,1
32,93,94,125,15,141,235,78,16,125,344,125,157,78,94,172,140,141,94,62,94,1
141,79,62,0,15,109,16,63,125,188,109,78,1313,297,235,297,141,282,93,32,109,1
32,78,63,109,16,62,31,141,46,47,63,78,78,94,94,109,31,47,62,32,78,1
15,79,78,0,15,62,94,78,78,63,15,62,62,78,62,94,94,78,63,47,94,1
63,63,63,125,16,63,16,31,62,16,79,109,62,94,94,109,31,47,62,32,78,1
15,102,118,91,259,144,63,62,31,78,16,93,125,156,78,110,187,343,94,15,125,1
188,16,110,78,172,94,78,78,219,16,110,109,125,79,93,94,78,125,156,15,109,1
15,16,118,94,223,125,16,93,156,16,78,125,110,156,78,110,187,343,94,15,125,1
31,78,94,63,62,63,78,94,62,32,46,94,78,78,79,63,140,16,15,47,16,1
16,156,78,515,63,78,79,62,78,31,79,172,63,63,125,78,78,172,109,16,79,1
31,46,94,94,62,79,31,63,110,172,16,109,109,78,79,63,140,16,15,47,16,1
62,63,109,78,125,47,78,109,46,16,63,63,172,265,78,141,32,32,78,15,63,1
16,62,94,78,125,203,78,93,172,116,41,46,109,31,79,156,94,46,78,47,46,1
