ft1,dtsk1,ft2,ft3,dtfk4,dtsk4,dtfk5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft8,dtsk8,dtsk9,ft10,dtsk10,dtfk12,dtsk12,dtfk13,dtsk13,gender
31,63,172,63,78,94,94,78,62,110,62,62,94,62,78,78,78,109,79,78,94,1
32,93,94,63,62,62,94,94,78,62,79,93,125,47,94,62,79,125,156,93,78,1
78,93,78,15,78,94,78,94,47,62,94,62,94,125,93,78,78,109,79,63,47,1
16,109,32,15,62,391,391,62,62,16,78,79,62,109,31,62,47,94,78,62,16,1
16,78,93,32,62,47,516,32,47,125,16,437,94,94,94,63,62,94,16,16,94,1
62,16,172,62,62,391,484,62,79,47,15,250,62,94,437,62,47,94,78,46,62,1
594,62,188,32,78,219,219,63,78,125,63,79,125,63,109,62,94,78,78,63,78,1
31,63,31,78,47,63,62,94,94,62,47,93,109,63,78,94,47,94,16,62,78,1
110,62,94,63,78,219,62,94,16,78,94,62,63,94,93,62,94,78,78,63,109,1
47,156,16,62,78,266,266,94,93,63,94,78,312,63,114,63,93,94,78,63,15,1
93,94,16,47,78,78,0,78,93,63,844,31,94,62,109,78,47,172,63,16,78,1
94,16,32,47,78,266,0,78,62,31,63,78,109,172,31,63,93,94,78,78,110,1
78,94,141,62,63,281,281,47,32,187,47,62,31,63,234,78,63,15,16,16,94,1
78,78,78,62,47,78,0,47,63,94,62,94,32,63,94,63,62,32,156,328,47,1
47,328,219,47,63,281,0,109,78,15,47,78,0,32,94,78,63,15,16,31,328,1
125,109,109,78,78,94,94,78,94,93,94,78,125,62,93,78,94,62,78,78,63,1
16,78,16,110,78,62,47,78,94,78,94,79,94,78,78,78,47,204,79,78,78,1
31,78,109,15,78,94,78,78,31,63,125,78,46,204,79,78,94,62,78,78,79,1
78,125,94,15,63,125,125,125,47,62,125,16,94,78,94,79,62,203,78,109,94,1
188,47,125,110,109,78,156,125,62,78,110,47,78,94,94,78,93,79,47,109,78,1
16,109,78,94,63,125,156,172,15,79,93,78,109,79,47,79,62,203,78,124,78,1
47,141,47,125,93,94,94,31,16,62,110,31,80,31,16,47,78,672,78,15,32,1
94,15,125,141,110,94,532,32,78,141,47,62,16,31,141,63,62,671,125,15,15,1
94,15,141,78,93,94,563,32,156,31,47,31,593,671,62,47,78,672,78,78,109,1
63,125,31,47,62,125,125,16,110,31,62,78,78,78,94,47,78,93,94,16,31,1
16,78,16,78,78,62,0,47,78,140,32,31,78,78,62,63,47,78,94,391,15,1
94,391,172,32,62,125,93,78,62,16,62,94,703,78,31,47,78,93,94,62,62,1
62,110,109,16,78,78,78,78,78,94,110,78,79,93,109,63,93,94,109,94,78,1
15,78,78,47,109,78,156,266,93,63,109,109,78,110,94,78,79,78,47,62,78,1
16,62,94,31,78,78,94,109,47,93,110,109,110,78,109,63,93,94,109,109,78,1
31,157,171,16,62,156,156,78,109,16,94,78,16,78,31,78,78,15,484,62,78,1
