dtfk2,dtsk2,dtfk3,ft4,dtsk5,dtfk6,dtsk8,ft9,dtsk10,dtsk12,dtfk13,sum,gender
63,62,62,109,78,62,62,94,78,79,78,3423,1
78,62,62,32,94,78,47,78,79,156,93,3295,1
94,79,94,109,94,47,125,94,78,79,63,3422,1
109,78,78,313,62,62,109,94,47,78,62,4029,1
15,16,93,16,32,47,94,31,62,16,16,3846,1
79,63,78,313,62,79,94,63,47,78,46,4828,1
62,62,62,109,63,78,63,16,94,78,63,3970,1
453,94,62,62,94,94,63,78,47,16,62,3172,1
62,62,47,109,94,16,94,47,94,78,63,3378,1
156,94,94,172,94,93,63,46,93,78,63,4577,1
125,78,78,15,78,93,62,47,47,63,16,3844,1
187,94,93,172,78,62,172,62,93,78,78,4530,1
94,78,78,141,47,32,63,140,63,16,16,3734,1
156,125,63,47,47,63,63,94,62,156,328,3222,1
141,47,62,141,109,78,32,94,63,16,31,4719,1
109,94,94,94,78,94,62,94,94,78,78,3765,1
141,78,62,16,78,94,78,94,47,79,78,3425,1
47,47,63,94,78,31,204,15,94,78,78,3281,1
125,94,94,172,125,47,78,93,62,78,109,3737,1
94,62,16,16,125,62,94,94,93,47,109,3577,1
125,78,31,172,172,15,79,78,62,78,124,4000,1
141,94,94,16,31,16,31,640,78,78,15,4273,1
47,94,63,78,32,78,31,109,62,125,15,4784,1
47,15,16,16,32,156,671,734,78,78,78,6569,1
125,94,94,16,16,110,78,31,78,94,16,2609,1
78,78,62,32,47,78,78,32,47,94,391,2828,1
109,31,62,16,78,62,78,1375,78,94,62,6135,1
110,109,109,63,78,78,93,94,93,109,94,3422,1
109,47,93,31,266,93,110,62,79,47,62,3563,1
78,78,62,63,109,47,78,172,93,109,109,3358,1
157,63,63,62,78,109,78,109,78,484,62,4014,1
187,78,79,63,79,78,31,78,78,62,93,3061,1
62,94,78,62,141,19,125,78,78,484,47,3506,1
63,47,47,63,31,47,62,63,93,125,110,2970,1
141,94,94,15,78,93,47,31,78,16,32,2738,1
203,78,78,63,125,94,93,31,93,125,94,2846,1
125,94,94,156,94,62,125,94,110,62,63,5096,1
156,94,94,15,109,110,125,173,62,343,156,4137,1
63,46,63,156,109,62,31,1172,110,62,93,5517,1
94,78,78,62,78,78,78,109,62,110,32,3534,1
93,78,78,47,79,62,78,94,62,156,62,3531,1
78,93,94,62,63,16,78,63,62,110,94,4454,1
109,94,94,32,62,32,62,94,63,15,47,5333,1
16,32,93,15,63,63,62,31,141,32,15,4297,1
46,94,63,32,125,110,832,812,63,15,31,7947,1
93,78,78,15,78,78,47,109,62,94,15,4015,1
93,62,204,15,219,62,78,63,62,32,78,3294,1
78,47,78,15,234,15,78,78,62,94,78,4452,1
94,78,78,78,78,78,110,94,78,78,94,5954,1
172,110,110,16,93,78,110,266,79,16,94,5530,1
93,93,172,78,172,94,156,78,78,78,125,5998,1
78,78,78,0,94,62,93,109,94,125,78,4670,1
125,78,109,78,94,94,94,109,109,63,78,3172,1
94,94,79,0,94,31,109,94,94,125,94,4016,1
109,93,93,265,110,15,94,94,985,359,125,6223,1
110,109,594,250,187,985,62,78,109,15,344,6904,1
78,78,219,265,140,31,157,109,985,359,391,7576,1
110,141,141,78,93,93,109,78,234,63,62,4641,1
172,156,128,16,125,234,108,62,78,140,32,4392,1
344,94,110,78,94,93,141,94,234,63,109,5392,1
93,94,94,391,110,78,109,47,235,109,344,5689,1
172,125,93,47,141,235,125,157,94,15,62,4655,1
394,94,79,391,109,16,78,1313,235,109,94,7678,1
109,78,78,15,62,31,78,78,94,125,15,3155,1
109,78,79,63,62,94,62,62,62,110,62,2765,1
109,16,63,15,63,16,109,62,94,125,94,3729,1
82,102,102,53,144,63,93,125,78,125,110,5127,1
109,94,16,15,94,78,109,125,93,250,110,4174,1
110,109,16,53,125,16,125,110,78,125,109,4970,1
78,78,78,15,63,78,94,78,79,62,79,3312,1
62,125,156,79,78,79,172,63,125,15,63,3658,1
63,78,46,15,79,31,109,109,79,62,79,2985,1
94,63,63,63,47,78,63,172,78,109,41,3560,1
156,63,62,31,203,78,46,109,79,219,47,3641,1
63,78,63,63,110,78,126,94,78,109,46,4048,1
110,78,78,156,125,110,78,16,94,94,109,3862,1
110,94,32,16,94,94,78,79,79,32,78,3611,1
78,110,94,156,125,47,110,62,94,94,63,3614,1
78,47,47,47,62,63,78,140,79,78,47,3080,1
93,94,78,32,62,79,94,62,47,78,47,3515,1
94,62,78,47,78,46,125,171,79,78,78,3141,1
93,47,47,250,172,157,250,94,344,78,62,6577,1
31,110,141,79,172,344,63,188,78,62,156,5172,1
297,78,125,250,172,47,94,47,344,78,79,4420,1
93,78,78,234,94,63,62,156,78,78,78,6749,1
47,62,78,188,109,78,78,62,62,344,94,4935,1
78,62,47,234,109,219,94,141,78,78,62,6250,1
93,94,94,110,63,78,93,204,63,93,47,4202,1
94,109,62,31,63,63,78,266,63,547,0,3891,1
172,78,0,110,31,16,94,1203,63,93,78,7094,1
94,93,93,32,109,47,110,109,375,78,47,3624,1
47,16,63,93,109,375,125,94,78,0,62,3281,1
109,93,63,32,125,15,16,94,375,78,94,4501,1
110,78,78,94,63,63,78,0,63,78,78,3703,1
93,63,94,31,94,63,94,125,110,32,78,3610,1
63,62,78,94,63,15,94,93,63,78,78,3280,1
94,109,109,250,78,78,47,172,110,94,63,4923,1
79,78,78,219,78,110,109,94,63,140,93,5672,1
94,78,63,250,94,78,156,188,110,94,93,4811,1
93,47,47,93,63,63,172,63,73,110,78,3755,1
63,47,63,16,656,73,62,109,63,62,31,3739,1
47,63,78,93,94,62,47,891,73,110,78,5098,1
110,109,109,391,46,94,79,32,78,78,15,4172,1
93,110,78,141,46,78,47,125,78,78,32,3593,1
203,93,94,391,94,78,687,844,78,78,94,5717,1
110,125,125,485,140,94,63,16,78,93,0,4935,1
125,125,78,47,141,78,109,0,62,94,94,3515,1
188,63,62,485,109,94,172,1078,78,93,93,6516,1
93,47,47,125,79,63,78,156,93,78,63,3344,1
94,47,78,46,94,93,109,63,63,47,63,3125,1
78,63,78,125,94,94,125,141,93,78,78,2983,1
156,172,172,128,110,63,94,93,109,62,32,4488,1
109,109,109,47,0,109,125,94,78,78,78,4343,1
15,47,78,128,141,93,110,78,109,62,47,4134,1
63,63,63,63,109,31,62,109,141,62,47,3999,1
79,63,94,62,109,141,62,63,63,78,47,3941,1
63,63,94,63,94,78,93,125,141,62,94,5077,1
94,78,78,271,125,79,62,78,63,78,32,3507,1
31,0,78,32,125,63,78,31,63,141,62,3018,1
141,78,62,271,94,63,62,891,63,78,79,5659,1
94,78,78,140,93,62,63,156,63,62,63,4205,1
94,63,63,94,125,63,62,47,63,78,78,3438,1
94,47,62,140,125,62,110,187,63,62,78,3585,1
125,78,78,31,156,110,63,47,453,79,31,3983,1
47,16,109,15,156,453,62,141,78,110,62,4546,1
78,110,93,31,157,31,109,875,453,79,109,5156,1
110,78,78,78,94,62,31,547,110,78,31,3438,1
0,16,47,61,188,110,78,110,63,15,31,3129,1
93,94,94,78,78,16,141,62,110,78,78,3866,1
94,78,78,188,94,94,125,110,62,110,125,3953,1
140,78,109,0,109,62,125,156,63,235,125,3921,1
78,78,78,188,94,0,125,62,62,110,125,3623,1
109,125,125,109,62,31,31,0,94,47,156,3231,1
32,63,31,94,31,94,31,32,78,16,31,4361,1
47,62,31,109,125,125,78,110,94,47,94,4186,1
110,94,94,203,88,78,78,531,93,109,78,5854,1
94,94,109,157,78,93,78,78,93,110,78,5009,1
109,78,407,203,250,32,213,250,93,109,93,5833,1
47,140,140,79,110,31,78,578,79,63,48,3717,1
31,46,93,94,94,79,93,140,63,31,16,2360,1
235,32,110,79,31,93,31,62,79,63,16,3677,1
125,109,109,109,94,109,111,110,63,171,110,4960,1
156,94,94,141,172,63,109,156,62,78,531,5704,1
312,125,93,109,110,94,47,125,63,171,93,5814,1
125,94,94,125,125,94,93,109,94,93,94,4233,1
125,94,94,47,171,94,94,125,78,453,94,4563,1
156,78,93,125,141,47,187,94,94,93,94,4142,1
109,63,63,125,98,78,78,94,78,63,63,3677,1
78,47,62,31,78,78,78,78,47,109,63,3404,1
109,62,63,125,78,15,125,125,78,63,63,3484,1
110,171,171,47,140,172,125,47,94,114,78,4112,1
0,63,110,0,187,94,78,140,93,110,62,3546,1
312,125,109,47,140,16,110,125,94,114,125,4802,1
78,78,78,16,125,78,63,32,63,16,0,3298,1
32,16,125,78,125,63,63,93,63,187,94,3000,1
79,110,78,16,94,94,31,94,63,16,78,4078,1
94,109,109,16,137,78,94,188,125,78,94,4810,1
219,125,94,32,137,125,125,141,79,109,15,3762,1
63,62,94,16,140,32,375,78,125,78,78,4143,1
125,109,109,109,109,78,78,343,125,93,78,5623,1
141,93,109,47,109,125,78,266,94,172,79,5015,1
94,63,110,109,125,78,94,1114,125,93,94,6649,1
78,141,141,31,31,47,32,125,62,63,31,3281,1
15,47,47,156,31,62,63,78,62,31,32,3485,1
62,62,31,31,31,15,47,937,62,63,0,4676,1
109,141,141,31,125,125,93,109,93,63,46,4046,1
62,125,94,110,125,93,62,203,79,156,0,4154,1
15,47,203,31,15,63,1000,781,93,63,93,6861,1
62,63,63,172,78,62,47,125,106,62,63,3348,1
47,46,63,62,47,106,47,76,31,13,63,3587,1
62,46,62,172,78,27,101,63,106,62,62,3553,1
110,109,109,79,78,63,62,16,109,63,32,3921,2
94,94,93,63,141,109,63,203,63,94,78,3845,2
328,125,78,79,94,93,125,156,109,63,78,4874,2
78,62,62,156,141,47,141,157,62,78,156,4562,2
219,110,63,47,141,62,110,219,63,266,16,3488,2
218,31,94,156,94,32,94,1047,62,78,78,5671,2
172,78,78,141,47,94,47,31,78,16,16,3049,2
110,109,94,172,47,78,49,31,78,125,16,3707,2
110,62,62,141,47,78,968,797,78,16,110,8140,2
109,62,62,31,63,32,94,47,359,62,16,3000,2
63,47,63,16,94,359,78,93,94,16,16,2969,2
110,16,78,31,94,59,94,766,359,62,47,4467,2
94,78,78,31,62,94,78,125,109,109,125,4296,2
125,78,94,62,62,109,78,46,63,78,16,3310,2
219,63,94,31,78,63,109,63,109,109,78,4249,2
113,69,69,63,110,65,80,297,78,109,81,8445,2
68,72,98,31,65,78,78,94,150,141,79,4213,2
39,79,79,63,103,109,141,258,78,109,78,3365,2
125,94,94,63,109,63,94,109,78,125,15,4252,2
78,78,78,16,109,78,94,78,63,62,410,3846,2
110,94,78,63,109,47,109,94,78,125,125,5502,2
125,63,63,32,78,93,94,110,78,78,20,3638,2
47,32,94,16,78,78,156,78,63,15,32,3279,2
125,78,78,32,63,16,109,94,78,78,125,3657,2
78,63,63,219,47,46,63,109,1015,62,62,4983,2
62,47,47,63,78,1015,63,94,62,485,47,5531,2
47,78,47,219,109,79,188,171,1015,62,63,5221,2
109,78,78,63,125,78,110,47,109,78,47,3750,2
156,78,78,31,187,109,94,93,78,62,78,3373,2
94,94,94,63,110,78,94,984,109,78,94,5093,2
125,110,110,31,140,47,78,78,79,94,31,3298,2
125,125,62,32,124,79,94,94,93,0,62,3122,2
31,344,46,31,125,62,78,94,79,94,62,3749,2
78,79,79,15,90,78,47,46,78,78,16,2996,2
16,94,62,32,93,78,78,125,78,31,78,3220,2
