dtsk2,dtsk3,dtfk4,dtsk4,dtfk5,dtsk5,dtfk6,dtsk6,ft8,ft9,dtfk10,ft10,ft12,dtsk12,dtfk13,ft13,dtfk14,ft14,gender
62,78,78,94,94,78,62,62,94,94,141,78,31,79,78,63,47,109,1
62,62,62,62,94,94,78,79,125,78,47,62,78,156,93,47,62,94,1
79,32,78,94,78,94,47,94,94,94,141,78,31,79,63,140,47,109,1
78,62,62,391,391,62,62,78,62,94,16,62,234,78,62,125,31,63,1
16,62,62,47,516,32,47,16,94,31,32,63,172,16,16,78,47,32,1
63,50,62,391,484,62,79,15,62,63,16,62,234,78,46,32,31,63,1
62,78,78,219,219,63,78,63,125,16,63,62,16,78,63,62,79,171,1
94,78,47,63,62,94,94,47,109,78,62,94,62,16,62,63,63,46,1
62,47,78,219,62,94,16,94,63,47,63,62,16,78,63,266,79,171,1
94,78,78,266,266,94,93,94,312,46,594,63,31,78,63,78,94,31,1
78,93,78,78,0,78,93,844,94,47,94,78,78,63,16,109,94,78,1
94,94,78,266,0,78,62,63,109,62,594,63,31,78,78,47,94,31,1
78,63,63,281,281,47,32,47,31,140,47,78,93,16,16,78,47,94,1
125,32,47,78,0,47,63,62,32,94,78,63,94,156,328,62,63,141,1
47,63,63,281,0,109,78,47,0,94,47,78,93,16,31,62,47,94,1
94,78,78,94,94,78,94,94,125,94,78,78,78,78,78,125,63,31,1
78,94,78,62,47,78,94,94,94,94,47,78,46,79,78,47,78,63,1
47,63,78,94,78,78,31,125,46,15,78,78,78,78,78,218,63,31,1
94,63,63,125,125,125,47,125,94,93,16,79,16,78,109,16,125,16,1
62,47,109,78,156,125,62,110,78,94,94,78,62,47,109,32,78,47,1
78,15,63,125,156,172,15,93,109,78,16,79,16,78,124,16,125,16,1
94,93,93,94,94,31,16,110,80,640,15,47,31,78,15,78,16,110,1
94,16,110,94,532,32,78,47,16,109,62,63,47,125,15,125,78,16,1
15,31,93,94,563,32,156,47,593,734,15,47,31,78,78,31,16,110,1
94,62,62,125,125,16,110,62,78,31,15,47,16,94,16,63,94,15,1
78,110,78,62,0,47,78,32,78,32,46,63,109,94,391,78,62,32,1
31,62,62,125,93,78,62,62,703,1375,15,47,16,94,62,16,94,15,1
109,78,78,78,78,78,78,110,79,94,31,63,31,109,94,78,78,16,1
47,78,109,78,156,266,93,109,78,62,62,78,93,47,62,47,93,16,1
78,94,78,78,94,109,47,110,110,172,31,63,31,109,109,63,78,16,1
63,62,62,156,156,78,109,94,16,109,219,78,94,484,62,47,78,32,1
78,109,250,31,0,79,78,157,141,78,78,47,78,62,93,32,31,78,1
94,79,62,156,0,141,19,16,63,78,219,78,94,484,47,63,78,32,1
47,16,16,78,78,31,47,78,94,63,47,47,16,125,110,125,63,15,1
94,47,110,79,0,78,93,15,110,31,78,79,94,16,32,63,47,31,1
78,63,16,78,125,125,94,94,94,31,47,47,16,125,94,63,63,15,1
