ft1,dtsk1,ft4,dtsk4,ft5,dtsk5,dtfk7,ft7,dtsk7,dtfk10,dtsk10,dtfk11,ft11,dtsk11,dtfk13,ft14,gender
31,63,109,94,156,78,62,94,94,141,78,94,94,31,78,109,1
32,93,32,62,125,94,93,47,78,47,79,110,78,93,93,94,1
78,93,109,94,140,94,62,94,78,141,78,94,94,31,63,109,1
16,109,313,391,47,62,79,15,78,16,47,62,47,32,62,63,1
16,78,16,47,578,32,437,63,62,32,62,47,63,94,16,32,1
62,16,313,391,79,62,250,78,47,16,47,62,47,32,46,63,1
594,62,109,219,15,63,79,46,47,63,94,63,93,63,63,171,1
31,63,62,63,47,94,93,47,63,62,47,47,109,47,62,46,1
110,62,109,219,32,94,62,16,78,63,94,63,93,63,63,171,1
47,156,172,266,47,94,78,157,93,594,93,109,31,94,63,31,1
93,94,15,78,31,78,31,94,63,94,47,110,47,78,16,78,1
94,16,172,266,16,78,78,16,93,594,93,109,31,94,78,31,1
78,94,141,281,47,47,62,94,62,47,63,93,156,47,16,94,1
78,78,47,78,47,47,94,93,16,78,62,16,78,47,328,141,1
47,328,141,281,31,109,78,47,78,47,63,93,156,47,31,94,1
125,109,94,94,312,78,78,78,63,78,94,78,63,78,78,31,1
16,78,16,62,188,78,79,187,78,47,47,78,62,63,78,63,1
31,78,94,94,172,78,78,47,78,78,94,78,63,78,78,31,1
78,125,172,125,156,125,16,47,31,16,62,141,78,157,109,16,1
188,47,16,78,109,125,47,31,109,94,93,94,94,62,109,47,1
16,109,172,125,547,172,78,47,125,16,62,141,78,157,124,16,1
47,141,16,94,47,31,31,94,16,15,78,16,79,62,15,110,1
94,15,78,94,625,32,62,141,15,62,62,78,32,141,15,16,1
94,15,16,94,656,32,31,78,16,15,78,16,79,62,78,110,1
63,125,16,125,32,16,78,16,62,15,78,94,31,47,16,15,1
16,78,32,62,16,47,31,47,16,46,47,94,16,109,391,32,1
94,391,16,125,16,78,94,31,93,15,78,94,31,47,62,15,1
62,110,63,78,94,78,78,16,62,31,93,94,78,109,94,16,1
15,78,31,78,141,266,109,16,94,62,79,75,86,93,62,16,1
16,62,63,78,78,109,109,16,62,31,93,94,78,109,109,16,1
31,157,62,156,32,78,78,204,78,219,78,31,141,62,62,32,1
31,94,63,31,15,79,63,31,62,78,78,15,94,109,93,78,1
16,93,62,156,47,141,62,32,78,219,78,31,141,62,47,32,1
93,63,63,78,156,31,62,63,78,47,93,172,15,63,110,15,1
32,110,15,79,16,78,110,15,110,78,78,78,15,78,32,31,1
62,32,63,78,16,125,78,16,78,47,93,172,15,63,94,15,1
281,125,156,235,31,94,78,47,63,156,110,156,47,125,63,16,1
16,125,15,78,125,109,16,109,63,79,62,203,31,109,156,32,1
47,156,156,235,46,109,78,110,93,156,110,156,47,125,93,16,1
187,94,62,94,141,78,62,16,94,31,62,78,47,78,32,31,1
15,78,47,62,109,79,203,265,32,47,62,156,63,125,62,16,1
16,62,62,94,94,63,32,15,93,31,62,78,47,78,94,31,1
31,109,32,110,62,62,78,16,63,656,63,32,78,79,47,62,1
15,78,15,62,703,63,47,94,47,78,141,110,15,93,15,62,1
157,15,32,110,15,125,703,16,47,656,63,32,78,79,31,62,1
16,93,15,78,94,78,63,94,78,31,62,63,93,63,15,15,1
15,94,15,93,125,219,79,78,15,63,62,63,94,62,78,31,1
47,78,15,78,125,234,141,15,62,31,62,63,93,63,78,15,1
16,94,78,125,94,78,125,109,172,94,78,94,94,203,94,78,1
16,125,16,78,62,93,141,93,94,172,79,265,78,110,94,813,1
16,94,78,125,93,172,94,78,78,94,78,94,94,203,125,78,1
16,78,0,94,109,94,78,15,79,109,94,94,125,78,78,47,1
16,78,78,78,78,94,78,31,78,63,109,94,78,78,78,47,1
47,78,0,94,78,94,47,31,78,109,94,94,125,78,94,47,1
157,109,265,390,63,110,15,93,219,46,985,203,62,141,125,110,1
129,297,250,31,15,187,94,125,125,94,109,16,110,78,344,313,1
125,344,265,390,46,140,141,187,94,46,985,203,62,141,391,110,1
296,110,78,156,63,93,109,31,110,78,234,234,63,157,62,203,1
94,94,16,62,78,125,94,94,62,78,78,156,47,109,32,63,1
93,32,78,156,62,94,125,62,109,78,234,234,63,157,109,203,1
16,93,391,110,15,110,78,109,79,297,235,297,31,141,344,32,1
32,93,47,94,15,141,16,125,344,78,94,172,31,140,62,62,1
141,62,391,110,15,109,125,188,109,297,235,297,31,141,94,32,1
32,109,15,109,16,62,46,47,63,94,94,109,16,31,15,32,1
15,94,63,31,15,62,78,63,15,78,62,94,47,94,62,47,1
63,62,15,109,16,63,62,16,79,94,94,109,16,31,94,32,1
15,82,53,91,259,144,31,78,16,156,78,110,94,187,110,15,1
188,62,15,63,172,94,219,16,110,79,93,94,125,78,110,15,1
15,110,53,91,223,125,156,16,78,156,78,110,94,187,109,15,1
31,78,15,63,62,63,62,32,46,78,79,63,109,140,79,47,1
16,62,79,62,63,78,78,31,79,63,125,78,79,78,63,16,1
31,63,15,63,62,79,110,172,16,78,79,63,109,140,79,47,1
62,94,63,78,125,47,46,16,63,265,78,141,46,32,41,15,1
16,78,31,94,125,203,172,116,41,31,79,156,47,94,47,47,1
31,47,63,78,125,110,32,31,62,265,78,141,46,32,46,15,1
62,110,156,141,16,125,78,16,94,47,94,94,125,78,109,78,1
31,125,16,62,15,94,109,63,109,63,79,78,110,78,78,31,1
47,78,156,141,109,125,94,15,63,47,94,94,125,78,63,78,1
32,78,47,62,141,62,62,110,78,78,79,79,140,47,47,16,1
47,62,32,93,157,62,94,203,47,47,47,109,94,62,47,47,1
125,47,47,62,140,78,78,31,63,78,79,79,140,47,78,16,1
141,93,250,328,62,172,47,78,125,62,344,140,234,63,62,31,1
109,32,79,31,62,172,140,235,62,62,78,16,93,63,156,281,1
78,156,250,328,63,172,109,141,62,62,344,140,234,63,79,31,1
282,93,234,94,47,94,63,218,47,78,78,63,140,94,78,219,1
297,62,188,62,63,109,78,250,78,62,62,78,140,78,94,204,1
797,94,234,94,203,109,78,375,47,78,78,63,140,94,62,219,1
32,93,110,250,63,63,125,46,0,78,63,125,47,63,47,78,1
16,94,31,78,16,63,78,16,47,63,63,125,15,78,0,16,1
172,0,110,250,938,31,109,32,78,78,63,125,47,63,78,78,1
0,94,32,171,16,109,63,62,63,31,375,156,47,78,47,31,1
16,94,93,47,31,109,94,109,47,63,78,78,47,125,62,15,1
31,62,32,171,31,125,62,125,109,31,375,156,47,78,94,31,1
15,110,94,78,203,63,141,0,78,141,63,94,78,94,78,32,1
16,78,31,63,0,94,94,63,78,234,110,110,93,78,78,31,1
31,78,94,78,171,63,109,16,62,141,63,94,78,94,78,32,1
172,94,250,78,110,78,125,140,63,94,110,47,156,79,63,94,1
359,94,219,93,78,78,62,328,63,93,63,78,109,79,93,125,1
313,93,250,78,250,94,94,187,78,94,110,47,156,79,93,94,1
94,93,93,156,31,63,78,125,78,78,73,78,31,125,78,31,1
16,47,16,47,594,656,62,125,78,62,63,140,0,63,31,31,1
31,31,93,156,16,94,94,31,63,78,73,78,31,125,78,31,1
16,110,391,438,31,46,78,31,94,94,78,109,125,109,15,0,1
0,109,141,78,32,46,31,78,15,63,78,125,31,62,32,31,1
109,32,391,438,31,94,110,31,94,94,78,109,125,109,94,0,1
31,110,485,594,47,140,78,141,62,47,78,47,62,109,0,32,1
16,94,47,78,31,141,32,110,0,62,62,125,62,125,94,47,1
16,94,485,594,16,109,125,78,94,47,78,47,62,109,93,32,1
63,93,125,63,171,79,62,32,78,63,93,78,78,47,63,79,1
15,93,46,47,31,94,78,15,63,62,63,78,94,63,63,63,1
0,63,125,63,47,94,62,16,62,63,93,78,78,47,78,79,1
547,156,128,225,40,110,63,47,78,47,109,78,63,93,32,47,1
16,109,47,62,734,0,79,93,32,78,78,79,78,172,78,62,1
78,78,128,225,47,141,94,31,172,47,109,78,63,93,47,47,1
15,63,63,140,188,109,63,578,94,47,141,78,94,188,47,63,1
78,125,62,78,207,109,94,78,47,47,63,78,125,62,47,31,1
31,47,63,140,687,94,125,453,78,47,141,78,94,188,94,63,1
47,94,271,380,47,125,47,16,62,47,63,125,32,0,32,16,1
31,78,32,78,47,125,62,31,32,63,63,312,63,94,62,31,1
0,62,271,380,140,94,62,0,32,47,63,125,32,0,79,16,1
94,94,140,79,250,93,47,141,62,125,63,63,93,63,63,110,1
47,78,94,62,125,125,78,78,63,62,63,78,110,62,78,47,1
78,78,140,79,172,125,63,125,83,125,63,63,93,63,78,110,1
31,125,31,172,31,156,94,16,93,0,453,140,47,63,31,32,1
46,125,15,78,125,156,31,63,31,93,78,829,31,93,62,31,1
0,62,31,172,93,157,94,78,94,0,453,140,47,63,109,32,1
78,110,78,62,94,94,78,31,94,32,110,78,94,63,31,62,1
0,78,61,52,94,188,63,62,31,78,63,62,110,62,31,47,1
47,31,78,62,78,78,94,47,78,32,110,78,94,63,78,62,1
16,94,188,78,31,94,110,31,78,78,62,78,110,78,125,32,1
16,62,0,78,31,109,156,31,125,78,63,62,94,62,125,235,1
31,125,188,78,0,94,156,16,94,78,62,78,110,78,125,32,1
16,109,109,203,47,62,31,63,31,16,94,157,31,62,156,16,1
78,16,94,0,140,31,0,62,156,78,78,0,47,63,31,31,1
79,31,109,203,15,125,125,719,109,16,94,157,31,62,94,16,1
62,110,203,78,249,88,78,344,407,234,93,94,140,79,78,109,1
63,93,157,78,204,78,78,172,78,281,93,94,172,78,78,125,1
0,78,203,78,63,250,94,203,78,234,93,94,140,79,93,109,1
47,47,79,110,15,110,78,16,110,63,79,63,47,15,48,109,1
63,31,94,31,0,94,16,78,48,31,63,16,78,62,16,109,1
