ft1,dtsk1,ft4,dtsk4,dtfk5,dtsk5,ft6,dtfk7,ft7,dtsk7,dtfk8,ft8,dtsk10,dtfk11,ft11,dtfk12,ft12,dtfk13,ft14,dtsk14,gender
31,63,109,94,94,78,110,62,94,94,78,94,78,94,94,109,31,78,109,63,1
32,93,32,62,94,94,62,93,47,78,78,125,79,110,78,125,78,93,94,63,1
78,93,109,94,78,94,62,62,94,78,93,94,78,94,94,109,31,63,109,63,1
16,109,313,391,391,62,16,79,15,78,94,62,47,62,47,94,234,62,63,15,1
16,78,16,47,516,32,125,437,63,62,78,94,62,47,63,94,172,16,32,46,1
62,16,313,391,484,62,47,250,78,47,90,62,47,62,47,94,234,46,63,15,1
594,62,109,219,219,63,125,79,46,47,78,125,94,63,93,78,16,63,171,63,1
31,63,62,63,62,94,62,93,47,63,63,109,47,47,109,94,62,62,46,63,1
110,62,109,219,62,94,78,62,16,78,79,63,94,63,93,78,16,63,171,63,1
47,156,172,266,266,94,63,78,157,93,94,312,93,109,31,94,31,63,31,78,1
93,94,15,78,0,78,63,31,94,63,63,94,47,110,47,172,78,16,78,78,1
94,16,172,266,0,78,31,78,16,93,62,109,93,109,31,94,31,78,31,78,1
78,94,141,281,281,47,187,62,94,62,125,31,63,93,156,15,93,16,94,47,1
78,78,47,78,0,47,94,94,93,16,187,32,62,16,78,32,94,328,141,31,1
47,328,141,281,0,109,15,78,47,78,63,0,63,93,156,15,93,31,94,47,1
125,109,94,94,94,78,93,78,78,63,63,125,94,78,63,62,78,78,31,62,1
16,78,16,62,47,78,78,79,187,78,62,94,47,78,62,204,46,78,63,78,1
31,78,94,94,78,78,63,78,47,78,78,46,94,78,63,62,78,78,31,62,1
78,125,172,125,125,125,62,16,47,31,94,94,62,141,78,203,16,109,16,109,1
188,47,16,78,156,125,78,47,31,109,109,78,93,94,94,79,62,109,47,124,1
16,109,172,125,156,172,79,78,47,125,78,109,62,141,78,203,16,124,16,109,1
47,141,16,94,94,31,62,31,94,16,4,80,78,16,79,672,31,15,110,31,1
94,15,78,94,532,32,141,62,141,15,172,16,62,78,32,671,47,15,16,78,1
94,15,16,94,563,32,31,31,78,16,72,593,78,16,79,672,31,78,110,31,1
63,125,16,125,125,16,31,78,16,62,78,78,78,94,31,93,16,16,15,78,1
16,78,32,62,0,47,140,31,47,16,63,78,47,94,16,78,109,391,32,62,1
94,391,16,125,93,78,16,94,31,93,77,703,78,94,31,93,16,62,15,78,1
62,110,63,78,78,78,94,78,16,62,109,79,93,94,78,94,31,94,16,94,1
15,78,31,78,156,266,63,109,16,94,93,78,79,75,86,78,93,62,16,109,1
16,62,63,78,94,109,93,109,16,62,110,110,93,94,78,94,31,109,16,94,1
31,157,62,156,156,78,16,78,204,78,140,16,78,31,141,15,94,62,32,93,1
31,94,63,31,0,79,78,63,31,62,31,141,78,15,94,125,78,93,78,47,1
16,93,62,156,0,141,113,62,32,78,78,63,78,31,141,15,94,47,32,93,1
93,63,63,78,78,31,31,62,63,78,78,94,93,172,15,78,16,110,15,79,1
32,110,15,79,0,78,79,110,15,110,62,110,78,78,15,93,94,32,31,94,1
62,32,63,78,125,125,16,78,16,78,78,94,93,172,15,78,16,94,15,79,1
281,125,156,235,235,94,188,78,47,63,78,157,110,156,47,109,125,63,16,94,1
16,125,15,78,94,109,62,16,109,63,62,47,62,203,31,31,141,156,32,93,1
47,156,156,235,0,109,85,78,110,93,78,0,110,156,47,109,125,93,16,94,1
187,94,62,94,94,78,32,62,16,94,78,157,62,78,47,109,156,32,31,78,1
15,78,47,62,94,79,63,203,265,32,62,78,62,156,63,78,94,62,16,94,1
16,62,62,94,78,63,109,32,15,93,110,719,62,78,47,109,156,94,31,78,1
31,109,32,110,110,62,62,78,16,63,79,157,63,32,78,766,782,47,62,47,1
15,78,15,62,640,63,62,47,94,47,16,15,141,110,15,832,62,15,62,31,1
157,15,32,110,0,125,31,703,16,47,62,738,63,32,78,766,782,31,62,47,1
16,93,15,78,78,78,109,63,94,78,94,78,62,63,93,78,0,15,15,78,1
15,94,15,93,47,219,47,79,78,15,15,63,62,63,94,78,93,78,31,78,1
47,78,15,78,94,234,62,141,15,62,78,78,62,63,93,78,0,78,15,78,1
16,94,78,125,125,78,141,125,109,172,94,140,78,94,94,94,78,94,78,78,1
16,125,16,78,0,93,78,141,93,94,47,93,79,265,78,156,109,94,813,125,1
16,94,78,125,891,172,141,94,78,78,156,78,78,94,94,94,78,125,78,78,1
16,78,0,94,94,94,157,78,15,79,94,94,94,94,125,78,594,78,47,78,1
16,78,78,78,94,94,78,78,31,78,62,94,109,94,78,109,78,78,47,94,1
47,78,0,94,94,94,94,47,31,78,78,110,94,94,125,78,594,94,47,78,1
157,109,265,390,390,110,78,15,93,219,109,109,985,203,62,47,172,125,110,109,1
129,297,250,31,0,187,94,94,125,125,94,94,109,16,110,157,282,344,313,391,1
125,344,265,390,0,140,125,141,187,94,94,125,985,203,62,47,172,391,110,109,1
296,110,78,156,156,93,63,109,31,110,94,141,234,234,63,109,94,62,203,140,1
94,94,16,62,0,125,78,94,94,62,641,78,78,156,47,141,78,32,63,109,1
93,32,78,156,125,94,94,125,62,109,94,110,234,234,63,109,94,109,203,140,1
16,93,391,110,110,110,235,78,109,79,125,204,235,297,31,93,282,344,32,109,1
32,93,47,94,125,141,78,16,125,344,125,125,94,172,31,78,141,62,62,94,1
141,62,391,110,0,109,63,125,188,109,94,156,235,297,31,93,282,94,32,109,1
32,109,15,109,109,62,141,46,47,63,63,93,94,109,16,94,47,15,32,78,1
15,94,63,31,0,62,78,78,63,15,93,110,62,94,47,109,78,62,47,94,1
63,62,15,109,125,63,31,62,16,79,78,125,94,109,16,94,47,94,32,78,1
15,82,53,91,91,144,62,31,78,16,125,125,78,110,94,110,343,110,15,125,1
188,62,15,63,78,94,78,219,16,110,16,94,93,94,125,125,125,110,15,109,1
15,110,53,91,94,125,93,156,16,78,171,125,78,110,94,110,343,109,15,125,1
31,78,15,63,63,63,94,62,32,46,31,93,79,63,109,78,16,79,47,16,1
16,62,79,62,515,78,62,78,31,79,15,47,125,78,79,109,172,63,16,79,1
31,63,15,63,94,79,63,110,172,16,110,78,79,63,109,78,16,79,47,16,1
62,94,63,78,78,47,109,46,16,63,125,78,78,141,46,62,32,41,15,63,1
16,78,31,94,78,203,93,172,116,41,63,141,79,156,47,126,46,47,47,46,1
31,47,63,78,62,110,47,32,31,62,94,62,78,141,46,62,32,46,15,63,1
62,110,156,141,141,125,125,78,16,94,109,110,94,94,125,187,16,109,78,62,1
31,125,16,62,172,94,62,109,63,109,78,94,79,78,110,110,93,78,31,63,1
47,78,156,141,125,125,78,94,15,63,63,93,94,94,125,187,16,63,78,62,1
32,78,47,62,62,62,125,62,110,78,78,110,79,79,140,63,15,47,16,62,1
47,62,32,93,78,62,62,94,203,47,78,156,47,109,94,125,47,47,47,78,1
125,47,47,62,63,78,47,78,31,63,63,78,79,79,140,63,15,78,16,62,1
141,93,250,328,328,172,93,47,78,125,422,47,344,140,234,47,125,62,31,94,1
109,32,79,31,0,172,94,140,235,62,359,515,78,16,93,94,78,156,281,79,1
78,156,250,328,0,172,63,109,141,62,94,125,344,140,234,47,125,79,31,94,1
282,93,234,94,94,94,984,63,218,47,79,109,78,63,140,78,828,78,219,78,1
297,62,188,62,93,109,63,78,250,78,93,47,62,78,140,94,62,94,204,62,1
797,94,234,94,141,109,78,78,375,47,62,78,78,63,140,78,828,62,219,78,1
32,93,110,250,250,63,94,125,46,0,187,266,63,125,47,109,32,47,78,63,1
16,94,31,78,125,63,62,78,16,47,62,516,63,125,15,94,93,0,16,78,1
172,0,110,250,844,31,46,109,32,78,94,78,63,125,47,109,32,78,78,63,1
0,94,32,171,171,109,125,63,62,63,156,78,375,156,47,63,16,47,31,125,1
16,94,93,47,110,109,78,94,109,47,93,16,78,78,47,16,109,62,15,94,1
31,62,32,171,94,125,63,62,125,109,125,0,375,156,47,63,16,94,31,125,1
15,110,94,78,78,63,94,141,0,78,78,94,63,94,78,93,16,78,32,62,1
16,78,31,63,0,94,62,94,63,78,93,94,110,110,93,94,93,78,31,78,1
31,78,94,78,94,63,78,109,16,62,79,110,63,94,78,93,16,78,32,62,1
172,94,250,78,78,78,156,125,140,63,62,125,110,47,156,94,265,63,94,78,1
359,94,219,93,94,78,93,62,328,63,109,141,63,78,109,156,94,93,125,93,1
313,93,250,78,93,94,63,94,187,78,109,94,110,47,156,94,265,93,94,78,1
94,93,93,156,156,63,469,78,125,78,141,47,73,78,31,79,15,78,31,63,1
16,47,16,47,0,656,166,62,125,78,78,78,63,140,0,47,110,31,31,78,1
31,31,93,156,0,94,141,94,31,63,78,703,73,78,31,79,15,78,31,63,1
16,110,391,438,438,46,62,78,31,94,110,140,78,109,125,109,16,15,0,94,1
0,109,141,78,0,46,94,31,78,15,63,109,78,125,31,687,94,32,31,94,1
109,32,391,438,0,94,47,110,31,94,0,94,78,109,125,109,16,94,0,94,1
31,110,485,594,594,140,47,78,141,62,125,109,78,47,62,125,16,0,32,93,1
16,94,47,78,125,141,79,32,110,0,78,110,62,125,62,172,78,94,47,93,1
16,94,485,594,234,109,94,125,78,94,109,94,78,47,62,125,16,93,32,93,1
63,93,125,63,63,79,109,62,32,78,78,78,93,78,78,78,172,63,79,78,1
15,93,46,47,47,94,63,78,15,63,78,63,63,78,94,125,62,63,63,78,1
0,63,125,63,46,94,47,62,16,62,62,79,93,78,78,78,172,78,79,78,1
547,156,128,225,225,110,78,63,47,78,15,140,109,78,63,47,15,32,47,94,1
16,109,47,62,609,0,63,79,93,32,109,47,78,79,78,110,94,78,62,47,1
78,78,128,225,0,141,32,94,31,172,47,109,109,78,63,47,15,47,47,94,1
15,63,63,140,140,109,141,63,578,94,78,125,141,78,94,47,78,47,63,62,1
