dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk7,ft7,ft8,dtsk9,ft10,dtsk10,dtfk11,ft11,dtsk12,dtfk14,dtsk14,gender
78,109,94,94,78,62,94,94,78,78,78,94,94,79,47,63,1
62,32,62,94,94,93,47,125,94,62,79,110,78,156,62,63,1
78,109,94,78,94,62,94,94,93,78,78,94,94,79,47,63,1
62,313,391,391,62,79,15,62,31,62,47,62,47,78,31,15,1
62,16,47,516,32,437,63,94,94,63,62,47,63,16,47,46,1
62,313,391,484,62,250,78,62,437,62,47,62,47,78,31,15,1
78,109,219,219,63,79,46,125,109,62,94,63,93,78,79,63,1
47,62,63,62,94,93,47,109,78,94,47,47,109,16,63,63,1
78,109,219,62,94,62,16,63,93,62,94,63,93,78,79,63,1
78,172,266,266,94,78,157,312,114,63,93,109,31,78,94,78,1
78,15,78,0,78,31,94,94,109,78,47,110,47,63,94,78,1
78,172,266,0,78,78,16,109,31,63,93,109,31,78,94,78,1
63,141,281,281,47,62,94,31,234,78,63,93,156,16,47,47,1
47,47,78,0,47,94,93,32,94,63,62,16,78,156,63,31,1
63,141,281,0,109,78,47,0,94,78,63,93,156,16,47,47,1
78,94,94,94,78,78,78,125,93,78,94,78,63,78,63,62,1
78,16,62,47,78,79,187,94,78,78,47,78,62,79,78,78,1
78,94,94,78,78,78,47,46,79,78,94,78,63,78,63,62,1
63,172,125,125,125,16,47,94,94,79,62,141,78,78,125,109,1
109,16,78,156,125,47,31,78,94,78,93,94,94,47,78,124,1
63,172,125,156,172,78,47,109,47,79,62,141,78,78,125,109,1
93,16,94,94,31,31,94,80,16,47,78,16,79,78,16,31,1
110,78,94,532,32,62,141,16,141,63,62,78,32,125,78,78,1
93,16,94,563,32,31,78,593,62,47,78,16,79,78,16,31,1
62,16,125,125,16,78,16,78,94,47,78,94,31,94,94,78,1
78,32,62,0,47,31,47,78,62,63,47,94,16,94,62,62,1
62,16,125,93,78,94,31,703,31,47,78,94,31,94,94,78,1
78,63,78,78,78,78,16,79,109,63,93,94,78,109,78,94,1
109,31,78,156,266,109,16,78,94,78,79,75,86,47,93,109,1
78,63,78,94,109,109,16,110,109,63,93,94,78,109,78,94,1
62,62,156,156,78,78,204,16,31,78,78,31,141,484,78,93,1
250,63,31,0,79,63,31,141,94,47,78,15,94,62,31,47,1
62,62,156,0,141,62,32,63,63,78,78,31,141,484,78,93,1
16,63,78,78,31,62,63,94,125,47,93,172,15,125,63,79,1
110,15,79,0,78,110,15,110,109,79,78,78,15,16,47,94,1
16,63,78,125,125,78,16,94,110,47,93,172,15,125,63,79,1
78,156,235,235,94,78,47,157,94,94,110,156,47,62,62,94,1
78,15,78,94,109,16,109,47,267,78,62,203,31,343,62,93,1
78,156,235,0,109,78,110,0,16,94,110,156,47,62,62,94,1
63,62,94,94,78,62,16,157,156,94,62,78,47,110,94,78,1
47,47,62,94,79,203,265,78,94,110,62,156,63,156,125,94,1
63,62,94,78,63,32,15,719,203,94,62,78,47,110,94,78,1
93,32,110,110,62,78,16,157,16,47,63,32,78,15,15,47,1
78,15,62,640,63,47,94,15,62,63,141,110,15,32,15,31,1
93,32,110,0,125,703,16,738,47,47,63,32,78,15,15,47,1
63,15,78,78,78,63,94,78,78,79,62,63,93,94,110,78,1
110,15,93,47,219,79,78,63,46,78,62,63,94,32,94,78,1
63,15,78,94,234,141,15,78,79,79,62,63,93,94,110,78,1
94,78,125,125,78,125,109,140,891,156,78,94,94,78,78,78,1
93,16,78,0,93,141,93,93,63,62,79,265,78,16,109,125,1
94,78,125,891,172,94,78,78,141,156,78,94,94,78,78,78,1
94,0,94,94,94,78,15,94,234,62,94,94,125,125,93,78,1
110,78,78,94,94,78,31,94,32,78,109,94,78,63,78,94,1
94,0,94,94,94,47,31,110,78,62,94,94,125,125,93,78,1
141,265,390,390,110,15,93,109,141,125,985,203,62,359,78,109,1
172,250,31,0,187,94,125,94,235,172,109,16,110,15,156,391,1
141,265,390,0,140,141,187,125,94,125,985,203,62,359,78,109,1
94,78,156,156,93,109,31,141,78,63,234,234,63,63,94,140,1
94,16,62,0,125,94,94,78,94,94,78,156,47,140,78,109,1
94,78,156,125,94,125,62,110,94,63,234,234,63,63,94,140,1
62,391,110,110,110,78,109,204,172,78,235,297,31,109,93,109,1
94,47,94,125,141,16,125,125,15,94,94,172,31,15,94,94,1
62,391,110,0,109,125,188,156,16,78,235,297,31,109,93,109,1
63,15,109,109,62,46,47,93,188,47,94,109,16,125,62,78,1
78,63,31,0,62,78,63,110,94,63,62,94,47,110,63,94,1
63,15,109,125,63,62,16,125,78,47,94,109,16,125,62,78,1
118,53,91,91,144,31,78,125,125,47,78,110,94,125,94,125,1
110,15,63,78,94,219,16,94,109,78,93,94,125,250,156,109,1
118,53,91,94,125,156,16,125,219,47,78,110,94,125,94,125,1
94,15,63,63,63,62,32,93,109,15,79,63,109,62,15,16,1
78,79,62,515,78,78,31,47,94,62,125,78,79,15,109,79,1
94,15,63,94,79,110,172,78,78,15,79,63,109,62,15,16,1
109,63,78,78,47,46,16,78,78,79,78,141,46,109,78,63,1
94,31,94,78,203,172,116,141,62,62,79,156,47,219,78,46,1
109,63,78,62,110,32,31,62,172,79,78,141,46,109,78,63,1
78,156,141,141,125,78,16,110,140,63,94,94,125,94,79,62,1
78,16,62,172,94,109,63,94,15,93,79,78,110,32,94,63,1
78,156,141,125,125,94,15,93,109,63,94,94,125,94,79,62,1
63,47,62,62,62,62,110,110,79,62,79,79,140,78,78,62,1
62,32,93,78,62,94,203,156,125,109,47,109,94,78,63,78,1
63,47,62,63,78,78,31,78,94,62,79,79,140,78,78,62,1
