dtfk1,dtsk1,dtsk2,dtsk3,dtfk4,ft4,dtsk4,ft5,ft6,ft7,dtsk7,dtfk8,ft8,dtsk8,dtsk10,ft11,ft12,dtfk13,dtfk14,dtsk14,gender
47,63,62,78,78,109,94,156,110,94,94,78,94,62,78,94,31,78,47,63,1
62,93,62,62,62,32,62,125,62,47,78,78,125,47,79,78,78,93,62,63,1
63,93,79,32,78,109,94,140,62,94,78,93,94,125,78,94,31,63,47,63,1
109,109,78,62,62,313,391,47,16,15,78,94,62,109,47,47,234,62,31,15,1
78,78,16,62,62,16,47,578,125,63,62,78,94,94,62,63,172,16,47,46,1
32,16,63,50,62,313,391,79,47,78,47,90,62,94,47,47,234,46,31,15,1
78,62,62,78,78,109,219,15,125,46,47,78,125,63,94,93,16,63,79,63,1
63,63,94,78,47,62,63,47,62,47,63,63,109,63,47,109,62,62,63,63,1
78,62,62,47,78,109,219,32,78,16,78,79,63,94,94,93,16,63,79,63,1
119,156,94,78,78,172,266,47,63,157,93,94,312,63,93,31,31,63,94,78,1
94,94,78,93,78,15,78,31,63,94,63,63,94,62,47,47,78,16,94,78,1
15,16,94,94,78,172,266,16,31,16,93,62,109,172,93,31,31,78,94,78,1
78,94,78,63,63,141,281,47,187,94,62,125,31,63,63,156,93,16,47,47,1
47,78,125,32,47,47,78,47,94,93,16,187,32,63,62,78,94,328,63,31,1
235,328,47,63,63,141,281,31,15,47,78,63,0,32,63,156,93,31,47,47,1
79,109,94,78,78,94,94,312,93,78,63,63,125,62,94,63,78,78,63,62,1
94,78,78,94,78,16,62,188,78,187,78,62,94,78,47,62,46,78,78,78,1
78,78,47,63,78,94,94,172,63,47,78,78,46,204,94,63,78,78,63,62,1
109,125,94,63,63,172,125,156,62,47,31,94,94,78,62,78,16,109,125,109,1
125,47,62,47,109,16,78,109,78,31,109,109,78,94,93,94,62,109,78,124,1
93,109,78,15,63,172,125,547,79,47,125,78,109,79,62,78,16,124,125,109,1
94,141,94,93,93,16,94,47,62,94,16,4,80,31,78,79,31,15,16,31,1
110,15,94,16,110,78,94,625,141,141,15,172,16,31,62,32,47,15,78,78,1
31,15,15,31,93,16,94,656,31,78,16,72,593,671,78,79,31,78,16,31,1
62,125,94,62,62,16,125,32,31,16,62,78,78,78,78,31,16,16,94,78,1
62,78,78,110,78,32,62,16,140,47,16,63,78,78,47,16,109,391,62,62,1
16,391,31,62,62,16,125,16,16,31,93,77,703,78,78,31,16,62,94,78,1
94,110,109,78,78,63,78,94,94,16,62,109,79,93,93,78,31,94,78,94,1
110,78,47,78,109,31,78,141,63,16,94,93,78,110,79,86,93,62,93,109,1
109,62,78,94,78,63,78,78,93,16,62,110,110,78,93,78,31,109,78,94,1
78,157,63,62,62,62,156,32,16,204,78,140,16,78,78,141,94,62,78,93,1
94,94,78,109,250,63,31,15,78,31,62,31,141,31,78,94,78,93,31,47,1
94,93,94,79,62,62,156,47,113,32,78,78,63,125,78,141,94,47,78,93,1
