dtsk1,dtfk3,dtfk4,ft4,dtsk4,dtsk5,dtfk6,dtfk7,ft7,dtsk7,dtfk10,dtsk10,dtfk11,ft11,dtfk12,ft12,dtsk12,dtfk14,sum,gender
63,62,78,109,94,78,62,62,94,94,141,78,94,94,109,31,79,47,3423,1
93,62,62,32,62,94,78,93,47,78,47,79,110,78,125,78,156,62,3295,1
93,94,78,109,94,94,47,62,94,78,141,78,94,94,109,31,79,47,3422,1
109,78,62,313,391,62,62,79,15,78,16,47,62,47,94,234,78,31,4029,1
78,93,62,16,47,32,47,437,63,62,32,62,47,63,94,172,16,47,3846,1
16,78,62,313,391,62,79,250,78,47,16,47,62,47,94,234,78,31,4828,1
62,62,78,109,219,63,78,79,46,47,63,94,63,93,78,16,78,79,3970,1
63,62,47,62,63,94,94,93,47,63,62,47,47,109,94,62,16,63,3172,1
62,47,78,109,219,94,16,62,16,78,63,94,63,93,78,16,78,79,3378,1
156,94,78,172,266,94,93,78,157,93,594,93,109,31,94,31,78,94,4577,1
94,78,78,15,78,78,93,31,94,63,94,47,110,47,172,78,63,94,3844,1
16,93,78,172,266,78,62,78,16,93,594,93,109,31,94,31,78,94,4530,1
94,78,63,141,281,47,32,62,94,62,47,63,93,156,15,93,16,47,3734,1
78,63,47,47,78,47,63,94,93,16,78,62,16,78,32,94,156,63,3222,1
328,62,63,141,281,109,78,78,47,78,47,63,93,156,15,93,16,47,4719,1
109,94,78,94,94,78,94,78,78,63,78,94,78,63,62,78,78,63,3765,1
78,62,78,16,62,78,94,79,187,78,47,47,78,62,204,46,79,78,3425,1
78,63,78,94,94,78,31,78,47,78,78,94,78,63,62,78,78,63,3281,1
125,94,63,172,125,125,47,16,47,31,16,62,141,78,203,16,78,125,3737,1
47,16,109,16,78,125,62,47,31,109,94,93,94,94,79,62,47,78,3577,1
109,31,63,172,125,172,15,78,47,125,16,62,141,78,203,16,78,125,4000,1
141,94,93,16,94,31,16,31,94,16,15,78,16,79,672,31,78,16,4273,1
15,63,110,78,94,32,78,62,141,15,62,62,78,32,671,47,125,78,4784,1
15,16,93,16,94,32,156,31,78,16,15,78,16,79,672,31,78,16,6569,1
125,94,62,16,125,16,110,78,16,62,15,78,94,31,93,16,94,94,2609,1
78,62,78,32,62,47,78,31,47,16,46,47,94,16,78,109,94,62,2828,1
391,62,62,16,125,78,62,94,31,93,15,78,94,31,93,16,94,94,6135,1
110,109,78,63,78,78,78,78,16,62,31,93,94,78,94,31,109,78,3422,1
78,93,109,31,78,266,93,109,16,94,62,79,75,86,78,93,47,93,3563,1
62,62,78,63,78,109,47,109,16,62,31,93,94,78,94,31,109,78,3358,1
