dtsk2,ft4,dtsk4,dtfk5,ft5,dtsk5,ft7,dtsk7,dtsk10,dtfk11,ft11,dtsk11,gender
62,109,94,94,156,78,94,94,78,94,94,31,1
62,32,62,94,125,94,47,78,79,110,78,93,1
79,109,94,78,140,94,94,78,78,94,94,31,1
78,313,391,391,47,62,15,78,47,62,47,32,1
16,16,47,516,578,32,63,62,62,47,63,94,1
63,313,391,484,79,62,78,47,47,62,47,32,1
62,109,219,219,15,63,46,47,94,63,93,63,1
94,62,63,62,47,94,47,63,47,47,109,47,1
62,109,219,62,32,94,16,78,94,63,93,63,1
94,172,266,266,47,94,157,93,93,109,31,94,1
78,15,78,0,31,78,94,63,47,110,47,78,1
94,172,266,0,16,78,16,93,93,109,31,94,1
78,141,281,281,47,47,94,62,63,93,156,47,1
125,47,78,0,47,47,93,16,62,16,78,47,1
47,141,281,0,31,109,47,78,63,93,156,47,1
94,94,94,94,312,78,78,63,94,78,63,78,1
78,16,62,47,188,78,187,78,47,78,62,63,1
47,94,94,78,172,78,47,78,94,78,63,78,1
94,172,125,125,156,125,47,31,62,141,78,157,1
62,16,78,156,109,125,31,109,93,94,94,62,1
78,172,125,156,547,172,47,125,62,141,78,157,1
94,16,94,94,47,31,94,16,78,16,79,62,1
94,78,94,532,625,32,141,15,62,78,32,141,1
15,16,94,563,656,32,78,16,78,16,79,62,1
94,16,125,125,32,16,16,62,78,94,31,47,1
78,32,62,0,16,47,47,16,47,94,16,109,1
31,16,125,93,16,78,31,93,78,94,31,47,1
109,63,78,78,94,78,16,62,93,94,78,109,1
47,31,78,156,141,266,16,94,79,75,86,93,1
78,63,78,94,78,109,16,62,93,94,78,109,1
63,62,156,156,32,78,204,78,78,31,141,62,1
78,63,31,0,15,79,31,62,78,15,94,109,1
94,62,156,0,47,141,32,78,78,31,141,62,1
47,63,78,78,156,31,63,78,93,172,15,63,1
94,15,79,0,16,78,15,110,78,78,15,78,1
78,63,78,125,16,125,16,78,93,172,15,63,1
94,156,235,235,31,94,47,63,110,156,47,125,1
94,15,78,94,125,109,109,63,62,203,31,109,1
46,156,235,0,46,109,110,93,110,156,47,125,1
78,62,94,94,141,78,16,94,62,78,47,78,1
78,47,62,94,109,79,265,32,62,156,63,125,1
93,62,94,78,94,63,15,93,62,78,47,78,1
94,32,110,110,62,62,16,63,63,32,78,79,1
32,15,62,640,703,63,94,47,141,110,15,93,1
