dtfk1,dtfk3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk7,ft7,dtfk8,dtfk11,ft11,dtsk11,ft12,dtfk13,gender
47,62,109,94,94,156,78,62,94,78,94,94,31,31,78,1
62,62,32,62,94,125,94,93,47,78,110,78,93,78,93,1
63,94,109,94,78,140,94,62,94,93,94,94,31,31,63,1
109,78,313,391,391,47,62,79,15,94,62,47,32,234,62,1
78,93,16,47,516,578,32,437,63,78,47,63,94,172,16,1
32,78,313,391,484,79,62,250,78,90,62,47,32,234,46,1
78,62,109,219,219,15,63,79,46,78,63,93,63,16,63,1
63,62,62,63,62,47,94,93,47,63,47,109,47,62,62,1
78,47,109,219,62,32,94,62,16,79,63,93,63,16,63,1
119,94,172,266,266,47,94,78,157,94,109,31,94,31,63,1
94,78,15,78,0,31,78,31,94,63,110,47,78,78,16,1
15,93,172,266,0,16,78,78,16,62,109,31,94,31,78,1
78,78,141,281,281,47,47,62,94,125,93,156,47,93,16,1
47,63,47,78,0,47,47,94,93,187,16,78,47,94,328,1
235,62,141,281,0,31,109,78,47,63,93,156,47,93,31,1
79,94,94,94,94,312,78,78,78,63,78,63,78,78,78,1
94,62,16,62,47,188,78,79,187,62,78,62,63,46,78,1
78,63,94,94,78,172,78,78,47,78,78,63,78,78,78,1
109,94,172,125,125,156,125,16,47,94,141,78,157,16,109,1
125,16,16,78,156,109,125,47,31,109,94,94,62,62,109,1
93,31,172,125,156,547,172,78,47,78,141,78,157,16,124,1
94,94,16,94,94,47,31,31,94,4,16,79,62,31,15,1
110,63,78,94,532,625,32,62,141,172,78,32,141,47,15,1
31,16,16,94,563,656,32,31,78,72,16,79,62,31,78,1
62,94,16,125,125,32,16,78,16,78,94,31,47,16,16,1
62,62,32,62,0,16,47,31,47,63,94,16,109,109,391,1
16,62,16,125,93,16,78,94,31,77,94,31,47,16,62,1
94,109,63,78,78,94,78,78,16,109,94,78,109,31,94,1
110,93,31,78,156,141,266,109,16,93,75,86,93,93,62,1
109,62,63,78,94,78,109,109,16,110,94,78,109,31,109,1
78,63,62,156,156,32,78,78,204,140,31,141,62,94,62,1
94,79,63,31,0,15,79,63,31,31,15,94,109,78,93,1
94,78,62,156,0,47,141,62,32,78,31,141,62,94,47,1
47,47,63,78,78,156,31,62,63,78,172,15,63,16,110,1
78,94,15,79,0,16,78,110,15,62,78,15,78,94,32,1
16,78,63,78,125,16,125,78,16,78,172,15,63,16,94,1
47,94,156,235,235,31,94,78,47,78,156,47,125,125,63,1
250,94,15,78,94,125,109,16,109,62,203,31,109,141,156,1
78,63,156,235,0,46,109,78,110,78,156,47,125,125,93,1
78,78,62,94,94,141,78,62,16,78,78,47,78,156,32,1
110,78,47,62,94,109,79,203,265,62,156,63,125,94,62,1
94,94,62,94,78,94,63,32,15,110,78,47,78,156,94,1
109,94,32,110,110,62,62,78,16,79,32,78,79,782,47,1
63,93,15,62,640,703,63,47,94,16,110,15,93,62,15,1
94,63,32,110,0,15,125,703,16,62,32,78,79,782,31,1
78,78,15,78,78,94,78,63,94,94,63,93,63,0,15,1
94,204,15,93,47,125,219,79,78,15,63,94,62,93,78,1
94,78,15,78,94,125,234,141,15,78,63,93,63,0,78,1
