dtfk1,dtfk3,ft4,dtsk4,dtfk5,ft5,ft7,dtfk11,ft11,dtsk11,dtfk13,dtfk14,ft14,dtsk14,gender
47,62,109,94,94,156,94,94,94,31,78,47,109,63,1
62,62,32,62,94,125,47,110,78,93,93,62,94,63,1
63,94,109,94,78,140,94,94,94,31,63,47,109,63,1
109,78,313,391,391,47,15,62,47,32,62,31,63,15,1
78,93,16,47,516,578,63,47,63,94,16,47,32,46,1
32,78,313,391,484,79,78,62,47,32,46,31,63,15,1
78,62,109,219,219,15,46,63,93,63,63,79,171,63,1
63,62,62,63,62,47,47,47,109,47,62,63,46,63,1
78,47,109,219,62,32,16,63,93,63,63,79,171,63,1
119,94,172,266,266,47,157,109,31,94,63,94,31,78,1
94,78,15,78,0,31,94,110,47,78,16,94,78,78,1
15,93,172,266,0,16,16,109,31,94,78,94,31,78,1
78,78,141,281,281,47,94,93,156,47,16,47,94,47,1
47,63,47,78,0,47,93,16,78,47,328,63,141,31,1
235,62,141,281,0,31,47,93,156,47,31,47,94,47,1
79,94,94,94,94,312,78,78,63,78,78,63,31,62,1
94,62,16,62,47,188,187,78,62,63,78,78,63,78,1
78,63,94,94,78,172,47,78,63,78,78,63,31,62,1
109,94,172,125,125,156,47,141,78,157,109,125,16,109,1
125,16,16,78,156,109,31,94,94,62,109,78,47,124,1
93,31,172,125,156,547,47,141,78,157,124,125,16,109,1
94,94,16,94,94,47,94,16,79,62,15,16,110,31,1
110,63,78,94,532,625,141,78,32,141,15,78,16,78,1
31,16,16,94,563,656,78,16,79,62,78,16,110,31,1
62,94,16,125,125,32,16,94,31,47,16,94,15,78,1
62,62,32,62,0,16,47,94,16,109,391,62,32,62,1
16,62,16,125,93,16,31,94,31,47,62,94,15,78,1
94,109,63,78,78,94,16,94,78,109,94,78,16,94,1
110,93,31,78,156,141,16,75,86,93,62,93,16,109,1
109,62,63,78,94,78,16,94,78,109,109,78,16,94,1
78,63,62,156,156,32,204,31,141,62,62,78,32,93,1
94,79,63,31,0,15,31,15,94,109,93,31,78,47,1
94,78,62,156,0,47,32,31,141,62,47,78,32,93,1
47,47,63,78,78,156,63,172,15,63,110,63,15,79,1
78,94,15,79,0,16,15,78,15,78,32,47,31,94,1
16,78,63,78,125,16,16,172,15,63,94,63,15,79,1
47,94,156,235,235,31,47,156,47,125,63,62,16,94,1
250,94,15,78,94,125,109,203,31,109,156,62,32,93,1
78,63,156,235,0,46,110,156,47,125,93,62,16,94,1
78,78,62,94,94,141,16,78,47,78,32,94,31,78,1
110,78,47,62,94,109,265,156,63,125,62,125,16,94,1
94,94,62,94,78,94,15,78,47,78,94,94,31,78,1
109,94,32,110,110,62,16,32,78,79,47,15,62,47,1
63,93,15,62,640,703,94,110,15,93,15,15,62,31,1
94,63,32,110,0,15,16,32,78,79,31,15,62,47,1
78,78,15,78,78,94,94,63,93,63,15,110,15,78,1
94,204,15,93,47,125,78,63,94,62,78,94,31,78,1
94,78,15,78,94,125,15,63,93,63,78,110,15,78,1
93,78,78,125,125,94,109,94,94,203,94,78,78,78,1
250,110,16,78,0,62,93,265,78,110,94,109,813,125,1
140,172,78,125,891,93,78,94,94,203,125,78,78,78,1
562,78,0,94,94,109,15,94,125,78,78,93,47,78,1
93,109,78,78,94,78,31,94,78,78,78,78,47,94,1
156,79,0,94,94,78,31,94,125,78,94,93,47,78,1
125,93,265,390,390,63,93,203,62,141,125,78,110,109,1
38,594,250,31,0,15,125,16,110,78,344,156,313,391,1
16,219,265,390,0,46,187,203,62,141,391,78,110,109,1
94,141,78,156,156,63,31,234,63,157,62,94,203,140,1
78,128,16,62,0,78,94,156,47,109,32,78,63,109,1
125,110,78,156,125,62,62,234,63,157,109,94,203,140,1
141,94,391,110,110,15,109,297,31,141,344,93,32,109,1
93,93,47,94,125,15,125,172,31,140,62,94,62,94,1
234,79,391,110,0,15,188,297,31,141,94,93,32,109,1
62,78,15,109,109,16,47,109,16,31,15,62,32,78,1
63,79,63,31,0,15,63,94,47,94,62,63,47,94,1
78,63,15,109,125,16,16,109,16,31,94,62,32,78,1
141,102,53,91,91,259,78,110,94,187,110,94,15,125,1
109,16,15,63,78,172,16,94,125,78,110,156,15,109,1
125,16,53,91,94,223,16,110,94,187,109,94,15,125,1
94,78,15,63,63,62,32,63,109,140,79,15,47,16,1
78,156,79,62,515,63,31,78,79,78,63,109,16,79,1
140,46,15,63,94,62,172,63,109,140,79,15,47,16,1
125,63,63,78,78,125,16,141,46,32,41,78,15,63,1
172,62,31,94,78,125,116,156,47,94,47,78,47,46,1
94,63,63,78,62,125,31,141,46,32,46,78,15,63,1
78,78,156,141,141,16,16,94,125,78,109,79,78,62,1
203,32,16,62,172,15,63,78,110,78,78,94,31,63,1
78,94,156,141,125,109,15,94,125,78,63,79,78,62,1
