dtfk1,dtfk3,dtsk3,dtfk4,dtsk4,dtfk5,dtfk8,ft8,dtfk10,ft10,dtfk11,ft11,dtsk11,ft14,dtsk14,sum,gender
47,62,78,78,94,94,78,94,141,78,94,94,31,109,63,3423,1
62,62,62,62,62,94,78,125,47,62,110,78,93,94,63,3295,1
63,94,32,78,94,78,93,94,141,78,94,94,31,109,63,3422,1
109,78,62,62,391,391,94,62,16,62,62,47,32,63,15,4029,1
78,93,62,62,47,516,78,94,32,63,47,63,94,32,46,3846,1
32,78,50,62,391,484,90,62,16,62,62,47,32,63,15,4828,1
78,62,78,78,219,219,78,125,63,62,63,93,63,171,63,3970,1
63,62,78,47,63,62,63,109,62,94,47,109,47,46,63,3172,1
78,47,47,78,219,62,79,63,63,62,63,93,63,171,63,3378,1
119,94,78,78,266,266,94,312,594,63,109,31,94,31,78,4577,1
94,78,93,78,78,0,63,94,94,78,110,47,78,78,78,3844,1
15,93,94,78,266,0,62,109,594,63,109,31,94,31,78,4530,1
78,78,63,63,281,281,125,31,47,78,93,156,47,94,47,3734,1
47,63,32,47,78,0,187,32,78,63,16,78,47,141,31,3222,1
235,62,63,63,281,0,63,0,47,78,93,156,47,94,47,4719,1
79,94,78,78,94,94,63,125,78,78,78,63,78,31,62,3765,1
94,62,94,78,62,47,62,94,47,78,78,62,63,63,78,3425,1
78,63,63,78,94,78,78,46,78,78,78,63,78,31,62,3281,1
109,94,63,63,125,125,94,94,16,79,141,78,157,16,109,3737,1
125,16,47,109,78,156,109,78,94,78,94,94,62,47,124,3577,1
93,31,15,63,125,156,78,109,16,79,141,78,157,16,109,4000,1
94,94,93,93,94,94,4,80,15,47,16,79,62,110,31,4273,1
110,63,16,110,94,532,172,16,62,63,78,32,141,16,78,4784,1
31,16,31,93,94,563,72,593,15,47,16,79,62,110,31,6569,1
62,94,62,62,125,125,78,78,15,47,94,31,47,15,78,2609,1
62,62,110,78,62,0,63,78,46,63,94,16,109,32,62,2828,1
16,62,62,62,125,93,77,703,15,47,94,31,47,15,78,6135,1
94,109,78,78,78,78,109,79,31,63,94,78,109,16,94,3422,1
110,93,78,109,78,156,93,78,62,78,75,86,93,16,109,3563,1
109,62,94,78,78,94,110,110,31,63,94,78,109,16,94,3358,1
78,63,62,62,156,156,140,16,219,78,31,141,62,32,93,4014,1
94,79,109,250,31,0,31,141,78,47,15,94,109,78,47,3061,1
94,78,79,62,156,0,78,63,219,78,31,141,62,32,93,3506,1
47,47,16,16,78,78,78,94,47,47,172,15,63,15,79,2970,1
78,94,47,110,79,0,62,110,78,79,78,15,78,31,94,2738,1
16,78,63,16,78,125,78,94,47,47,172,15,63,15,79,2846,1
47,94,78,78,235,235,78,157,156,94,156,47,125,16,94,5096,1
250,94,62,78,78,94,62,47,79,78,203,31,109,32,93,4137,1
78,63,94,78,235,0,78,0,156,94,156,47,125,16,94,5517,1
78,78,63,63,94,94,78,157,31,94,78,47,78,31,78,3534,1
110,78,78,47,62,94,62,78,47,110,156,63,125,16,94,3531,1
94,94,63,63,94,78,110,719,31,94,78,47,78,31,78,4454,1
109,94,93,93,110,110,79,157,656,47,32,78,79,62,47,5333,1
63,93,32,78,62,640,16,15,78,63,110,15,93,62,31,4297,1
94,63,78,93,110,0,62,738,656,47,32,78,79,62,47,7947,1
78,78,63,63,78,78,94,78,31,79,63,93,63,15,78,4015,1
94,204,78,110,93,47,15,63,63,78,63,94,62,31,78,3294,1
94,78,78,63,78,94,78,78,31,79,63,93,63,15,78,4452,1
93,78,94,94,125,125,94,140,94,156,94,94,203,78,78,5954,1
250,110,78,93,78,0,47,93,172,62,265,78,110,813,125,5530,1
