ft1,dtsk1,dtfk4,ft4,dtsk4,ft5,dtsk5,dtfk6,ft7,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtsk12,sum,gender
31,63,78,109,94,156,78,62,94,141,78,78,94,94,31,79,3423,1
32,93,62,32,62,125,94,78,47,47,62,79,110,78,78,156,3295,1
78,93,78,109,94,140,94,47,94,141,78,78,94,94,31,79,3422,1
16,109,62,313,391,47,62,62,15,16,62,47,62,47,234,78,4029,1
16,78,62,16,47,578,32,47,63,32,63,62,47,63,172,16,3846,1
62,16,62,313,391,79,62,79,78,16,62,47,62,47,234,78,4828,1
594,62,78,109,219,15,63,78,46,63,62,94,63,93,16,78,3970,1
31,63,47,62,63,47,94,94,47,62,94,47,47,109,62,16,3172,1
110,62,78,109,219,32,94,16,16,63,62,94,63,93,16,78,3378,1
47,156,78,172,266,47,94,93,157,594,63,93,109,31,31,78,4577,1
93,94,78,15,78,31,78,93,94,94,78,47,110,47,78,63,3844,1
94,16,78,172,266,16,78,62,16,594,63,93,109,31,31,78,4530,1
78,94,63,141,281,47,47,32,94,47,78,63,93,156,93,16,3734,1
78,78,47,47,78,47,47,63,93,78,63,62,16,78,94,156,3222,1
47,328,63,141,281,31,109,78,47,47,78,63,93,156,93,16,4719,1
125,109,78,94,94,312,78,94,78,78,78,94,78,63,78,78,3765,1
16,78,78,16,62,188,78,94,187,47,78,47,78,62,46,79,3425,1
31,78,78,94,94,172,78,31,47,78,78,94,78,63,78,78,3281,1
78,125,63,172,125,156,125,47,47,16,79,62,141,78,16,78,3737,1
188,47,109,16,78,109,125,62,31,94,78,93,94,94,62,47,3577,1
16,109,63,172,125,547,172,15,47,16,79,62,141,78,16,78,4000,1
47,141,93,16,94,47,31,16,94,15,47,78,16,79,31,78,4273,1
94,15,110,78,94,625,32,78,141,62,63,62,78,32,47,125,4784,1
94,15,93,16,94,656,32,156,78,15,47,78,16,79,31,78,6569,1
63,125,62,16,125,32,16,110,16,15,47,78,94,31,16,94,2609,1
16,78,78,32,62,16,47,78,47,46,63,47,94,16,109,94,2828,1
94,391,62,16,125,16,78,62,31,15,47,78,94,31,16,94,6135,1
62,110,78,63,78,94,78,78,16,31,63,93,94,78,31,109,3422,1
15,78,109,31,78,141,266,93,16,62,78,79,75,86,93,47,3563,1
16,62,78,63,78,78,109,47,16,31,63,93,94,78,31,109,3358,1
31,157,62,62,156,32,78,109,204,219,78,78,31,141,94,484,4014,1
31,94,250,63,31,15,79,78,31,78,47,78,15,94,78,62,3061,1
16,93,62,62,156,47,141,19,32,219,78,78,31,141,94,484,3506,1
93,63,16,63,78,156,31,47,63,47,47,93,172,15,16,125,2970,1
32,110,110,15,79,16,78,93,15,78,79,78,78,15,94,16,2738,1
62,32,16,63,78,16,125,94,16,47,47,93,172,15,16,125,2846,1
281,125,78,156,235,31,94,62,47,156,94,110,156,47,125,62,5096,1
16,125,78,15,78,125,109,110,109,79,78,62,203,31,141,343,4137,1
47,156,78,156,235,46,109,62,110,156,94,110,156,47,125,62,5517,1
187,94,63,62,94,141,78,78,16,31,94,62,78,47,156,110,3534,1
15,78,47,47,62,109,79,62,265,47,110,62,156,63,94,156,3531,1
16,62,63,62,94,94,63,16,15,31,94,62,78,47,156,110,4454,1
31,109,93,32,110,62,62,32,16,656,47,63,32,78,782,15,5333,1
