ft1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtfk7,dtfk9,ft10,dtfk11,ft11,ft12,ft13,ft14,gender
31,63,62,78,78,109,94,62,94,78,94,94,31,63,109,1
32,78,62,62,62,32,94,93,94,62,110,78,78,47,94,1
78,94,94,32,78,109,78,62,63,78,94,94,31,140,109,1
16,109,78,62,62,313,391,79,453,62,62,47,234,125,63,1
16,15,93,62,62,16,516,437,15,63,47,63,172,78,32,1
62,79,78,50,62,313,484,250,640,62,62,47,234,32,63,1
594,62,62,78,78,109,219,79,94,62,63,93,16,62,171,1
31,453,62,78,47,62,62,93,94,94,47,109,62,63,46,1
110,62,47,47,78,109,62,62,78,62,63,93,16,266,171,1
47,156,94,78,78,172,266,78,79,63,109,31,31,78,31,1
93,125,78,93,78,15,0,31,63,78,110,47,78,109,78,1
94,187,93,94,78,172,0,78,844,63,109,31,31,47,31,1
78,94,78,63,63,141,281,62,47,78,93,156,93,78,94,1
78,156,63,32,47,47,0,94,47,63,16,78,94,62,141,1
47,141,62,63,63,141,0,78,1062,78,93,156,93,62,94,1
125,109,94,78,78,94,94,78,94,78,78,63,78,125,31,1
16,141,62,94,78,16,47,79,125,78,78,62,46,47,63,1
31,47,63,63,78,94,78,78,94,78,78,63,78,218,31,1
78,125,94,63,63,172,125,16,94,79,141,78,16,16,16,1
188,94,16,47,109,16,156,47,93,78,94,94,62,32,47,1
16,125,31,15,63,172,156,78,0,79,141,78,16,16,16,1
47,141,94,93,93,16,94,31,562,47,16,79,31,78,110,1
94,47,63,16,110,78,532,62,47,63,78,32,47,125,16,1
94,47,16,31,93,16,563,31,703,47,16,79,31,31,110,1
63,125,94,62,62,16,125,78,0,47,94,31,16,63,15,1
16,78,62,110,78,32,0,31,62,63,94,16,109,78,32,1
94,109,62,62,62,16,93,94,1312,47,94,31,16,16,15,1
62,110,109,78,78,63,78,78,94,63,94,78,31,78,16,1
15,109,93,78,109,31,156,109,110,78,75,86,93,47,16,1
16,78,62,94,78,63,94,109,78,63,94,78,31,63,16,1
31,157,63,62,62,62,156,78,125,78,31,141,94,47,32,1
31,187,79,109,250,63,0,63,16,47,15,94,78,32,78,1
16,62,78,79,62,62,0,62,62,78,31,141,94,63,32,1
93,63,47,16,16,63,78,62,94,47,172,15,16,125,15,1
32,141,94,47,110,15,0,110,94,79,78,15,94,63,31,1
62,203,78,63,16,63,125,78,0,47,172,15,16,63,15,1
281,125,94,78,78,156,235,78,78,94,156,47,125,47,16,1
16,156,94,62,78,15,94,16,43,78,203,31,141,32,32,1
47,63,63,94,78,156,0,78,1063,94,156,47,125,32,16,1
187,94,78,63,63,62,94,62,78,94,78,47,156,79,31,1
15,93,78,78,47,47,94,203,16,110,156,63,94,78,16,1
16,78,94,63,63,62,78,32,812,94,78,47,156,31,31,1
31,109,94,93,93,32,110,78,562,47,32,78,782,125,62,1
15,16,93,32,78,15,640,47,16,63,110,15,62,78,62,1
157,46,63,78,93,32,0,703,719,47,32,78,782,109,62,1
16,93,78,63,63,15,78,63,703,79,63,93,0,94,15,1
15,93,204,78,110,15,47,79,94,78,63,94,93,156,31,1
47,78,78,78,63,15,94,141,859,79,63,93,0,32,15,1
16,94,78,94,94,78,125,125,906,156,94,94,78,63,78,1
16,172,110,78,93,16,0,141,93,62,265,78,109,703,813,1
16,93,172,78,94,78,891,94,1078,156,94,94,78,31,78,1
16,78,78,94,94,0,94,78,94,62,94,125,594,47,47,1
16,125,109,62,110,78,94,78,47,78,94,78,78,31,47,1
47,94,79,93,94,0,94,47,62,62,94,125,594,172,47,1
157,109,93,141,141,265,390,15,78,125,203,62,172,94,110,1
129,110,594,15,172,250,0,94,31,172,16,110,282,406,313,1
125,78,219,15,141,265,0,141,1312,125,203,62,172,31,110,1
296,110,141,94,94,78,156,109,78,63,234,63,94,125,203,1
94,172,128,93,94,16,0,94,94,94,156,47,78,93,63,1
93,344,110,94,94,78,125,125,797,63,234,63,94,156,203,1
16,93,94,62,62,391,110,78,109,78,297,31,282,62,32,1
32,172,93,78,94,47,125,16,218,94,172,31,141,94,62,1
141,394,79,94,62,391,0,125,1172,78,297,31,282,141,32,1
32,109,78,63,63,15,109,46,62,47,109,16,47,78,32,1
15,109,79,31,78,63,0,78,94,63,94,47,78,31,47,1
63,109,63,47,63,15,125,62,884,47,109,16,47,46,32,1
15,82,102,118,118,53,91,31,875,47,110,94,343,31,15,1
188,109,16,63,110,15,78,219,110,78,94,125,125,15,15,1
15,110,16,532,118,53,94,156,125,47,110,94,343,16,15,1
31,78,78,94,94,15,63,62,657,15,63,109,16,15,47,1
16,62,156,78,78,79,515,78,109,62,78,79,172,47,16,1
31,63,46,78,94,15,94,110,63,15,63,109,16,78,47,1
62,94,63,109,109,63,78,46,63,79,141,46,32,65,15,1
16,156,62,78,94,31,78,172,63,62,156,47,46,63,47,1
31,63,63,94,109,63,62,32,906,79,141,46,32,47,15,1
62,110,78,78,78,156,141,78,109,63,94,125,16,32,78,1
31,110,32,110,78,16,172,109,109,93,78,110,93,16,31,1
47,78,94,78,78,156,125,94,129,63,94,125,16,62,78,1
32,78,47,63,63,47,62,62,63,62,79,140,15,94,16,1
47,93,78,63,62,32,78,94,141,109,109,94,47,47,47,1
125,94,78,62,63,47,63,78,79,62,79,140,15,62,16,1
141,93,47,78,78,250,328,47,1078,78,140,234,125,125,31,1
109,31,141,157,46,79,0,140,62,78,16,93,78,16,281,1
78,297,125,15,78,250,0,109,0,78,140,234,125,31,31,1
282,93,78,78,78,234,94,63,78,78,63,140,828,297,219,1
297,47,78,63,62,188,93,78,125,94,78,140,62,484,204,1
797,78,47,62,78,234,141,78,110,78,63,140,828,375,219,1
32,93,94,62,62,110,250,125,62,78,125,47,32,78,78,1
16,94,62,78,78,31,125,78,94,93,125,15,93,78,16,1
172,172,0,78,62,110,844,109,1047,78,125,47,32,63,78,1
0,94,93,109,109,32,171,63,126,47,156,47,16,78,31,1
16,47,63,47,94,93,110,94,140,78,78,47,109,16,15,1
31,109,63,78,109,32,94,62,1176,47,156,47,16,62,31,1
15,110,78,93,93,94,78,141,141,109,94,78,16,78,32,1
16,93,94,63,78,31,0,94,94,328,110,93,93,32,31,1
31,63,78,78,93,94,94,109,78,109,94,78,16,16,32,1
172,94,109,109,109,250,78,125,94,78,47,156,265,422,94,1
359,79,78,78,78,219,94,62,156,94,78,109,94,547,125,1
313,94,63,94,109,250,93,94,78,78,47,156,265,203,94,1
94,93,47,63,63,93,156,78,78,56,78,31,15,78,31,1
16,63,63,63,47,16,0,62,15,78,140,0,110,47,31,1
31,47,78,62,63,93,0,94,844,56,78,31,15,172,31,1
16,110,109,47,47,391,438,78,78,31,109,125,16,78,0,1
0,93,78,94,78,141,0,31,46,62,125,31,94,110,31,1
109,203,94,78,47,391,0,110,765,31,109,125,16,62,0,1
31,110,125,93,93,485,594,78,140,78,47,62,16,125,32,1
16,125,78,94,109,47,125,32,109,94,125,62,78,15,47,1
