ft1,dtfk3,dtsk4,ft10,dtsk10,dtfk12,dtsk12,ft13,ft14,dtsk14,gender
31,62,94,78,78,109,79,63,109,63,1
32,62,62,62,79,125,156,47,94,63,1
78,94,94,78,78,109,79,140,109,63,1
16,78,391,62,47,94,78,125,63,15,1
16,93,47,63,62,94,16,78,32,46,1
62,78,391,62,47,94,78,32,63,15,1
594,62,219,62,94,78,78,62,171,63,1
31,62,63,94,47,94,16,63,46,63,1
110,47,219,62,94,78,78,266,171,63,1
47,94,266,63,93,94,78,78,31,78,1
93,78,78,78,47,172,63,109,78,78,1
94,93,266,63,93,94,78,47,31,78,1
78,78,281,78,63,15,16,78,94,47,1
78,63,78,63,62,32,156,62,141,31,1
47,62,281,78,63,15,16,62,94,47,1
125,94,94,78,94,62,78,125,31,62,1
16,62,62,78,47,204,79,47,63,78,1
31,63,94,78,94,62,78,218,31,62,1
78,94,125,79,62,203,78,16,16,109,1
188,16,78,78,93,79,47,32,47,124,1
16,31,125,79,62,203,78,16,16,109,1
47,94,94,47,78,672,78,78,110,31,1
94,63,94,63,62,671,125,125,16,78,1
94,16,94,47,78,672,78,31,110,31,1
63,94,125,47,78,93,94,63,15,78,1
16,62,62,63,47,78,94,78,32,62,1
94,62,125,47,78,93,94,16,15,78,1
62,109,78,63,93,94,109,78,16,94,1
15,93,78,78,79,78,47,47,16,109,1
16,62,78,63,93,94,109,63,16,94,1
31,63,156,78,78,15,484,47,32,93,1
31,79,31,47,78,125,62,32,78,47,1
16,78,156,78,78,15,484,63,32,93,1
93,47,78,47,93,78,125,125,15,79,1
32,94,79,79,78,93,16,63,31,94,1
62,78,78,47,93,78,125,63,15,79,1
281,94,235,94,110,109,62,47,16,94,1
16,94,78,78,62,31,343,32,32,93,1
47,63,235,94,110,109,62,32,16,94,1
187,78,94,94,62,109,110,79,31,78,1
15,78,62,110,62,78,156,78,16,94,1
16,94,94,94,62,109,110,31,31,78,1
31,94,110,47,63,766,15,125,62,47,1
15,93,62,63,141,832,32,78,62,31,1
157,63,110,47,63,766,15,109,62,47,1
16,78,78,79,62,78,94,94,15,78,1
15,204,93,78,62,78,32,156,31,78,1
47,78,78,79,62,78,94,32,15,78,1
16,78,125,156,78,94,78,63,78,78,1
16,110,78,62,79,156,16,703,813,125,1
16,172,125,156,78,94,78,31,78,78,1
16,78,94,62,94,78,125,47,47,78,1
16,109,78,78,109,109,63,31,47,94,1
47,79,94,62,94,78,125,172,47,78,1
157,93,390,125,985,47,359,94,110,109,1
129,594,31,172,109,157,15,406,313,391,1
125,219,390,125,985,47,359,31,110,109,1
296,141,156,63,234,109,63,125,203,140,1
94,128,62,94,78,141,140,93,63,109,1
93,110,156,63,234,109,63,156,203,140,1
16,94,110,78,235,93,109,62,32,109,1
32,93,94,94,94,78,15,94,62,94,1
141,79,110,78,235,93,109,141,32,109,1
32,78,109,47,94,94,125,78,32,78,1
15,79,31,63,62,109,110,31,47,94,1
63,63,109,47,94,94,125,46,32,78,1
15,102,91,47,78,110,125,31,15,125,1
188,16,63,78,93,125,250,15,15,109,1
15,16,91,47,78,110,125,16,15,125,1
31,78,63,15,79,78,62,15,47,16,1
16,156,62,62,125,109,15,47,16,79,1
31,46,63,15,79,78,62,78,47,16,1
62,63,78,79,78,62,109,65,15,63,1
16,62,94,62,79,126,219,63,47,46,1
31,63,78,79,78,62,109,47,15,63,1
62,78,141,63,94,187,94,32,78,62,1
31,32,62,93,79,110,32,16,31,63,1
47,94,141,63,94,187,94,62,78,62,1
32,47,62,62,79,63,78,94,16,62,1
47,78,93,109,47,125,78,47,47,78,1
125,78,62,62,79,63,78,62,16,62,1
