ft1,dtfk3,ft4,dtsk6,dtsk9,ft10,dtsk10,gender
31,62,109,62,78,78,78,1
32,62,32,79,94,62,79,1
78,94,109,94,93,78,78,1
16,78,313,78,31,62,47,1
16,93,16,16,94,63,62,1
62,78,313,15,437,62,47,1
594,62,109,63,109,62,94,1
31,62,62,47,78,94,47,1
110,47,109,94,93,62,94,1
47,94,172,94,114,63,93,1
93,78,15,844,109,78,47,1
94,93,172,63,31,63,93,1
78,78,141,47,234,78,63,1
78,63,47,62,94,63,62,1
47,62,141,47,94,78,63,1
125,94,94,94,93,78,94,1
16,62,16,94,78,78,47,1
31,63,94,125,79,78,94,1
78,94,172,125,94,79,62,1
188,16,16,110,94,78,93,1
16,31,172,93,47,79,62,1
47,94,16,110,16,47,78,1
94,63,78,47,141,63,62,1
94,16,16,47,62,47,78,1
63,94,16,62,94,47,78,1
16,62,32,32,62,63,47,1
94,62,16,62,31,47,78,1
62,109,63,110,109,63,93,1
15,93,31,109,94,78,79,1
16,62,63,110,109,63,93,1
31,63,62,94,31,78,78,1
31,79,63,157,94,47,78,1
16,78,62,16,63,78,78,1
93,47,63,78,125,47,93,1
32,94,15,15,109,79,78,1
62,78,63,94,110,47,93,1
281,94,156,250,94,94,110,1
16,94,15,141,267,78,62,1
47,63,156,43,16,94,110,1
187,78,62,110,156,94,62,1
15,78,47,62,94,110,62,1
16,94,62,16,203,94,62,1
31,94,32,63,16,47,63,1
15,93,15,141,62,63,141,1
157,63,32,16,47,47,63,1
16,78,15,94,78,79,62,1
15,204,15,94,46,78,62,1
47,78,15,94,79,79,62,1
16,78,78,250,891,156,78,1
16,110,16,94,63,62,79,1
16,172,78,93,141,156,78,1
16,78,0,93,234,62,94,1
16,109,78,94,32,78,109,1
47,79,0,47,78,62,94,1
157,93,265,38,141,125,985,1
129,594,250,140,235,172,109,1
125,219,265,31,94,125,985,1
296,141,78,78,78,63,234,1
94,128,16,94,94,94,78,1
93,110,78,94,94,63,234,1
16,94,391,93,172,78,235,1
32,93,47,250,15,94,94,1
141,79,391,218,16,78,235,1
32,78,15,63,188,47,94,1
15,79,63,78,94,63,62,1
63,63,15,94,78,47,94,1
15,102,53,109,125,47,78,1
188,16,15,157,109,78,93,1
15,16,53,110,219,47,78,1
31,78,15,78,109,15,79,1
16,156,79,78,94,62,125,1
31,46,15,109,78,15,79,1
62,63,63,172,78,79,78,1
16,62,31,110,62,62,79,1
31,63,63,63,172,79,78,1
62,78,156,203,140,63,94,1
31,32,16,125,15,93,79,1
47,94,156,109,109,63,94,1
32,47,47,78,79,62,79,1
47,78,32,125,125,109,47,1
125,78,47,141,94,62,79,1
141,47,250,313,172,78,344,1
109,141,79,140,282,78,78,1
78,125,250,62,140,78,344,1
282,78,234,63,78,78,78,1
297,78,188,203,125,94,62,1
797,47,234,125,78,78,78,1
32,94,110,78,344,78,63,1
16,62,31,141,16,93,63,1
172,0,110,94,78,78,63,1
0,93,32,62,78,47,375,1
16,63,93,78,78,78,78,1
31,63,32,140,94,47,375,1
15,78,94,187,203,109,63,1
16,94,31,125,31,328,110,1
31,78,94,94,94,109,63,1
172,109,250,110,78,78,110,1
359,78,219,610,141,94,63,1
313,63,250,156,62,78,110,1
94,47,93,62,141,56,73,1
16,63,16,16,16,78,63,1
31,78,93,15,62,56,73,1
16,109,391,94,109,31,78,1
0,78,141,78,110,62,78,1
109,94,391,46,31,31,78,1
31,125,485,93,125,78,78,1
16,78,47,109,109,94,62,1
16,62,485,109,32,78,78,1
63,47,125,172,78,47,93,1
15,78,46,125,125,78,63,1
0,78,125,109,78,47,93,1
547,172,128,78,203,62,109,1
16,109,47,172,78,78,78,1
78,78,128,62,79,62,109,1
15,63,63,62,78,94,141,1
78,94,62,156,93,78,63,1
31,94,63,94,94,94,141,1
47,78,271,62,172,62,63,1
31,78,32,15,125,62,63,1
0,62,271,94,62,62,63,1
94,78,140,63,47,47,63,1
47,63,94,172,156,78,63,1
78,62,140,125,78,47,63,1
31,78,31,125,187,93,453,1
46,109,15,47,0,110,78,1
0,93,31,15,31,93,453,1
78,78,78,94,93,62,110,1
0,47,61,141,0,78,63,1
47,94,78,31,63,62,110,1
16,78,188,156,250,63,62,1
16,109,0,313,16,47,63,1
31,78,188,78,156,63,62,1
16,125,109,47,125,62,94,1
78,31,94,63,141,78,78,1
79,31,109,47,0,62,94,1
62,94,203,109,94,79,93,1
63,109,157,172,156,63,93,1
0,407,203,157,78,79,93,1
47,140,79,15,16,78,79,1
63,93,94,31,16,78,63,1
15,110,79,47,16,78,79,1
16,109,109,125,203,109,63,1
110,94,141,500,157,110,62,1
110,93,109,125,125,109,63,1
93,94,125,141,125,62,94,1
78,94,47,140,16,93,78,1
16,93,125,94,110,62,94,1
63,63,125,109,110,63,78,1
