dtfk2,dtfk3,ft4,dtsk4,ft7,dtsk8,ft9,dtfk10,ft10,dtfk11,ft11,ft12,dtfk14,ft14,dtsk14,gender
63,62,109,94,94,62,94,141,78,94,94,31,47,109,63,1
78,62,32,62,47,47,78,47,62,110,78,78,62,94,63,1
94,94,109,94,94,125,94,141,78,94,94,31,47,109,63,1
109,78,313,391,15,109,94,16,62,62,47,234,31,63,15,1
15,93,16,47,63,94,31,32,63,47,63,172,47,32,46,1
79,78,313,391,78,94,63,16,62,62,47,234,31,63,15,1
62,62,109,219,46,63,16,63,62,63,93,16,79,171,63,1
453,62,62,63,47,63,78,62,94,47,109,62,63,46,63,1
62,47,109,219,16,94,47,63,62,63,93,16,79,171,63,1
156,94,172,266,157,63,46,594,63,109,31,31,94,31,78,1
125,78,15,78,94,62,47,94,78,110,47,78,94,78,78,1
187,93,172,266,16,172,62,594,63,109,31,31,94,31,78,1
94,78,141,281,94,63,140,47,78,93,156,93,47,94,47,1
156,63,47,78,93,63,94,78,63,16,78,94,63,141,31,1
141,62,141,281,47,32,94,47,78,93,156,93,47,94,47,1
109,94,94,94,78,62,94,78,78,78,63,78,63,31,62,1
141,62,16,62,187,78,94,47,78,78,62,46,78,63,78,1
47,63,94,94,47,204,15,78,78,78,63,78,63,31,62,1
125,94,172,125,47,78,93,16,79,141,78,16,125,16,109,1
94,16,16,78,31,94,94,94,78,94,94,62,78,47,124,1
125,31,172,125,47,79,78,16,79,141,78,16,125,16,109,1
141,94,16,94,94,31,640,15,47,16,79,31,16,110,31,1
47,63,78,94,141,31,109,62,63,78,32,47,78,16,78,1
47,16,16,94,78,671,734,15,47,16,79,31,16,110,31,1
125,94,16,125,16,78,31,15,47,94,31,16,94,15,78,1
78,62,32,62,47,78,32,46,63,94,16,109,62,32,62,1
109,62,16,125,31,78,1375,15,47,94,31,16,94,15,78,1
110,109,63,78,16,93,94,31,63,94,78,31,78,16,94,1
109,93,31,78,16,110,62,62,78,75,86,93,93,16,109,1
78,62,63,78,16,78,172,31,63,94,78,31,78,16,94,1
157,63,62,156,204,78,109,219,78,31,141,94,78,32,93,1
187,79,63,31,31,31,78,78,47,15,94,78,31,78,47,1
62,78,62,156,32,125,78,219,78,31,141,94,78,32,93,1
63,47,63,78,63,62,63,47,47,172,15,16,63,15,79,1
141,94,15,79,15,47,31,78,79,78,15,94,47,31,94,1
203,78,63,78,16,93,31,47,47,172,15,16,63,15,79,1
125,94,156,235,47,125,94,156,94,156,47,125,62,16,94,1
156,94,15,78,109,125,173,79,78,203,31,141,62,32,93,1
