dtfk1,ft1,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk6,dtfk7,dtfk9,dtfk10,ft10,dtfk11,ft11,ft12,ft13,dtsk13,ft14,gender
47,31,62,78,78,109,94,62,62,94,141,78,94,94,31,63,94,109,1
62,32,62,62,62,32,94,79,93,94,47,62,110,78,78,47,78,94,1
63,78,94,32,78,109,78,94,62,63,141,78,94,94,31,140,47,109,1
109,16,78,62,62,313,391,78,79,453,16,62,62,47,234,125,16,63,1
78,16,93,62,62,16,516,16,437,15,32,63,47,63,172,78,94,32,1
32,62,78,50,62,313,484,15,250,640,16,62,62,47,234,32,62,63,1
78,594,62,78,78,109,219,63,79,94,63,62,63,93,16,62,78,171,1
63,31,62,78,47,62,62,47,93,94,62,94,47,109,62,63,78,46,1
78,110,47,47,78,109,62,94,62,78,63,62,63,93,16,266,109,171,1
119,47,94,78,78,172,266,94,78,79,594,63,109,31,31,78,15,31,1
94,93,78,93,78,15,0,844,31,63,94,78,110,47,78,109,78,78,1
15,94,93,94,78,172,0,63,78,844,594,63,109,31,31,47,110,31,1
78,78,78,63,63,141,281,47,62,47,47,78,93,156,93,78,94,94,1
47,78,63,32,47,47,0,62,94,47,78,63,16,78,94,62,47,141,1
235,47,62,63,63,141,0,47,78,1062,47,78,93,156,93,62,328,94,1
79,125,94,78,78,94,94,94,78,94,78,78,78,63,78,125,63,31,1
94,16,62,94,78,16,47,94,79,125,47,78,78,62,46,47,78,63,1
78,31,63,63,78,94,78,125,78,94,78,78,78,63,78,218,79,31,1
109,78,94,63,63,172,125,125,16,94,16,79,141,78,16,16,94,16,1
125,188,16,47,109,16,156,110,47,93,94,78,94,94,62,32,78,47,1
93,16,31,15,63,172,156,93,78,0,16,79,141,78,16,16,78,16,1
94,47,94,93,93,16,94,110,31,562,15,47,16,79,31,78,32,110,1
110,94,63,16,110,78,532,47,62,47,62,63,78,32,47,125,15,16,1
31,94,16,31,93,16,563,47,31,703,15,47,16,79,31,31,109,110,1
62,63,94,62,62,16,125,62,78,0,15,47,94,31,16,63,31,15,1
62,16,62,110,78,32,0,32,31,62,46,63,94,16,109,78,15,32,1
16,94,62,62,62,16,93,62,94,1312,15,47,94,31,16,16,62,15,1
94,62,109,78,78,63,78,110,78,94,31,63,94,78,31,78,78,16,1
110,15,93,78,109,31,156,109,109,110,62,78,75,86,93,47,78,16,1
109,16,62,94,78,63,94,110,109,78,31,63,94,78,31,63,78,16,1
78,31,63,62,62,62,156,94,78,125,219,78,31,141,94,47,78,32,1
94,31,79,109,250,63,0,157,63,16,78,47,15,94,78,32,78,78,1
94,16,78,79,62,62,0,16,62,62,219,78,31,141,94,63,31,32,1
47,93,47,16,16,63,78,78,62,94,47,47,172,15,16,125,93,15,1
78,32,94,47,110,15,0,15,110,94,78,79,78,15,94,63,47,31,1
16,62,78,63,16,63,125,94,78,0,47,47,172,15,16,63,93,15,1
47,281,94,78,78,156,235,250,78,78,156,94,156,47,125,47,265,16,1
250,16,94,62,78,15,94,141,16,43,79,78,203,31,141,32,93,32,1
78,47,63,94,78,156,0,43,78,1063,156,94,156,47,125,32,78,16,1
78,187,78,63,63,62,94,110,62,78,31,94,78,47,156,79,78,31,1
110,15,78,78,47,47,94,62,203,16,47,110,156,63,94,78,78,16,1
94,16,94,63,63,62,78,16,32,812,31,94,78,47,156,31,63,31,1
109,31,94,93,93,32,110,63,78,562,656,47,32,78,782,125,16,62,1
63,15,93,32,78,15,640,141,47,16,78,63,110,15,62,78,15,62,1
94,157,63,78,93,32,0,16,703,719,656,47,32,78,782,109,16,62,1
78,16,78,63,63,15,78,94,63,703,31,79,63,93,0,94,469,15,1
94,15,204,78,110,15,47,94,79,94,63,78,63,94,93,156,78,31,1
94,47,78,78,63,15,94,94,141,859,31,79,63,93,0,32,109,15,1
93,16,78,94,94,78,125,250,125,906,94,156,94,94,78,63,109,78,1
250,16,110,78,93,16,0,94,141,93,172,62,265,78,109,703,62,813,1
140,16,172,78,94,78,891,93,94,1078,94,156,94,94,78,31,110,78,1
562,16,78,94,94,0,94,93,78,94,109,62,94,125,594,47,78,47,1
93,16,109,62,110,78,94,94,78,47,63,78,94,78,78,31,78,47,1
156,47,79,93,94,0,94,47,47,62,109,62,94,125,594,172,94,47,1
125,157,93,141,141,265,390,38,15,78,46,125,203,62,172,94,141,110,1
38,129,594,15,172,250,0,140,94,31,94,172,16,110,282,406,16,313,1
16,125,219,15,141,265,0,31,141,1312,46,125,203,62,172,31,109,110,1
94,296,141,94,94,78,156,78,109,78,78,63,234,63,94,125,94,203,1
78,94,128,93,94,16,0,94,94,94,78,94,156,47,78,93,47,63,1
125,93,110,94,94,78,125,94,125,797,78,63,234,63,94,156,63,203,1
141,16,94,62,62,391,110,93,78,109,297,78,297,31,282,62,360,32,1
93,32,93,78,94,47,125,250,16,218,78,94,172,31,141,94,344,62,1
234,141,79,94,62,391,0,218,125,1172,297,78,297,31,282,141,266,32,1
62,32,78,63,63,15,109,63,46,62,94,47,109,16,47,78,47,32,1
63,15,79,31,78,63,0,78,78,94,78,63,94,47,78,31,63,47,1
78,63,63,47,63,15,125,94,62,884,94,47,109,16,47,46,47,32,1
141,15,102,118,118,53,91,109,31,875,156,47,110,94,343,31,125,15,1
109,188,16,63,110,15,78,157,219,110,79,78,94,125,125,15,109,15,1
125,15,16,532,118,53,94,110,156,125,156,47,110,94,343,16,125,15,1
94,31,78,94,94,15,63,78,62,657,78,15,63,109,16,15,47,47,1
