dtfk2,dtsk3,ft4,dtsk4,ft9,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtfk13,ft13,dtfk14,ft14,dtsk14,gender
63,78,109,94,94,141,78,78,94,94,31,78,63,47,109,63,1
78,62,32,62,78,47,62,79,110,78,78,93,47,62,94,63,1
94,32,109,94,94,141,78,78,94,94,31,63,140,47,109,63,1
109,62,313,391,94,16,62,47,62,47,234,62,125,31,63,15,1
15,62,16,47,31,32,63,62,47,63,172,16,78,47,32,46,1
79,50,313,391,63,16,62,47,62,47,234,46,32,31,63,15,1
62,78,109,219,16,63,62,94,63,93,16,63,62,79,171,63,1
453,78,62,63,78,62,94,47,47,109,62,62,63,63,46,63,1
62,47,109,219,47,63,62,94,63,93,16,63,266,79,171,63,1
156,78,172,266,46,594,63,93,109,31,31,63,78,94,31,78,1
125,93,15,78,47,94,78,47,110,47,78,16,109,94,78,78,1
187,94,172,266,62,594,63,93,109,31,31,78,47,94,31,78,1
94,63,141,281,140,47,78,63,93,156,93,16,78,47,94,47,1
156,32,47,78,94,78,63,62,16,78,94,328,62,63,141,31,1
141,63,141,281,94,47,78,63,93,156,93,31,62,47,94,47,1
109,78,94,94,94,78,78,94,78,63,78,78,125,63,31,62,1
141,94,16,62,94,47,78,47,78,62,46,78,47,78,63,78,1
47,63,94,94,15,78,78,94,78,63,78,78,218,63,31,62,1
125,63,172,125,93,16,79,62,141,78,16,109,16,125,16,109,1
94,47,16,78,94,94,78,93,94,94,62,109,32,78,47,124,1
125,15,172,125,78,16,79,62,141,78,16,124,16,125,16,109,1
141,93,16,94,640,15,47,78,16,79,31,15,78,16,110,31,1
47,16,78,94,109,62,63,62,78,32,47,15,125,78,16,78,1
47,31,16,94,734,15,47,78,16,79,31,78,31,16,110,31,1
125,62,16,125,31,15,47,78,94,31,16,16,63,94,15,78,1
78,110,32,62,32,46,63,47,94,16,109,391,78,62,32,62,1
109,62,16,125,1375,15,47,78,94,31,16,62,16,94,15,78,1
