ft1,ft4,dtsk4,dtsk6,dtfk7,ft7,dtfk10,ft10,dtsk10,ft11,dtfk12,ft12,dtfk13,ft13,dtfk14,ft14,dtsk14,gender
31,109,94,62,62,94,141,78,78,94,109,31,78,63,47,109,63,1
32,32,62,79,93,47,47,62,79,78,125,78,93,47,62,94,63,1
78,109,94,94,62,94,141,78,78,94,109,31,63,140,47,109,63,1
16,313,391,78,79,15,16,62,47,47,94,234,62,125,31,63,15,1
16,16,47,16,437,63,32,63,62,63,94,172,16,78,47,32,46,1
62,313,391,15,250,78,16,62,47,47,94,234,46,32,31,63,15,1
594,109,219,63,79,46,63,62,94,93,78,16,63,62,79,171,63,1
31,62,63,47,93,47,62,94,47,109,94,62,62,63,63,46,63,1
110,109,219,94,62,16,63,62,94,93,78,16,63,266,79,171,63,1
47,172,266,94,78,157,594,63,93,31,94,31,63,78,94,31,78,1
93,15,78,844,31,94,94,78,47,47,172,78,16,109,94,78,78,1
94,172,266,63,78,16,594,63,93,31,94,31,78,47,94,31,78,1
78,141,281,47,62,94,47,78,63,156,15,93,16,78,47,94,47,1
78,47,78,62,94,93,78,63,62,78,32,94,328,62,63,141,31,1
47,141,281,47,78,47,47,78,63,156,15,93,31,62,47,94,47,1
125,94,94,94,78,78,78,78,94,63,62,78,78,125,63,31,62,1
16,16,62,94,79,187,47,78,47,62,204,46,78,47,78,63,78,1
31,94,94,125,78,47,78,78,94,63,62,78,78,218,63,31,62,1
78,172,125,125,16,47,16,79,62,78,203,16,109,16,125,16,109,1
188,16,78,110,47,31,94,78,93,94,79,62,109,32,78,47,124,1
16,172,125,93,78,47,16,79,62,78,203,16,124,16,125,16,109,1
47,16,94,110,31,94,15,47,78,79,672,31,15,78,16,110,31,1
94,78,94,47,62,141,62,63,62,32,671,47,15,125,78,16,78,1
94,16,94,47,31,78,15,47,78,79,672,31,78,31,16,110,31,1
63,16,125,62,78,16,15,47,78,31,93,16,16,63,94,15,78,1
16,32,62,32,31,47,46,63,47,16,78,109,391,78,62,32,62,1
94,16,125,62,94,31,15,47,78,31,93,16,62,16,94,15,78,1
62,63,78,110,78,16,31,63,93,78,94,31,94,78,78,16,94,1
15,31,78,109,109,16,62,78,79,86,78,93,62,47,93,16,109,1
16,63,78,110,109,16,31,63,93,78,94,31,109,63,78,16,94,1
31,62,156,94,78,204,219,78,78,141,15,94,62,47,78,32,93,1
31,63,31,157,63,31,78,47,78,94,125,78,93,32,31,78,47,1
16,62,156,16,62,32,219,78,78,141,15,94,47,63,78,32,93,1
93,63,78,78,62,63,47,47,93,15,78,16,110,125,63,15,79,1
32,15,79,15,110,15,78,79,78,15,93,94,32,63,47,31,94,1
62,63,78,94,78,16,47,47,93,15,78,16,94,63,63,15,79,1
281,156,235,250,78,47,156,94,110,47,109,125,63,47,62,16,94,1
16,15,78,141,16,109,79,78,62,31,31,141,156,32,62,32,93,1
47,156,235,43,78,110,156,94,110,47,109,125,93,32,62,16,94,1
187,62,94,110,62,16,31,94,62,47,109,156,32,79,94,31,78,1
