dtfk2,dtsk3,ft4,dtfk7,dtsk7,dtfk9,dtfk10,ft10,dtfk11,ft11,dtfk13,ft13,dtsk13,dtfk14,ft14,gender
63,78,109,62,94,94,141,78,94,94,78,63,94,47,109,1
78,62,32,93,78,94,47,62,110,78,93,47,78,62,94,1
94,32,109,62,78,63,141,78,94,94,63,140,47,47,109,1
109,62,313,79,78,453,16,62,62,47,62,125,16,31,63,1
15,62,16,437,62,15,32,63,47,63,16,78,94,47,32,1
79,50,313,250,47,640,16,62,62,47,46,32,62,31,63,1
62,78,109,79,47,94,63,62,63,93,63,62,78,79,171,1
453,78,62,93,63,94,62,94,47,109,62,63,78,63,46,1
62,47,109,62,78,78,63,62,63,93,63,266,109,79,171,1
156,78,172,78,93,79,594,63,109,31,63,78,15,94,31,1
125,93,15,31,63,63,94,78,110,47,16,109,78,94,78,1
187,94,172,78,93,844,594,63,109,31,78,47,110,94,31,1
94,63,141,62,62,47,47,78,93,156,16,78,94,47,94,1
156,32,47,94,16,47,78,63,16,78,328,62,47,63,141,1
141,63,141,78,78,1062,47,78,93,156,31,62,328,47,94,1
109,78,94,78,63,94,78,78,78,63,78,125,63,63,31,1
141,94,16,79,78,125,47,78,78,62,78,47,78,78,63,1
47,63,94,78,78,94,78,78,78,63,78,218,79,63,31,1
125,63,172,16,31,94,16,79,141,78,109,16,94,125,16,1
94,47,16,47,109,93,94,78,94,94,109,32,78,78,47,1
125,15,172,78,125,0,16,79,141,78,124,16,78,125,16,1
141,93,16,31,16,562,15,47,16,79,15,78,32,16,110,1
47,16,78,62,15,47,62,63,78,32,15,125,15,78,16,1
47,31,16,31,16,703,15,47,16,79,78,31,109,16,110,1
125,62,16,78,62,0,15,47,94,31,16,63,31,94,15,1
78,110,32,31,16,62,46,63,94,16,391,78,15,62,32,1
109,62,16,94,93,1312,15,47,94,31,62,16,62,94,15,1
110,78,63,78,62,94,31,63,94,78,94,78,78,78,16,1
109,78,31,109,94,110,62,78,75,86,62,47,78,93,16,1
78,94,63,109,62,78,31,63,94,78,109,63,78,78,16,1
157,62,62,78,78,125,219,78,31,141,62,47,78,78,32,1
187,109,63,63,62,16,78,47,15,94,93,32,78,31,78,1
62,79,62,62,78,62,219,78,31,141,47,63,31,78,32,1
63,16,63,62,78,94,47,47,172,15,110,125,93,63,15,1
141,47,15,110,110,94,78,79,78,15,32,63,47,47,31,1
203,63,63,78,78,0,47,47,172,15,94,63,93,63,15,1
125,78,156,78,63,78,156,94,156,47,63,47,265,62,16,1
156,62,15,16,63,43,79,78,203,31,156,32,93,62,32,1
63,94,156,78,93,1063,156,94,156,47,93,32,78,62,16,1
94,63,62,62,94,78,31,94,78,47,32,79,78,94,31,1
93,78,47,203,32,16,47,110,156,63,62,78,78,125,16,1
78,63,62,32,93,812,31,94,78,47,94,31,63,94,31,1
109,93,32,78,63,562,656,47,32,78,47,125,16,15,62,1
16,32,15,47,47,16,78,63,110,15,15,78,15,15,62,1
46,78,32,703,47,719,656,47,32,78,31,109,16,15,62,1
93,63,15,63,78,703,31,79,63,93,15,94,469,110,15,1
93,78,15,79,15,94,63,78,63,94,78,156,78,94,31,1
78,78,15,141,62,859,31,79,63,93,78,32,109,110,15,1
94,94,78,125,172,906,94,156,94,94,94,63,109,78,78,1
172,78,16,141,94,93,172,62,265,78,94,703,62,109,813,1
93,78,78,94,78,1078,94,156,94,94,125,31,110,78,78,1
78,94,0,78,79,94,109,62,94,125,78,47,78,93,47,1
125,62,78,78,78,47,63,78,94,78,78,31,78,78,47,1
94,93,0,47,78,62,109,62,94,125,94,172,94,93,47,1
109,141,265,15,219,78,46,125,203,62,125,94,141,78,110,1
110,15,250,94,125,31,94,172,16,110,344,406,16,156,313,1
78,15,265,141,94,1312,46,125,203,62,391,31,109,78,110,1
110,94,78,109,110,78,78,63,234,63,62,125,94,94,203,1
172,93,16,94,62,94,78,94,156,47,32,93,47,78,63,1
344,94,78,125,109,797,78,63,234,63,109,156,63,94,203,1
93,62,391,78,79,109,297,78,297,31,344,62,360,93,32,1
172,78,47,16,344,218,78,94,172,31,62,94,344,94,62,1
394,94,391,125,109,1172,297,78,297,31,94,141,266,93,32,1
109,63,15,46,63,62,94,47,109,16,15,78,47,62,32,1
109,31,63,78,15,94,78,63,94,47,62,31,63,63,47,1
109,47,15,62,79,884,94,47,109,16,94,46,47,62,32,1
82,118,53,31,16,875,156,47,110,94,110,31,125,94,15,1
109,63,15,219,110,110,79,78,94,125,110,15,109,156,15,1
110,532,53,156,78,125,156,47,110,94,109,16,125,94,15,1
78,94,15,62,46,657,78,15,63,109,79,15,47,15,47,1
62,78,79,78,79,109,63,62,78,79,63,47,78,109,16,1
63,78,15,110,16,63,78,15,63,109,79,78,62,15,47,1
94,109,63,46,63,63,265,79,141,46,41,65,78,78,15,1
156,78,31,172,41,63,31,62,156,47,47,63,62,78,47,1
63,94,63,32,62,906,265,79,141,46,46,47,94,78,15,1
110,78,156,78,94,109,47,63,94,125,109,32,109,79,78,1
110,110,16,109,109,109,63,93,78,110,78,16,93,94,31,1
78,78,156,94,63,129,47,63,94,125,63,62,47,79,78,1
78,63,47,62,78,63,78,62,79,140,47,94,63,78,16,1
93,63,32,94,47,141,47,109,109,94,47,47,62,63,47,1
94,62,47,78,63,79,78,62,79,140,78,62,63,78,16,1
93,78,250,47,125,1078,62,78,140,234,62,125,125,78,31,1
31,157,79,140,62,62,62,78,16,93,156,16,78,62,281,1
297,15,250,109,62,0,62,78,140,234,79,31,109,78,31,1
93,78,234,63,47,78,78,78,63,140,78,297,78,63,219,1
47,63,188,78,78,125,62,94,78,140,94,484,79,78,204,1
78,62,234,78,47,110,78,78,63,140,62,375,63,63,219,1
93,62,110,125,0,62,78,78,125,47,47,78,78,93,78,1
94,78,31,78,47,94,63,93,125,15,0,78,31,62,16,1
172,78,110,109,78,1047,78,78,125,47,78,63,187,93,78,1
94,109,32,63,63,126,31,47,156,47,47,78,16,78,31,1
47,47,93,94,47,140,63,78,78,47,62,16,62,94,15,1
109,78,32,62,109,1176,31,47,156,47,94,62,78,78,31,1
110,93,94,141,78,141,141,109,94,78,78,78,78,93,32,1
93,63,31,94,78,94,234,328,110,93,78,32,62,94,31,1
63,78,94,109,62,78,141,109,94,78,78,16,78,93,32,1
94,109,250,125,63,94,94,78,47,156,63,422,78,93,94,1
79,78,219,62,63,156,93,94,78,109,93,547,94,110,125,1
94,94,250,94,78,78,94,78,47,156,93,203,63,93,94,1
93,63,93,78,78,78,78,56,78,31,78,78,47,62,31,1
63,63,16,62,78,15,62,78,140,0,31,47,63,63,31,1
47,62,93,94,63,844,78,56,78,31,78,172,78,62,31,1
110,47,391,78,94,78,94,31,109,125,15,78,31,78,0,1
93,94,141,31,15,46,63,62,125,31,32,110,31,78,31,1
203,78,391,110,94,765,94,31,109,125,94,62,63,78,0,1
110,93,485,78,62,140,47,78,47,62,0,125,62,78,32,1
125,94,47,32,0,109,62,94,125,62,94,15,63,94,47,1
