@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,7,8,10,14,16,17,18,22,23,24,25,26,27,33,35,38,39,40,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,63,62,78,109,94,94,78,62,94,94,141,78,78,94,94,109,79,78,109,63,1
62,93,62,62,32,62,94,94,93,47,78,47,62,79,110,78,125,156,93,94,63,1
63,93,79,32,109,94,78,94,62,94,78,141,78,78,94,94,109,79,63,109,63,1
109,109,78,62,313,391,391,62,79,15,78,16,62,47,62,47,94,78,62,63,15,1
78,78,16,62,16,47,516,32,437,63,62,32,63,62,47,63,94,16,16,32,46,1
32,16,63,50,313,391,484,62,250,78,47,16,62,47,62,47,94,78,46,63,15,1
78,62,62,78,109,219,219,63,79,46,47,63,62,94,63,93,78,78,63,171,63,1
63,63,94,78,62,63,62,94,93,47,63,62,94,47,47,109,94,16,62,46,63,1
78,62,62,47,109,219,62,94,62,16,78,63,62,94,63,93,78,78,63,171,63,1
119,156,94,78,172,266,266,94,78,157,93,594,63,93,109,31,94,78,63,31,78,1
94,94,78,93,15,78,0,78,31,94,63,94,78,47,110,47,172,63,16,78,78,1
15,16,94,94,172,266,0,78,78,16,93,594,63,93,109,31,94,78,78,31,78,1
78,94,78,63,141,281,281,47,62,94,62,47,78,63,93,156,15,16,16,94,47,1
47,78,125,32,47,78,0,47,94,93,16,78,63,62,16,78,32,156,328,141,31,1
235,328,47,63,141,281,0,109,78,47,78,47,78,63,93,156,15,16,31,94,47,1
79,109,94,78,94,94,94,78,78,78,63,78,78,94,78,63,62,78,78,31,62,1
94,78,78,94,16,62,47,78,79,187,78,47,78,47,78,62,204,79,78,63,78,1
78,78,47,63,94,94,78,78,78,47,78,78,78,94,78,63,62,78,78,31,62,1
109,125,94,63,172,125,125,125,16,47,31,16,79,62,141,78,203,78,109,16,109,1
125,47,62,47,16,78,156,125,47,31,109,94,78,93,94,94,79,47,109,47,124,1
93,109,78,15,172,125,156,172,78,47,125,16,79,62,141,78,203,78,124,16,109,1
94,141,94,93,16,94,94,31,31,94,16,15,47,78,16,79,672,78,15,110,31,1
110,15,94,16,78,94,532,32,62,141,15,62,63,62,78,32,671,125,15,16,78,1
31,15,15,31,16,94,563,32,31,78,16,15,47,78,16,79,672,78,78,110,31,1
62,125,94,62,16,125,125,16,78,16,62,15,47,78,94,31,93,94,16,15,78,1
62,78,78,110,32,62,0,47,31,47,16,46,63,47,94,16,78,94,391,32,62,1
16,391,31,62,16,125,93,78,94,31,93,15,47,78,94,31,93,94,62,15,78,1
94,110,109,78,63,78,78,78,78,16,62,31,63,93,94,78,94,109,94,16,94,1
110,78,47,78,31,78,156,266,109,16,94,62,78,79,75,86,78,47,62,16,109,1
109,62,78,94,63,78,94,109,109,16,62,31,63,93,94,78,94,109,109,16,94,1
78,157,63,62,62,156,156,78,78,204,78,219,78,78,31,141,15,484,62,32,93,1
94,94,78,109,63,31,0,79,63,31,62,78,47,78,15,94,125,62,93,78,47,1
94,93,94,79,62,156,0,141,62,32,78,219,78,78,31,141,15,484,47,32,93,1
47,63,47,16,63,78,78,31,62,63,78,47,47,93,172,15,78,125,110,15,79,1
78,110,94,47,15,79,0,78,110,15,110,78,79,78,78,15,93,16,32,31,94,1
16,32,78,63,63,78,125,125,78,16,78,47,47,93,172,15,78,125,94,15,79,1
47,125,94,78,156,235,235,94,78,47,63,156,94,110,156,47,109,62,63,16,94,1
250,125,94,62,15,78,94,109,16,109,63,79,78,62,203,31,31,343,156,32,93,1
