@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,4,5,6,7,9,10,11,17,18,21,22,24,25,26,27,30,38,39,42,43'

@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft3 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
31,63,63,94,94,156,78,62,62,94,94,141,78,94,94,31,109,31,79,78,47,109,1
32,93,63,62,94,125,94,78,93,47,125,47,62,110,78,93,125,78,156,93,62,94,1
78,93,15,94,78,140,94,47,62,94,94,141,78,94,94,31,109,31,79,63,47,109,1
16,109,15,391,391,47,62,62,79,15,62,16,62,62,47,32,94,234,78,62,31,63,1
16,78,32,47,516,578,32,47,437,63,94,32,63,47,63,94,94,172,16,16,47,32,1
62,16,62,391,484,79,62,79,250,78,62,16,62,62,47,32,94,234,78,46,31,63,1
594,62,32,219,219,15,63,78,79,46,125,63,62,63,93,63,78,16,78,63,79,171,1
31,63,78,63,62,47,94,94,93,47,109,62,94,47,109,47,94,62,16,62,63,46,1
110,62,63,219,62,32,94,16,62,16,63,63,62,63,93,63,78,16,78,63,79,171,1
47,156,62,266,266,47,94,93,78,157,312,594,63,109,31,94,94,31,78,63,94,31,1
93,94,47,78,0,31,78,93,31,94,94,94,78,110,47,78,172,78,63,16,94,78,1
94,16,47,266,0,16,78,62,78,16,109,594,63,109,31,94,94,31,78,78,94,31,1
78,94,62,281,281,47,47,32,62,94,31,47,78,93,156,47,15,93,16,16,47,94,1
78,78,62,78,0,47,47,63,94,93,32,78,63,16,78,47,32,94,156,328,63,141,1
47,328,47,281,0,31,109,78,78,47,0,47,78,93,156,47,15,93,16,31,47,94,1
