@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,7,8,9,13,16,17,18,21,22,23,24,25,26,27,33,34,35,38,39,40,41,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk2 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute gender {1,2}

@data
47,31,62,78,109,94,156,78,62,94,141,78,78,94,94,79,78,1
62,32,62,62,32,62,125,94,93,47,47,62,79,110,78,156,93,1
63,78,79,78,109,94,140,94,62,94,141,78,78,94,94,79,63,1
109,16,78,62,313,391,47,62,79,15,16,62,47,62,47,78,62,1
78,16,16,62,16,47,578,32,437,63,32,63,62,47,63,16,16,1
32,62,63,62,313,391,79,62,250,78,16,62,47,62,47,78,46,1
78,594,62,78,109,219,15,63,79,46,63,62,94,63,93,78,63,1
63,31,94,47,62,63,47,94,93,47,62,94,47,47,109,16,62,1
78,110,62,78,109,219,32,94,62,16,63,62,94,63,93,78,63,1
119,47,94,78,172,266,47,94,78,157,594,63,93,109,31,78,63,1
94,93,78,78,15,78,31,78,31,94,94,78,47,110,47,63,16,1
15,94,94,78,172,266,16,78,78,16,594,63,93,109,31,78,78,1
78,78,78,63,141,281,47,47,62,94,47,78,63,93,156,16,16,1
47,78,125,47,47,78,47,47,94,93,78,63,62,16,78,156,328,1
235,47,47,63,141,281,31,109,78,47,47,78,63,93,156,16,31,1
79,125,94,78,94,94,312,78,78,78,78,78,94,78,63,78,78,1
94,16,78,78,16,62,188,78,79,187,47,78,47,78,62,79,78,1
78,31,47,78,94,94,172,78,78,47,78,78,94,78,63,78,78,1
109,78,94,63,172,125,156,125,16,47,16,79,62,141,78,78,109,1
125,188,62,109,16,78,109,125,47,31,94,78,93,94,94,47,109,1
93,16,78,63,172,125,547,172,78,47,16,79,62,141,78,78,124,1
94,47,94,93,16,94,47,31,31,94,15,47,78,16,79,78,15,1
110,94,94,110,78,94,625,32,62,141,62,63,62,78,32,125,15,1
31,94,15,93,16,94,656,32,31,78,15,47,78,16,79,78,78,1
62,63,94,62,16,125,32,16,78,16,15,47,78,94,31,94,16,1
62,16,78,78,32,62,16,47,31,47,46,63,47,94,16,94,391,1
16,94,31,62,16,125,16,78,94,31,15,47,78,94,31,94,62,1
94,62,109,78,63,78,94,78,78,16,31,63,93,94,78,109,94,1
110,15,47,109,31,78,141,266,109,16,62,78,79,75,86,47,62,1
109,16,78,78,63,78,78,109,109,16,31,63,93,94,78,109,109,1
78,31,63,62,62,156,32,78,78,204,219,78,78,31,141,484,62,1
94,31,78,250,63,31,15,79,63,31,78,47,78,15,94,62,93,1
94,16,94,62,62,156,47,141,62,32,219,78,78,31,141,484,47,1
47,93,47,16,63,78,156,31,62,63,47,47,93,172,15,125,110,1
78,32,94,110,15,79,16,78,110,15,78,79,78,78,15,16,32,1
16,62,78,16,63,78,16,125,78,16,47,47,93,172,15,125,94,1
47,281,94,78,156,235,31,94,78,47,156,94,110,156,47,62,63,1
250,16,94,78,15,78,125,109,16,109,79,78,62,203,31,343,156,1
78,47,46,78,156,235,46,109,78,110,156,94,110,156,47,62,93,1
78,187,78,63,62,94,141,78,62,16,31,94,62,78,47,110,32,1
110,15,78,47,47,62,109,79,203,265,47,110,62,156,63,156,62,1
94,16,93,63,62,94,94,63,32,15,31,94,62,78,47,110,94,1
109,31,94,93,32,110,62,62,78,16,656,47,63,32,78,15,47,1
63,15,32,78,15,62,703,63,47,94,78,63,141,110,15,32,15,1
94,157,94,93,32,110,15,125,703,16,656,47,63,32,78,15,31,1
78,16,78,63,15,78,94,78,63,94,31,79,62,63,93,94,15,1
94,15,62,110,15,93,125,219,79,78,63,78,62,63,94,32,78,1
94,47,47,63,15,78,125,234,141,15,31,79,62,63,93,94,78,1
93,16,78,94,78,125,94,78,125,109,94,156,78,94,94,78,94,1
250,16,110,93,16,78,62,93,141,93,172,62,79,265,78,16,94,1
140,16,93,94,78,125,93,172,94,78,94,156,78,94,94,78,125,1
562,16,78,94,0,94,109,94,78,15,109,62,94,94,125,125,78,1
93,16,78,110,78,78,78,94,78,31,63,78,109,94,78,63,78,1
156,47,94,94,0,94,78,94,47,31,109,62,94,94,125,125,94,1
125,157,93,141,265,390,63,110,15,93,46,125,985,203,62,359,125,1
38,129,109,172,250,31,15,187,94,125,94,172,109,16,110,15,344,1
16,125,78,141,265,390,46,140,141,187,46,125,985,203,62,359,391,1
94,296,141,94,78,156,63,93,109,31,78,63,234,234,63,63,62,1
78,94,156,94,16,62,78,125,94,94,78,94,78,156,47,140,32,1
125,93,94,94,78,156,62,94,125,62,78,63,234,234,63,63,109,1
141,16,94,62,391,110,15,110,78,109,297,78,235,297,31,109,344,1
93,32,125,94,47,94,15,141,16,125,78,94,94,172,31,15,62,1
234,141,94,62,391,110,15,109,125,188,297,78,235,297,31,109,94,1
62,32,78,63,15,109,16,62,46,47,94,47,94,109,16,125,15,1
63,15,78,78,63,31,15,62,78,63,78,63,62,94,47,110,62,1
78,63,16,63,15,109,16,63,62,16,94,47,94,109,16,125,94,1
141,15,102,118,53,91,259,144,31,78,156,47,78,110,94,125,110,1
109,188,94,110,15,63,172,94,219,16,79,78,93,94,125,250,110,1
125,15,109,118,53,91,223,125,156,16,156,47,78,110,94,125,109,1
94,31,78,94,15,63,62,63,62,32,78,15,79,63,109,62,79,1
78,16,125,78,79,62,63,78,78,31,63,62,125,78,79,15,63,1
140,31,78,94,15,63,62,79,110,172,78,15,79,63,109,62,79,1
125,62,63,109,63,78,125,47,46,16,265,79,78,141,46,109,41,1
