@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,7,8,13,15,16,17,18,20,21,22,23,24,25,26,27,28,29,32,34,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute dtfk7 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,63,78,78,109,94,156,62,78,94,31,31,79,78,109,63,1
62,32,93,62,62,32,62,125,93,79,110,93,78,156,93,94,63,1
63,78,93,32,78,109,94,140,62,78,94,31,31,79,63,109,63,1
109,16,109,62,62,313,391,47,79,47,62,32,234,78,62,63,15,1
78,16,78,62,62,16,47,578,437,62,47,94,172,16,16,32,46,1
32,62,16,50,62,313,391,79,250,47,62,32,234,78,46,63,15,1
78,594,62,78,78,109,219,15,79,94,63,63,16,78,63,171,63,1
63,31,63,78,47,62,63,47,93,47,47,47,62,16,62,46,63,1
78,110,62,47,78,109,219,32,62,94,63,63,16,78,63,171,63,1
119,47,156,78,78,172,266,47,78,93,109,94,31,78,63,31,78,1
94,93,94,93,78,15,78,31,31,47,110,78,78,63,16,78,78,1
15,94,16,94,78,172,266,16,78,93,109,94,31,78,78,31,78,1
78,78,94,63,63,141,281,47,62,63,93,47,93,16,16,94,47,1
47,78,78,32,47,47,78,47,94,62,16,47,94,156,328,141,31,1
235,47,328,63,63,141,281,31,78,63,93,47,93,16,31,94,47,1
79,125,109,78,78,94,94,312,78,94,78,78,78,78,78,31,62,1
94,16,78,94,78,16,62,188,79,47,78,63,46,79,78,63,78,1
78,31,78,63,78,94,94,172,78,94,78,78,78,78,78,31,62,1
109,78,125,63,63,172,125,156,16,62,141,157,16,78,109,16,109,1
125,188,47,47,109,16,78,109,47,93,94,62,62,47,109,47,124,1
93,16,109,15,63,172,125,547,78,62,141,157,16,78,124,16,109,1
94,47,141,93,93,16,94,47,31,78,16,62,31,78,15,110,31,1
110,94,15,16,110,78,94,625,62,62,78,141,47,125,15,16,78,1
31,94,15,31,93,16,94,656,31,78,16,62,31,78,78,110,31,1
62,63,125,62,62,16,125,32,78,78,94,47,16,94,16,15,78,1
62,16,78,110,78,32,62,16,31,47,94,109,109,94,391,32,62,1
16,94,391,62,62,16,125,16,94,78,94,47,16,94,62,15,78,1
94,62,110,78,78,63,78,94,78,93,94,109,31,109,94,16,94,1
110,15,78,78,109,31,78,141,109,79,75,93,93,47,62,16,109,1
109,16,62,94,78,63,78,78,109,93,94,109,31,109,109,16,94,1
78,31,157,62,62,62,156,32,78,78,31,62,94,484,62,32,93,1
94,31,94,109,250,63,31,15,63,78,15,109,78,62,93,78,47,1
94,16,93,79,62,62,156,47,62,78,31,62,94,484,47,32,93,1
47,93,63,16,16,63,78,156,62,93,172,63,16,125,110,15,79,1
78,32,110,47,110,15,79,16,110,78,78,78,94,16,32,31,94,1
16,62,32,63,16,63,78,16,78,93,172,63,16,125,94,15,79,1
47,281,125,78,78,156,235,31,78,110,156,125,125,62,63,16,94,1
250,16,125,62,78,15,78,125,16,62,203,109,141,343,156,32,93,1
78,47,156,94,78,156,235,46,78,110,156,125,125,62,93,16,94,1
78,187,94,63,63,62,94,141,62,62,78,78,156,110,32,31,78,1
110,15,78,78,47,47,62,109,203,62,156,125,94,156,62,16,94,1
94,16,62,63,63,62,94,94,32,62,78,78,156,110,94,31,78,1
109,31,109,93,93,32,110,62,78,63,32,79,782,15,47,62,47,1
63,15,78,32,78,15,62,703,47,141,110,93,62,32,15,62,31,1
94,157,15,78,93,32,110,15,703,63,32,79,782,15,31,62,47,1
78,16,93,63,63,15,78,94,63,62,63,63,0,94,15,15,78,1
94,15,94,78,110,15,93,125,79,62,63,62,93,32,78,31,78,1
94,47,78,78,63,15,78,125,141,62,63,63,0,94,78,15,78,1
93,16,94,94,94,78,125,94,125,78,94,203,78,78,94,78,78,1
250,16,125,78,93,16,78,62,141,79,265,110,109,16,94,813,125,1
140,16,94,78,94,78,125,93,94,78,94,203,78,78,125,78,78,1
562,16,78,94,94,0,94,109,78,94,94,78,594,125,78,47,78,1
93,16,78,62,110,78,78,78,78,109,94,78,78,63,78,47,94,1
156,47,78,93,94,0,94,78,47,94,94,78,594,125,94,47,78,1
125,157,109,141,141,265,390,63,15,985,203,141,172,359,125,110,109,1
38,129,297,15,172,250,31,15,94,109,16,78,282,15,344,313,391,1
