@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,7,8,17,18,21,23,24,25,26,27,33,34,37,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,62,78,78,109,94,94,156,78,62,62,94,78,141,78,78,94,94,31,79,109,63,1
62,32,62,62,62,32,62,94,125,94,78,93,47,78,47,62,79,110,78,78,156,94,63,1
63,78,79,32,78,109,94,78,140,94,47,62,94,93,141,78,78,94,94,31,79,109,63,1
109,16,78,62,62,313,391,391,47,62,62,79,15,94,16,62,47,62,47,234,78,63,15,1
78,16,16,62,62,16,47,516,578,32,47,437,63,78,32,63,62,47,63,172,16,32,46,1
32,62,63,50,62,313,391,484,79,62,79,250,78,90,16,62,47,62,47,234,78,63,15,1
78,594,62,78,78,109,219,219,15,63,78,79,46,78,63,62,94,63,93,16,78,171,63,1
63,31,94,78,47,62,63,62,47,94,94,93,47,63,62,94,47,47,109,62,16,46,63,1
78,110,62,47,78,109,219,62,32,94,16,62,16,79,63,62,94,63,93,16,78,171,63,1
119,47,94,78,78,172,266,266,47,94,93,78,157,94,594,63,93,109,31,31,78,31,78,1
94,93,78,93,78,15,78,0,31,78,93,31,94,63,94,78,47,110,47,78,63,78,78,1
15,94,94,94,78,172,266,0,16,78,62,78,16,62,594,63,93,109,31,31,78,31,78,1
78,78,78,63,63,141,281,281,47,47,32,62,94,125,47,78,63,93,156,93,16,94,47,1
47,78,125,32,47,47,78,0,47,47,63,94,93,187,78,63,62,16,78,94,156,141,31,1
235,47,47,63,63,141,281,0,31,109,78,78,47,63,47,78,63,93,156,93,16,94,47,1
79,125,94,78,78,94,94,94,312,78,94,78,78,63,78,78,94,78,63,78,78,31,62,1
94,16,78,94,78,16,62,47,188,78,94,79,187,62,47,78,47,78,62,46,79,63,78,1
78,31,47,63,78,94,94,78,172,78,31,78,47,78,78,78,94,78,63,78,78,31,62,1
109,78,94,63,63,172,125,125,156,125,47,16,47,94,16,79,62,141,78,16,78,16,109,1
125,188,62,47,109,16,78,156,109,125,62,47,31,109,94,78,93,94,94,62,47,47,124,1
93,16,78,15,63,172,125,156,547,172,15,78,47,78,16,79,62,141,78,16,78,16,109,1
94,47,94,93,93,16,94,94,47,31,16,31,94,4,15,47,78,16,79,31,78,110,31,1
110,94,94,16,110,78,94,532,625,32,78,62,141,172,62,63,62,78,32,47,125,16,78,1
31,94,15,31,93,16,94,563,656,32,156,31,78,72,15,47,78,16,79,31,78,110,31,1
62,63,94,62,62,16,125,125,32,16,110,78,16,78,15,47,78,94,31,16,94,15,78,1
