@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,7,8,9,10,11,15,16,17,18,19,23,24,25,26,27,29,39,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,63,62,94,94,156,94,94,78,141,78,94,94,31,109,31,79,78,63,47,109,63,1
62,93,62,62,94,125,47,78,78,47,79,110,78,93,125,78,156,93,47,62,94,63,1
63,93,79,94,78,140,94,78,93,141,78,94,94,31,109,31,79,63,140,47,109,63,1
109,109,78,391,391,47,15,78,94,16,47,62,47,32,94,234,78,62,125,31,63,15,1
78,78,16,47,516,578,63,62,78,32,62,47,63,94,94,172,16,16,78,47,32,46,1
32,16,63,391,484,79,78,47,90,16,47,62,47,32,94,234,78,46,32,31,63,15,1
78,62,62,219,219,15,46,47,78,63,94,63,93,63,78,16,78,63,62,79,171,63,1
63,63,94,63,62,47,47,63,63,62,47,47,109,47,94,62,16,62,63,63,46,63,1
78,62,62,219,62,32,16,78,79,63,94,63,93,63,78,16,78,63,266,79,171,63,1
119,156,94,266,266,47,157,93,94,594,93,109,31,94,94,31,78,63,78,94,31,78,1
94,94,78,78,0,31,94,63,63,94,47,110,47,78,172,78,63,16,109,94,78,78,1
15,16,94,266,0,16,16,93,62,594,93,109,31,94,94,31,78,78,47,94,31,78,1
78,94,78,281,281,47,94,62,125,47,63,93,156,47,15,93,16,16,78,47,94,47,1
47,78,125,78,0,47,93,16,187,78,62,16,78,47,32,94,156,328,62,63,141,31,1
235,328,47,281,0,31,47,78,63,47,63,93,156,47,15,93,16,31,62,47,94,47,1
79,109,94,94,94,312,78,63,63,78,94,78,63,78,62,78,78,78,125,63,31,62,1
94,78,78,62,47,188,187,78,62,47,47,78,62,63,204,46,79,78,47,78,63,78,1
78,78,47,94,78,172,47,78,78,78,94,78,63,78,62,78,78,78,218,63,31,62,1
